,IWN,XLF,SPDR® S&P MIDCAP 400 ETF Trust,FGXXX,IUSG,MDY,First American Government Obligs X,XLC,IWF,IVW,n/a,SCHG,VGT,VUG,SUM
08/02/2021,0.0,34.35,0.0,0.0,35.73,29.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,0.0,34.35,0.0,0.0,35.73,29.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,0.0,34.35,0.0,0.0,35.73,29.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,0.0,34.35,0.0,0.0,35.73,29.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,0.0,34.52,0.0,0.0,35.46,29.62,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03,34.89,29.82,0.27,0.0,0.0,0.0,100.01
08/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03,34.89,29.82,0.27,0.0,0.0,0.0,100.01
08/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.03,34.89,29.82,0.27,0.0,0.0,0.0,100.01
08/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,34.76,29.75,0.29,0.0,0.0,0.0,100.0
08/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.18,34.75,29.78,0.29,0.0,0.0,0.0,100.0
08/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.18,34.75,29.78,0.29,0.0,0.0,0.0,100.0
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13,34.75,29.83,0.29,0.0,0.0,0.0,100.0
08/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13,34.75,29.83,0.29,0.0,0.0,0.0,100.0
08/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,34.74,29.87,0.29,0.0,0.0,0.0,100.0
08/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.06,34.71,29.93,0.3,0.0,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.06,34.71,29.93,0.3,0.0,0.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02,34.74,29.95,0.29,0.0,0.0,0.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02,34.74,29.95,0.29,0.0,0.0,0.0,100.0
08/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.07,34.78,29.87,0.29,0.0,0.0,0.0,100.01
08/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.82,29.89,0.29,0.0,0.0,0.0,100.0
08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.82,29.89,0.29,0.0,0.0,0.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.14,34.75,29.82,0.29,0.0,0.0,0.0,100.0
09/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.14,34.75,29.82,0.29,0.0,0.0,0.0,100.0
09/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.06,34.79,29.87,0.28,0.0,0.0,0.0,100.0
09/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.26,34.67,29.79,0.28,0.0,0.0,0.0,100.0
09/07/2021,0.0,0.0,0.0,0.28,0.0,0.0,0.0,35.11,34.75,29.86,0.0,0.0,0.0,0.0,100.0
09/08/2021,0.0,0.0,0.0,0.28,0.0,0.0,0.0,35.11,34.75,29.86,0.0,0.0,0.0,0.0,100.0
09/09/2021,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.93,34.92,29.87,100.0
09/10/2021,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.93,34.92,29.87,100.0
09/13/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.97,34.8,29.92,100.0
09/14/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96,34.8,29.93,100.0
09/15/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.94,34.78,29.96,99.99
09/16/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.94,34.78,29.96,99.99
09/17/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.93,34.82,29.93,99.99
09/20/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.92,34.85,29.91,99.99
09/21/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91,34.86,29.91,99.99
09/22/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91,34.86,29.91,99.99
09/23/2021,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91,34.86,29.91,99.99
