,LMBS,FTSL,FTSM,UCON,SLQD,HYLS,CMBS,FEMB,US Dollar,First Trust Emerging Mkts Lcl Ccy Bd ETF,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
08/04/2021,39.96,17.44,10.0,10.0,10.02,4.99,5.03,2.45,0.11,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,39.99,17.42,10.0,10.0,10.01,4.98,5.02,2.45,0.13,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,39.98,17.43,10.0,10.0,10.01,4.98,5.04,0.0,0.0,2.46,0.11,0.0,0.0,0.0,100.01
08/09/2021,39.97,17.43,10.01,10.01,10.01,4.98,5.04,0.0,0.0,0.0,0.09,0.0,0.0,2.45,99.99
08/10/2021,39.94,17.46,10.02,10.02,10.01,4.99,5.03,0.0,0.0,0.0,0.12,0.0,0.0,2.42,100.01
08/11/2021,39.94,17.46,10.02,10.02,10.01,4.99,5.03,0.0,0.0,0.0,0.12,0.0,0.0,2.42,100.01
08/13/2021,39.96,17.47,10.02,10.02,10.0,4.97,5.02,2.42,0.0,0.0,0.0,0.0,0.0,0.12,100.0
08/16/2021,39.96,17.47,10.02,10.01,10.0,4.97,5.02,0.0,0.0,0.0,0.12,0.0,0.0,2.43,100.0
08/17/2021,39.97,17.47,10.01,10.0,10.01,4.98,5.01,0.0,0.0,0.0,0.12,0.0,0.0,2.43,100.0
08/18/2021,39.97,17.47,10.01,10.0,10.01,4.98,5.01,2.43,0.0,0.0,0.0,0.0,0.0,0.12,100.0
08/19/2021,39.94,17.49,10.01,10.01,10.0,4.98,5.02,0.0,0.0,0.0,0.12,0.0,0.0,2.42,99.99
08/20/2021,39.95,17.49,10.02,10.01,10.0,4.98,5.03,0.0,0.0,0.0,0.12,0.0,0.0,2.41,100.01
08/23/2021,39.98,17.49,10.02,10.01,10.01,4.97,5.03,0.0,0.0,0.0,0.12,0.0,0.0,2.39,100.02
08/24/2021,39.95,17.49,10.02,10.01,10.01,4.98,5.04,0.0,0.0,0.0,0.12,0.0,0.0,2.39,100.01
08/25/2021,39.95,17.49,10.02,10.01,10.01,4.98,5.04,0.0,0.0,0.0,0.12,0.0,0.0,2.39,100.01
08/26/2021,39.96,17.48,10.02,10.0,10.0,4.98,5.03,0.0,0.0,0.0,0.12,0.0,0.0,2.4,99.99
08/27/2021,39.93,17.49,10.03,10.01,10.01,4.98,5.03,0.0,0.0,0.0,0.12,0.0,0.0,2.41,100.01000000000002
08/30/2021,39.94,17.49,10.03,10.01,10.01,4.97,5.02,0.0,0.0,0.0,0.12,0.0,0.0,2.41,100.0
08/31/2021,39.94,17.49,10.02,10.0,10.01,4.98,5.01,0.0,0.0,0.0,0.12,0.0,0.0,2.43,100.0
09/01/2021,39.94,17.49,10.02,10.0,10.01,4.98,5.01,0.0,0.0,0.0,0.12,0.0,0.0,2.43,100.0
09/02/2021,39.93,17.48,10.01,10.0,10.01,4.98,5.02,2.44,0.0,0.0,0.0,0.0,0.0,0.12,99.99
09/03/2021,39.93,17.48,10.01,9.99,10.01,4.99,5.03,2.45,0.0,0.0,0.0,0.0,0.0,0.11,100.0
09/06/2021,39.92,17.5,10.01,10.0,10.0,4.99,5.01,2.45,0.0,0.0,0.0,0.0,0.0,0.11,99.99
09/07/2021,39.9,17.51,10.01,10.01,10.0,4.99,5.01,2.45,0.0,0.0,0.0,0.0,0.0,0.11,99.99
09/08/2021,39.9,17.51,10.01,10.01,10.0,4.99,5.01,2.45,0.0,0.0,0.0,0.0,0.0,0.11,99.99
09/09/2021,39.9,17.51,10.01,10.01,10.0,4.99,5.01,2.45,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/10/2021,39.93,17.5,10.02,10.01,10.0,4.99,5.0,2.45,0.0,0.0,0.09,0.0,0.0,0.0,99.99
09/13/2021,39.91,17.52,10.02,10.02,10.01,4.99,5.0,2.43,0.0,0.0,0.11,0.0,0.0,0.0,100.01
09/14/2021,39.91,17.51,10.02,10.02,10.0,4.99,5.0,2.43,0.0,0.0,0.0,0.0,0.0,0.11,99.99
09/15/2021,39.91,17.51,10.02,10.02,10.0,4.99,5.0,2.43,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/16/2021,39.91,17.51,10.01,10.02,10.0,4.99,5.0,2.44,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/17/2021,39.91,17.51,10.01,10.02,10.0,4.99,5.01,2.43,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/20/2021,39.89,17.54,10.01,10.02,10.0,5.0,5.01,2.42,0.0,0.0,0.11,0.0,0.0,0.0,100.0
09/21/2021,39.89,17.55,10.02,10.02,10.0,4.99,5.0,2.41,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/22/2021,39.89,17.55,10.02,10.02,10.0,4.99,5.0,2.41,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/23/2021,39.92,17.53,10.02,10.02,10.01,4.99,5.0,2.4,0.0,0.0,0.0,0.0,0.0,0.11,100.0
09/24/2021,39.9,17.54,10.02,10.02,10.01,4.99,5.01,2.4,0.0,0.0,0.11,0.0,0.0,0.0,100.0
09/27/2021,39.87,17.55,10.04,10.02,10.02,4.99,5.01,2.39,0.0,0.0,0.11,0.0,0.0,0.0,100.0
09/28/2021,39.9,17.54,10.04,10.01,10.02,4.99,5.0,2.37,0.0,0.0,0.11,0.0,0.0,0.0,99.98
09/29/2021,39.9,17.54,10.04,10.01,10.02,4.99,5.0,2.37,0.0,0.0,0.11,0.0,0.0,0.0,99.98
09/30/2021,39.9,17.54,10.04,10.01,10.02,4.99,5.0,2.37,0.0,0.0,0.11,0.0,0.0,0.0,99.98
10/01/2021,39.9,17.56,10.04,10.02,10.01,4.99,4.99,2.37,0.0,0.0,0.11,0.0,0.0,0.0,99.99
10/04/2021,39.96,17.46,9.99,9.99,9.99,5.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.11,100.0
10/05/2021,39.96,17.46,9.99,9.99,9.99,5.0,4.99,2.52,0.0,0.0,0.1,0.0,0.0,0.0,100.0
10/06/2021,39.96,17.46,9.99,9.99,9.99,5.0,4.99,2.52,0.0,0.0,0.1,0.0,0.0,0.0,100.0
10/07/2021,39.96,17.46,9.99,9.99,9.99,5.0,4.99,2.52,0.0,0.0,0.1,0.0,0.0,0.0,100.0
10/08/2021,39.99,17.47,9.99,9.99,9.98,4.99,5.0,2.5,0.0,0.0,0.1,0.0,0.0,0.0,100.01
10/11/2021,40.0,17.48,9.99,9.98,9.97,4.99,4.99,2.49,0.0,0.0,0.1,0.0,0.0,0.0,99.99
10/12/2021,39.95,17.52,10.0,9.99,9.97,4.98,4.98,2.49,0.0,0.0,0.11,0.0,0.0,0.0,99.99
10/13/2021,39.95,17.52,10.0,9.99,9.97,4.98,4.98,2.49,0.0,0.0,0.11,0.0,0.0,0.0,99.99
10/14/2021,39.96,17.55,10.0,9.99,9.97,4.98,4.97,2.48,0.0,0.0,0.11,0.0,0.0,0.0,100.01
10/15/2021,39.97,17.53,10.0,9.98,9.97,4.98,4.98,2.48,0.0,0.0,0.11,0.0,0.0,0.0,100.0
10/18/2021,39.95,17.52,9.99,9.98,9.97,5.0,4.97,2.51,0.0,0.0,0.11,0.0,0.0,0.0,100.0
10/19/2021,39.94,17.53,9.99,9.98,9.96,4.99,4.98,2.51,0.0,0.0,0.11,0.0,0.0,0.0,99.99
10/20/2021,39.94,17.53,9.99,9.98,9.96,4.99,4.98,2.51,0.0,0.0,0.11,0.0,0.0,0.0,99.99
10/21/2021,39.93,17.52,10.01,9.99,9.96,5.0,4.98,2.51,0.0,0.0,0.11,0.0,0.0,0.0,100.01
10/22/2021,39.93,17.52,10.01,9.99,9.96,5.0,4.98,2.51,0.0,0.0,0.11,0.0,0.0,0.0,100.01
10/25/2021,39.94,17.53,10.03,9.99,9.97,4.99,4.98,2.47,0.0,0.0,0.11,0.0,0.0,0.0,100.01
10/26/2021,39.95,17.53,10.03,9.99,9.97,4.98,4.97,2.48,0.0,0.0,0.11,0.0,0.0,0.0,100.01
10/27/2021,39.95,17.53,10.03,9.99,9.97,4.98,4.97,2.48,0.0,0.0,0.11,0.0,0.0,0.0,100.01
10/28/2021,39.93,17.49,10.01,10.0,10.01,4.99,5.03,2.45,0.0,0.0,0.11,0.0,0.0,0.0,100.02
10/29/2021,39.93,17.49,10.01,10.0,10.01,4.99,5.03,2.45,0.0,0.0,0.11,0.0,0.0,0.0,100.02
11/01/2021,39.97,17.52,10.02,9.98,9.97,4.98,4.99,2.47,0.0,0.0,0.0,0.0,0.0,0.11,100.01
11/02/2021,39.99,17.52,10.01,9.98,9.97,4.98,4.98,2.46,0.0,0.0,0.0,0.0,0.0,0.11,100.0
11/03/2021,39.99,17.52,10.01,9.98,9.97,4.98,4.98,2.46,0.0,0.0,0.0,0.0,0.0,0.11,100.0
11/04/2021,39.99,17.52,10.01,9.98,9.97,4.98,4.98,2.46,0.0,0.0,0.0,0.0,0.0,0.11,100.0
11/05/2021,39.99,17.53,10.01,9.98,9.97,4.97,4.97,2.45,0.0,0.0,0.0,0.0,0.0,0.13,100.0
11/08/2021,39.96,17.55,10.02,9.98,9.96,4.99,4.97,2.46,0.0,0.0,0.11,0.0,0.0,0.0,100.0
11/09/2021,39.93,17.55,10.0,9.99,9.97,4.99,4.98,2.48,0.0,0.0,0.11,0.0,0.0,0.0,100.0
11/10/2021,39.93,17.55,10.0,9.99,9.97,4.99,4.98,2.48,0.0,0.0,0.11,0.0,0.0,0.0,100.0
11/11/2021,39.91,17.55,10.01,9.99,9.96,4.99,4.99,2.49,0.0,0.0,0.11,0.0,0.0,0.0,100.0
11/12/2021,39.9,17.54,10.01,9.99,9.97,4.99,4.99,2.49,0.0,0.0,0.11,0.0,0.0,0.0,99.99
11/15/2021,39.87,17.59,10.03,9.99,9.95,4.98,4.97,2.49,0.0,0.0,0.0,0.0,0.0,0.11,99.98
11/16/2021,39.88,17.58,10.03,9.98,9.96,4.99,4.98,2.48,0.0,0.0,0.0,0.0,0.0,0.11,99.99
11/17/2021,39.88,17.58,10.03,9.98,9.96,4.99,4.98,2.48,0.0,0.0,0.0,0.0,0.0,0.11,99.99
11/18/2021,39.89,17.59,10.04,9.97,9.96,4.98,4.97,2.48,0.0,0.0,0.0,0.0,0.0,0.11,99.99
11/19/2021,39.9,17.61,10.04,9.96,9.96,4.99,4.97,2.45,0.0,0.0,0.11,0.0,0.0,0.0,99.99
11/22/2021,39.9,17.61,10.04,9.96,9.96,4.99,4.97,2.45,0.0,0.0,0.11,0.0,0.0,0.0,99.99
11/23/2021,39.9,17.61,10.04,9.96,9.96,4.99,4.97,2.45,0.0,0.0,0.11,0.0,0.0,0.0,99.99
11/24/2021,39.95,17.57,10.04,9.99,9.96,4.97,4.98,2.43,0.0,0.0,0.0,0.0,0.0,0.11,100.0
11/25/2021,39.95,17.57,10.05,9.99,9.96,4.97,4.97,2.42,0.0,0.0,0.11,0.0,0.0,0.0,99.99
11/26/2021,39.96,17.56,10.08,9.99,9.98,4.96,4.96,2.4,0.0,0.0,0.11,0.0,0.0,0.0,100.0
11/29/2021,39.95,17.58,10.07,9.99,9.97,4.95,4.96,2.4,0.0,0.0,0.11,0.0,0.0,0.0,99.98
11/30/2021,40.0,17.52,10.08,9.97,9.99,4.93,5.0,2.39,0.0,0.0,0.11,0.0,0.0,0.0,99.99
12/01/2021,40.0,17.52,10.08,9.97,9.99,4.93,5.0,2.39,0.0,0.0,0.11,0.0,0.0,0.0,99.99
12/02/2021,39.97,17.52,10.07,10.01,9.99,4.95,4.99,2.38,0.0,0.0,0.11,0.0,0.0,0.0,99.99
12/06/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/07/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/08/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/09/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/10/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/13/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/14/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/15/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/16/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/17/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/20/2021,39.99,17.54,10.07,9.99,9.96,4.95,4.98,2.4,0.0,0.0,0.12,0.0,0.0,0.0,100.0
12/21/2021,39.9,17.58,10.05,10.0,9.94,4.98,4.96,2.4,0.0,0.0,0.0,0.0,0.0,0.18,99.99
12/22/2021,39.91,17.59,10.05,10.0,9.94,4.98,4.97,2.4,0.0,0.0,0.16,0.0,0.0,0.0,100.0
12/23/2021,39.92,17.58,10.06,9.98,9.94,4.98,4.98,2.4,0.0,0.0,0.16,0.0,0.0,0.0,99.99999999999999
