,WSO,SBAC,COO,TYL,BRO,AXON,SIVB,JLL,RMD,FAST,ALRM,MKL,GNTX,PCTY,BR,LCII,GXO,PAYC,SPLK,THO,XPO,IPGP,TSCO,TDOC,n/a,CGNX,AVLR,EVBG,HQY,ANSS,HSKA,CDLX,RARE,SUM
01/25/2022,6.8,5.22,5.11,4.77,4.71,4.41,4.27,4.35,4.4,3.98,3.74,4.03,3.57,3.47,3.22,2.52,3.22,2.7,2.94,2.37,2.51,2.17,1.91,1.95,1.96,1.83,1.85,1.42,1.71,0.98,0.84,0.79,0.28,100.0
01/26/2022,6.87,5.25,5.14,4.83,4.72,4.47,3.92,4.46,4.44,4.09,3.74,4.05,3.59,3.41,3.22,2.46,3.16,2.6,2.93,2.37,2.49,2.17,1.94,1.91,1.99,1.85,1.8,1.41,1.77,0.97,0.88,0.8,0.28,99.98
01/27/2022,6.87,5.25,5.14,4.83,4.72,4.47,3.92,4.46,4.44,4.09,3.74,4.05,3.59,3.41,3.22,2.46,3.16,2.6,2.93,2.37,2.49,2.17,1.94,1.91,1.99,1.85,1.8,1.41,1.77,0.97,0.88,0.8,0.28,99.98
01/28/2022,6.87,5.25,5.14,4.83,4.72,4.47,3.92,4.46,4.44,4.09,3.74,4.05,3.59,3.41,3.22,2.46,3.16,2.6,2.93,2.37,2.49,2.17,1.94,1.91,1.99,1.85,1.8,1.41,1.77,0.97,0.88,0.8,0.28,99.98
01/31/2022,6.86,5.35,5.21,4.77,4.81,4.52,3.79,4.47,4.41,4.12,3.66,4.1,3.64,3.5,3.2,2.48,2.79,2.62,2.88,2.56,2.43,2.19,2.01,1.83,2.07,1.82,1.83,1.31,1.91,0.96,0.81,0.81,0.27,99.99
02/01/2022,6.86,5.35,5.21,4.77,4.81,4.52,3.79,4.47,4.41,4.12,3.66,4.1,3.64,3.5,3.2,2.48,2.79,2.62,2.88,2.56,2.43,2.19,2.01,1.83,2.07,1.82,1.83,1.31,1.91,0.96,0.81,0.81,0.27,99.99
02/02/2022,6.86,5.35,5.21,4.77,4.81,4.52,3.79,4.47,4.41,4.12,3.66,4.1,3.64,3.5,3.2,2.48,2.79,2.62,2.88,2.56,2.43,2.19,2.01,1.83,2.07,1.82,1.83,1.31,1.91,0.96,0.81,0.81,0.27,99.99
02/03/2022,6.86,5.4,5.15,4.83,4.86,4.63,3.8,4.45,4.12,4.08,3.67,4.08,3.49,3.58,3.2,2.52,2.96,2.69,2.93,2.51,2.42,2.15,2.01,1.86,2.01,1.81,1.91,1.32,1.84,0.98,0.8,0.8,0.27,99.99
02/04/2022,6.58,5.24,5.07,4.88,4.82,4.68,3.94,4.42,4.23,3.95,3.64,4.06,3.48,3.7,3.05,2.49,2.95,2.74,3.05,2.52,2.44,2.16,1.97,2.03,1.94,1.8,1.96,1.43,1.84,0.97,0.8,0.89,0.29,100.01
02/07/2022,6.61,5.36,5.12,4.85,4.93,4.66,4.0,4.56,4.43,4.04,3.54,4.15,3.49,3.59,3.02,2.49,2.97,2.61,2.89,2.53,2.42,2.15,2.01,1.89,1.98,1.79,1.83,1.38,1.86,0.96,0.78,0.82,0.28,99.99
02/08/2022,6.61,5.36,5.12,4.85,4.93,4.66,4.0,4.56,4.43,4.04,3.54,4.15,3.49,3.59,3.02,2.49,2.97,2.61,2.89,2.53,2.42,2.15,2.01,1.89,1.98,1.79,1.83,1.38,1.86,0.96,0.78,0.82,0.28,99.99
02/09/2022,6.38,5.31,5.05,4.91,4.96,4.72,4.05,4.46,4.43,3.91,3.56,4.12,3.44,3.92,3.03,2.43,2.95,2.68,2.94,2.48,2.34,2.17,1.98,1.92,1.97,1.79,1.89,1.41,1.91,0.96,0.77,0.87,0.28,99.99
02/10/2022,6.34,5.32,5.03,4.93,4.97,4.78,4.09,4.47,4.41,3.8,3.55,4.14,3.44,3.78,2.99,2.42,3.07,2.71,2.94,2.49,2.34,2.16,1.98,1.92,1.97,1.79,1.92,1.42,1.92,0.97,0.79,0.88,0.28,100.01000000000002
02/11/2022,6.36,5.21,5.21,4.87,4.95,4.75,4.16,4.46,4.43,3.77,3.56,4.12,3.42,3.74,2.98,2.47,3.06,2.73,2.97,2.56,2.34,2.17,2.0,1.78,1.95,1.78,1.92,1.44,1.95,0.96,0.78,0.89,0.28,100.02
02/14/2022,6.33,5.17,5.15,4.96,4.99,4.69,4.18,4.51,4.46,3.69,3.5,4.03,3.33,3.78,2.91,2.49,3.08,2.95,2.89,2.51,2.48,2.22,1.98,1.86,1.86,1.76,1.99,1.45,1.97,0.96,0.75,0.88,0.28,100.04
02/15/2022,6.33,5.17,5.15,4.96,4.99,4.69,4.18,4.51,4.46,3.69,3.5,4.03,3.33,3.78,2.91,2.49,3.08,2.95,2.89,2.51,2.48,2.22,1.98,1.86,1.86,1.76,1.99,1.45,1.97,0.96,0.75,0.88,0.28,100.04
02/16/2022,6.32,5.19,5.16,4.91,4.95,4.64,4.17,4.52,4.55,3.72,3.55,4.09,3.36,3.69,2.94,2.51,3.08,2.9,2.88,2.54,2.47,2.16,2.01,1.88,1.9,1.76,1.84,1.41,2.02,0.94,0.76,0.88,0.3,100.0
02/17/2022,6.32,5.19,5.16,4.91,4.95,4.64,4.17,4.52,4.55,3.72,3.55,4.09,3.36,3.69,2.94,2.51,3.08,2.9,2.88,2.54,2.47,2.16,2.01,1.88,1.9,1.76,1.84,1.41,2.02,0.94,0.76,0.88,0.3,100.0
