,3690.HK,9988 HK,NIO,JD,PDD,2331.HK,YUMC,2020.HK,1211 HK,175.HK,2313.HK,TCOM,2333 HK,LI,XPEV,HTHT,EDU,881.HK,002594 C2,VIPS,3606 HK,601888 C1,6690 HK,6862.HK,1268.HK,TAL,425.HK,3998.HK,6618.HK,2238 HK,489.HK,1585.HK,780.HK,9922.HK,6110.HK,BZUN,839.HK,600104 C1,000333 C2,1114.HK,600690 C1,493.HK,DADA,000625 C2,000100 C2,603486 C1,600660 C1,6169.HK,136.HK,601633 C1,GOTU,667.HK,600741 C1,603833 C1,000069 C2,601966 C1,002024 C2,600754 C1,601799 C1,CASH,002625 C2,002920 C2,002508 C2,002607 C2,603816 C1,300144 C2,002444 C2,600699 C1,601689 C1,002405 C2,600655 C1,600704 C1,000800 C2,002242 C2,600739 C1,601058 C1,002032 C2,002563 C2,002429 C2,600859 C1,002705 C2,002925 C2,000581 C2,002572 C2,n/a,688169 C1,3690 HK,2331 HK,175 HK,2020 HK,2313 HK,881 HK,1268 HK,3998 HK,489 HK,6862 HK,425 HK,780 HK,6618 HK,1585 HK,6110 HK,9922 HK,839 HK,493 HK,1114 HK,136 HK,6169 HK,667 HK,SUM
07/23/2021,9.51,8.69,6.66,6.78,4.68,4.0,3.64,3.73,3.2,2.85,2.65,2.14,2.41,1.9,2.21,1.68,1.39,1.7,1.37,1.49,1.47,1.38,1.32,1.26,1.26,1.01,0.9,0.84,0.9,0.88,0.82,0.78,0.82,0.77,0.67,0.7,0.64,0.59,0.62,0.54,0.63,0.51,0.46,0.43,0.43,0.39,0.39,0.34,0.29,0.38,0.24,0.27,0.25,0.26,0.21,0.19,0.19,0.19,0.2,0.18,0.18,0.17,0.17,0.13,0.15,0.16,0.14,0.14,0.13,0.12,0.13,0.11,0.11,0.08,0.11,0.1,0.1,0.08,0.09,0.09,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,9.45,8.69,6.78,6.8,4.69,3.79,3.62,3.53,3.4,2.92,2.63,2.07,2.73,1.99,2.29,1.63,1.4,1.65,1.46,1.46,1.54,1.3,1.31,1.21,1.27,1.05,0.89,0.83,0.89,0.88,0.82,0.78,0.79,0.75,0.67,0.69,0.65,0.58,0.59,0.52,0.62,0.52,0.45,0.42,0.41,0.37,0.38,0.35,0.29,0.41,0.22,0.27,0.24,0.26,0.21,0.2,0.19,0.18,0.21,0.18,0.17,0.18,0.16,0.13,0.15,0.15,0.13,0.12,0.13,0.12,0.12,0.1,0.11,0.08,0.1,0.1,0.1,0.08,0.1,0.09,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/27/2021,9.45,8.69,6.78,6.8,4.69,3.79,3.62,3.53,3.4,2.92,2.63,2.07,2.73,1.99,2.29,1.63,1.4,1.65,1.46,1.46,1.54,1.3,1.31,1.21,1.27,1.05,0.89,0.83,0.89,0.88,0.82,0.78,0.79,0.75,0.67,0.69,0.65,0.58,0.59,0.52,0.62,0.52,0.45,0.42,0.41,0.37,0.38,0.35,0.29,0.41,0.22,0.27,0.24,0.26,0.21,0.2,0.19,0.18,0.21,0.18,0.17,0.18,0.16,0.13,0.15,0.15,0.13,0.12,0.13,0.12,0.12,0.1,0.11,0.08,0.1,0.1,0.1,0.08,0.1,0.09,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/29/2021,8.83,8.93,7.06,6.58,4.4,3.8,3.94,3.66,3.67,3.16,2.87,2.04,3.13,2.06,2.4,1.54,0.47,1.76,1.62,1.47,1.55,1.34,1.39,1.06,1.29,0.25,0.94,0.84,0.8,0.94,0.88,0.78,0.84,0.77,0.7,0.58,0.57,0.63,0.62,0.65,0.66,0.55,0.42,0.45,0.43,0.34,0.4,0.29,0.26,0.49,0.06,0.25,0.25,0.28,0.22,0.2,0.2,0.18,0.22,0.2,0.2,0.19,0.16,0.12,0.16,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.12,0.08,0.11,0.11,0.1,0.08,0.11,0.1,0.07,0.09,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94999999999996
07/30/2021,7.82,8.99,6.93,6.94,4.25,3.58,4.03,3.71,3.69,3.31,3.01,2.25,3.17,1.91,2.2,1.63,0.57,1.82,1.67,1.52,1.52,1.39,1.39,1.02,1.31,0.34,0.96,0.86,0.67,0.97,0.92,0.74,0.85,0.74,0.67,0.63,0.59,0.67,0.63,0.73,0.67,0.54,0.41,0.46,0.47,0.36,0.41,0.3,0.23,0.5,0.08,0.28,0.27,0.28,0.23,0.21,0.21,0.19,0.23,0.21,0.2,0.19,0.17,0.12,0.16,0.15,0.15,0.13,0.14,0.13,0.13,0.11,0.13,0.09,0.12,0.11,0.11,0.09,0.11,0.1,0.08,0.09,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/02/2021,8.4,9.0,6.84,7.02,4.48,3.86,3.74,3.76,3.82,3.39,2.86,2.19,3.29,2.01,2.2,1.69,0.53,1.75,1.65,1.47,1.55,1.3,1.28,0.92,1.29,0.33,0.98,0.85,0.8,0.91,0.88,0.76,0.86,0.65,0.68,0.61,0.63,0.57,0.6,0.68,0.59,0.54,0.42,0.41,0.41,0.36,0.41,0.3,0.26,0.49,0.08,0.27,0.23,0.27,0.2,0.2,0.2,0.16,0.21,0.22,0.18,0.17,0.15,0.11,0.16,0.14,0.13,0.12,0.13,0.12,0.12,0.1,0.12,0.09,0.11,0.11,0.1,0.08,0.11,0.09,0.07,0.08,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/03/2021,8.4,9.0,6.84,7.02,4.48,3.86,3.74,3.76,3.82,3.39,2.86,2.19,3.29,2.01,2.2,1.69,0.53,1.75,1.65,1.47,1.55,1.3,1.28,0.92,1.29,0.33,0.98,0.85,0.8,0.91,0.88,0.76,0.86,0.65,0.68,0.61,0.63,0.57,0.6,0.68,0.59,0.54,0.42,0.41,0.41,0.36,0.41,0.3,0.26,0.49,0.08,0.27,0.23,0.27,0.2,0.2,0.2,0.16,0.21,0.22,0.18,0.17,0.15,0.11,0.16,0.14,0.13,0.12,0.13,0.12,0.12,0.1,0.12,0.09,0.11,0.11,0.1,0.08,0.11,0.09,0.07,0.08,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,7.94,8.66,7.2,6.95,4.48,3.72,3.75,3.68,3.97,3.46,2.92,2.05,3.54,2.21,2.35,1.65,0.52,1.74,1.7,1.47,1.52,1.22,1.33,0.88,1.24,0.34,0.99,0.87,0.79,0.92,0.9,0.73,0.84,0.62,0.72,0.59,0.62,0.57,0.61,0.7,0.63,0.53,0.43,0.44,0.42,0.33,0.39,0.3,0.26,0.54,0.08,0.27,0.23,0.29,0.2,0.2,0.2,0.16,0.21,0.22,0.18,0.17,0.16,0.12,0.15,0.13,0.13,0.13,0.14,0.12,0.12,0.1,0.13,0.09,0.11,0.11,0.1,0.08,0.11,0.09,0.07,0.08,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
08/05/2021,7.84,8.65,7.27,6.9,4.4,3.57,3.67,3.62,4.22,3.51,2.89,2.02,3.52,2.19,2.47,1.59,0.51,1.72,1.84,1.47,1.54,1.19,1.35,0.87,1.24,0.32,1.01,0.89,0.74,0.93,0.9,0.75,0.78,0.64,0.67,0.6,0.61,0.58,0.62,0.7,0.64,0.54,0.43,0.44,0.43,0.32,0.41,0.3,0.37,0.55,0.08,0.26,0.24,0.27,0.2,0.21,0.2,0.16,0.23,0.21,0.19,0.18,0.16,0.11,0.15,0.13,0.13,0.13,0.15,0.12,0.12,0.1,0.13,0.08,0.11,0.11,0.1,0.08,0.1,0.09,0.07,0.09,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/06/2021,7.73,8.77,7.12,6.82,4.31,3.85,3.66,3.74,4.25,3.54,2.95,1.93,3.26,2.13,2.45,1.58,0.53,1.65,1.78,1.52,1.62,1.27,1.43,0.86,1.19,0.33,1.03,0.91,0.69,0.92,0.9,0.78,0.79,0.63,0.67,0.59,0.61,0.58,0.67,0.71,0.67,0.52,0.42,0.42,0.42,0.32,0.42,0.3,0.38,0.52,0.09,0.25,0.25,0.27,0.2,0.21,0.2,0.16,0.23,0.22,0.19,0.19,0.17,0.11,0.16,0.13,0.14,0.13,0.16,0.12,0.12,0.1,0.13,0.09,0.11,0.11,0.11,0.08,0.1,0.09,0.07,0.09,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/10/2021,7.64,8.64,7.2,6.8,4.25,3.86,3.63,3.77,4.4,3.66,3.01,1.92,3.42,2.03,2.43,1.6,0.5,1.57,1.89,1.52,1.71,1.26,1.39,0.82,1.12,0.33,1.01,0.99,0.7,0.91,0.91,0.75,0.73,0.58,0.76,0.57,0.61,0.58,0.65,0.69,0.67,0.51,0.4,0.44,0.42,0.34,0.43,0.28,0.33,0.55,0.08,0.24,0.25,0.28,0.21,0.21,0.19,0.15,0.23,0.0,0.19,0.18,0.16,0.1,0.16,0.13,0.14,0.13,0.16,0.12,0.11,0.1,0.13,0.08,0.11,0.11,0.1,0.08,0.11,0.09,0.07,0.08,0.07,0.02,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95999999999998
08/11/2021,7.81,8.77,7.0,6.76,4.24,3.74,3.68,3.68,4.52,3.6,3.03,1.94,3.4,1.99,2.37,1.63,0.5,1.6,1.92,1.52,1.65,1.26,1.4,0.82,1.14,0.33,1.03,0.98,0.72,0.92,0.9,0.76,0.73,0.6,0.77,0.56,0.6,0.59,0.66,0.71,0.66,0.52,0.4,0.45,0.43,0.33,0.43,0.28,0.31,0.54,0.08,0.24,0.26,0.28,0.2,0.2,0.19,0.15,0.23,0.0,0.19,0.18,0.16,0.1,0.17,0.13,0.14,0.13,0.17,0.12,0.11,0.1,0.13,0.08,0.11,0.11,0.11,0.08,0.11,0.09,0.07,0.08,0.07,0.02,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
08/13/2021,8.54,8.55,6.91,6.82,4.34,3.86,3.57,3.62,4.34,3.54,2.94,1.89,3.13,1.95,2.38,1.58,0.51,1.7,1.8,1.49,1.56,1.3,1.43,0.91,1.19,0.34,1.02,1.0,0.73,0.91,0.87,0.8,0.72,0.65,0.78,0.55,0.63,0.58,0.67,0.68,0.67,0.51,0.42,0.45,0.43,0.34,0.41,0.29,0.36,0.49,0.08,0.25,0.25,0.29,0.21,0.2,0.18,0.16,0.22,0.0,0.21,0.18,0.17,0.11,0.17,0.13,0.14,0.13,0.16,0.12,0.12,0.1,0.12,0.08,0.11,0.1,0.11,0.08,0.1,0.09,0.07,0.08,0.07,0.03,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
08/16/2021,8.55,8.46,6.71,6.78,4.19,3.81,3.61,3.57,4.5,3.75,2.88,1.86,3.27,2.22,2.33,1.55,0.47,1.68,1.95,1.44,1.51,1.25,1.46,0.93,1.21,0.31,0.99,0.99,0.71,0.98,0.93,0.81,0.74,0.67,0.68,0.53,0.6,0.58,0.66,0.64,0.65,0.52,0.43,0.5,0.42,0.35,0.39,0.29,0.35,0.52,0.08,0.24,0.26,0.28,0.22,0.22,0.19,0.16,0.22,0.0,0.22,0.18,0.14,0.11,0.17,0.13,0.14,0.14,0.17,0.12,0.12,0.1,0.13,0.08,0.11,0.11,0.11,0.08,0.1,0.1,0.07,0.08,0.07,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/17/2021,8.55,8.46,6.71,6.78,4.19,3.81,3.61,3.57,4.5,3.75,2.88,1.86,3.27,2.22,2.33,1.55,0.47,1.68,1.95,1.44,1.51,1.25,1.46,0.93,1.21,0.31,0.99,0.99,0.71,0.98,0.93,0.81,0.74,0.67,0.68,0.53,0.6,0.58,0.66,0.64,0.65,0.52,0.43,0.5,0.42,0.35,0.39,0.29,0.35,0.52,0.08,0.24,0.26,0.28,0.22,0.22,0.19,0.16,0.22,0.0,0.22,0.18,0.14,0.11,0.17,0.13,0.14,0.14,0.17,0.12,0.12,0.1,0.13,0.08,0.11,0.11,0.11,0.08,0.1,0.1,0.07,0.08,0.07,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/18/2021,8.53,8.35,6.57,6.8,4.1,3.9,3.68,3.58,4.49,3.74,2.99,1.96,3.25,2.14,2.31,1.6,0.47,1.71,1.92,1.43,1.5,1.29,1.45,0.94,1.28,0.31,1.0,1.01,0.72,0.98,0.94,0.81,0.74,0.68,0.71,0.52,0.59,0.57,0.67,0.6,0.66,0.51,0.42,0.5,0.42,0.35,0.39,0.28,0.36,0.51,0.07,0.24,0.26,0.29,0.22,0.21,0.19,0.17,0.21,0.0,0.22,0.17,0.15,0.1,0.17,0.13,0.15,0.14,0.17,0.12,0.12,0.1,0.13,0.08,0.11,0.11,0.11,0.08,0.1,0.09,0.07,0.08,0.07,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/19/2021,8.3,8.39,6.34,6.66,4.09,4.16,3.73,3.75,4.27,3.58,3.04,2.0,3.19,2.12,2.21,1.64,0.46,1.73,1.87,1.39,1.54,1.35,1.53,0.95,1.3,0.3,1.03,1.03,0.72,0.99,0.94,0.8,0.77,0.7,0.72,0.51,0.61,0.58,0.72,0.57,0.7,0.52,0.39,0.52,0.44,0.36,0.4,0.29,0.33,0.52,0.07,0.25,0.27,0.32,0.23,0.21,0.19,0.18,0.21,0.0,0.21,0.16,0.15,0.11,0.18,0.14,0.15,0.13,0.17,0.12,0.13,0.12,0.13,0.09,0.12,0.11,0.11,0.08,0.1,0.09,0.07,0.08,0.08,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
08/20/2021,8.2,8.19,6.41,6.58,4.05,4.26,3.79,3.66,4.36,3.53,3.19,1.99,3.14,2.2,2.29,1.65,0.46,1.75,1.88,1.35,1.54,1.28,1.53,0.94,1.31,0.31,1.06,1.06,0.7,1.0,0.96,0.81,0.77,0.7,0.73,0.52,0.61,0.58,0.72,0.57,0.69,0.52,0.39,0.53,0.43,0.35,0.39,0.29,0.32,0.51,0.08,0.24,0.26,0.32,0.24,0.2,0.19,0.18,0.2,0.0,0.21,0.17,0.16,0.11,0.18,0.14,0.15,0.13,0.17,0.12,0.14,0.11,0.13,0.09,0.12,0.11,0.11,0.08,0.1,0.09,0.07,0.08,0.08,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
