,GOOGL,PSA,FB,MSFT,AAPL,ACN,AMZN,AMGN,JNJ,INTU,PG,CSCO,MA,ADBE,TGT,WM,V,KO,HSY,MMM,NVDA,VZ,ZTS,ABBV,TTC,ORCL,COST,BMY,RSG,MRK,EMR,A,HD,ABT,WMT,TXN,JKHY,JBHT,JPM,IBM,RF,JAZZ,SNA,NOW,VEEV,PEP,FRC,UNP,BAC,EA,LLY,TYL,TEAM,MG.TO,ISRG,AVGO,EPAM,MS,CTSH,CBOE,Deckers Outdoor Corp,SYK,SPGI,ZBRA,VMW,ITW,PNC,MSCI,ROL,EWBC,RMD,T,EL,PPG,PANW,CRM,FTNT,VRSK,ALGN,MMC,AOS,CHE,GRMN,NDSN,CNHI.MI,TW,TRV,AME,CVX,IEX,LOGN.SW,GNTX,PYPL,ELS,SNPS,GIS,CL,Ssc Government Mm Gvmxx,DECK,Equity Lifestyle Properties Inc,SHW,PH,MCO,SBUX,MPWR,WDAY,PPG Industries Inc,TEL,ADI,ITT,ETN,n/a,MDT,FDS,DOV,APH,BRK.B,BRO,BKNG,HLT,VLO,MPC,APA,EOG,COP,FANG,LOW,NKE,LIN,F,ODFL,RTX,KD WI,GD,QCOM,ADM,TROW,CMCSA,SPG,MCD,PLD,HSIC,CE,CF,KEYS,NSC,STX,DVN,GS,SUM
07/23/2021,3.0,2.76,2.73,2.74,3.32,3.52,2.24,2.37,2.35,2.31,2.11,2.19,0.78,2.83,1.52,1.73,1.66,1.7,1.54,1.46,0.92,0.79,0.89,1.31,1.31,0.5,1.15,1.08,0.92,0.0,0.97,0.97,0.95,1.18,1.52,0.88,0.91,0.57,0.82,0.84,0.78,0.54,0.8,0.71,1.56,0.79,0.49,1.0,0.0,0.73,0.0,0.74,0.0,0.47,0.69,0.69,0.52,0.0,0.65,0.67,0.0,0.63,3.1,0.48,0.0,0.63,0.58,0.64,0.65,0.0,0.59,1.8,0.56,0.0,0.58,0.53,0.0,0.55,0.5,0.9,0.49,0.49,0.51,0.49,0.0,0.0,0.0,0.48,0.0,0.47,0.0,0.42,0.44,0.0,0.87,0.32,0.3,0.73,0.49,0.0,1.04,0.96,1.01,0.97,0.58,0.49,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/26/2021,3.04,2.72,2.79,2.77,3.36,3.5,2.25,2.3,2.35,2.37,2.03,2.2,0.8,2.87,1.53,1.71,1.65,1.69,1.49,1.44,0.94,0.78,0.88,1.31,1.28,0.51,1.14,1.09,0.91,0.0,0.99,0.97,0.95,1.16,1.49,0.86,0.92,0.57,0.82,0.84,0.8,0.54,0.81,0.72,1.58,0.77,0.49,1.01,0.0,0.72,0.0,0.75,0.0,0.48,0.71,0.69,0.52,0.0,0.66,0.66,0.0,0.64,3.11,0.5,0.0,0.63,0.58,0.65,0.66,0.0,0.59,1.78,0.57,0.0,0.58,0.54,0.0,0.55,0.51,0.92,0.48,0.48,0.51,0.49,0.0,0.0,0.0,0.48,0.0,0.47,0.0,0.42,0.44,0.0,0.87,0.3,0.29,0.57,0.51,0.0,1.02,0.99,1.01,1.02,0.6,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/27/2021,3.11,2.72,2.9,2.77,3.36,3.51,2.23,2.3,2.35,2.37,2.03,2.2,0.81,2.84,1.53,1.7,1.66,1.68,1.49,1.43,0.93,0.77,0.89,1.3,1.3,0.49,1.14,1.08,0.91,0.0,0.99,0.97,0.96,1.17,1.48,0.86,0.91,0.58,0.81,0.83,0.8,0.53,0.81,0.73,1.58,0.77,0.49,1.0,0.0,0.73,0.0,0.74,0.0,0.45,0.7,0.69,0.52,0.0,0.66,0.67,0.0,0.64,3.07,0.5,0.0,0.62,0.58,0.64,0.65,0.0,0.59,1.77,0.58,0.0,0.58,0.54,0.0,0.54,0.52,0.92,0.48,0.48,0.51,0.49,0.0,0.0,0.0,0.48,0.0,0.47,0.0,0.43,0.44,0.0,0.87,0.3,0.29,0.56,0.51,0.0,1.02,0.99,1.0,1.03,0.61,0.51,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/28/2021,3.11,2.72,2.9,2.77,3.36,3.51,2.23,2.3,2.35,2.37,2.03,2.2,0.81,2.84,1.53,1.7,1.66,1.68,1.49,1.43,0.93,0.77,0.89,1.3,1.3,0.49,1.14,1.08,0.91,0.0,0.99,0.97,0.96,1.17,1.48,0.86,0.91,0.58,0.81,0.83,0.8,0.53,0.81,0.73,1.58,0.77,0.49,1.0,0.0,0.73,0.0,0.74,0.0,0.45,0.7,0.69,0.52,0.0,0.66,0.67,0.0,0.64,3.07,0.5,0.0,0.62,0.58,0.64,0.65,0.0,0.59,1.77,0.58,0.0,0.58,0.54,0.0,0.54,0.52,0.92,0.48,0.48,0.51,0.49,0.0,0.0,0.0,0.48,0.0,0.47,0.0,0.43,0.44,0.0,0.87,0.3,0.29,0.56,0.51,0.0,1.02,0.99,1.0,1.03,0.61,0.51,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/29/2021,3.13,2.73,2.93,2.77,3.37,3.52,2.26,2.28,2.35,2.38,2.04,2.22,0.81,2.83,1.53,1.71,1.67,1.69,1.49,1.44,0.92,0.77,0.87,1.3,1.29,0.49,1.14,1.07,0.91,0.0,0.99,0.96,0.95,1.15,1.49,0.87,0.91,0.57,0.82,0.84,0.81,0.53,0.79,0.73,1.56,0.77,0.49,1.0,0.0,0.73,0.0,0.74,0.0,0.46,0.7,0.69,0.52,0.0,0.66,0.66,0.0,0.64,3.03,0.5,0.0,0.62,0.58,0.64,0.65,0.0,0.59,1.77,0.58,0.0,0.57,0.53,0.0,0.54,0.51,0.92,0.48,0.48,0.51,0.49,0.0,0.0,0.0,0.48,0.0,0.46,0.0,0.42,0.44,0.0,0.87,0.3,0.29,0.57,0.52,0.0,1.02,1.0,1.0,1.03,0.61,0.5,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/30/2021,3.1,2.74,2.9,2.76,3.33,3.54,2.23,2.28,2.37,2.36,2.06,2.22,0.81,2.82,1.53,1.72,1.69,1.7,1.5,1.44,0.92,0.77,0.88,1.31,1.29,0.49,1.15,1.07,0.92,0.0,0.99,0.96,0.95,1.16,1.49,0.86,0.92,0.58,0.82,0.84,0.82,0.53,0.8,0.73,1.56,0.78,0.49,0.99,0.0,0.72,0.0,0.74,0.0,0.45,0.7,0.69,0.52,0.0,0.66,0.65,0.0,0.66,3.04,0.5,0.0,0.62,0.59,0.65,0.64,0.0,0.6,1.78,0.57,0.0,0.57,0.53,0.0,0.54,0.51,0.92,0.49,0.49,0.51,0.49,0.0,0.0,0.0,0.48,0.0,0.47,0.0,0.44,0.43,0.0,0.86,0.31,0.29,0.57,0.5,0.0,1.03,1.0,1.0,1.04,0.6,0.49,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/02/2021,3.2,2.74,2.95,2.76,3.3,3.51,2.22,2.28,2.37,2.37,2.03,2.2,0.8,2.84,1.52,1.71,1.66,1.69,1.48,1.43,0.93,0.77,0.89,1.32,1.29,0.49,1.14,1.1,0.91,0.0,1.0,0.97,0.94,1.17,1.49,0.87,0.9,0.57,0.82,0.84,0.82,0.54,0.8,0.72,1.59,0.77,0.5,0.99,0.0,0.73,0.0,0.74,0.0,0.46,0.7,0.69,0.52,0.0,0.67,0.66,0.0,0.66,3.04,0.5,0.0,0.62,0.59,0.66,0.64,0.0,0.6,1.78,0.58,0.0,0.58,0.53,0.0,0.54,0.5,0.91,0.48,0.46,0.52,0.49,0.0,0.0,0.0,0.48,0.0,0.45,0.0,0.44,0.44,0.0,0.87,0.3,0.29,0.52,0.51,0.0,1.03,0.99,1.0,1.01,0.64,0.49,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,3.2,2.74,2.95,2.76,3.3,3.51,2.22,2.28,2.37,2.37,2.03,2.2,0.8,2.84,1.52,1.71,1.66,1.69,1.48,1.43,0.93,0.77,0.89,1.32,1.29,0.49,1.14,1.1,0.91,0.0,1.0,0.97,0.94,1.17,1.49,0.87,0.9,0.57,0.82,0.84,0.82,0.54,0.8,0.72,1.59,0.77,0.5,0.99,0.0,0.73,0.0,0.74,0.0,0.46,0.7,0.69,0.52,0.0,0.67,0.66,0.0,0.66,3.04,0.5,0.0,0.62,0.59,0.66,0.64,0.0,0.6,1.78,0.58,0.0,0.58,0.53,0.0,0.54,0.5,0.91,0.48,0.46,0.52,0.49,0.0,0.0,0.0,0.48,0.0,0.45,0.0,0.44,0.44,0.0,0.87,0.3,0.29,0.52,0.51,0.0,1.03,0.99,1.0,1.01,0.64,0.49,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,3.2,2.74,2.95,2.76,3.3,3.51,2.22,2.28,2.37,2.37,2.03,2.2,0.8,2.84,1.52,1.71,1.66,1.69,1.48,1.43,0.93,0.77,0.89,1.32,1.29,0.49,1.14,1.1,0.91,0.0,1.0,0.97,0.94,1.17,1.49,0.87,0.9,0.57,0.82,0.84,0.82,0.54,0.8,0.72,1.59,0.77,0.5,0.99,0.0,0.73,0.0,0.74,0.0,0.46,0.7,0.69,0.52,0.0,0.67,0.66,0.0,0.66,3.04,0.5,0.0,0.62,0.59,0.66,0.64,0.0,0.6,1.78,0.58,0.0,0.58,0.53,0.0,0.54,0.5,0.91,0.48,0.46,0.52,0.49,0.0,0.0,0.0,0.48,0.0,0.45,0.0,0.44,0.44,0.0,0.87,0.3,0.29,0.52,0.51,0.0,1.03,0.99,1.0,1.01,0.64,0.49,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,3.2,2.74,2.95,2.76,3.3,3.51,2.22,2.28,2.37,2.37,2.03,2.2,0.8,2.84,1.52,1.71,1.66,1.69,1.48,1.43,0.93,0.77,0.89,1.32,1.29,0.49,1.14,1.1,0.91,0.0,1.0,0.97,0.94,1.17,1.49,0.87,0.9,0.57,0.82,0.84,0.82,0.54,0.8,0.72,1.59,0.77,0.5,0.99,0.0,0.73,0.0,0.74,0.0,0.46,0.7,0.69,0.52,0.0,0.67,0.66,0.0,0.66,3.04,0.5,0.0,0.62,0.59,0.66,0.64,0.0,0.6,1.78,0.58,0.0,0.58,0.53,0.0,0.54,0.5,0.91,0.48,0.46,0.52,0.49,0.0,0.0,0.0,0.48,0.0,0.45,0.0,0.44,0.44,0.0,0.87,0.3,0.29,0.52,0.51,0.0,1.03,0.99,1.0,1.01,0.64,0.49,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
