,6098.HK,ZTO,300750 C2,1919 HK,586.HK,267.HK,2338 HK,656.HK,3898.HK,601919 C1,3319.HK,2128.HK,002352 C2,144.HK,1882.HK,JOBS,600031 C1,257.HK,390 HK,2869.HK,2588.HK,601668 C1,300124 C2,300014 C2,2357.HK,152.HK,3311.HK,300274 C2,1199.HK,177 HK,1157 HK,753 HK,576.HK,3808.HK,600406 C1,694.HK,552.HK,2208 HK,000338 C2,601816 C1,1055 HK,601100 C1,601390 C1,600893 C1,601989 C1,1995.HK,600760 C1,002050 C2,603899 C1,601877 C1,CASH,000768 C2,000786 C2,000157 C2,002791 C2,601669 C1,600029 C1,002074 C2,601021 C1,601618 C1,601111 C1,000425 C2,600089 C1,600885 C1,600018 C1,300207 C2,600009 C1,600115 C1,601117 C1,002202 C2,002120 C2,002690 C2,002013 C2,603638 C1,601727 C1,600038 C1,002372 C2,600233 C1,600516 C1,600875 C1,600066 C1,600522 C1,631.HK,603338 C1,600170 C1,600372 C1,601636 C1,300070 C2,002081 C2,000738 C2,601598 C1,002212 C2,688006 C1,300751 C2,600153 C1,600879 C1,603613 C1,603218 C1,600862 C1,002430 C2,002266,600150,601615,603185,600039 C1,603185 C1,600039,601615 C1,600862,DIDI,1995 HK,600879,688006,603613,002266 C2,600150 C1,n/a,1157.HK,601766 C1,000009 C2,3898 HK,SUM
07/23/2021,8.53,7.83,7.35,3.76,4.16,3.89,2.82,2.4,2.66,1.68,1.68,1.56,1.54,1.48,1.47,1.49,1.39,1.33,1.25,1.09,1.13,1.24,1.26,1.43,1.12,1.0,0.94,1.18,0.94,0.93,0.83,0.91,0.89,0.85,0.96,0.8,0.77,0.78,0.78,0.75,0.72,0.87,0.69,0.83,0.6,0.0,0.69,0.52,0.51,0.47,0.04,0.5,0.43,0.38,0.42,0.4,0.36,0.49,0.35,0.39,0.33,0.32,0.39,0.33,0.32,0.34,0.3,0.31,0.29,0.3,0.28,0.23,0.24,0.24,0.21,0.2,0.2,0.2,0.22,0.2,0.18,0.2,0.19,0.19,0.15,0.16,0.17,0.14,0.14,0.16,0.15,0.15,0.0,0.15,0.13,0.13,0.12,0.13,0.13,0.14,0.12,0.1,0.12,0.0,0.0,0.19,0.12,0.0,0.0,1.75,0.58,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/26/2021,8.31,7.63,7.62,3.72,4.12,3.84,2.93,2.47,2.74,1.64,1.75,1.56,1.51,1.46,1.51,1.47,1.45,1.32,1.26,1.16,1.12,1.21,1.3,1.5,1.14,1.0,0.93,1.31,0.93,0.93,0.85,0.87,0.88,0.87,0.95,0.8,0.78,0.79,0.8,0.73,0.7,0.88,0.69,0.85,0.59,0.0,0.72,0.52,0.47,0.48,0.04,0.49,0.44,0.38,0.42,0.39,0.35,0.49,0.33,0.41,0.32,0.32,0.39,0.32,0.32,0.34,0.29,0.3,0.3,0.3,0.27,0.23,0.24,0.24,0.21,0.2,0.2,0.19,0.22,0.2,0.18,0.18,0.19,0.21,0.15,0.16,0.17,0.14,0.13,0.16,0.14,0.15,0.14,0.16,0.13,0.12,0.0,0.13,0.12,0.14,0.12,0.1,0.12,0.0,0.0,0.21,0.12,0.0,0.0,1.56,0.58,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,8.31,7.63,7.62,3.72,4.12,3.84,2.93,2.47,2.74,1.64,1.75,1.56,1.51,1.46,1.51,1.47,1.45,1.32,1.26,1.16,1.12,1.21,1.3,1.5,1.14,1.0,0.93,1.31,0.93,0.93,0.85,0.87,0.88,0.87,0.95,0.8,0.78,0.79,0.8,0.73,0.7,0.88,0.69,0.85,0.59,0.0,0.72,0.52,0.47,0.48,0.04,0.49,0.44,0.38,0.42,0.39,0.35,0.49,0.33,0.41,0.32,0.32,0.39,0.32,0.32,0.34,0.29,0.3,0.3,0.3,0.27,0.23,0.24,0.24,0.21,0.2,0.2,0.19,0.22,0.2,0.18,0.18,0.19,0.21,0.15,0.16,0.17,0.14,0.13,0.16,0.14,0.15,0.14,0.16,0.13,0.12,0.0,0.13,0.12,0.14,0.12,0.1,0.12,0.0,0.0,0.21,0.12,0.0,0.0,1.56,0.58,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,7.23,7.62,8.08,3.7,4.36,4.13,3.0,2.5,2.72,1.58,1.7,1.54,1.56,1.51,1.61,1.53,1.49,1.43,1.39,1.11,1.16,1.29,1.34,1.5,1.28,1.09,0.96,1.37,0.99,1.02,0.87,0.88,0.91,0.85,1.13,0.86,0.76,0.88,0.86,0.79,0.71,0.9,0.78,0.94,0.0,0.0,0.0,0.53,0.47,0.58,0.22,0.0,0.45,0.38,0.44,0.49,0.38,0.51,0.32,0.51,0.32,0.32,0.4,0.32,0.32,0.35,0.28,0.32,0.34,0.34,0.29,0.22,0.26,0.23,0.22,0.21,0.22,0.19,0.23,0.21,0.18,0.15,0.21,0.21,0.16,0.0,0.17,0.15,0.13,0.17,0.14,0.15,0.15,0.17,0.13,0.0,0.11,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.21,0.0,0.15,0.0,1.33,0.52,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/30/2021,6.57,7.86,7.78,3.57,4.3,4.46,3.14,2.53,2.72,1.51,1.5,1.52,1.56,1.55,1.69,1.53,1.48,1.46,1.43,1.12,1.17,1.33,1.38,1.37,1.3,1.13,0.97,1.28,1.0,1.03,0.86,0.91,0.94,0.85,1.12,0.88,0.78,0.99,0.88,0.8,0.73,0.87,0.79,0.96,0.0,0.0,0.0,0.56,0.47,0.59,0.23,0.0,0.42,0.38,0.44,0.51,0.4,0.49,0.34,0.48,0.34,0.33,0.4,0.34,0.33,0.34,0.28,0.34,0.33,0.36,0.29,0.23,0.27,0.24,0.22,0.22,0.22,0.2,0.24,0.22,0.19,0.16,0.22,0.2,0.17,0.0,0.16,0.15,0.14,0.18,0.14,0.16,0.15,0.17,0.14,0.0,0.11,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.21,0.0,0.16,0.0,1.4,0.45,0.0,0.0,0.0,0.13,0.11,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,7.76,7.86,8.2,3.56,4.12,4.32,2.95,2.35,2.77,1.45,1.54,1.57,1.61,1.49,1.63,1.44,1.46,1.4,1.29,1.17,1.05,1.24,1.45,1.24,1.32,1.09,0.94,1.51,0.95,0.96,0.86,0.88,0.9,0.83,1.1,0.82,0.76,0.97,0.83,0.75,0.71,0.9,0.72,0.96,0.0,0.0,0.0,0.57,0.58,0.66,0.41,0.0,0.36,0.36,0.23,0.47,0.37,0.5,0.38,0.46,0.32,0.32,0.41,0.47,0.32,0.36,0.31,0.31,0.32,0.37,0.26,0.12,0.27,0.28,0.21,0.11,0.2,0.18,0.24,0.21,0.2,0.14,0.22,0.11,0.17,0.0,0.16,0.14,0.13,0.18,0.13,0.16,0.17,0.1,0.13,0.0,0.06,0.24,0.0,0.07,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.18,0.0,1.61,0.52,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.0,99.92999999999998
08/03/2021,7.76,7.86,8.2,3.56,4.12,4.32,2.95,2.35,2.77,1.45,1.54,1.57,1.61,1.49,1.63,1.44,1.46,1.4,1.29,1.17,1.05,1.24,1.45,1.24,1.32,1.09,0.94,1.51,0.95,0.96,0.86,0.88,0.9,0.83,1.1,0.82,0.76,0.97,0.83,0.75,0.71,0.9,0.72,0.96,0.0,0.0,0.0,0.57,0.58,0.66,0.41,0.0,0.36,0.36,0.23,0.47,0.37,0.5,0.38,0.46,0.32,0.32,0.41,0.47,0.32,0.36,0.31,0.31,0.32,0.37,0.26,0.12,0.27,0.28,0.21,0.11,0.2,0.18,0.24,0.21,0.2,0.14,0.22,0.11,0.17,0.0,0.16,0.14,0.13,0.18,0.13,0.16,0.17,0.1,0.13,0.0,0.06,0.24,0.0,0.07,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.18,0.0,1.61,0.52,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.0,99.92999999999998
08/04/2021,7.62,7.73,8.12,3.47,4.08,4.32,2.97,2.32,2.96,1.41,1.49,1.58,1.62,1.46,1.64,1.44,1.42,1.42,1.31,1.14,1.02,1.25,1.42,1.26,1.36,1.08,0.93,1.62,0.94,0.95,0.86,0.86,0.89,0.86,1.2,0.8,0.76,1.05,0.82,0.74,0.68,0.9,0.76,0.96,0.0,0.0,0.0,0.58,0.56,0.73,0.39,0.0,0.35,0.37,0.22,0.52,0.36,0.51,0.37,0.47,0.31,0.32,0.42,0.47,0.32,0.35,0.31,0.3,0.32,0.39,0.26,0.12,0.27,0.28,0.23,0.11,0.2,0.18,0.25,0.22,0.19,0.15,0.22,0.1,0.17,0.0,0.18,0.14,0.13,0.18,0.14,0.16,0.18,0.11,0.13,0.0,0.06,0.25,0.0,0.08,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.19,0.0,1.69,0.52,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,7.22,7.59,7.98,3.72,4.19,4.21,3.25,2.29,2.59,1.52,1.5,1.61,1.56,1.51,1.61,1.4,1.5,1.42,1.3,1.12,1.07,1.24,1.44,1.43,1.37,1.06,0.96,1.57,0.96,0.93,0.95,0.84,0.89,0.95,1.2,0.76,0.79,1.06,0.88,0.72,0.67,0.97,0.75,0.92,0.0,0.0,0.0,0.55,0.47,0.68,0.03,0.0,0.39,0.4,0.5,0.56,0.34,0.49,0.31,0.46,0.3,0.34,0.39,0.34,0.33,0.36,0.26,0.29,0.31,0.35,0.28,0.23,0.28,0.22,0.24,0.22,0.2,0.2,0.24,0.22,0.18,0.15,0.24,0.21,0.17,0.0,0.2,0.14,0.13,0.18,0.13,0.16,0.17,0.29,0.13,0.0,0.12,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.19,0.0,0.16,0.0,1.67,0.47,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/06/2021,7.38,7.57,7.65,3.83,4.51,4.12,3.23,2.32,2.56,1.62,1.55,1.63,1.56,1.5,1.6,1.38,1.58,1.44,1.31,1.14,1.1,1.26,1.38,1.37,1.35,1.07,0.97,1.4,0.96,0.92,0.96,0.82,0.9,1.0,1.17,0.75,0.79,1.04,0.89,0.7,0.66,1.0,0.76,0.89,0.0,0.0,0.0,0.54,0.48,0.65,0.02,0.0,0.43,0.4,0.5,0.6,0.34,0.46,0.31,0.48,0.3,0.34,0.38,0.34,0.32,0.34,0.26,0.29,0.31,0.33,0.26,0.23,0.28,0.23,0.23,0.21,0.21,0.2,0.24,0.22,0.18,0.15,0.23,0.21,0.17,0.0,0.19,0.14,0.13,0.18,0.14,0.16,0.16,0.28,0.13,0.0,0.12,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.12,0.18,0.0,0.15,0.0,1.62,0.5,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.0,0.0,100.04000000000003
08/10/2021,6.95,7.64,8.0,3.71,4.41,4.17,3.17,2.25,2.59,1.58,1.45,1.55,1.53,1.48,1.63,1.36,1.64,1.46,1.27,1.1,1.11,1.25,1.46,1.45,1.5,1.06,0.95,1.5,0.95,0.91,0.93,0.8,0.88,0.98,1.15,0.74,0.79,1.04,0.91,0.69,0.64,0.98,0.74,0.97,0.0,0.0,0.0,0.57,0.47,0.74,0.0,0.0,0.42,0.41,0.51,0.56,0.34,0.55,0.31,0.45,0.29,0.35,0.43,0.34,0.32,0.39,0.25,0.29,0.33,0.34,0.26,0.24,0.29,0.24,0.23,0.23,0.21,0.2,0.24,0.22,0.17,0.15,0.23,0.21,0.16,0.0,0.18,0.14,0.13,0.2,0.13,0.16,0.16,0.34,0.13,0.0,0.12,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.15,0.0,1.49,0.49,0.0,0.0,0.0,0.14,0.13,0.02,0.0,0.0,0.0,0.0,100.02
08/11/2021,6.87,7.77,7.8,3.89,4.33,4.16,3.22,2.2,2.54,1.61,1.45,1.54,1.53,1.49,1.62,1.36,1.63,1.47,1.27,1.1,1.13,1.24,1.42,1.51,1.51,1.06,0.97,1.55,0.95,0.92,0.93,0.8,0.88,1.03,1.13,0.74,0.78,1.02,0.91,0.68,0.65,1.01,0.74,0.99,0.0,0.0,0.0,0.56,0.46,0.76,0.0,0.0,0.41,0.4,0.5,0.58,0.34,0.56,0.3,0.45,0.29,0.35,0.43,0.35,0.32,0.37,0.25,0.28,0.32,0.34,0.26,0.23,0.3,0.24,0.23,0.23,0.21,0.19,0.25,0.22,0.17,0.15,0.23,0.2,0.16,0.0,0.18,0.14,0.13,0.2,0.13,0.16,0.18,0.34,0.13,0.0,0.12,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.19,0.0,0.15,0.0,1.49,0.48,0.0,0.0,0.0,0.14,0.13,0.02,0.0,0.0,0.0,0.0,100.03000000000002
08/12/2021,6.96,7.78,7.39,3.84,4.35,4.22,3.31,2.22,2.48,1.6,1.49,1.56,1.56,1.48,1.63,1.35,1.71,1.47,1.28,1.12,1.14,1.27,1.41,1.41,1.29,1.07,1.0,1.53,0.95,0.92,1.0,0.81,0.88,1.05,1.12,0.73,0.79,1.0,0.96,0.68,0.66,1.04,0.75,0.98,0.0,0.0,0.0,0.54,0.47,0.77,0.0,0.0,0.42,0.43,0.51,0.56,0.35,0.54,0.31,0.45,0.29,0.36,0.42,0.36,0.32,0.36,0.26,0.29,0.32,0.33,0.26,0.23,0.3,0.24,0.23,0.23,0.21,0.2,0.24,0.22,0.17,0.15,0.24,0.22,0.16,0.0,0.17,0.14,0.13,0.2,0.13,0.16,0.18,0.33,0.13,0.0,0.12,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.17,0.0,0.14,0.0,1.53,0.49,0.0,0.0,0.0,0.14,0.13,0.02,0.0,0.0,0.0,0.0,99.93
08/13/2021,7.23,7.68,7.27,3.93,4.35,4.1,3.29,2.19,2.51,1.59,1.52,1.54,1.54,1.48,1.63,1.33,1.71,1.49,1.28,1.11,1.14,1.26,1.42,1.36,1.36,1.07,0.98,1.49,0.96,0.91,1.05,0.82,0.88,1.03,1.12,0.74,0.79,0.98,0.94,0.68,0.66,1.03,0.74,1.03,0.0,0.0,0.0,0.56,0.47,0.8,0.0,0.0,0.42,0.43,0.5,0.55,0.34,0.51,0.31,0.45,0.29,0.35,0.41,0.36,0.32,0.39,0.26,0.29,0.35,0.33,0.27,0.23,0.31,0.24,0.24,0.23,0.21,0.2,0.24,0.23,0.17,0.15,0.25,0.24,0.16,0.0,0.17,0.14,0.13,0.2,0.13,0.16,0.18,0.35,0.13,0.0,0.12,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.13,0.18,0.0,0.14,0.0,1.46,0.52,0.0,0.0,0.0,0.14,0.13,0.01,0.0,0.0,0.0,0.0,99.99
08/16/2021,7.33,7.57,7.16,4.3,4.24,4.15,3.21,2.18,2.36,1.75,1.56,1.53,1.51,1.49,1.64,1.32,1.65,1.62,1.29,1.16,1.2,1.27,1.24,1.39,1.28,1.07,0.98,1.45,0.98,0.91,1.02,0.83,0.88,1.01,1.15,0.74,0.8,0.96,0.91,0.68,0.68,0.92,0.74,0.96,0.0,0.0,0.0,0.58,0.46,0.78,0.0,0.0,0.42,0.41,0.52,0.55,0.35,0.51,0.31,0.46,0.3,0.35,0.42,0.36,0.32,0.45,0.25,0.29,0.34,0.33,0.26,0.22,0.3,0.25,0.26,0.22,0.21,0.19,0.25,0.24,0.19,0.18,0.25,0.25,0.16,0.0,0.18,0.14,0.13,0.2,0.13,0.16,0.18,0.33,0.13,0.0,0.12,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.13,0.21,0.0,0.15,0.0,1.4,0.54,0.0,0.0,0.0,0.15,0.13,0.01,0.0,0.0,0.0,0.0,99.99
