,EXR,PSA,AMH,MAA,INVH,CPT,AVB,UDR,EQR,ELS,ESS,SUI,HST,CUBE,LSI,AIRC,ACC,PK,RHP,NSA,APLE,PEB,SHO,RLJ,XHR,SVC,DRH,IRT,NXRT,AIV,CSR,INN,CLDT,HT,Us Dollars,United States Treasury Bills,Hersha Hospitality Trust,FHLBDN 0 09/10/13,n/a,WRE,SUM
07/30/2021,5.17,5.1,5.18,5.33,5.19,5.28,5.17,5.31,5.1,5.22,5.11,5.24,4.3,4.62,4.18,3.8,3.29,2.09,1.99,1.99,1.45,1.39,1.18,1.12,0.95,0.87,0.86,0.88,0.64,0.49,0.55,0.46,0.27,0.0,0.07,0.0,0.17,0.0,0.0,0.0,100.01
08/02/2021,5.2,5.03,5.14,5.43,5.15,5.31,5.17,5.31,5.05,5.2,5.06,5.29,4.34,4.63,4.2,3.8,3.22,2.08,1.99,1.97,1.47,1.4,1.19,1.12,0.96,0.87,0.86,0.91,0.64,0.48,0.55,0.46,0.28,0.0,0.07,0.0,0.17,0.0,0.0,0.0,100.0
08/03/2021,5.2,5.03,5.14,5.43,5.15,5.31,5.17,5.31,5.05,5.2,5.06,5.29,4.34,4.63,4.2,3.8,3.22,2.08,1.99,1.97,1.47,1.4,1.19,1.12,0.96,0.87,0.86,0.91,0.64,0.48,0.55,0.46,0.28,0.0,0.07,0.0,0.17,0.0,0.0,0.0,100.0
08/04/2021,5.2,5.03,5.14,5.43,5.15,5.31,5.17,5.31,5.05,5.2,5.06,5.29,4.34,4.63,4.2,3.8,3.22,2.08,1.99,1.97,1.47,1.4,1.19,1.12,0.96,0.87,0.86,0.91,0.64,0.48,0.55,0.46,0.28,0.0,0.07,0.0,0.17,0.0,0.0,0.0,100.0
08/05/2021,5.2,5.03,5.14,5.43,5.15,5.31,5.17,5.31,5.05,5.2,5.06,5.29,4.34,4.63,4.2,3.8,3.22,2.08,1.99,1.97,1.47,1.4,1.19,1.12,0.96,0.87,0.86,0.91,0.64,0.48,0.55,0.46,0.28,0.0,0.07,0.0,0.17,0.0,0.0,0.0,100.0
08/06/2021,5.31,5.02,5.16,5.41,5.14,5.33,5.18,5.29,5.07,5.26,5.04,5.34,4.23,4.76,4.29,3.83,3.2,1.98,1.99,1.99,1.43,1.34,1.15,1.09,0.92,0.86,0.83,0.95,0.63,0.48,0.57,0.43,0.26,0.0,0.09,0.0,0.16,0.0,0.0,0.0,100.01
08/31/2021,5.24,5.19,5.08,5.06,5.05,5.06,5.02,5.0,4.92,4.95,4.91,4.96,4.87,4.65,4.11,3.71,3.21,2.43,2.17,1.74,1.58,1.54,1.34,1.25,1.06,1.03,1.02,0.93,0.62,0.5,0.51,0.49,0.31,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.7
09/01/2021,5.24,5.19,5.08,5.06,5.05,5.06,5.02,5.0,4.92,4.95,4.91,4.96,4.87,4.65,4.11,3.71,3.21,2.43,2.17,1.74,1.58,1.54,1.34,1.25,1.06,1.03,1.02,0.93,0.62,0.5,0.51,0.49,0.31,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.7
09/07/2021,5.58,5.14,5.01,5.31,5.12,5.28,5.05,5.1,4.93,5.3,4.95,5.45,4.15,4.96,4.46,3.68,3.22,1.99,2.04,2.05,1.41,1.29,1.15,1.07,0.88,0.84,0.84,0.96,0.68,0.5,0.61,0.44,0.26,0.16,0.0,0.0,0.0,0.13,0.02,0.0,100.01
09/08/2021,5.58,5.14,5.01,5.31,5.12,5.28,5.05,5.1,4.93,5.3,4.95,5.45,4.15,4.96,4.46,3.68,3.22,1.99,2.04,2.05,1.41,1.29,1.15,1.07,0.88,0.84,0.84,0.96,0.68,0.5,0.61,0.44,0.26,0.16,0.0,0.0,0.0,0.13,0.02,0.0,100.01
09/09/2021,5.58,5.14,5.01,5.31,5.12,5.28,5.05,5.1,4.93,5.3,4.95,5.45,4.15,4.96,4.46,3.68,3.22,1.99,2.04,2.05,1.41,1.29,1.15,1.07,0.88,0.84,0.84,0.96,0.68,0.5,0.61,0.44,0.26,0.16,0.0,0.0,0.0,0.13,0.02,0.0,100.01
09/10/2021,5.59,5.16,4.95,5.3,5.12,5.26,5.01,5.03,4.88,5.25,4.91,5.47,4.25,4.99,4.48,3.67,3.21,2.03,2.04,2.07,1.43,1.31,1.19,1.08,0.9,0.85,0.85,0.94,0.69,0.49,0.61,0.44,0.27,0.16,0.0,0.0,0.0,0.13,0.02,0.0,100.02999999999996
09/13/2021,5.54,5.17,4.97,5.33,5.15,5.31,5.03,5.06,4.87,5.25,4.97,5.46,4.24,4.95,4.46,3.67,3.23,2.05,1.97,2.07,1.41,1.3,1.19,1.07,0.88,0.83,0.83,0.95,0.68,0.49,0.62,0.44,0.26,0.15,0.0,0.0,0.0,0.12,0.03,0.0,100.0
09/14/2021,5.6,5.22,4.97,5.33,5.11,5.36,5.03,5.04,4.87,5.25,4.93,5.41,4.26,5.02,4.51,3.7,3.21,2.03,1.96,2.1,1.41,1.29,1.19,1.06,0.88,0.82,0.85,0.94,0.67,0.48,0.61,0.44,0.26,0.15,0.0,0.0,0.0,0.0,0.03,0.0,99.99
09/15/2021,5.6,5.22,4.97,5.33,5.11,5.36,5.03,5.04,4.87,5.25,4.93,5.41,4.26,5.02,4.51,3.7,3.21,2.03,1.96,2.1,1.41,1.29,1.19,1.06,0.88,0.82,0.85,0.94,0.67,0.48,0.61,0.44,0.26,0.15,0.0,0.0,0.0,0.0,0.03,0.0,99.99
09/16/2021,5.52,5.13,4.93,5.29,5.08,5.31,4.98,5.04,4.85,5.15,4.91,5.34,4.4,4.95,4.47,3.69,3.22,2.1,2.06,2.09,1.46,1.34,1.23,1.11,0.91,0.85,0.88,0.93,0.65,0.48,0.61,0.45,0.27,0.16,0.0,0.0,0.0,0.0,0.15,0.0,99.99
09/17/2021,5.46,5.09,4.92,5.35,5.11,5.36,5.01,5.07,4.86,5.18,4.93,5.37,4.4,4.93,4.36,3.66,3.2,2.09,2.11,2.06,1.46,1.34,1.22,1.1,0.92,0.83,0.87,0.96,0.66,0.48,0.6,0.45,0.27,0.16,0.0,0.0,0.0,0.0,0.15,0.0,99.99
09/20/2021,5.47,5.13,4.92,5.34,5.09,5.36,5.03,5.09,4.87,5.14,4.98,5.3,4.38,4.93,4.39,3.64,3.16,2.13,2.11,2.09,1.47,1.35,1.21,1.1,0.92,0.83,0.86,0.95,0.66,0.48,0.6,0.45,0.27,0.16,0.0,0.0,0.0,0.0,0.15,0.0,100.01
09/21/2021,5.43,5.06,4.87,5.32,5.09,5.34,4.99,5.12,4.84,5.14,4.98,5.29,4.37,4.91,4.39,3.65,3.16,2.14,2.18,2.08,1.5,1.4,1.21,1.11,0.94,0.84,0.89,0.97,0.66,0.47,0.59,0.46,0.28,0.16,0.0,0.0,0.0,0.0,0.15,0.0,99.98000000000002
09/22/2021,5.43,5.06,4.87,5.32,5.09,5.34,4.99,5.12,4.84,5.14,4.98,5.29,4.37,4.91,4.39,3.65,3.16,2.14,2.18,2.08,1.5,1.4,1.21,1.11,0.94,0.84,0.89,0.97,0.66,0.47,0.59,0.46,0.28,0.16,0.0,0.0,0.0,0.0,0.15,0.0,99.98000000000002
09/23/2021,5.43,5.06,4.87,5.32,5.09,5.34,4.99,5.12,4.84,5.14,4.98,5.29,4.37,4.91,4.39,3.65,3.16,2.14,2.18,2.08,1.5,1.4,1.21,1.11,0.94,0.84,0.89,0.97,0.66,0.47,0.59,0.46,0.28,0.16,0.0,0.0,0.0,0.0,0.15,0.0,99.98000000000002
09/24/2021,5.43,5.06,4.87,5.32,5.09,5.34,4.99,5.12,4.84,5.14,4.98,5.29,4.37,4.91,4.39,3.65,3.16,2.14,2.18,2.08,1.5,1.4,1.21,1.11,0.94,0.84,0.89,0.97,0.66,0.47,0.59,0.46,0.28,0.16,0.0,0.0,0.0,0.0,0.15,0.0,99.98000000000002
09/27/2021,4.77,4.79,4.92,4.98,4.97,5.04,4.96,5.04,4.96,4.83,5.09,4.82,5.24,4.79,4.43,3.65,3.21,2.19,2.2,2.16,1.6,1.39,1.24,1.12,0.96,0.86,0.91,1.01,0.66,0.48,0.66,0.49,0.28,0.15,0.0,0.0,0.0,0.0,0.15,0.99,99.99000000000002
09/28/2021,4.62,4.73,4.85,4.99,4.89,5.04,5.06,5.06,5.0,4.77,5.09,4.72,5.42,4.7,4.32,3.68,3.26,2.24,2.24,2.12,1.62,1.44,1.27,1.18,1.0,0.88,0.93,1.03,0.67,0.48,0.66,0.5,0.28,0.15,0.0,0.0,0.0,0.0,0.15,1.0,100.04
09/29/2021,4.62,4.73,4.85,4.99,4.89,5.04,5.06,5.06,5.0,4.77,5.09,4.72,5.42,4.7,4.32,3.68,3.26,2.24,2.24,2.12,1.62,1.44,1.27,1.18,1.0,0.88,0.93,1.03,0.67,0.48,0.66,0.5,0.28,0.15,0.0,0.0,0.0,0.0,0.15,1.0,100.04
09/30/2021,4.62,4.73,4.85,4.99,4.89,5.04,5.06,5.06,5.0,4.77,5.09,4.72,5.42,4.7,4.32,3.68,3.26,2.24,2.24,2.12,1.62,1.44,1.27,1.18,1.0,0.88,0.93,1.03,0.67,0.48,0.66,0.5,0.28,0.15,0.0,0.0,0.0,0.0,0.15,1.0,100.04
10/01/2021,4.6,4.69,4.8,4.97,4.83,5.02,5.02,5.05,4.98,4.72,5.05,4.71,5.51,4.68,4.26,3.67,3.29,2.29,2.31,2.1,1.64,1.48,1.29,1.2,1.02,0.91,0.97,1.03,0.68,0.49,0.65,0.5,0.29,0.16,0.0,0.0,0.0,0.0,0.15,1.0,100.01
10/04/2021,4.64,4.74,4.82,5.04,4.84,5.08,5.06,5.09,5.03,4.72,5.06,4.7,5.36,4.71,4.33,3.67,3.29,2.19,2.25,2.1,1.61,1.43,1.27,1.19,0.99,0.89,0.96,1.04,0.67,0.5,0.65,0.5,0.28,0.15,0.0,0.0,0.0,0.0,0.15,1.01,100.01
10/05/2021,4.37,4.48,4.59,4.82,4.63,4.86,4.81,4.89,4.83,4.47,4.89,4.46,5.18,4.41,4.11,3.54,3.12,2.14,2.17,1.96,1.57,1.37,1.23,1.16,0.95,0.86,0.95,0.99,0.64,0.49,0.62,0.48,0.28,0.14,0.0,0.0,0.0,0.0,4.55,0.98,99.99
10/06/2021,4.37,4.48,4.59,4.82,4.63,4.86,4.81,4.89,4.83,4.47,4.89,4.46,5.18,4.41,4.11,3.54,3.12,2.14,2.17,1.96,1.57,1.37,1.23,1.16,0.95,0.86,0.95,0.99,0.64,0.49,0.62,0.48,0.28,0.14,0.0,0.0,0.0,0.0,4.55,0.98,99.99
10/07/2021,4.55,4.7,4.78,5.08,4.83,5.15,5.08,5.13,5.14,4.69,5.14,4.64,5.37,4.6,4.28,3.72,3.37,2.18,2.24,2.05,1.61,1.41,1.29,1.2,0.99,0.88,0.96,1.05,0.68,0.52,0.65,0.5,0.29,0.14,0.0,0.0,0.0,0.0,0.08,1.04,100.01
10/08/2021,4.56,4.67,4.78,5.07,4.81,5.17,5.09,5.14,5.18,4.71,5.13,4.72,5.38,4.57,4.28,3.72,3.34,2.18,2.24,2.03,1.61,1.41,1.3,1.19,0.98,0.88,0.96,1.04,0.68,0.51,0.65,0.5,0.29,0.14,0.0,0.0,0.0,0.0,0.05,1.04,100.0
10/11/2021,4.64,4.72,4.77,5.08,4.78,5.14,5.07,5.08,5.15,4.77,5.14,4.72,5.28,4.62,4.38,3.75,3.31,2.16,2.23,2.09,1.62,1.41,1.29,1.17,0.96,0.88,0.92,1.05,0.69,0.51,0.65,0.5,0.29,0.14,0.0,0.0,0.0,0.0,0.06,1.02,100.04000000000002
10/12/2021,4.63,4.72,4.75,5.09,4.8,5.13,5.05,5.07,5.12,4.78,5.13,4.69,5.31,4.61,4.37,3.75,3.31,2.17,2.26,2.09,1.63,1.42,1.3,1.17,0.96,0.89,0.91,1.03,0.68,0.51,0.64,0.5,0.29,0.14,0.0,0.0,0.0,0.0,0.06,1.02,99.98
10/13/2021,4.63,4.72,4.75,5.09,4.8,5.13,5.05,5.07,5.12,4.78,5.13,4.69,5.31,4.61,4.37,3.75,3.31,2.17,2.26,2.09,1.63,1.42,1.3,1.17,0.96,0.89,0.91,1.03,0.68,0.51,0.64,0.5,0.29,0.14,0.0,0.0,0.0,0.0,0.06,1.02,99.98
10/14/2021,4.65,4.74,4.74,5.07,4.8,5.11,5.03,5.03,5.11,4.86,5.1,4.7,5.31,4.63,4.38,3.71,3.32,2.15,2.24,2.11,1.64,1.43,1.29,1.17,0.96,0.89,0.91,1.03,0.68,0.51,0.64,0.5,0.28,0.14,0.0,0.0,0.0,0.0,0.12,1.02,100.0
10/15/2021,4.7,4.82,4.73,5.06,4.78,5.15,5.03,5.03,5.07,4.9,5.1,4.73,5.25,4.71,4.41,3.72,3.31,2.12,2.21,2.13,1.59,1.4,1.27,1.15,0.95,0.88,0.89,1.03,0.68,0.51,0.64,0.49,0.28,0.14,0.0,0.0,0.0,0.0,0.12,1.01,99.99
10/18/2021,4.78,4.94,4.75,5.09,4.84,5.19,5.05,5.06,5.08,4.84,5.06,4.69,5.12,4.78,4.5,3.7,3.31,2.05,2.12,2.2,1.54,1.36,1.23,1.13,0.92,0.88,0.88,1.04,0.69,0.51,0.64,0.49,0.28,0.14,0.0,0.0,0.0,0.0,0.13,1.0,100.01
10/19/2021,4.79,4.87,4.7,5.09,4.85,5.16,5.04,4.99,5.07,4.82,5.06,4.71,5.24,4.78,4.5,3.68,3.3,2.08,2.13,2.2,1.57,1.37,1.24,1.14,0.93,0.89,0.9,1.03,0.69,0.51,0.64,0.5,0.28,0.14,0.0,0.0,0.0,0.0,0.13,0.99,100.01
10/20/2021,4.79,4.87,4.7,5.09,4.85,5.16,5.04,4.99,5.07,4.82,5.06,4.71,5.24,4.78,4.5,3.68,3.3,2.08,2.13,2.2,1.57,1.37,1.24,1.14,0.93,0.89,0.9,1.03,0.69,0.51,0.64,0.5,0.28,0.14,0.0,0.0,0.0,0.0,0.13,0.99,100.01
10/21/2021,4.79,4.88,4.75,5.08,4.83,5.19,4.99,4.99,5.05,4.85,5.02,4.72,5.24,4.79,4.52,3.66,3.27,2.09,2.16,2.22,1.55,1.37,1.25,1.14,0.94,0.86,0.92,1.04,0.68,0.51,0.64,0.5,0.28,0.14,0.0,0.0,0.0,0.0,0.13,0.98,100.02
10/22/2021,4.81,4.9,4.76,5.09,4.86,5.14,5.0,4.99,5.05,4.88,5.02,4.76,5.19,4.79,4.5,3.64,3.24,2.07,2.15,2.21,1.54,1.38,1.25,1.13,0.93,0.85,0.92,1.04,0.69,0.51,0.64,0.5,0.28,0.14,0.0,0.0,0.0,0.0,0.15,0.98,99.98
10/25/2021,4.81,4.88,4.73,5.11,4.83,5.17,5.03,5.03,5.07,4.88,5.02,4.82,5.19,4.8,4.53,3.64,3.26,2.03,2.11,2.2,1.52,1.34,1.24,1.12,0.93,0.85,0.9,1.07,0.72,0.51,0.65,0.49,0.28,0.13,0.0,0.0,0.0,0.0,0.15,0.97,100.01
10/26/2021,4.8,4.91,4.79,5.13,4.87,5.16,5.02,5.01,5.05,4.9,5.03,4.83,5.2,4.81,4.55,3.66,3.23,2.0,2.1,2.22,1.51,1.31,1.21,1.09,0.92,0.83,0.89,1.07,0.73,0.51,0.66,0.49,0.27,0.13,0.0,0.0,0.0,0.0,0.15,0.97,100.01
10/27/2021,4.8,4.91,4.79,5.13,4.87,5.16,5.02,5.01,5.05,4.9,5.03,4.83,5.2,4.81,4.55,3.66,3.23,2.0,2.1,2.22,1.51,1.31,1.21,1.09,0.92,0.83,0.89,1.07,0.73,0.51,0.66,0.49,0.27,0.13,0.0,0.0,0.0,0.0,0.15,0.97,100.01
10/28/2021,4.8,4.91,4.79,5.13,4.87,5.16,5.02,5.01,5.05,4.9,5.03,4.83,5.2,4.81,4.55,3.66,3.23,2.0,2.1,2.22,1.51,1.31,1.21,1.09,0.92,0.83,0.89,1.07,0.73,0.51,0.66,0.49,0.27,0.13,0.0,0.0,0.0,0.0,0.15,0.97,100.01
10/29/2021,4.86,4.93,4.77,5.11,4.87,5.11,5.01,4.97,5.03,4.88,5.01,4.81,5.17,4.84,4.61,3.66,3.25,2.01,2.1,2.26,1.52,1.31,1.22,1.11,0.93,0.81,0.91,1.06,0.73,0.5,0.65,0.48,0.28,0.13,0.0,0.0,0.0,0.0,0.16,0.96,100.02
11/01/2021,4.91,4.9,4.74,5.15,4.84,5.19,5.07,5.04,5.11,4.77,5.09,4.6,5.11,4.88,4.63,3.66,3.37,1.95,2.07,2.28,1.49,1.28,1.2,1.07,0.91,0.8,0.87,1.12,0.71,0.52,0.65,0.48,0.28,0.12,0.0,0.0,0.0,0.0,0.18,0.97,100.01000000000002
