,VER.VI,EDPR.LS,BEP.UN.TO,ELET3 BZ,ORSTED.CO,MEL.NZ,RUN,EA-R TB,NPI.TO,MCY.NZ,EGIE3.SA,916.HK,NEP,HYDR.ME,NEOEN.PA,RNW.TO,ERG.MI,3868.HK,SCATC.OL,CEN.NZ,AY,ORA,BLX.TO,9519.T,INE.TO,ECV.DE,SLR.MC,REGI,DRX.L,EVA,FKR.MI,ENRG.TA,TENERGY.AT,ENLT.TA,1407.T,OMGE3.SA,GUNKUL-R TB,ABIO.PA,AZRE,BCPG-R TB,ACE-R TB,GEVO,SUPER-R TB,CASH,VLTSA.PA,n/a,SUM
07/23/2021,7.34,5.7,5.51,5.77,5.23,4.89,4.25,3.56,3.72,3.3,3.34,2.93,2.96,2.51,2.41,2.42,2.34,2.42,2.11,2.24,2.18,2.06,1.67,1.84,1.55,1.3,1.25,1.35,1.15,1.14,1.0,0.93,0.83,0.89,0.98,0.75,0.71,0.67,0.65,0.61,0.65,0.41,0.41,0.1,0.0,0.0,100.03
07/26/2021,7.3,5.92,5.53,5.61,5.34,4.79,4.27,3.42,3.68,3.41,3.28,2.98,2.88,2.51,2.45,2.44,2.36,2.47,2.22,2.18,2.17,1.99,1.65,1.81,1.54,1.35,1.31,1.31,1.16,1.12,1.03,0.94,0.82,0.9,0.98,0.73,0.67,0.67,0.66,0.61,0.65,0.39,0.4,0.1,0.0,0.0,100.0
07/27/2021,7.3,5.92,5.53,5.61,5.34,4.79,4.27,3.42,3.68,3.41,3.28,2.98,2.88,2.51,2.45,2.44,2.36,2.47,2.22,2.18,2.17,1.99,1.65,1.81,1.54,1.35,1.31,1.31,1.16,1.12,1.03,0.94,0.82,0.9,0.98,0.73,0.67,0.67,0.66,0.61,0.65,0.39,0.4,0.1,0.0,0.0,100.0
07/29/2021,7.51,5.91,5.52,5.59,5.3,4.87,4.13,3.52,3.71,3.46,3.27,2.8,2.89,2.55,2.45,2.44,2.43,2.38,1.79,2.25,2.18,2.02,1.66,1.86,1.54,1.35,1.31,1.29,1.23,1.18,1.03,0.98,0.83,0.93,1.02,0.74,0.68,0.68,0.58,0.61,0.65,0.39,0.4,0.09,0.0,0.0,100.0
07/30/2021,7.49,5.86,5.68,5.64,5.27,4.8,4.1,3.65,3.72,3.38,3.28,2.75,2.95,2.56,2.44,2.45,2.43,2.26,1.79,2.2,2.22,2.06,1.68,1.89,1.55,1.3,1.27,1.24,1.25,1.16,1.03,0.97,0.83,0.94,1.06,0.74,0.68,0.68,0.59,0.63,0.65,0.38,0.4,0.09,0.0,0.0,99.99
08/02/2021,6.56,5.84,5.71,5.63,5.27,4.79,4.27,3.56,3.69,3.34,3.24,3.05,2.97,2.59,2.42,2.45,2.43,2.35,1.79,2.22,2.24,2.05,1.67,1.79,1.57,1.33,1.29,1.26,1.21,1.13,1.04,0.99,0.81,0.95,1.04,0.75,0.67,0.66,0.63,0.61,0.63,0.4,0.39,0.22,0.52,0.0,100.02
08/03/2021,6.56,5.84,5.71,5.63,5.27,4.79,4.27,3.56,3.69,3.34,3.24,3.05,2.97,2.59,2.42,2.45,2.43,2.35,1.79,2.22,2.24,2.05,1.67,1.79,1.57,1.33,1.29,1.26,1.21,1.13,1.04,0.99,0.81,0.95,1.04,0.75,0.67,0.66,0.63,0.61,0.63,0.4,0.39,0.22,0.52,0.0,100.02
08/04/2021,5.68,5.72,5.46,5.09,5.89,4.73,5.46,3.41,3.99,3.17,3.04,3.15,2.97,2.45,2.34,2.37,2.37,2.29,1.72,2.23,2.24,1.97,1.63,1.77,1.53,1.28,1.21,1.47,1.12,1.22,1.01,1.0,0.78,0.97,1.04,0.69,0.63,0.64,0.63,0.59,0.61,0.61,0.4,0.75,0.68,0.0,100.0
08/05/2021,5.7,5.84,5.44,5.1,5.93,4.72,5.26,3.41,3.98,3.25,3.02,3.29,3.01,2.5,2.17,2.36,2.35,2.36,1.74,2.28,2.23,2.0,1.62,1.75,1.53,1.28,1.23,1.41,1.11,1.19,1.01,0.98,0.79,1.02,1.03,0.69,0.63,0.64,0.6,0.61,0.6,0.58,0.4,0.65,0.74,0.0,100.03
08/06/2021,5.64,5.97,5.35,4.99,5.88,4.77,5.49,3.4,3.92,3.28,2.95,3.29,3.01,2.49,2.11,2.38,2.28,2.46,1.72,2.28,2.26,2.01,1.6,1.82,1.5,1.27,1.2,1.42,1.09,1.22,0.97,0.96,0.79,1.02,1.07,0.68,0.65,0.63,0.6,0.6,0.6,0.58,0.4,0.62,0.79,0.0,100.00999999999998
08/10/2021,5.78,5.84,5.44,4.99,5.94,4.82,5.47,3.35,3.93,3.3,2.96,3.2,3.08,2.5,2.09,2.41,2.17,2.61,1.72,2.28,2.17,1.97,1.61,1.67,1.49,1.29,1.19,1.47,1.11,1.26,0.99,0.95,0.8,1.0,1.02,0.67,0.64,0.64,0.6,0.59,0.61,0.57,0.39,0.0,0.91,0.51,100.0
08/11/2021,5.89,5.8,5.43,5.17,6.04,4.84,5.04,3.37,3.92,3.29,2.99,3.17,3.08,2.51,2.16,2.42,2.17,2.51,1.73,2.26,2.21,1.94,1.59,1.66,1.46,1.3,1.19,1.46,1.14,1.28,1.0,0.96,0.8,1.01,1.01,0.68,0.63,0.64,0.62,0.59,0.63,0.58,0.4,0.0,1.28,0.16,100.01
08/13/2021,5.87,5.93,5.4,5.02,6.21,4.79,5.15,3.35,3.85,3.27,2.99,3.11,3.08,2.52,2.23,2.28,2.24,2.41,1.77,2.28,2.24,1.93,1.55,1.63,1.43,1.33,1.21,1.41,1.16,1.27,1.05,0.95,0.81,0.99,0.98,0.66,0.65,0.66,0.62,0.59,0.68,0.61,0.41,0.0,1.32,0.11,100.0
08/16/2021,5.99,5.89,5.49,4.97,5.99,4.81,5.25,3.39,3.68,3.3,2.98,3.09,3.1,2.58,2.25,2.21,2.28,2.38,1.79,2.29,2.25,1.98,1.52,1.63,1.42,1.31,1.2,1.37,1.19,1.26,1.08,0.96,0.81,0.99,0.96,0.66,0.65,0.66,0.61,0.59,0.68,0.58,0.41,0.0,1.38,0.17,100.03
08/18/2021,6.1,5.97,5.44,4.93,6.21,4.79,4.9,3.37,3.71,3.4,3.04,3.05,3.12,2.58,2.26,2.22,2.26,2.33,1.78,2.29,2.23,1.95,1.53,1.67,1.42,1.33,1.19,1.33,1.2,1.27,1.1,0.96,0.83,0.99,0.99,0.66,0.64,0.67,0.6,0.58,0.66,0.53,0.41,0.0,1.37,0.16,100.01999999999998
08/19/2021,6.17,6.16,5.48,4.85,6.23,4.74,4.71,3.42,3.73,3.35,3.02,2.98,3.14,2.59,2.22,2.26,2.29,2.28,1.73,2.31,2.22,1.95,1.56,1.65,1.44,1.31,1.21,1.31,1.22,1.27,1.12,0.94,0.83,0.99,0.97,0.65,0.65,0.67,0.57,0.58,0.66,0.54,0.41,0.0,1.38,0.23,99.99
08/20/2021,6.21,6.19,5.49,4.88,6.33,4.66,4.68,3.43,3.85,3.3,3.02,2.96,3.13,2.59,2.19,2.27,2.3,2.24,1.68,2.27,2.26,1.98,1.58,1.59,1.46,1.27,1.21,1.3,1.23,1.24,1.13,0.94,0.83,0.98,0.93,0.64,0.66,0.68,0.53,0.59,0.67,0.54,0.42,0.0,1.4,0.23,99.96000000000002
08/23/2021,6.49,6.43,5.48,4.72,6.56,4.69,4.37,3.42,3.78,3.31,2.99,2.91,3.11,2.55,2.3,2.19,2.33,2.19,1.72,2.28,2.21,1.97,1.55,1.63,1.39,1.35,1.28,1.22,1.2,1.24,1.16,0.95,0.82,1.0,0.97,0.64,0.66,0.71,0.46,0.58,0.66,0.51,0.41,0.0,1.36,0.22,99.96999999999998
08/24/2021,6.49,6.43,5.48,4.72,6.56,4.69,4.37,3.42,3.78,3.31,2.99,2.91,3.11,2.55,2.3,2.19,2.33,2.19,1.72,2.28,2.21,1.97,1.55,1.63,1.39,1.35,1.28,1.22,1.2,1.24,1.16,0.95,0.82,1.0,0.97,0.64,0.66,0.71,0.46,0.58,0.66,0.51,0.41,0.0,1.36,0.22,99.96999999999998
08/25/2021,6.64,6.51,5.54,4.7,6.69,4.63,4.45,3.36,3.79,3.24,3.0,2.92,3.11,2.52,2.3,2.18,2.32,2.16,1.69,2.25,2.22,1.95,1.55,1.61,1.4,1.34,1.32,1.16,1.17,1.24,1.15,0.94,0.81,1.0,0.96,0.65,0.66,0.71,0.46,0.58,0.65,0.51,0.42,0.0,1.35,0.22,100.03
08/26/2021,6.61,6.38,5.63,4.59,6.61,4.75,4.63,3.36,3.78,3.25,2.96,3.19,3.05,2.51,2.29,2.16,2.24,2.18,1.72,2.23,2.2,1.92,1.55,1.62,1.39,1.32,1.3,1.21,1.13,1.23,1.13,0.95,0.8,0.97,1.01,0.63,0.67,0.7,0.46,0.58,0.64,0.53,0.42,0.0,1.34,0.21,100.03
08/27/2021,6.58,6.31,5.61,4.8,6.56,4.64,4.56,3.41,3.79,3.33,3.03,3.19,3.03,2.48,2.28,2.12,2.22,2.16,1.7,2.27,2.17,1.91,1.56,1.61,1.38,1.31,1.28,1.22,1.14,1.22,1.14,0.96,0.81,0.99,0.99,0.64,0.67,0.7,0.46,0.57,0.64,0.59,0.42,0.0,1.34,0.22,100.01
08/30/2021,6.58,6.24,5.72,4.85,6.36,4.57,4.61,3.62,3.82,3.28,3.0,3.13,3.05,2.49,2.27,2.14,2.22,2.13,1.7,2.22,2.16,1.93,1.56,1.57,1.39,1.31,1.25,1.21,1.14,1.23,1.14,0.96,0.83,1.02,0.96,0.64,0.66,0.71,0.46,0.6,0.66,0.6,0.43,0.0,1.33,0.29,100.04
08/31/2021,6.58,6.24,5.72,4.85,6.36,4.57,4.61,3.62,3.82,3.28,3.0,3.13,3.05,2.49,2.27,2.14,2.22,2.13,1.7,2.22,2.16,1.93,1.56,1.57,1.39,1.31,1.25,1.21,1.14,1.23,1.14,0.96,0.83,1.02,0.96,0.64,0.66,0.71,0.46,0.6,0.66,0.6,0.43,0.0,1.33,0.29,100.04
09/01/2021,6.57,6.15,5.65,4.88,6.28,4.63,4.59,3.75,3.79,3.29,3.04,3.08,3.03,2.51,2.29,2.13,2.2,2.09,1.68,2.21,2.14,1.98,1.57,1.48,1.4,1.31,1.24,1.25,1.16,1.22,1.16,0.96,0.83,1.02,0.96,0.64,0.65,0.7,0.47,0.59,0.66,0.66,0.42,0.0,1.33,0.38,100.02000000000001
