,NOKIA.HE,KNEBV.HE,NESTE.HE,SAMPO.HE,KESKOB.HE,FORTUM.HE,UPM.HE,STERV.HE,ELISA.HE,WRT1V.HE,MOCORP.HE,VALMT.HE,TYRES.HE,HUH1V.HE,ORNBV.HE,TIETO.HE,KCR.HE,OUT1V.HE,CGCBV.HE,METSB.HE,UPONOR.HE,KEMIRA.HE,KOJAMO.HE,NELES.HE,TOKMAN.HE,MUSTI.HE,SAA1V.HE,EUR,CAV1V.HE,YIT.HE,AKTIA.HE,FSC1V.HE,CTY1S.HE,FIA1S.HE,BAS1V.HE,QTCOM.HE,ROVIO.HE,XTSLA,OKDBV.HE,REG1V.HE,HARVIA.HE,KAMUX.HE,TNOM.HE,REMEDY.HE,ADMCM.HE,WFFUT,VGU1,EUR.1,USD,VGZ1,SUM
08/04/2021,13.42,10.99,10.16,9.17,4.99,4.16,4.31,4.18,3.59,3.13,3.06,2.49,2.49,2.34,2.04,1.46,1.26,1.27,1.07,1.02,1.0,0.99,0.92,0.79,0.82,0.82,0.84,0.83,0.64,0.58,0.58,0.46,0.48,0.45,0.45,0.5,0.42,0.56,0.37,0.36,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.06
08/05/2021,13.42,10.99,10.16,9.17,4.99,4.16,4.31,4.18,3.59,3.13,3.06,2.49,2.49,2.34,2.04,1.46,1.26,1.27,1.07,1.02,1.0,0.99,0.92,0.79,0.82,0.82,0.84,0.83,0.64,0.58,0.58,0.46,0.48,0.45,0.45,0.5,0.42,0.56,0.37,0.36,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.06
08/06/2021,13.62,10.99,9.94,9.22,5.11,4.23,4.26,4.15,3.61,3.16,3.05,2.49,2.34,2.36,2.03,1.49,1.26,1.23,1.08,1.02,0.99,0.99,0.92,0.8,0.82,0.83,0.8,0.85,0.65,0.58,0.6,0.46,0.47,0.44,0.44,0.52,0.4,0.55,0.36,0.37,0.14,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.09
08/10/2021,13.5,10.99,9.98,9.51,5.02,4.31,4.26,4.14,3.6,3.12,2.93,2.45,2.32,2.34,1.98,1.48,1.25,1.17,1.09,1.0,0.99,0.99,0.92,0.79,0.82,0.85,0.84,0.86,0.66,0.58,0.64,0.46,0.48,0.45,0.44,0.65,0.39,0.56,0.36,0.32,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.09
08/11/2021,13.5,10.99,9.98,9.51,5.02,4.31,4.26,4.14,3.6,3.12,2.93,2.45,2.32,2.34,1.98,1.48,1.25,1.17,1.09,1.0,0.99,0.99,0.92,0.79,0.82,0.85,0.84,0.86,0.66,0.58,0.64,0.46,0.48,0.45,0.44,0.65,0.39,0.56,0.36,0.32,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.09
08/12/2021,13.51,11.0,9.85,9.52,5.05,4.35,4.27,4.14,3.64,3.11,2.9,2.43,2.32,2.33,1.98,1.49,1.25,1.21,1.08,1.0,0.98,0.99,0.92,0.78,0.82,0.86,0.84,0.86,0.66,0.58,0.64,0.46,0.48,0.44,0.44,0.64,0.4,0.56,0.36,0.32,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.06
08/13/2021,13.4,11.03,9.98,9.6,5.06,4.37,4.29,4.16,3.63,3.09,2.91,2.45,2.31,2.32,1.98,1.5,1.24,1.2,1.08,1.0,0.99,0.99,0.92,0.78,0.81,0.72,0.84,0.86,0.65,0.58,0.64,0.46,0.48,0.44,0.44,0.65,0.4,0.56,0.36,0.32,0.14,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.1
08/16/2021,13.23,11.02,9.91,9.77,5.05,4.31,4.35,4.23,3.66,3.1,2.98,2.46,2.33,2.32,1.96,1.5,1.25,1.23,1.08,1.0,0.99,0.98,0.92,0.79,0.81,0.69,0.81,0.87,0.65,0.57,0.64,0.45,0.47,0.43,0.44,0.61,0.36,0.5,0.36,0.31,0.13,0.11,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,99.99
08/17/2021,13.4,10.97,9.76,9.78,5.06,4.33,4.35,4.23,3.65,3.08,2.99,2.44,2.33,2.33,1.97,1.5,1.24,1.25,1.07,1.0,0.98,0.99,0.93,0.79,0.8,0.71,0.8,0.87,0.65,0.56,0.64,0.45,0.47,0.43,0.44,0.61,0.37,0.49,0.37,0.31,0.13,0.09,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,99.97
08/19/2021,13.39,10.95,9.65,9.83,5.12,4.34,4.36,4.2,3.67,3.08,2.97,2.44,2.34,2.36,1.98,1.51,1.23,1.23,1.06,1.0,0.99,0.99,0.94,0.78,0.81,0.71,0.81,0.89,0.65,0.57,0.64,0.45,0.47,0.43,0.43,0.61,0.37,0.5,0.37,0.31,0.12,0.09,0.1,0.09,0.09,0.07,0.0,0.0,0.0,0.0,99.99
08/20/2021,13.39,10.99,9.7,9.85,5.14,4.39,4.34,4.18,3.69,3.02,2.92,2.41,2.33,2.34,1.98,1.52,1.23,1.21,1.05,1.0,1.0,1.0,0.94,0.78,0.81,0.71,0.8,0.89,0.65,0.57,0.62,0.45,0.47,0.42,0.45,0.63,0.37,0.5,0.37,0.32,0.13,0.09,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.01
08/24/2021,13.35,11.13,9.62,10.03,5.21,4.49,4.34,4.12,3.71,2.95,2.78,2.36,2.28,2.39,1.96,1.53,1.21,1.19,1.02,0.98,0.99,0.98,0.89,0.77,0.82,0.77,0.82,0.87,0.64,0.57,0.6,0.47,0.48,0.45,0.45,0.66,0.38,0.54,0.36,0.32,0.13,0.09,0.11,0.08,0.09,0.07,0.0,0.0,0.0,0.0,100.05
08/25/2021,13.35,11.13,9.62,10.03,5.21,4.49,4.34,4.12,3.71,2.95,2.78,2.36,2.28,2.39,1.96,1.53,1.21,1.19,1.02,0.98,0.99,0.98,0.89,0.77,0.82,0.77,0.82,0.87,0.64,0.57,0.6,0.47,0.48,0.45,0.45,0.66,0.38,0.54,0.36,0.32,0.13,0.09,0.11,0.08,0.09,0.07,0.0,0.0,0.0,0.0,100.05
08/26/2021,13.38,11.12,9.73,9.89,5.18,4.54,4.32,4.1,3.72,2.97,2.81,2.38,2.26,2.36,1.95,1.53,1.21,1.2,1.02,0.98,1.0,0.98,0.88,0.78,0.82,0.77,0.81,0.87,0.65,0.56,0.59,0.47,0.47,0.44,0.44,0.68,0.38,0.53,0.36,0.33,0.13,0.09,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.04
08/27/2021,13.35,11.16,9.88,9.97,4.89,4.6,4.34,4.14,3.68,2.93,2.84,2.41,2.25,2.37,1.93,1.54,1.21,1.21,1.01,0.97,1.0,0.98,0.87,0.78,0.82,0.76,0.8,0.87,0.64,0.56,0.59,0.47,0.47,0.44,0.45,0.68,0.38,0.53,0.36,0.32,0.12,0.09,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.02
08/30/2021,13.36,11.14,9.9,9.86,4.87,4.58,4.32,4.12,3.63,2.95,2.88,2.41,2.24,2.35,1.92,1.52,1.28,1.23,1.07,0.97,0.99,0.98,0.89,0.79,0.82,0.8,0.8,0.86,0.66,0.56,0.59,0.48,0.47,0.44,0.45,0.68,0.38,0.53,0.36,0.32,0.12,0.09,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.02
08/31/2021,13.3,11.25,9.86,9.86,4.86,4.55,4.31,4.16,3.62,2.98,2.88,2.39,2.26,2.35,1.93,1.52,1.29,1.23,1.08,0.97,0.99,0.98,0.9,0.78,0.81,0.79,0.81,0.86,0.66,0.57,0.58,0.47,0.48,0.44,0.44,0.68,0.38,0.53,0.36,0.33,0.12,0.08,0.11,0.08,0.09,0.08,0.0,0.0,0.0,0.0,100.05
09/01/2021,13.3,11.25,9.86,9.86,4.86,4.55,4.31,4.16,3.62,2.98,2.88,2.39,2.26,2.35,1.93,1.52,1.29,1.23,1.08,0.97,0.99,0.98,0.9,0.78,0.81,0.79,0.81,0.86,0.66,0.57,0.58,0.47,0.48,0.44,0.44,0.68,0.38,0.53,0.36,0.33,0.12,0.08,0.11,0.08,0.09,0.08,0.0,0.0,0.0,0.0,100.05
09/02/2021,13.3,11.16,9.88,9.85,4.84,4.57,4.3,4.17,3.6,2.93,2.88,2.39,2.27,2.36,1.93,1.52,1.3,1.24,1.08,0.97,0.99,0.99,0.92,0.78,0.82,0.79,0.85,0.86,0.66,0.57,0.59,0.47,0.48,0.44,0.44,0.68,0.38,0.52,0.36,0.33,0.12,0.08,0.11,0.08,0.09,0.07,0.0,0.0,0.0,0.0,100.01
09/03/2021,13.13,11.02,10.07,9.92,4.16,4.5,4.38,4.25,3.58,2.95,2.88,2.4,2.25,2.35,1.96,1.55,1.32,1.24,1.11,0.96,1.0,0.99,0.95,0.79,0.82,0.81,0.83,0.77,0.68,0.58,0.6,0.53,0.48,0.43,0.44,1.01,0.39,0.53,0.36,0.47,0.13,0.08,0.12,0.09,0.09,0.08,0.0,0.0,0.0,0.0,100.03
09/07/2021,13.09,10.83,10.29,9.82,4.09,4.55,4.37,4.28,3.55,2.87,2.92,2.45,2.23,2.33,1.97,1.53,1.38,1.19,1.16,0.97,0.99,0.99,0.92,0.8,0.82,0.81,0.84,0.85,0.68,0.56,0.6,0.55,0.47,0.46,0.44,1.03,0.39,0.52,0.36,0.47,0.13,0.09,0.11,0.09,0.1,0.07,0.0,0.0,0.0,0.0,100.00999999999998
09/08/2021,13.09,10.83,10.29,9.82,4.09,4.55,4.37,4.28,3.55,2.87,2.92,2.45,2.23,2.33,1.97,1.53,1.38,1.19,1.16,0.97,0.99,0.99,0.92,0.8,0.82,0.81,0.84,0.85,0.68,0.56,0.6,0.55,0.47,0.46,0.44,1.03,0.39,0.52,0.36,0.47,0.13,0.09,0.11,0.09,0.1,0.07,0.0,0.0,0.0,0.0,100.00999999999998
09/09/2021,13.12,10.9,10.43,9.91,4.06,4.61,4.43,4.37,3.58,2.94,2.95,2.44,2.25,2.36,1.99,1.54,1.43,1.21,1.2,0.98,1.0,1.0,0.92,0.79,0.82,0.77,0.83,0.87,0.68,0.56,0.61,0.54,0.47,0.45,0.44,1.1,0.4,0.52,0.36,0.47,0.13,0.09,0.11,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.88
09/10/2021,13.04,10.7,10.49,9.79,3.98,4.53,4.41,4.44,3.55,2.91,2.88,2.42,2.25,2.33,1.96,1.52,1.41,1.21,1.2,0.98,1.0,0.99,0.9,0.78,0.81,0.78,0.82,0.85,0.67,0.55,0.61,0.53,0.47,0.45,0.43,1.06,0.4,0.52,0.36,0.46,0.13,0.09,0.11,0.1,0.09,0.07,0.0,0.0,0.0,0.0,100.03
09/13/2021,13.14,10.56,10.47,9.94,3.97,4.63,4.4,4.34,3.61,2.88,2.82,2.44,2.23,2.31,1.96,1.47,1.42,1.19,1.22,0.96,1.0,0.99,0.91,0.79,0.81,0.8,0.81,0.87,0.67,0.56,0.63,0.54,0.47,0.46,0.43,1.04,0.39,0.53,0.36,0.46,0.13,0.09,0.11,0.09,0.09,0.08,0.0,0.0,0.0,0.0,100.07000000000002
09/14/2021,13.08,10.48,10.48,10.06,3.95,4.61,4.43,4.36,3.59,2.85,2.85,2.45,2.21,2.31,1.97,1.47,1.42,1.21,1.22,0.97,0.99,0.99,0.91,0.79,0.8,0.81,0.8,0.89,0.67,0.56,0.62,0.54,0.47,0.45,0.43,1.04,0.39,0.53,0.36,0.46,0.13,0.09,0.11,0.09,0.09,0.08,0.0,0.0,0.0,0.0,100.06
09/15/2021,13.08,10.48,10.48,10.06,3.95,4.61,4.43,4.36,3.59,2.85,2.85,2.45,2.21,2.31,1.97,1.47,1.42,1.21,1.22,0.97,0.99,0.99,0.91,0.79,0.8,0.81,0.8,0.89,0.67,0.56,0.62,0.54,0.47,0.45,0.43,1.04,0.39,0.53,0.36,0.46,0.13,0.09,0.11,0.09,0.09,0.08,0.0,0.0,0.0,0.0,100.06
09/16/2021,12.95,10.43,10.8,10.15,3.89,4.7,4.32,4.24,3.62,2.85,2.87,2.42,2.21,2.32,1.97,1.46,1.42,1.24,1.21,0.96,0.99,0.99,0.92,0.78,0.78,0.82,0.78,0.9,0.66,0.55,0.61,0.53,0.48,0.46,0.42,1.03,0.4,0.53,0.36,0.45,0.13,0.09,0.11,0.09,0.1,0.08,0.0,0.0,0.0,0.0,100.07
09/17/2021,12.94,10.44,10.64,10.14,3.98,4.82,4.3,4.19,3.66,2.84,2.9,2.4,2.2,2.35,1.98,1.45,1.4,1.2,1.21,0.98,0.96,0.98,0.92,0.78,0.78,0.82,0.78,0.95,0.66,0.55,0.61,0.55,0.48,0.45,0.41,1.07,0.39,0.44,0.36,0.46,0.13,0.09,0.1,0.09,0.1,0.04,0.0,0.0,0.06,0.0,100.03
09/20/2021,12.85,10.37,10.52,10.21,3.94,4.84,4.32,4.2,3.67,2.83,2.93,2.41,2.25,2.33,2.03,1.46,1.41,1.25,1.21,0.98,0.92,0.99,0.92,0.79,0.77,0.82,0.78,0.9,0.66,0.56,0.6,0.55,0.48,0.45,0.39,1.1,0.38,0.51,0.36,0.46,0.12,0.09,0.1,0.09,0.1,0.08,0.0,0.0,0.01,0.0,99.99
09/21/2021,12.77,10.43,10.46,10.27,4.0,4.81,4.27,4.12,3.75,2.79,2.84,2.43,2.27,2.35,2.05,1.48,1.37,1.28,1.19,0.97,0.9,0.99,0.93,0.79,0.77,0.83,0.8,0.9,0.65,0.56,0.6,0.58,0.48,0.47,0.42,1.1,0.39,0.56,0.36,0.47,0.13,0.09,0.1,0.09,0.1,0.08,0.0,0.0,0.0,0.0,100.03999999999998
09/22/2021,12.77,10.43,10.46,10.27,4.0,4.81,4.27,4.12,3.75,2.79,2.84,2.43,2.27,2.35,2.05,1.48,1.37,1.28,1.19,0.97,0.9,0.99,0.93,0.79,0.77,0.83,0.8,0.9,0.65,0.56,0.6,0.58,0.48,0.47,0.42,1.1,0.39,0.56,0.36,0.47,0.13,0.09,0.1,0.09,0.1,0.08,0.0,0.0,0.0,0.0,100.03999999999998
09/23/2021,12.88,10.26,10.59,10.29,4.06,4.86,4.23,4.07,3.82,2.78,2.73,2.45,2.3,2.35,2.09,1.47,1.36,1.19,1.17,0.97,0.88,1.0,0.93,0.8,0.77,0.83,0.8,0.9,0.64,0.57,0.61,0.56,0.49,0.46,0.41,1.09,0.38,0.57,0.36,0.45,0.12,0.09,0.1,0.09,0.1,0.08,0.0,0.0,0.0,0.0,100.0
09/24/2021,12.71,10.35,10.8,10.28,4.08,4.82,4.24,4.02,3.81,2.81,2.69,2.45,2.31,2.3,2.1,1.49,1.35,1.18,1.16,0.95,0.88,0.98,0.94,0.8,0.77,0.83,0.8,0.92,0.64,0.56,0.6,0.56,0.48,0.47,0.4,1.12,0.38,0.56,0.36,0.45,0.13,0.09,0.1,0.1,0.1,0.08,0.0,0.0,0.0,0.0,100.0
09/27/2021,12.88,10.36,11.0,10.21,4.03,4.77,4.25,4.04,3.76,2.73,2.69,2.49,2.3,2.26,2.06,1.5,1.37,1.2,1.19,0.95,0.86,0.99,0.92,0.8,0.77,0.81,0.79,0.92,0.64,0.56,0.61,0.56,0.48,0.46,0.4,1.15,0.37,0.55,0.35,0.44,0.13,0.09,0.1,0.09,0.09,0.07,0.0,0.0,0.0,0.0,100.04
09/28/2021,13.09,10.33,10.72,10.3,4.03,4.76,4.26,4.02,3.78,2.71,2.71,2.45,2.32,2.26,2.11,1.47,1.33,1.19,1.15,0.95,0.86,0.99,0.92,0.79,0.77,0.82,0.8,0.96,0.64,0.56,0.62,0.56,0.48,0.48,0.41,1.12,0.38,0.56,0.36,0.44,0.12,0.09,0.1,0.1,0.09,0.08,0.0,0.0,0.0,0.0,100.04
