,TLT,SCHQ,First American Government Obligs X,Schwab Long-Term US Treasury ETF,FGXXX,TLH,PIMCO 25+ Year Zero Coupon US Trs ETF,ZROZ,n/a,SCHG,VB,URTY,SUM
08/30/2021,0.0,0.0,0.0,0.0,0.0,65.05,0.0,34.92,0.03,0.0,0.0,0.0,100.0
08/31/2021,0.0,0.0,0.0,0.0,0.0,65.05,0.0,34.92,0.03,0.0,0.0,0.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.03,64.97,0.0,0.0,35.0,0.0,0.0,0.0,100.0
09/02/2021,0.0,0.0,0.0,0.0,0.03,64.97,0.0,0.0,35.0,0.0,0.0,0.0,100.0
09/03/2021,0.0,0.0,0.0,0.0,0.0,64.93,0.0,35.04,0.03,0.0,0.0,0.0,100.0
09/06/2021,0.0,0.0,0.0,0.0,0.01,64.94,0.0,0.0,35.05,0.0,0.0,0.0,100.0
09/07/2021,0.0,0.0,0.0,0.0,0.01,64.94,0.0,35.05,0.0,0.0,0.0,0.0,100.0
09/08/2021,0.0,0.0,0.0,0.0,0.01,64.94,0.0,35.05,0.0,0.0,0.0,0.0,100.0
09/09/2021,0.0,0.0,0.0,0.0,0.01,65.08,0.0,34.91,0.0,0.0,0.0,0.0,100.0
09/10/2021,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,65.3,19.91,14.78,100.0
09/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.64,19.94,14.41,99.99
09/14/2021,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,65.57,19.95,14.46,100.0
09/15/2021,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,65.6,19.98,14.17,100.0
09/16/2021,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,65.6,19.98,14.17,100.0
09/17/2021,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,64.81,20.0,14.94,100.0
09/20/2021,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,65.13,20.0,14.8,100.0
09/21/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.17,19.99,14.76,100.0
09/22/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.17,19.99,14.76,100.0
09/23/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.17,19.99,14.76,100.0
09/24/2021,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,65.0,20.05,14.88,100.0
09/27/2021,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,64.91,20.07,14.96,100.0
09/28/2021,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,64.41,20.04,15.49,100.0
09/29/2021,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,64.41,20.04,15.49,100.0
09/30/2021,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,64.68,19.96,15.3,100.0
10/01/2021,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,64.53,20.4,14.94,100.0
10/04/2021,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,64.57,20.42,14.88,99.99
10/05/2021,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,64.87,20.33,14.62,100.0
10/06/2021,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,64.46,20.29,15.07,99.99
10/07/2021,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,64.37,20.2,15.31,100.0
10/08/2021,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,64.37,20.2,15.31,100.0
10/11/2021,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,64.88,19.96,15.04,100.0
10/12/2021,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,64.5,19.9,15.49,100.0
10/13/2021,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,64.5,19.9,15.49,100.0
10/14/2021,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,64.71,19.93,15.24,100.0
10/15/2021,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,65.11,20.04,14.73,100.0
10/18/2021,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,64.86,20.02,15.01,100.0
10/19/2021,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,64.64,19.93,15.32,100.0
10/20/2021,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,64.92,19.83,15.14,100.0
10/21/2021,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,65.33,19.84,14.72,100.0
10/22/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.35,19.79,14.78,100.0
10/25/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.06,19.86,15.01,100.01
10/26/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.1,19.79,15.04,100.00999999999998
10/27/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.1,19.79,15.04,100.00999999999998
10/28/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.1,19.79,15.04,100.00999999999998
10/29/2021,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,64.76,19.88,15.29,100.0
11/01/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.95,19.67,14.3,100.0
11/02/2021,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,65.41,19.63,14.88,99.99999999999999
