,9988.HK,700.HK,3690.HK,NIO,JD,600519.SS,939.HK,NTES,2318.HK,BIDU,2020.HK,2269.HK,600036.SS,PDD,601919.SS,1398.HK,291.HK,M4B.,BY6.,601012.SS,601888.SS,601318.SS,600809.SS,600436.SS,2313.HK,2382.HK,3988.HK,002475.SZ,002594.SZ,3888.HK,000661.SZ,000568.SZ,YUMC,603288.SS,002714.SZ,000001.SZ,2333.HK,TCOM,600660.SS,175.HK,600276.SS,601166.SS,002311.SZ,000625.SZ,1548.HK,2319.HK,600031.SS,Cash,1109.HK,EDU,000596.SZ,1093.HK,268.HK,002304.SZ,002049.SZ,SNPMF,600000.SS,000338.SZ,000725.SZ,600030.SS,002142.SZ,CHL.,2688.HK,600196.SS,600887.SS,601398.SS,ZTO,960.HK,688.HK,002460.SZ,2007.HK,HCM,ZLAB,600703.SS,601377.SS,6690.HK,002050.SZ,VIPS,1288.HK,D7N.,1177.HK,857.HK,241.HK,002007.SZ,000002.SZ,600690.SS,992.HK,601328.SS,2601.HK,270.HK,601818.SS,384.HK,600111.SS,002493.SZ,600926.SS,601288.SS,586.HK,002230.SZ,TAL,AQE.,000876.SZ,2689.HK,600893.SS,601899.SS,2018.HK,600426.SS,600999.SS,2196.HK,000538.SZ,322.HK,HTHT,601788.SS,600588.SS,600919.SS,916.HK,600674.SS,000895.SZ,1918.HK,601009.SS,2328.HK,601901.SS,601607.SS,601229.SS,600048.SS,600104.SS,603799.SS,000783.SZ,000166.SZ,000157.SZ,600585.SS,601601.SS,002001.SZ,884.HK,ZTCOF,600352.SS,600837.SS,6881.HK,600016.SS,600019.SS,148.HK,GDS,601169.SS,1088.HK,601225.SS,000069.SZ,601211.SS,NOAH,2799.HK,600958.SS,867.HK,000963.SZ,1060.HK,144.HK,002736.SZ,1193.HK,3328.HK,688012.SS,002027.SZ,1171.HK,902.HK,600886.SS,600115.SS,601618.SS,1359.HK,TME,600688.SS,1776.HK,267.HK,002202.SZ,3323.HK,836.HK,601877.SS,IQ,6030.HK,600015.SS,152.HK,600028.SS,600741.SS,1099.HK,3898.HK,601006.SS,601988.SS,600383.SS,177.HK,002236.SZ,000423.SZ,601688.SS,1988.HK,2202.HK,656.HK,601336.SS,001979.SZ,151.HK,000050.SZ,600010.SS,1336.HK,600606.SS,1114.HK,696.HK,600208.SS,CHG.BK,2238.HK,002405.SZ,601699.SS,1813.HK,D7C.,601669.SS,000709.SZ,600705.SS,1313.HK,600068.SS,n/a,BABA,000776.SZ,SUM
07/23/2021,9.68,9.6,2.75,2.55,2.31,1.96,1.8,1.46,1.37,1.28,1.41,1.3,1.11,0.95,0.98,0.98,0.98,0.93,0.79,0.91,0.81,0.74,0.88,0.79,0.64,0.67,0.67,0.63,0.64,0.57,0.69,0.62,0.62,0.59,0.54,0.53,0.64,0.45,0.52,0.51,0.49,0.5,0.46,0.52,0.56,0.44,0.43,0.85,0.44,0.33,0.39,0.39,0.39,0.39,0.44,0.34,0.37,0.37,0.38,0.35,0.33,0.32,0.38,0.35,0.32,0.3,0.33,0.32,0.33,0.47,0.3,0.33,0.28,0.34,0.31,0.32,0.27,0.28,0.28,0.33,0.26,0.24,0.24,0.29,0.25,0.27,0.24,0.24,0.25,0.26,0.25,0.26,0.47,0.29,0.24,0.25,0.24,0.22,0.2,0.23,0.2,0.25,0.26,0.22,0.19,0.24,0.22,0.24,0.2,0.22,0.2,0.21,0.21,0.2,0.19,0.19,0.18,0.17,0.18,0.2,0.2,0.18,0.18,0.18,0.19,0.24,0.19,0.18,0.17,0.18,0.18,0.19,0.16,0.2,0.18,0.19,0.16,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.16,0.2,0.15,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.14,0.19,0.14,0.15,0.16,0.18,0.15,0.12,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.12,0.13,0.14,0.14,0.14,0.12,0.14,0.17,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.14,0.17,0.0,0.11,0.12,0.0,0.12,0.14,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.92999999999998
07/26/2021,9.78,9.51,2.76,2.62,2.34,1.9,1.78,1.43,1.37,1.26,1.35,1.25,1.1,0.96,0.97,0.97,0.92,0.93,0.85,0.94,0.77,0.74,0.85,0.74,0.64,0.7,0.66,0.6,0.7,0.55,0.64,0.59,0.62,0.56,0.52,0.52,0.73,0.44,0.51,0.53,0.47,0.49,0.45,0.52,0.53,0.44,0.45,0.87,0.44,0.34,0.39,0.38,0.39,0.38,0.45,0.34,0.35,0.38,0.37,0.35,0.32,0.32,0.38,0.36,0.32,0.3,0.32,0.33,0.34,0.55,0.31,0.34,0.28,0.4,0.32,0.32,0.28,0.27,0.28,0.36,0.26,0.25,0.24,0.29,0.25,0.27,0.25,0.24,0.25,0.26,0.24,0.26,0.52,0.31,0.23,0.25,0.24,0.24,0.21,0.23,0.2,0.25,0.27,0.23,0.19,0.24,0.22,0.24,0.19,0.21,0.2,0.21,0.24,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.24,0.19,0.19,0.17,0.18,0.19,0.18,0.16,0.2,0.18,0.19,0.16,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.2,0.15,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.15,0.19,0.14,0.15,0.15,0.19,0.15,0.11,0.14,0.15,0.14,0.16,0.15,0.16,0.15,0.12,0.14,0.14,0.14,0.14,0.12,0.14,0.18,0.13,0.13,0.12,0.13,0.14,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.14,0.21,0.0,0.0,0.12,0.0,0.11,0.14,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.96
07/27/2021,9.78,9.51,2.76,2.62,2.34,1.9,1.78,1.43,1.37,1.26,1.35,1.25,1.1,0.96,0.97,0.97,0.92,0.93,0.85,0.94,0.77,0.74,0.85,0.74,0.64,0.7,0.66,0.6,0.7,0.55,0.64,0.59,0.62,0.56,0.52,0.52,0.73,0.44,0.51,0.53,0.47,0.49,0.45,0.52,0.53,0.44,0.45,0.87,0.44,0.34,0.39,0.38,0.39,0.38,0.45,0.34,0.35,0.38,0.37,0.35,0.32,0.32,0.38,0.36,0.32,0.3,0.32,0.33,0.34,0.55,0.31,0.34,0.28,0.4,0.32,0.32,0.28,0.27,0.28,0.36,0.26,0.25,0.24,0.29,0.25,0.27,0.25,0.24,0.25,0.26,0.24,0.26,0.52,0.31,0.23,0.25,0.24,0.24,0.21,0.23,0.2,0.25,0.27,0.23,0.19,0.24,0.22,0.24,0.19,0.21,0.2,0.21,0.24,0.2,0.2,0.19,0.18,0.18,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.24,0.19,0.19,0.17,0.18,0.19,0.18,0.16,0.2,0.18,0.19,0.16,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.2,0.15,0.15,0.16,0.17,0.16,0.17,0.14,0.0,0.15,0.19,0.14,0.15,0.15,0.19,0.15,0.11,0.14,0.15,0.14,0.16,0.15,0.16,0.15,0.12,0.14,0.14,0.14,0.14,0.12,0.14,0.18,0.13,0.13,0.12,0.13,0.14,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.14,0.21,0.0,0.0,0.12,0.0,0.11,0.14,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.96
07/28/2021,9.88,9.48,2.75,2.56,2.28,1.9,1.82,1.35,1.38,1.25,1.32,1.24,1.12,0.91,0.9,0.99,0.93,0.94,0.88,0.95,0.77,0.74,0.85,0.71,0.65,0.69,0.67,0.6,0.74,0.53,0.63,0.6,0.64,0.57,0.49,0.52,0.8,0.43,0.5,0.54,0.48,0.5,0.45,0.53,0.52,0.45,0.46,0.92,0.45,0.16,0.38,0.4,0.4,0.38,0.45,0.35,0.36,0.39,0.37,0.36,0.32,0.32,0.39,0.37,0.32,0.31,0.32,0.34,0.35,0.53,0.31,0.33,0.26,0.41,0.33,0.32,0.27,0.26,0.28,0.36,0.26,0.25,0.23,0.29,0.26,0.27,0.24,0.25,0.26,0.26,0.24,0.26,0.51,0.31,0.24,0.25,0.24,0.24,0.0,0.24,0.2,0.25,0.29,0.24,0.19,0.25,0.22,0.24,0.19,0.21,0.19,0.22,0.24,0.21,0.2,0.19,0.18,0.18,0.18,0.2,0.21,0.18,0.18,0.18,0.19,0.24,0.2,0.19,0.17,0.18,0.19,0.18,0.17,0.2,0.18,0.19,0.17,0.17,0.19,0.17,0.15,0.16,0.18,0.17,0.16,0.18,0.16,0.17,0.22,0.15,0.14,0.16,0.18,0.17,0.17,0.14,0.0,0.14,0.19,0.14,0.15,0.15,0.21,0.15,0.0,0.14,0.17,0.15,0.17,0.16,0.16,0.17,0.11,0.14,0.14,0.15,0.14,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.15,0.12,0.13,0.12,0.12,0.14,0.12,0.12,0.13,0.13,0.22,0.0,0.11,0.12,0.0,0.12,0.13,0.12,0.0,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.04
07/29/2021,9.7,9.17,2.49,2.64,2.18,1.89,1.89,1.22,1.37,1.23,1.35,1.17,1.12,0.87,0.93,1.03,0.93,0.94,0.88,0.95,0.77,0.74,0.81,0.7,0.67,0.72,0.71,0.62,0.74,0.52,0.6,0.58,0.66,0.58,0.5,0.51,0.8,0.42,0.51,0.56,0.49,0.49,0.46,0.54,0.48,0.45,0.46,0.96,0.46,0.0,0.37,0.4,0.39,0.37,0.5,0.36,0.36,0.4,0.38,0.36,0.33,0.32,0.41,0.35,0.32,0.32,0.32,0.34,0.36,0.57,0.32,0.34,0.24,0.44,0.34,0.33,0.28,0.27,0.3,0.38,0.26,0.26,0.22,0.29,0.25,0.28,0.24,0.25,0.26,0.27,0.25,0.27,0.56,0.32,0.24,0.26,0.25,0.25,0.0,0.24,0.21,0.25,0.29,0.25,0.19,0.25,0.23,0.23,0.2,0.22,0.18,0.22,0.24,0.21,0.2,0.2,0.18,0.18,0.18,0.2,0.21,0.18,0.18,0.17,0.19,0.26,0.2,0.19,0.17,0.18,0.19,0.19,0.17,0.21,0.18,0.19,0.17,0.18,0.19,0.18,0.14,0.17,0.18,0.17,0.16,0.18,0.15,0.17,0.22,0.15,0.14,0.16,0.18,0.17,0.18,0.15,0.0,0.14,0.2,0.15,0.15,0.16,0.22,0.15,0.0,0.15,0.18,0.15,0.19,0.16,0.17,0.18,0.11,0.14,0.14,0.15,0.15,0.12,0.14,0.18,0.13,0.14,0.12,0.14,0.15,0.13,0.14,0.12,0.12,0.13,0.12,0.13,0.13,0.14,0.22,0.0,0.0,0.13,0.0,0.12,0.13,0.12,0.11,0.12,0.0,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,94.83
07/30/2021,9.7,9.17,2.49,2.64,2.18,1.89,1.89,1.22,1.37,1.23,1.35,1.17,1.12,0.87,0.93,1.03,0.93,0.94,0.88,0.95,0.77,0.74,0.81,0.7,0.67,0.72,0.71,0.62,0.74,0.52,0.6,0.58,0.66,0.58,0.5,0.51,0.8,0.42,0.51,0.56,0.49,0.49,0.46,0.54,0.48,0.45,0.46,0.96,0.46,0.0,0.37,0.4,0.39,0.37,0.5,0.36,0.36,0.4,0.38,0.36,0.33,0.32,0.41,0.35,0.32,0.32,0.32,0.34,0.36,0.57,0.32,0.34,0.24,0.44,0.34,0.33,0.28,0.27,0.3,0.38,0.26,0.26,0.22,0.29,0.25,0.28,0.24,0.25,0.26,0.27,0.25,0.27,0.56,0.32,0.24,0.26,0.25,0.25,0.0,0.24,0.21,0.25,0.29,0.25,0.19,0.25,0.23,0.23,0.2,0.22,0.18,0.22,0.24,0.21,0.2,0.2,0.18,0.18,0.18,0.2,0.21,0.18,0.18,0.17,0.19,0.26,0.2,0.19,0.17,0.18,0.19,0.19,0.17,0.21,0.18,0.19,0.17,0.18,0.19,0.18,0.14,0.17,0.18,0.17,0.16,0.18,0.15,0.17,0.22,0.15,0.14,0.16,0.18,0.17,0.18,0.15,0.0,0.14,0.2,0.15,0.15,0.16,0.22,0.15,0.0,0.15,0.18,0.15,0.19,0.16,0.17,0.18,0.11,0.14,0.14,0.15,0.15,0.12,0.14,0.18,0.13,0.14,0.12,0.14,0.15,0.13,0.14,0.12,0.12,0.13,0.12,0.13,0.13,0.14,0.22,0.0,0.0,0.13,0.0,0.12,0.13,0.12,0.11,0.12,0.0,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,94.83
08/02/2021,9.53,8.62,2.27,2.63,2.39,1.91,2.0,1.41,1.38,1.3,1.44,1.23,1.14,0.93,0.9,1.07,0.96,0.97,0.88,0.95,0.75,0.74,0.83,0.7,0.71,0.71,0.74,0.6,0.73,0.49,0.57,0.57,0.65,0.58,0.46,0.5,0.8,0.48,0.52,0.58,0.47,0.5,0.47,0.49,0.5,0.46,0.45,1.01,0.43,0.14,0.36,0.4,0.39,0.36,0.51,0.37,0.37,0.39,0.37,0.36,0.33,0.33,0.41,0.36,0.33,0.33,0.34,0.33,0.36,0.53,0.33,0.37,0.27,0.43,0.33,0.32,0.29,0.28,0.31,0.37,0.27,0.27,0.19,0.3,0.25,0.27,0.25,0.26,0.25,0.27,0.25,0.28,0.56,0.3,0.23,0.27,0.24,0.24,0.0,0.24,0.2,0.25,0.27,0.25,0.19,0.23,0.23,0.23,0.2,0.22,0.2,0.22,0.26,0.2,0.22,0.19,0.18,0.18,0.18,0.2,0.21,0.19,0.19,0.17,0.19,0.24,0.2,0.19,0.17,0.18,0.19,0.19,0.16,0.22,0.18,0.19,0.17,0.18,0.18,0.18,0.15,0.17,0.18,0.17,0.16,0.18,0.15,0.17,0.21,0.15,0.14,0.15,0.18,0.17,0.18,0.15,0.0,0.14,0.19,0.15,0.15,0.16,0.21,0.15,0.11,0.15,0.18,0.16,0.18,0.15,0.18,0.18,0.13,0.14,0.14,0.15,0.15,0.12,0.14,0.17,0.14,0.15,0.12,0.14,0.14,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.14,0.21,0.0,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,94.75
08/03/2021,9.53,8.62,2.27,2.63,2.39,1.91,2.0,1.41,1.38,1.3,1.44,1.23,1.14,0.93,0.9,1.07,0.96,0.97,0.88,0.95,0.75,0.74,0.83,0.7,0.71,0.71,0.74,0.6,0.73,0.49,0.57,0.57,0.65,0.58,0.46,0.5,0.8,0.48,0.52,0.58,0.47,0.5,0.47,0.49,0.5,0.46,0.45,1.01,0.43,0.14,0.36,0.4,0.39,0.36,0.51,0.37,0.37,0.39,0.37,0.36,0.33,0.33,0.41,0.36,0.33,0.33,0.34,0.33,0.36,0.53,0.33,0.37,0.27,0.43,0.33,0.32,0.29,0.28,0.31,0.37,0.27,0.27,0.19,0.3,0.25,0.27,0.25,0.26,0.25,0.27,0.25,0.28,0.56,0.3,0.23,0.27,0.24,0.24,0.0,0.24,0.2,0.25,0.27,0.25,0.19,0.23,0.23,0.23,0.2,0.22,0.2,0.22,0.26,0.2,0.22,0.19,0.18,0.18,0.18,0.2,0.21,0.19,0.19,0.17,0.19,0.24,0.2,0.19,0.17,0.18,0.19,0.19,0.16,0.22,0.18,0.19,0.17,0.18,0.18,0.18,0.15,0.17,0.18,0.17,0.16,0.18,0.15,0.17,0.21,0.15,0.14,0.15,0.18,0.17,0.18,0.15,0.0,0.14,0.19,0.15,0.15,0.16,0.21,0.15,0.11,0.15,0.18,0.16,0.18,0.15,0.18,0.18,0.13,0.14,0.14,0.15,0.15,0.12,0.14,0.17,0.14,0.15,0.12,0.14,0.14,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.14,0.21,0.0,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,94.75
08/04/2021,9.53,8.62,2.27,2.63,2.39,1.91,2.0,1.41,1.38,1.3,1.44,1.23,1.14,0.93,0.9,1.07,0.96,0.97,0.88,0.95,0.75,0.74,0.83,0.7,0.71,0.71,0.74,0.6,0.73,0.49,0.57,0.57,0.65,0.58,0.46,0.5,0.8,0.48,0.52,0.58,0.47,0.5,0.47,0.49,0.5,0.46,0.45,1.01,0.43,0.14,0.36,0.4,0.39,0.36,0.51,0.37,0.37,0.39,0.37,0.36,0.33,0.33,0.41,0.36,0.33,0.33,0.34,0.33,0.36,0.53,0.33,0.37,0.27,0.43,0.33,0.32,0.29,0.28,0.31,0.37,0.27,0.27,0.19,0.3,0.25,0.27,0.25,0.26,0.25,0.27,0.25,0.28,0.56,0.3,0.23,0.27,0.24,0.24,0.0,0.24,0.2,0.25,0.27,0.25,0.19,0.23,0.23,0.23,0.2,0.22,0.2,0.22,0.26,0.2,0.22,0.19,0.18,0.18,0.18,0.2,0.21,0.19,0.19,0.17,0.19,0.24,0.2,0.19,0.17,0.18,0.19,0.19,0.16,0.22,0.18,0.19,0.17,0.18,0.18,0.18,0.15,0.17,0.18,0.17,0.16,0.18,0.15,0.17,0.21,0.15,0.14,0.15,0.18,0.17,0.18,0.15,0.0,0.14,0.19,0.15,0.15,0.16,0.21,0.15,0.11,0.15,0.18,0.16,0.18,0.15,0.18,0.18,0.13,0.14,0.14,0.15,0.15,0.12,0.14,0.17,0.14,0.15,0.12,0.14,0.14,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.14,0.21,0.0,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,94.75
08/05/2021,9.53,8.62,2.27,2.63,2.39,1.91,2.0,1.41,1.38,1.3,1.44,1.23,1.14,0.93,0.9,1.07,0.96,0.97,0.88,0.95,0.75,0.74,0.83,0.7,0.71,0.71,0.74,0.6,0.73,0.49,0.57,0.57,0.65,0.58,0.46,0.5,0.8,0.48,0.52,0.58,0.47,0.5,0.47,0.49,0.5,0.46,0.45,1.01,0.43,0.14,0.36,0.4,0.39,0.36,0.51,0.37,0.37,0.39,0.37,0.36,0.33,0.33,0.41,0.36,0.33,0.33,0.34,0.33,0.36,0.53,0.33,0.37,0.27,0.43,0.33,0.32,0.29,0.28,0.31,0.37,0.27,0.27,0.19,0.3,0.25,0.27,0.25,0.26,0.25,0.27,0.25,0.28,0.56,0.3,0.23,0.27,0.24,0.24,0.0,0.24,0.2,0.25,0.27,0.25,0.19,0.23,0.23,0.23,0.2,0.22,0.2,0.22,0.26,0.2,0.22,0.19,0.18,0.18,0.18,0.2,0.21,0.19,0.19,0.17,0.19,0.24,0.2,0.19,0.17,0.18,0.19,0.19,0.16,0.22,0.18,0.19,0.17,0.18,0.18,0.18,0.15,0.17,0.18,0.17,0.16,0.18,0.15,0.17,0.21,0.15,0.14,0.15,0.18,0.17,0.18,0.15,0.0,0.14,0.19,0.15,0.15,0.16,0.21,0.15,0.11,0.15,0.18,0.16,0.18,0.15,0.18,0.18,0.13,0.14,0.14,0.15,0.15,0.12,0.14,0.17,0.14,0.15,0.12,0.14,0.14,0.12,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.14,0.21,0.0,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,94.75
08/06/2021,9.74,8.32,2.23,2.71,2.31,1.83,1.91,1.27,1.4,1.24,1.41,1.26,1.12,0.87,0.97,1.02,0.9,0.95,1.05,0.92,0.74,0.73,0.79,0.68,0.71,0.73,0.71,0.61,0.84,0.54,0.57,0.55,0.62,0.6,0.48,0.49,0.86,0.4,0.55,0.64,0.47,0.47,0.45,0.52,0.58,0.48,0.5,1.13,0.41,0.13,0.35,0.4,0.41,0.35,0.5,0.36,0.36,0.43,0.37,0.36,0.32,0.32,0.43,0.43,0.35,0.31,0.32,0.3,0.33,0.51,0.31,0.37,0.27,0.44,0.35,0.34,0.3,0.28,0.3,0.37,0.27,0.26,0.21,0.31,0.24,0.29,0.24,0.25,0.26,0.28,0.24,0.29,0.61,0.32,0.23,0.26,0.26,0.24,0.0,0.26,0.21,0.25,0.28,0.25,0.19,0.24,0.22,0.28,0.2,0.22,0.19,0.21,0.28,0.19,0.25,0.19,0.18,0.17,0.17,0.21,0.2,0.19,0.18,0.17,0.18,0.22,0.2,0.19,0.19,0.19,0.19,0.19,0.16,0.24,0.18,0.19,0.17,0.17,0.17,0.18,0.14,0.16,0.18,0.16,0.15,0.18,0.15,0.17,0.23,0.15,0.14,0.15,0.18,0.17,0.18,0.15,0.0,0.14,0.18,0.16,0.15,0.15,0.21,0.16,0.0,0.14,0.2,0.16,0.19,0.16,0.22,0.21,0.12,0.15,0.14,0.15,0.14,0.12,0.14,0.17,0.13,0.14,0.12,0.13,0.15,0.12,0.13,0.12,0.12,0.13,0.12,0.0,0.13,0.14,0.21,0.0,0.0,0.13,0.0,0.12,0.13,0.12,0.0,0.0,0.0,0.12,0.15,0.0,0.12,0.12,0.12,0.0,0.0,0.0,94.92
08/13/2021,8.2,8.84,2.45,2.63,2.31,1.82,1.86,1.21,1.37,1.22,1.36,1.21,1.14,0.88,0.93,0.98,0.96,0.97,1.07,0.91,0.76,0.73,0.79,0.69,0.7,0.68,0.68,0.63,0.85,0.55,0.53,0.55,0.6,0.6,0.51,0.52,0.82,0.39,0.55,0.63,0.46,0.48,0.46,0.55,0.58,0.44,0.54,0.0,0.42,0.12,0.35,0.4,0.39,0.35,0.54,0.35,0.35,0.44,0.36,0.36,0.33,0.31,0.41,0.37,0.35,0.3,0.32,0.29,0.33,0.5,0.32,0.35,0.27,0.43,0.35,0.34,0.3,0.27,0.29,0.39,0.27,0.25,0.21,0.29,0.25,0.29,0.24,0.25,0.26,0.28,0.24,0.28,0.6,0.29,0.24,0.25,0.25,0.22,0.0,0.28,0.21,0.25,0.32,0.25,0.19,0.25,0.22,0.24,0.18,0.22,0.19,0.21,0.28,0.2,0.22,0.19,0.18,0.18,0.17,0.21,0.19,0.18,0.18,0.19,0.18,0.22,0.2,0.19,0.2,0.2,0.19,0.18,0.17,0.24,0.18,0.19,0.17,0.17,0.19,0.16,0.14,0.16,0.18,0.16,0.16,0.17,0.16,0.15,0.25,0.14,0.14,0.15,0.18,0.17,0.16,0.15,0.0,0.15,0.17,0.16,0.15,0.14,0.2,0.16,0.0,0.14,0.2,0.16,0.19,0.17,0.22,0.26,0.0,0.15,0.14,0.15,0.14,0.12,0.13,0.17,0.11,0.14,0.13,0.13,0.14,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.13,0.14,0.22,0.0,0.0,0.0,0.0,0.0,0.13,0.11,0.11,0.12,0.0,0.11,0.13,0.0,0.11,0.12,0.0,1.47,1.24,0.12,94.94
