,Us Dollars,BRK.B,L,ENB.TO,DD,D,PFE,INGR,CTVA,ABX.TO,CSCO,AEM.TO,TRV,CERN,UL,EQC,CMCSA,JLL,Y,MDT,SBUX,KL.TO,GWRE,GHC,UNH,PAAS.TO,TJX,Viatris Inc,MWA,EXPD,VTRS,"Mueller Water Products, Inc. Class A",DGE$.L,n/a,EOG,VZ,MRK,SUM
07/30/2021,16.8,8.74,4.97,5.03,4.53,3.82,3.68,3.23,3.14,3.4,3.27,3.21,3.17,3.08,3.41,3.27,2.49,2.49,2.4,2.29,2.11,1.99,1.87,1.48,1.35,1.36,1.38,0.0,0.0,0.0,1.48,0.59,0.0,0.0,0.0,0.0,0.0,100.03
08/02/2021,17.65,8.48,4.85,4.98,4.48,3.65,3.64,3.17,3.11,3.45,3.17,3.31,3.07,2.97,3.84,3.15,2.41,2.53,2.34,2.24,2.0,2.1,1.85,1.48,1.31,1.39,1.35,0.0,0.0,0.0,1.48,0.58,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,17.65,8.48,4.85,4.98,4.48,3.65,3.64,3.17,3.11,3.45,3.17,3.31,3.07,2.97,3.84,3.15,2.41,2.53,2.34,2.24,2.0,2.1,1.85,1.48,1.31,1.39,1.35,0.0,0.0,0.0,1.48,0.58,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,17.65,8.48,4.85,4.98,4.48,3.65,3.64,3.17,3.11,3.45,3.17,3.31,3.07,2.97,3.84,3.15,2.41,2.53,2.34,2.24,2.0,2.1,1.85,1.48,1.31,1.39,1.35,0.0,0.0,0.0,1.48,0.58,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,17.65,8.48,4.85,4.98,4.48,3.65,3.64,3.17,3.11,3.45,3.17,3.31,3.07,2.97,3.84,3.15,2.41,2.53,2.34,2.24,2.0,2.1,1.85,1.48,1.31,1.39,1.35,0.0,0.0,0.0,1.48,0.58,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,17.58,8.52,4.81,4.94,4.42,3.64,3.87,3.12,3.09,3.42,3.23,3.26,3.09,3.08,3.85,3.09,2.4,2.51,2.33,2.25,1.94,2.14,1.85,1.46,1.33,1.37,1.35,0.0,0.0,0.0,1.47,0.59,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,0.0,9.01,5.24,5.06,5.01,3.52,3.37,3.37,3.61,3.23,3.17,3.05,3.06,2.99,2.89,2.83,2.34,2.39,2.34,2.29,2.13,1.88,1.81,1.4,1.37,1.39,1.38,0.0,0.56,0.66,1.12,0.0,1.06,0.0,0.0,0.0,0.0,83.53
09/03/2021,0.0,9.01,5.24,5.06,5.01,3.52,3.37,3.37,3.61,3.23,3.17,3.05,3.06,2.99,2.89,2.83,2.34,2.39,2.34,2.29,2.13,1.88,1.81,1.4,1.37,1.39,1.38,0.0,0.56,0.66,1.12,0.0,1.06,0.0,0.0,0.0,0.0,83.53
09/07/2021,0.0,8.49,4.9,4.99,4.27,3.76,3.96,3.12,3.21,3.18,3.39,2.98,3.26,2.84,3.65,3.14,2.54,2.76,2.34,2.29,1.9,2.06,1.98,1.33,1.33,1.3,1.39,0.0,0.63,0.0,1.53,0.0,0.0,17.48,0.0,0.0,0.0,100.0
09/08/2021,0.0,8.49,4.9,4.99,4.27,3.76,3.96,3.12,3.21,3.18,3.39,2.98,3.26,2.84,3.65,3.14,2.54,2.76,2.34,2.29,1.9,2.06,1.98,1.33,1.33,1.3,1.39,0.0,0.63,0.0,1.53,0.0,0.0,17.48,0.0,0.0,0.0,100.0
09/09/2021,0.0,8.49,4.9,4.99,4.27,3.76,3.96,3.12,3.21,3.18,3.39,2.98,3.26,2.84,3.65,3.14,2.54,2.76,2.34,2.29,1.9,2.06,1.98,1.33,1.33,1.3,1.39,0.0,0.63,0.0,1.53,0.0,0.0,17.48,0.0,0.0,0.0,100.0
09/10/2021,0.0,8.47,4.95,5.02,4.26,3.71,3.98,3.12,3.19,3.14,3.39,2.92,3.26,2.87,3.68,3.13,2.5,2.76,2.29,2.31,1.89,2.04,1.99,1.34,1.34,1.27,1.38,0.0,0.62,0.0,1.52,0.0,0.0,17.66,0.0,0.0,0.0,100.0
09/13/2021,0.0,8.49,4.94,5.05,4.21,3.81,3.93,3.09,3.15,3.12,3.39,2.91,3.27,2.85,3.68,3.15,2.48,2.77,2.3,2.3,1.95,2.04,1.99,1.34,1.32,1.27,1.37,0.0,0.62,0.0,1.49,0.0,0.0,17.75,0.0,0.0,0.0,100.03
09/14/2021,0.0,8.53,4.88,5.06,4.26,3.79,3.93,3.11,3.16,3.1,3.37,2.85,3.27,2.85,3.7,3.12,2.49,2.72,2.29,2.28,1.97,2.02,2.01,1.34,1.3,1.25,1.37,0.0,0.62,0.0,1.45,0.0,0.0,17.9,0.0,0.0,0.0,99.99
09/15/2021,0.0,8.53,4.88,5.06,4.26,3.79,3.93,3.11,3.16,3.1,3.37,2.85,3.27,2.85,3.7,3.12,2.49,2.72,2.29,2.28,1.97,2.02,2.01,1.34,1.3,1.25,1.37,0.0,0.62,0.0,1.45,0.0,0.0,17.9,0.0,0.0,0.0,99.99
09/16/2021,0.0,8.56,4.91,5.08,4.25,3.73,3.82,3.14,3.13,3.1,3.37,2.86,3.31,2.84,3.72,3.12,2.5,2.76,2.27,2.25,1.96,2.12,1.99,1.33,1.32,1.28,1.36,0.0,0.62,0.0,1.46,0.0,0.0,17.82,0.0,0.0,0.0,99.98
09/17/2021,0.0,8.55,4.87,5.08,4.15,3.74,3.87,3.14,3.09,3.13,3.38,2.89,3.28,2.84,3.76,3.17,2.34,2.75,2.24,2.28,1.97,2.15,1.98,1.33,1.33,1.3,1.39,0.0,0.62,0.0,1.44,0.0,0.0,17.96,0.0,0.0,0.0,100.02
09/20/2021,0.0,8.56,4.91,5.11,4.28,3.68,3.85,3.23,3.11,2.97,3.35,2.79,3.29,2.84,3.7,3.11,2.41,2.8,2.24,2.28,1.9,2.45,1.99,1.32,1.34,1.23,1.41,0.0,0.63,0.0,1.44,0.0,0.0,16.16,1.59,0.0,0.0,99.96999999999998
09/21/2021,0.0,8.59,4.89,5.09,4.2,3.67,3.82,3.21,3.08,2.97,3.35,2.78,3.3,2.9,3.68,3.14,2.42,2.79,2.24,2.28,1.89,2.45,1.97,1.34,1.36,1.23,1.42,0.0,0.63,0.0,1.44,0.0,0.0,16.27,1.61,0.0,0.0,100.01
09/22/2021,0.0,8.59,4.89,5.09,4.2,3.67,3.82,3.21,3.08,2.97,3.35,2.78,3.3,2.9,3.68,3.14,2.42,2.79,2.24,2.28,1.89,2.45,1.97,1.34,1.36,1.23,1.42,0.0,0.63,0.0,1.44,0.0,0.0,16.27,1.61,0.0,0.0,100.01
09/23/2021,0.0,8.59,4.89,5.09,4.2,3.67,3.82,3.21,3.08,2.97,3.35,2.78,3.3,2.9,3.68,3.14,2.42,2.79,2.24,2.28,1.89,2.45,1.97,1.34,1.36,1.23,1.42,0.0,0.63,0.0,1.44,0.0,0.0,16.27,1.61,0.0,0.0,100.01
09/24/2021,0.0,8.59,4.89,5.09,4.2,3.67,3.82,3.21,3.08,2.97,3.35,2.78,3.3,2.9,3.68,3.14,2.42,2.79,2.24,2.28,1.89,2.45,1.97,1.34,1.36,1.23,1.42,0.0,0.63,0.0,1.44,0.0,0.0,16.27,1.61,0.0,0.0,100.01
09/27/2021,0.0,8.61,4.86,5.13,4.19,3.67,3.84,3.23,3.11,2.94,3.33,2.67,3.28,2.82,3.74,3.12,2.37,2.87,2.28,2.29,1.9,2.5,2.01,1.35,1.32,1.19,1.42,0.0,0.63,0.0,1.41,0.0,0.0,16.26,1.66,0.0,0.0,100.0
09/28/2021,0.0,8.61,4.87,5.13,4.16,3.68,3.82,3.23,3.11,2.91,3.33,2.63,3.3,2.81,3.72,3.12,2.38,2.9,2.29,2.28,1.9,2.52,2.0,1.36,1.32,1.18,1.43,0.0,0.63,0.0,1.42,0.0,0.0,16.27,1.69,0.0,0.0,100.0
09/29/2021,0.0,8.61,4.87,5.13,4.16,3.68,3.82,3.23,3.11,2.91,3.33,2.63,3.3,2.81,3.72,3.12,2.38,2.9,2.29,2.28,1.9,2.52,2.0,1.36,1.32,1.18,1.43,0.0,0.63,0.0,1.42,0.0,0.0,16.27,1.69,0.0,0.0,100.0
09/30/2021,0.0,8.62,4.93,5.15,4.25,3.63,3.77,3.26,3.18,2.88,3.29,2.62,3.28,2.76,3.68,3.16,2.37,2.88,2.27,2.24,1.88,2.6,1.99,1.37,1.3,1.18,1.42,0.0,0.64,0.0,1.46,0.0,0.0,16.19,1.76,0.0,0.0,100.01000000000002
10/01/2021,0.0,8.62,4.93,5.13,4.23,3.63,3.76,3.28,3.18,2.94,3.28,2.61,3.25,2.76,3.73,3.2,2.33,2.92,2.27,2.22,1.87,2.42,1.96,1.37,1.3,1.2,1.42,0.0,0.62,0.0,1.46,0.0,0.0,16.36,1.78,0.0,0.0,100.03
10/04/2021,0.0,8.6,5.0,5.11,4.21,3.68,3.78,3.31,3.15,2.84,3.26,2.67,3.27,2.75,3.74,3.18,2.37,2.9,2.28,2.22,1.87,2.46,1.97,1.36,1.3,1.15,1.41,0.0,0.63,0.0,1.47,0.0,0.0,16.29,1.79,0.0,0.0,100.01999999999998
10/05/2021,0.0,8.56,5.09,5.14,4.22,3.58,3.74,3.3,3.2,2.91,3.25,2.66,3.22,2.72,3.7,3.19,2.42,1.54,2.29,2.23,1.89,2.43,1.97,1.36,1.27,1.17,1.34,0.0,0.61,0.0,1.97,0.0,0.0,17.18,1.82,0.0,0.0,99.97
10/06/2021,0.0,8.56,5.09,5.14,4.22,3.58,3.74,3.3,3.2,2.91,3.25,2.66,3.22,2.72,3.7,3.19,2.42,1.54,2.29,2.23,1.89,2.43,1.97,1.36,1.27,1.17,1.34,0.0,0.61,0.0,1.97,0.0,0.0,17.18,1.82,0.0,0.0,99.97
10/07/2021,0.0,8.51,5.08,5.2,4.29,3.64,3.7,3.35,3.14,2.95,3.2,2.73,3.2,2.72,3.68,3.18,2.41,1.52,2.3,2.2,1.86,2.48,1.88,1.37,1.26,1.18,1.33,0.0,0.62,0.0,1.95,0.0,0.0,17.18,1.88,0.0,0.0,99.99000000000002
10/08/2021,0.0,8.6,5.17,5.14,4.31,3.59,3.67,3.38,3.19,2.92,3.21,2.74,3.23,2.69,3.64,3.16,2.4,1.52,2.3,2.2,1.84,2.52,1.9,1.38,1.27,1.16,1.31,0.0,0.62,0.0,1.95,0.0,0.0,17.08,1.88,0.0,0.0,99.97
10/11/2021,0.0,8.73,5.21,5.21,4.28,3.63,3.7,3.43,3.11,2.99,3.22,2.79,3.3,2.72,3.59,3.22,2.42,1.51,2.32,2.21,1.86,2.55,1.96,1.38,1.3,1.19,1.3,0.0,0.0,0.0,1.97,0.0,0.0,17.04,1.85,0.0,0.0,99.99
10/12/2021,0.0,8.71,5.22,5.25,4.24,3.55,3.65,3.42,3.11,2.96,3.2,2.79,3.28,2.71,3.55,3.19,2.29,1.49,2.32,2.17,1.83,2.54,1.95,1.36,1.31,1.19,1.29,0.0,0.0,0.0,1.95,0.0,0.0,17.53,1.94,0.0,0.0,99.99
10/13/2021,0.0,8.71,5.22,5.25,4.24,3.55,3.65,3.42,3.11,2.96,3.2,2.79,3.28,2.71,3.55,3.19,2.29,1.49,2.32,2.17,1.83,2.54,1.95,1.36,1.31,1.19,1.29,0.0,0.0,0.0,1.95,0.0,0.0,17.53,1.94,0.0,0.0,99.99
10/14/2021,0.0,8.66,5.2,5.27,4.23,3.55,3.64,3.47,3.1,2.96,3.21,2.79,3.28,2.71,3.56,3.22,2.2,1.51,2.32,2.15,1.84,2.54,1.95,1.35,1.3,1.19,1.26,0.0,0.0,0.0,1.96,0.0,0.0,17.63,1.94,0.0,0.0,99.99
10/15/2021,0.0,8.58,5.2,5.33,4.19,3.56,3.62,3.47,3.06,2.99,3.17,2.86,3.28,2.69,3.54,3.24,2.2,1.51,2.33,2.14,1.84,2.6,1.96,1.34,1.3,1.21,1.26,0.0,0.0,0.0,1.94,0.0,0.0,17.62,1.94,0.0,0.0,99.97
10/22/2021,0.0,8.64,5.17,5.38,4.3,3.64,3.58,3.46,3.14,3.6,3.2,3.38,3.2,2.7,3.5,3.21,2.24,1.47,2.36,2.09,1.85,2.64,1.97,1.28,1.34,1.23,1.26,0.0,0.0,0.0,1.92,0.0,0.0,16.34,1.91,0.0,0.0,100.0
10/25/2021,0.0,8.65,5.18,5.37,4.33,3.67,3.61,3.42,3.15,3.6,3.2,3.38,3.24,2.7,3.5,3.19,2.24,1.48,2.34,2.07,1.84,2.62,1.96,1.27,1.37,1.25,1.25,0.0,0.0,0.0,1.97,0.0,0.0,16.21,1.96,0.0,0.0,100.02
10/26/2021,0.0,8.69,5.13,5.32,4.26,3.7,3.64,3.43,3.05,3.6,3.14,3.37,3.31,2.69,3.55,3.15,2.22,1.53,2.4,2.09,1.85,2.62,1.98,1.28,1.41,1.25,1.25,0.0,0.0,0.0,1.96,0.0,0.0,16.2,1.93,0.0,0.0,100.0
10/27/2021,0.0,8.69,5.13,5.32,4.26,3.7,3.64,3.43,3.05,3.6,3.14,3.37,3.31,2.69,3.55,3.15,2.22,1.53,2.4,2.09,1.85,2.62,1.98,1.28,1.41,1.25,1.25,0.0,0.0,0.0,1.96,0.0,0.0,16.2,1.93,0.0,0.0,100.0
10/28/2021,0.0,8.69,5.13,5.32,4.26,3.7,3.64,3.43,3.05,3.6,3.14,3.37,3.31,2.69,3.55,3.15,2.22,1.53,2.4,2.09,1.85,2.62,1.98,1.28,1.41,1.25,1.25,0.0,0.0,0.0,1.96,0.0,0.0,16.2,1.93,0.0,0.0,100.0
10/29/2021,0.0,8.71,5.13,5.29,4.24,3.66,3.63,3.43,3.02,3.61,3.13,3.41,3.29,2.68,3.53,3.13,2.21,1.54,2.38,2.09,1.85,2.64,2.01,1.31,1.41,1.27,1.27,0.0,0.0,0.0,1.94,0.0,0.0,16.2,1.97,0.0,0.0,99.98
11/01/2021,0.0,8.75,5.01,5.29,4.12,3.68,3.66,3.36,3.03,3.63,3.23,3.38,3.29,2.64,3.58,3.12,2.17,1.53,2.34,2.1,1.86,2.61,2.01,1.31,1.44,1.27,1.27,0.0,0.0,0.0,1.86,0.0,0.0,16.46,1.98,0.0,0.0,99.98
11/02/2021,0.0,8.76,5.08,5.28,4.17,3.69,3.75,3.42,3.12,3.45,3.23,3.18,3.33,2.82,3.6,3.11,2.14,1.52,2.32,2.06,1.74,2.46,2.05,1.32,1.47,1.23,1.3,0.0,0.0,0.0,1.91,0.0,0.0,16.51,1.97,0.0,0.0,99.99
11/03/2021,0.0,8.76,5.08,5.28,4.17,3.69,3.75,3.42,3.12,3.45,3.23,3.18,3.33,2.82,3.6,3.11,2.14,1.52,2.32,2.06,1.74,2.46,2.05,1.32,1.47,1.23,1.3,0.0,0.0,0.0,1.91,0.0,0.0,16.51,1.97,0.0,0.0,99.99
11/04/2021,0.0,8.76,5.08,5.28,4.17,3.69,3.75,3.42,3.12,3.45,3.23,3.18,3.33,2.82,3.6,3.11,2.14,1.52,2.32,2.06,1.74,2.46,2.05,1.32,1.47,1.23,1.3,0.0,0.0,0.0,1.91,0.0,0.0,16.51,1.97,0.0,0.0,99.99
11/05/2021,0.0,8.7,5.15,5.26,4.6,3.64,3.85,3.29,3.07,3.44,3.3,3.1,3.26,2.88,3.58,3.08,2.16,1.51,2.34,2.07,1.81,2.41,1.99,1.29,1.43,1.22,1.32,0.0,0.0,0.0,1.96,0.0,0.0,16.35,1.96,0.0,0.0,100.02
11/08/2021,0.0,8.68,5.07,5.22,4.71,3.63,3.71,3.42,3.39,3.48,3.26,3.09,3.2,2.84,3.51,3.08,2.16,1.53,2.31,2.05,1.82,2.39,2.0,1.31,1.44,1.2,1.36,0.0,0.0,0.0,1.93,0.0,0.0,16.29,1.92,0.0,0.0,100.0
11/09/2021,0.0,8.54,5.04,5.31,4.68,3.62,4.05,3.43,3.35,3.58,3.21,3.12,3.21,2.79,3.45,3.05,2.18,1.54,2.34,2.06,1.87,2.39,1.99,1.33,1.41,1.22,1.37,0.0,0.0,0.0,1.91,0.0,0.0,16.02,1.97,0.0,0.0,100.03
11/10/2021,0.0,8.54,5.04,5.31,4.68,3.62,4.05,3.43,3.35,3.58,3.21,3.12,3.21,2.79,3.45,3.05,2.18,1.54,2.34,2.06,1.87,2.39,1.99,1.33,1.41,1.22,1.37,0.0,0.0,0.0,1.91,0.0,0.0,16.02,1.97,0.0,0.0,100.03
11/11/2021,0.0,8.58,5.12,5.2,4.64,3.53,4.03,3.46,3.28,3.56,3.21,3.13,3.2,2.75,3.46,3.06,2.16,1.55,2.37,2.06,1.84,2.39,2.01,1.3,1.43,1.24,1.35,0.0,0.0,0.0,2.04,0.0,0.0,16.05,2.01,0.0,0.0,100.01
11/12/2021,0.0,8.58,5.12,5.2,4.64,3.53,4.03,3.46,3.28,3.56,3.21,3.13,3.2,2.75,3.46,3.06,2.16,1.55,2.37,2.06,1.84,2.39,2.01,1.3,1.43,1.24,1.35,0.0,0.0,0.0,2.04,0.0,0.0,16.05,2.01,0.0,0.0,100.01
11/15/2021,0.0,8.42,5.05,5.11,4.7,3.54,4.16,3.45,3.34,3.76,3.18,3.3,3.17,2.75,3.42,3.03,2.16,1.53,2.4,1.99,1.78,2.54,1.98,1.29,1.41,1.3,1.31,0.0,0.0,0.0,2.0,0.0,0.0,13.01,1.96,2.98,0.0,100.02
11/16/2021,0.0,8.47,5.02,4.95,4.69,3.53,4.13,3.46,3.42,3.78,3.19,3.32,3.16,2.77,3.42,3.03,2.16,1.52,2.42,1.99,1.78,2.54,1.98,1.3,1.42,1.3,1.32,0.0,0.0,0.0,1.96,0.0,0.0,13.03,1.96,2.98,0.0,99.99999999999996
11/17/2021,0.0,8.47,5.02,4.95,4.69,3.53,4.13,3.46,3.42,3.78,3.19,3.32,3.16,2.77,3.42,3.03,2.16,1.52,2.42,1.99,1.78,2.54,1.98,1.3,1.42,1.3,1.32,0.0,0.0,0.0,1.96,0.0,0.0,13.03,1.96,2.98,0.0,99.99999999999996
11/18/2021,0.0,8.47,5.02,4.95,4.69,3.53,4.13,3.46,3.42,3.78,3.19,3.32,3.16,2.77,3.42,3.03,2.16,1.52,2.42,1.99,1.78,2.54,1.98,1.3,1.42,1.3,1.32,0.0,0.0,0.0,1.96,0.0,0.0,13.03,1.96,2.98,0.0,99.99999999999996
11/19/2021,0.0,8.45,5.0,4.97,4.54,3.58,4.15,3.49,3.42,3.78,3.22,3.3,3.22,2.75,3.42,3.05,2.16,1.53,2.41,1.98,1.8,2.53,1.95,1.31,1.4,1.3,1.34,0.0,0.0,0.0,1.94,0.0,0.0,13.12,1.92,2.98,0.0,100.01
11/22/2021,0.0,8.45,5.0,4.97,4.54,3.58,4.15,3.49,3.42,3.78,3.22,3.3,3.22,2.75,3.42,3.05,2.16,1.53,2.41,1.98,1.8,2.53,1.95,1.31,1.4,1.3,1.34,0.0,0.0,0.0,1.94,0.0,0.0,13.12,1.92,2.98,0.0,100.01
11/23/2021,0.0,8.45,5.0,4.97,4.54,3.58,4.15,3.49,3.42,3.78,3.22,3.3,3.22,2.75,3.42,3.05,2.16,1.53,2.41,1.98,1.8,2.53,1.95,1.31,1.4,1.3,1.34,0.0,0.0,0.0,1.94,0.0,0.0,13.12,1.92,2.98,0.0,100.01
11/24/2021,0.0,8.47,4.99,4.96,4.75,3.58,4.31,3.44,3.43,3.77,3.05,3.23,3.13,2.74,3.43,3.1,2.14,1.52,2.39,2.0,1.81,2.47,1.99,1.33,1.39,1.28,1.39,0.0,0.0,0.0,1.85,0.0,0.0,13.3,1.81,2.95,0.0,100.0
11/25/2021,0.0,8.64,5.1,4.93,4.71,3.57,4.35,3.48,3.41,3.69,3.13,3.15,3.22,2.77,3.42,3.06,2.12,1.51,2.48,2.0,1.82,2.41,1.89,1.32,1.38,1.23,1.37,0.0,0.0,0.0,1.86,0.0,0.0,13.15,1.84,3.0,0.0,100.01
11/26/2021,0.0,8.67,5.12,4.94,4.69,3.58,4.3,3.48,3.41,3.59,3.14,3.07,3.26,2.77,3.46,3.06,2.13,1.52,2.47,1.92,1.84,2.36,1.86,1.33,1.4,1.23,1.38,0.0,0.0,0.0,1.85,0.0,0.0,13.26,1.93,2.99,0.0,100.01
11/29/2021,0.0,8.65,5.08,4.96,4.65,3.59,4.3,3.47,3.39,3.59,3.16,3.05,3.24,2.75,3.46,3.09,2.12,1.54,2.47,1.94,1.85,2.35,1.88,1.34,1.41,1.24,1.39,0.0,0.0,0.0,1.84,0.0,0.0,13.25,1.96,2.98,0.0,99.99
11/30/2021,0.0,8.63,4.98,4.9,4.6,3.58,4.61,3.46,3.38,3.63,3.15,3.1,3.17,2.74,3.52,3.12,2.12,1.46,2.41,1.91,1.82,2.38,1.9,1.33,1.4,1.22,1.37,0.0,0.0,0.0,1.82,0.0,0.0,13.42,1.86,3.03,0.0,100.02
12/01/2021,0.0,8.63,4.98,4.9,4.6,3.58,4.61,3.46,3.38,3.63,3.15,3.1,3.17,2.74,3.52,3.12,2.12,1.46,2.41,1.91,1.82,2.38,1.9,1.33,1.4,1.22,1.37,0.0,0.0,0.0,1.82,0.0,0.0,13.42,1.86,3.03,0.0,100.02
12/02/2021,0.0,8.63,5.0,4.82,4.62,3.62,4.49,3.51,3.37,3.6,3.22,3.04,3.16,2.77,3.55,3.07,2.14,1.47,2.38,1.9,1.83,2.33,1.94,1.3,1.44,1.22,1.4,0.0,0.0,0.0,1.79,0.0,0.0,13.46,1.89,3.03,0.0,99.99
12/06/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/07/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/08/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
