,IUSB,IVV,IDEV,IAGG,IEMG,IJH,IJR,XTSLA,USD,n/a,SUM
11/05/2021,50.77,21.1,12.75,8.95,4.3,1.34,0.6,0.1,0.09,0.0,100.0
11/08/2021,50.62,21.23,12.79,8.94,4.3,1.34,0.6,0.12,0.07,0.0,100.00999999999998
11/09/2021,50.63,21.22,12.77,8.95,4.28,1.35,0.61,0.17,0.01,0.0,99.99
11/10/2021,50.63,21.22,12.77,8.95,4.28,1.35,0.61,0.17,0.01,0.0,99.99
11/11/2021,50.56,21.25,12.78,8.94,4.32,1.35,0.61,0.17,0.01,0.0,99.99
11/12/2021,50.68,21.17,12.75,8.95,4.3,1.35,0.61,0.18,0.0,0.0,99.99
11/15/2021,50.62,21.16,12.72,8.97,4.39,1.35,0.62,0.18,0.0,0.0,100.01
11/16/2021,50.62,21.16,12.72,8.97,4.39,1.35,0.62,0.18,0.0,0.0,100.01
11/17/2021,50.48,21.26,12.77,8.96,4.39,1.35,0.61,0.18,0.0,0.0,100.0
11/18/2021,50.43,21.31,12.77,8.95,4.38,1.36,0.61,0.18,0.0,0.0,99.99
11/19/2021,50.37,21.39,12.73,8.96,4.38,1.36,0.62,0.18,0.0,0.0,99.99
11/22/2021,50.48,21.35,12.71,8.97,4.36,1.35,0.61,0.18,0.0,0.0,100.01
11/23/2021,50.48,21.35,12.71,8.97,4.36,1.35,0.61,0.18,0.0,0.0,100.01
11/24/2021,50.6,21.37,12.61,8.99,4.3,1.34,0.6,0.18,0.0,0.0,99.99
11/25/2021,50.59,21.4,12.58,9.0,4.29,1.35,0.61,0.18,0.0,0.0,100.0
11/26/2021,50.5,21.48,12.59,9.0,4.29,1.35,0.61,0.19,-0.01,0.0,100.0
11/29/2021,50.56,21.51,12.51,9.0,4.28,1.35,0.61,0.19,-0.01,0.0,100.0
11/30/2021,51.19,21.17,12.28,9.1,4.18,1.32,0.59,0.19,-0.01,0.0,100.01
12/01/2021,51.19,21.17,12.28,9.1,4.18,1.32,0.59,0.19,-0.01,0.0,100.01
12/02/2021,51.02,21.37,12.29,9.07,4.18,1.31,0.59,0.19,-0.01,0.0,100.01
12/06/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/07/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/08/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/09/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/10/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/13/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/14/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/15/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/16/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/17/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/20/2021,51.19,21.08,12.25,9.12,4.24,1.29,0.58,0.19,0.0,0.06,100.0
12/21/2021,51.05,21.15,12.08,9.02,4.08,1.28,0.57,0.61,0.0,0.16,100.0
12/22/2021,51.05,21.15,12.08,9.02,4.08,1.28,0.57,0.61,0.0,0.16,100.0
12/23/2021,51.2,21.01,12.09,9.06,4.04,1.27,0.56,0.61,0.0,0.16,100.0
12/24/2021,50.88,21.27,12.17,8.97,4.09,1.29,0.58,0.61,0.0,0.15,100.01000000000002
12/27/2021,50.89,21.62,12.37,8.95,4.13,1.31,0.59,0.67,0.0,-0.54,99.99
12/28/2021,50.89,21.62,12.37,8.95,4.13,1.31,0.59,0.67,0.0,-0.54,99.99
12/29/2021,50.89,21.62,12.37,8.95,4.13,1.31,0.59,0.67,0.0,-0.54,99.99
12/30/2021,50.68,21.82,12.41,8.9,4.13,1.32,0.59,0.76,0.0,-0.63,99.98
12/31/2021,50.7,21.81,12.43,8.9,4.12,1.32,0.59,0.76,0.0,-0.62,100.01
01/03/2022,50.69,21.79,12.4,8.9,4.15,1.33,0.59,0.76,0.0,-0.61,100.0
01/03/2022,50.73,21.75,12.41,8.9,4.14,1.33,0.59,0.14,0.0,0.01,100.0
01/03/2022,50.73,21.75,12.41,8.9,4.14,1.33,0.59,0.14,0.0,0.01,100.0
01/04/2022,50.73,21.75,12.41,8.9,4.14,1.33,0.59,0.14,0.0,0.01,100.0
01/05/2022,50.73,21.75,12.41,8.9,4.14,1.33,0.59,0.14,0.0,0.01,100.0
01/06/2022,50.46,21.91,12.5,8.88,4.17,1.34,0.6,0.14,0.0,0.01,100.01
01/07/2022,50.43,21.9,12.54,8.88,4.15,1.34,0.6,0.14,0.0,0.01,99.99
01/10/2022,50.69,21.66,12.49,8.94,4.14,1.33,0.6,0.16,0.0,-0.01,100.0
01/11/2022,50.64,21.61,12.55,8.95,4.19,1.32,0.59,0.15,0.0,0.0,100.0
01/12/2022,50.64,21.61,12.55,8.95,4.19,1.32,0.59,0.15,0.0,0.0,100.0
01/13/2022,50.71,21.62,12.46,8.95,4.2,1.32,0.59,0.15,0.0,0.0,100.0
01/14/2022,50.52,21.71,12.53,8.9,4.26,1.33,0.59,0.15,0.0,0.0,99.99
01/17/2022,50.62,21.5,12.59,8.95,4.28,1.32,0.59,0.15,0.0,0.0,100.0
01/18/2022,50.52,21.57,12.6,8.95,4.29,1.32,0.59,0.15,0.0,0.0,99.99
01/19/2022,50.52,21.57,12.6,8.95,4.29,1.32,0.59,0.15,0.0,0.0,99.99
01/20/2022,50.52,21.57,12.6,8.95,4.29,1.32,0.59,0.15,0.0,0.0,99.99
01/21/2022,50.72,21.41,12.57,9.01,4.26,1.31,0.58,0.15,0.0,0.0,100.01
01/24/2022,51.08,21.04,12.52,9.07,4.32,1.27,0.56,0.15,0.0,-0.01,100.0
01/25/2022,51.08,21.04,12.52,9.07,4.32,1.27,0.56,0.15,0.0,-0.01,100.0
01/26/2022,51.5,20.73,12.4,9.13,4.27,1.26,0.56,0.15,0.0,-0.01,99.99
01/27/2022,51.53,20.83,12.28,9.15,4.22,1.28,0.57,0.15,0.0,-0.01,100.0
01/28/2022,51.67,20.67,12.28,9.17,4.22,1.26,0.57,0.16,0.0,-0.01,99.99
01/31/2022,51.83,20.63,12.23,9.22,4.15,1.24,0.55,0.16,0.0,-0.01,100.0
02/01/2022,51.55,21.01,12.19,9.14,4.15,1.25,0.56,0.16,0.0,-0.01,100.0
02/02/2022,51.55,21.01,12.19,9.14,4.15,1.25,0.56,0.16,0.0,-0.01,100.0
02/03/2022,51.18,21.24,12.3,9.05,4.25,1.27,0.57,0.15,0.0,-0.01,100.0
02/04/2022,50.95,21.31,12.39,9.03,4.26,1.28,0.57,0.15,0.0,0.06,100.0
02/07/2022,51.15,21.16,12.38,9.03,4.24,1.27,0.56,0.15,0.0,0.06,100.0
02/08/2022,50.93,21.31,12.42,9.02,4.26,1.27,0.56,0.15,0.0,0.07,99.98999999999998
02/09/2022,50.93,21.31,12.42,9.02,4.26,1.27,0.56,0.15,0.0,0.07,99.98999999999998
02/10/2022,50.98,21.24,12.45,9.01,4.26,1.28,0.56,0.15,0.0,0.07,100.0
02/11/2022,50.78,21.38,12.49,8.98,4.29,1.3,0.57,0.22,0.0,0.0,100.01
02/14/2022,50.58,21.41,12.59,8.98,4.34,1.31,0.57,0.22,0.0,0.0,100.0
02/15/2022,51.04,21.06,12.46,9.06,4.29,1.3,0.57,0.22,0.0,0.0,100.0
02/16/2022,51.04,21.06,12.46,9.06,4.29,1.3,0.57,0.22,0.0,0.0,100.0
02/17/2022,51.03,21.09,12.45,9.05,4.28,1.3,0.58,0.22,0.0,0.0,100.0
02/18/2022,50.65,21.31,12.59,8.99,4.34,1.32,0.58,0.22,0.0,0.0,99.99999999999999
