,TLT,IAU,GCQ1,BANK OF NEW YORK CASH RESERVE,NEE,DREYFUS GOVT CASH MGMT,DUK,SO,D,EXC,AEP,SRE,XEL,PEG,AWK,WEC,ES,ED,EIX,PPL,DTE,ETR,FE,AEE,CMS,PCG,LNT,EVRG,CNP,ATO,NI,PNW,DTM,AGR,GCV1,n/a,SUM
07/23/2021,52.46,12.46,9.63,6.29,4.25,2.15,2.15,1.87,1.73,1.26,1.2,1.07,1.01,0.86,0.85,0.83,0.83,0.71,0.61,0.61,0.62,0.57,0.57,0.58,0.5,0.4,0.41,0.41,0.39,0.35,0.27,0.27,0.11,0.08,0.0,0.0,108.36
07/26/2021,52.54,12.5,9.65,6.32,4.21,2.17,2.14,1.88,1.71,1.27,1.19,1.06,1.0,0.86,0.84,0.82,0.82,0.71,0.6,0.61,0.62,0.57,0.6,0.57,0.49,0.4,0.41,0.41,0.38,0.35,0.27,0.26,0.11,0.08,0.0,0.0,108.42
07/27/2021,52.24,12.47,9.64,6.32,4.27,2.17,2.18,1.91,1.74,1.28,1.21,1.07,1.01,0.88,0.86,0.84,0.83,0.72,0.6,0.62,0.63,0.58,0.59,0.58,0.5,0.39,0.41,0.42,0.39,0.35,0.27,0.27,0.11,0.08,0.0,0.0,108.43
07/28/2021,52.24,12.47,9.64,6.32,4.27,2.17,2.18,1.91,1.74,1.28,1.21,1.07,1.01,0.88,0.86,0.84,0.83,0.72,0.6,0.62,0.63,0.58,0.59,0.58,0.5,0.39,0.41,0.42,0.39,0.35,0.27,0.27,0.11,0.08,0.0,0.0,108.43
07/29/2021,52.19,12.48,9.64,6.34,4.27,2.18,2.18,1.91,1.73,1.28,1.23,1.07,1.02,0.88,0.85,0.84,0.83,0.72,0.6,0.62,0.63,0.59,0.6,0.58,0.5,0.37,0.42,0.42,0.39,0.35,0.27,0.27,0.11,0.08,0.0,0.0,108.44
07/30/2021,52.21,12.37,0.0,6.27,4.28,2.16,2.2,1.91,1.76,1.29,1.25,1.08,1.02,0.89,0.86,0.85,0.84,0.72,0.61,0.62,0.64,0.59,0.59,0.59,0.51,0.38,0.42,0.42,0.39,0.36,0.27,0.27,0.11,0.08,9.56,0.0,108.37
08/02/2021,51.95,12.57,0.0,6.28,4.3,2.16,2.18,1.91,1.73,1.29,1.24,1.08,1.01,0.9,0.87,0.84,0.83,0.71,0.61,0.62,0.63,0.59,0.58,0.58,0.5,0.38,0.41,0.42,0.39,0.35,0.27,0.27,0.12,0.08,9.73,0.0,108.38
08/03/2021,52.29,12.49,0.0,6.29,4.29,2.16,2.18,1.9,1.72,1.28,1.23,1.06,1.01,0.88,0.87,0.83,0.83,0.71,0.58,0.61,0.63,0.58,0.58,0.58,0.5,0.37,0.41,0.41,0.39,0.35,0.27,0.26,0.11,0.08,9.65,0.0,108.38
08/04/2021,52.29,12.49,0.0,6.29,4.29,2.16,2.18,1.9,1.72,1.28,1.23,1.06,1.01,0.88,0.87,0.83,0.83,0.71,0.58,0.61,0.63,0.58,0.58,0.58,0.5,0.37,0.41,0.41,0.39,0.35,0.27,0.26,0.11,0.08,9.65,0.0,108.38
08/05/2021,52.33,12.4,0.0,6.24,4.31,2.15,2.18,1.89,1.72,1.28,1.23,1.06,1.0,0.89,0.87,0.83,0.83,0.71,0.58,0.61,0.63,0.58,0.58,0.58,0.5,0.38,0.41,0.42,0.39,0.35,0.27,0.26,0.12,0.08,9.61,0.0,108.27
08/06/2021,52.3,12.37,0.0,6.24,4.34,2.12,2.19,1.89,1.72,1.29,1.23,1.07,1.01,0.9,0.89,0.84,0.84,0.71,0.59,0.61,0.63,0.58,0.58,0.59,0.5,0.38,0.42,0.42,0.39,0.35,0.27,0.25,0.12,0.08,9.56,0.0,108.27
01/13/2022,49.58,12.25,0.0,0.0,4.64,0.0,2.26,2.04,1.8,1.54,1.27,1.22,1.05,0.94,0.87,0.86,0.86,0.84,0.7,0.63,0.65,0.63,0.63,0.62,0.52,0.52,0.43,0.42,0.45,0.38,0.3,0.22,0.0,0.1,0.0,10.66,99.88
01/14/2022,49.74,12.36,0.0,0.0,4.65,0.0,2.22,2.0,1.78,1.5,1.26,1.2,1.03,0.93,0.85,0.84,0.83,0.82,0.68,0.63,0.64,0.61,0.63,0.62,0.52,0.51,0.42,0.42,0.45,0.38,0.3,0.22,0.0,0.1,0.0,10.74,99.88
01/17/2022,49.74,12.29,0.0,0.0,4.63,0.0,2.23,2.01,1.79,1.52,1.26,1.21,1.03,0.93,0.85,0.85,0.84,0.83,0.68,0.62,0.64,0.62,0.63,0.63,0.52,0.53,0.42,0.42,0.45,0.38,0.31,0.22,0.0,0.1,0.0,10.7,99.87999999999998
01/18/2022,49.74,12.29,0.0,0.0,4.63,0.0,2.23,2.01,1.79,1.52,1.26,1.21,1.03,0.93,0.85,0.85,0.84,0.83,0.68,0.62,0.64,0.62,0.63,0.63,0.52,0.53,0.42,0.42,0.45,0.38,0.31,0.22,0.0,0.1,0.0,10.7,99.87999999999998
01/19/2022,49.74,12.29,0.0,0.0,4.63,0.0,2.23,2.01,1.79,1.52,1.26,1.21,1.03,0.93,0.85,0.85,0.84,0.83,0.68,0.62,0.64,0.62,0.63,0.63,0.52,0.53,0.42,0.42,0.45,0.38,0.31,0.22,0.0,0.1,0.0,10.7,99.87999999999998
