,BND,AGG,SCHZ,HTRB,HYLB,QQQ,PFFD,QYLD,VCIT,MLPA,BAB,ITOT,VTI,VOO,MBB,FUTY,SCHH,VIG,WisdomTree U.S. Efficient Core Fund,NPH.NZ,SDA.AX,002810.KS,n/a,603121.SS,NTSX,SUM
07/23/2021,11.88,11.87,11.87,8.36,8.31,7.5,7.5,7.32,4.42,3.86,3.13,2.47,2.47,2.48,1.82,1.55,1.45,1.26,0.83,0.0,-0.35,0.0,0.0,0.0,0.0,100.0
07/26/2021,11.73,11.73,11.73,8.25,8.29,7.62,7.44,7.38,4.37,3.98,3.09,2.51,2.52,2.52,1.8,1.53,1.45,1.27,0.84,0.0,-0.03,0.0,0.0,0.0,0.0,100.02
07/27/2021,11.68,11.68,11.68,8.22,8.28,7.68,7.43,7.38,4.35,3.96,3.07,2.53,2.53,2.53,1.79,1.54,1.46,1.28,0.85,0.0,0.0,0.07,0.0,0.0,0.0,99.99
07/28/2021,11.68,11.68,11.68,8.22,8.28,7.68,7.43,7.38,4.35,3.96,3.07,2.53,2.53,2.53,1.79,1.54,1.46,1.28,0.85,0.0,0.07,0.0,0.0,0.0,0.0,99.99
07/29/2021,11.66,11.66,11.66,8.21,8.26,7.68,7.42,7.38,4.34,4.05,3.06,2.53,2.53,2.54,1.79,1.54,1.46,1.27,0.85,0.0,0.1,0.0,0.0,0.0,0.0,99.98999999999998
07/30/2021,11.66,11.66,11.66,8.21,8.26,7.68,7.42,7.38,4.34,4.05,3.06,2.53,2.53,2.54,1.79,1.54,1.46,1.27,0.85,0.0,0.1,0.0,0.0,0.0,0.0,99.98999999999998
08/02/2021,11.69,11.67,11.68,8.23,8.25,7.67,7.41,7.36,4.35,4.02,3.08,2.51,2.52,2.52,1.79,1.56,1.46,1.26,0.84,0.0,0.13,0.0,0.0,0.0,0.0,100.0
08/03/2021,11.69,11.67,11.68,8.23,8.25,7.67,7.41,7.36,4.35,4.02,3.08,2.51,2.52,2.52,1.79,1.56,1.46,1.26,0.84,0.0,0.13,0.0,0.0,0.0,0.0,100.0
08/04/2021,11.69,11.67,11.68,8.23,8.25,7.67,7.41,7.36,4.35,4.02,3.08,2.51,2.52,2.52,1.79,1.56,1.46,1.26,0.84,0.0,0.13,0.0,0.0,0.0,0.0,100.0
08/05/2021,11.69,11.67,11.68,8.23,8.25,7.67,7.41,7.36,4.35,4.02,3.08,2.51,2.52,2.52,1.79,1.56,1.46,1.26,0.84,0.0,0.13,0.0,0.0,0.0,0.0,100.0
08/06/2021,11.67,11.66,11.66,8.21,8.19,7.68,7.47,7.37,4.34,3.94,3.09,2.52,2.52,2.53,1.79,1.56,1.45,1.28,0.84,0.0,0.22,0.0,0.0,0.0,0.0,99.99
08/09/2021,11.68,11.66,11.66,8.2,8.21,7.76,7.46,7.41,4.34,3.82,3.08,2.53,2.54,2.54,1.79,1.58,1.47,1.28,0.0,0.0,0.15,0.0,0.85,0.0,0.0,100.01
08/10/2021,11.68,11.67,11.68,8.23,8.25,7.71,7.5,7.46,4.35,3.76,3.08,2.55,2.54,2.54,1.78,1.59,1.47,1.28,0.0,0.0,0.04,0.0,0.85,0.0,0.0,100.01
08/11/2021,11.68,11.67,11.68,8.23,8.25,7.71,7.5,7.46,4.35,3.76,3.08,2.55,2.54,2.54,1.78,1.59,1.47,1.28,0.0,0.0,0.04,0.0,0.85,0.0,0.0,100.01
08/13/2021,11.68,11.67,11.68,8.23,8.25,7.71,7.46,7.49,4.34,3.82,3.08,2.56,2.55,2.55,1.79,1.6,1.45,1.29,0.0,0.0,-0.04,0.0,0.86,0.0,0.0,100.02
08/16/2021,11.64,11.64,11.64,8.2,8.24,7.7,7.46,7.47,4.33,3.9,3.06,2.56,2.55,2.55,1.78,1.61,1.46,1.29,0.0,0.0,0.09,0.0,0.86,0.0,0.0,100.03000000000002
08/17/2021,11.62,11.61,11.62,7.84,8.28,7.58,7.38,7.77,4.5,4.05,2.94,2.52,2.52,2.5,1.76,1.66,1.51,1.33,0.0,0.0,0.21,0.0,0.81,0.0,0.0,100.01
08/18/2021,11.62,11.61,11.62,7.84,8.28,7.58,7.38,7.77,4.5,4.05,2.94,2.52,2.52,2.5,1.76,1.66,1.51,1.33,0.0,0.0,0.21,0.0,0.81,0.0,0.0,100.01
08/19/2021,11.63,11.61,11.63,7.83,8.28,7.58,7.38,7.77,4.51,4.0,2.95,2.52,2.52,2.5,1.76,1.66,1.51,1.33,0.0,0.0,0.22,0.0,0.81,0.0,0.0,100.0
08/20/2021,11.66,11.66,11.66,7.84,8.3,7.54,7.38,7.8,4.52,3.99,2.95,2.51,2.51,2.5,1.78,1.67,1.51,1.33,0.0,0.0,0.09,0.0,0.81,0.0,0.0,100.01
08/23/2021,11.66,11.66,11.66,7.84,8.3,7.54,7.38,7.8,4.52,3.99,2.95,2.51,2.51,2.5,1.78,1.67,1.51,1.33,0.0,0.0,0.09,0.0,0.81,0.0,0.0,100.01
08/24/2021,11.65,11.66,11.66,7.85,8.29,7.55,7.37,7.85,4.52,3.88,2.96,2.52,2.5,2.48,1.77,1.69,1.52,1.33,0.0,0.0,0.13,0.0,0.81,0.0,0.0,99.99
08/25/2021,11.65,11.66,11.66,7.85,8.29,7.55,7.37,7.85,4.52,3.88,2.96,2.52,2.5,2.48,1.77,1.69,1.52,1.33,0.0,0.0,0.13,0.0,0.81,0.0,0.0,99.99
08/26/2021,11.61,11.62,11.62,7.83,8.29,7.63,7.35,7.81,4.51,3.92,2.94,2.53,2.52,2.49,1.77,1.66,1.51,1.32,0.0,0.0,0.0,0.0,0.81,0.27,0.0,100.01
08/27/2021,11.59,11.6,11.6,7.81,8.3,7.66,7.35,7.82,4.5,3.95,2.93,2.54,2.52,2.5,1.77,1.65,1.5,1.32,0.0,0.0,0.26,0.0,0.81,0.0,0.0,99.98
08/30/2021,11.61,11.62,11.62,7.84,8.33,7.65,7.35,7.83,4.51,3.93,2.92,2.54,2.52,2.5,1.77,1.66,1.51,1.32,0.0,0.0,0.15,0.0,0.81,0.0,0.0,99.99
08/31/2021,11.55,11.56,11.56,7.8,8.28,7.66,7.34,7.81,4.48,4.01,2.92,2.55,2.53,2.5,1.76,1.65,1.51,1.32,0.0,0.0,0.0,0.0,0.81,0.4,0.0,100.0
09/01/2021,11.55,11.56,11.56,7.8,8.28,7.66,7.34,7.81,4.48,4.01,2.92,2.55,2.53,2.5,1.76,1.65,1.51,1.32,0.0,0.0,0.4,0.0,0.81,0.0,0.0,100.0
09/02/2021,11.55,11.56,11.56,7.8,8.28,7.66,7.34,7.81,4.48,4.01,2.92,2.55,2.53,2.5,1.76,1.65,1.51,1.32,0.0,0.0,0.4,0.0,0.81,0.0,0.0,100.0
09/03/2021,11.53,11.54,11.54,7.78,8.27,7.72,7.32,7.81,4.48,3.96,2.92,2.55,2.53,2.5,1.76,1.64,1.52,1.32,0.0,0.0,0.0,0.0,0.82,0.48,0.0,99.98999999999998
09/06/2021,11.53,11.54,11.54,7.78,8.27,7.72,7.32,7.81,4.48,3.96,2.92,2.55,2.53,2.5,1.76,1.64,1.52,1.32,0.0,0.0,0.0,0.0,0.82,0.48,0.0,99.98999999999998
09/07/2021,11.48,11.49,11.49,7.75,8.25,7.74,7.32,7.81,4.46,4.06,2.89,2.55,2.54,2.51,1.75,1.66,1.56,1.32,0.0,0.0,0.0,0.0,0.54,0.0,0.82,99.99
09/08/2021,11.48,11.49,11.49,7.75,8.25,7.74,7.32,7.81,4.46,4.06,2.89,2.55,2.54,2.51,1.75,1.66,1.56,1.32,0.0,0.0,0.0,0.0,0.54,0.0,0.82,99.99
09/09/2021,11.48,11.49,11.49,7.75,8.25,7.74,7.32,7.81,4.46,4.06,2.89,2.55,2.54,2.51,1.75,1.66,1.56,1.32,0.0,0.0,0.0,0.0,0.54,0.0,0.82,99.99
09/10/2021,11.48,11.49,11.49,7.75,8.25,7.74,7.32,7.81,4.46,4.06,2.89,2.55,2.54,2.51,1.75,1.66,1.56,1.32,0.0,0.0,0.0,0.0,0.54,0.0,0.82,99.99
09/13/2021,11.55,11.56,11.57,7.81,8.3,7.78,7.35,7.87,4.49,4.03,2.92,2.55,2.54,2.51,1.77,1.68,1.56,1.32,0.0,0.0,0.0,0.0,0.03,0.0,0.82,100.01
09/14/2021,11.61,11.62,11.62,7.85,8.34,7.73,7.39,7.89,4.51,4.0,2.93,2.54,2.52,2.49,1.77,1.65,1.51,1.31,0.0,0.0,0.0,0.0,-0.1,0.0,0.81,99.99000000000002
09/15/2021,11.61,11.62,11.62,7.85,8.34,7.73,7.39,7.89,4.51,4.0,2.93,2.54,2.52,2.49,1.77,1.65,1.51,1.31,0.0,0.0,0.0,0.0,-0.1,0.0,0.81,99.99000000000002
09/16/2021,11.61,11.62,11.62,7.85,8.34,7.73,7.39,7.89,4.51,4.0,2.93,2.54,2.52,2.49,1.77,1.65,1.51,1.31,0.0,0.0,0.0,0.0,-0.1,0.0,0.81,99.99000000000002
09/17/2021,11.61,11.62,11.62,7.83,8.34,7.71,7.35,7.87,4.51,4.05,2.93,2.54,2.52,2.5,1.77,1.65,1.52,1.31,0.0,0.0,0.0,0.0,-0.06,0.0,0.8,99.99
09/20/2021,11.71,11.72,11.71,1.33,3.25,7.47,3.88,5.19,2.59,7.14,1.94,2.47,2.47,2.45,0.63,4.44,6.32,7.58,0.0,0.0,0.0,0.0,0.01,0.0,5.69,99.99
09/21/2021,11.8,11.8,11.8,1.3,3.25,7.43,3.91,5.16,2.59,7.17,1.95,2.48,2.48,2.48,0.64,4.37,6.36,7.59,0.0,0.0,0.0,0.0,-0.3,0.0,5.74,100.0
09/22/2021,11.8,11.8,11.8,1.3,3.25,7.43,3.91,5.16,2.59,7.17,1.95,2.48,2.48,2.48,0.64,4.37,6.36,7.59,0.0,0.0,0.0,0.0,-0.3,0.0,5.74,100.0
09/23/2021,11.8,11.8,11.8,1.3,3.25,7.43,3.91,5.16,2.59,7.17,1.95,2.48,2.48,2.48,0.64,4.37,6.36,7.59,0.0,0.0,0.0,0.0,-0.3,0.0,5.74,100.0
09/24/2021,11.98,11.96,11.97,1.32,3.27,7.36,3.93,5.1,2.63,7.04,1.98,2.46,2.46,2.47,0.65,4.4,6.41,7.55,0.0,0.0,0.0,0.0,-0.64,0.0,5.7,100.0
09/27/2021,11.78,11.77,11.77,1.3,3.24,7.41,3.89,5.12,2.59,7.34,1.94,2.49,2.49,2.49,0.64,4.32,6.34,7.58,0.0,0.0,0.0,0.0,-0.25,0.0,5.76,100.01
09/28/2021,11.8,11.79,11.79,1.3,3.25,7.44,3.89,5.15,2.59,7.28,1.94,2.49,2.49,2.51,0.64,4.33,6.29,7.61,0.0,0.0,0.0,0.0,-0.35,0.0,5.76,99.99
09/29/2021,11.8,11.79,11.79,1.3,3.25,7.44,3.89,5.15,2.59,7.28,1.94,2.49,2.49,2.51,0.64,4.33,6.29,7.61,0.0,0.0,0.0,0.0,-0.35,0.0,5.76,99.99000000000001
