,DJUN,DAPR,DMAR,DMAY,DFEB,DJAN,DDEC,DOCT,DNOV,DAUG,DSEP,DJUL,US Dollar,FT Cboe Vest US Equity Deep Bffr ETF Jul,688180.SS,MISXX,Morgan Stanley Instl Lqudty Trs Instl,FT Cboe Vest US Equity Dp Bffr ETF Sep,n/a,601019.SS,SUM
10/27/2021,8.31,8.36,8.36,8.36,8.34,8.32,8.33,8.32,8.3,8.32,8.32,8.33,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,100.0
10/28/2021,8.31,8.35,8.35,8.36,8.34,8.31,8.32,8.31,8.3,8.34,8.33,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,99.99
10/29/2021,8.31,8.36,8.35,8.36,8.34,8.31,8.32,8.33,8.3,8.34,8.31,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,99.99
11/01/2021,8.31,8.36,8.35,8.36,8.34,8.31,8.32,8.33,8.3,8.33,8.33,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,100.01
11/02/2021,8.31,8.36,8.35,8.36,8.34,8.31,8.31,8.34,8.3,8.33,8.33,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,100.02
11/03/2021,8.31,8.36,8.35,8.36,8.34,8.31,8.31,8.34,8.3,8.33,8.33,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,100.02
11/04/2021,8.31,8.36,8.35,8.36,8.34,8.31,8.31,8.34,8.3,8.33,8.33,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,100.02
11/05/2021,8.31,8.37,8.35,8.36,8.34,8.3,8.32,8.34,8.27,8.34,8.34,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,100.0
11/08/2021,8.31,8.38,8.35,8.36,8.33,8.3,8.31,8.35,8.27,8.34,8.35,8.33,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
11/09/2021,8.31,8.38,8.35,8.36,8.33,8.3,8.31,8.35,8.27,8.34,8.35,8.33,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
11/10/2021,8.31,8.38,8.35,8.36,8.34,8.3,8.31,8.36,8.25,8.35,8.34,8.34,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
11/11/2021,8.31,8.38,8.35,8.36,8.33,8.29,8.3,8.36,8.27,8.35,8.35,8.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.01
11/12/2021,8.31,8.38,8.35,8.36,8.33,8.29,8.31,8.35,8.27,8.35,8.34,8.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
11/15/2021,8.31,8.37,8.35,8.36,8.34,8.3,8.31,8.34,8.29,8.34,8.33,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,100.0
11/16/2021,8.31,8.38,8.35,8.36,8.35,8.3,8.3,8.34,8.28,8.34,8.34,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,100.01
11/17/2021,8.31,8.38,8.35,8.36,8.35,8.3,8.3,8.34,8.28,8.34,8.34,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,100.01
11/18/2021,8.3,8.37,8.35,8.36,8.36,8.3,8.3,8.35,8.28,8.34,8.33,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,99.99
11/19/2021,8.31,8.37,8.35,8.36,8.34,8.3,8.29,8.35,8.27,8.35,8.34,8.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98999999999998
11/22/2021,8.31,8.37,8.35,8.36,8.34,8.3,8.29,8.35,8.27,8.35,8.34,8.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98999999999998
11/23/2021,8.31,8.37,8.35,8.36,8.34,8.3,8.29,8.35,8.27,8.35,8.34,8.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98999999999998
11/24/2021,8.33,8.34,8.34,8.33,8.34,8.33,8.33,8.33,8.33,8.33,8.34,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,100.0
11/25/2021,8.33,8.34,8.35,8.34,8.34,8.34,8.33,8.33,8.31,8.32,8.34,8.32,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
11/26/2021,8.33,8.34,8.35,8.34,8.34,8.34,8.33,8.33,8.31,8.32,8.34,8.32,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
11/29/2021,8.35,8.33,8.35,8.34,8.35,8.31,8.33,8.31,8.33,8.32,8.34,8.32,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
11/30/2021,8.31,8.33,8.35,8.32,8.34,8.36,8.38,8.32,8.31,8.32,8.32,8.32,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
12/01/2021,8.31,8.33,8.35,8.32,8.34,8.36,8.38,8.32,8.31,8.32,8.32,8.32,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
12/02/2021,8.33,8.33,8.34,8.33,8.34,8.35,8.35,8.33,8.31,8.32,8.34,8.33,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.01
12/06/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/07/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/08/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/09/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/10/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/13/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/14/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/15/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/16/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/17/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/20/2021,8.32,8.33,8.36,8.32,8.34,8.38,8.42,8.31,8.27,8.32,8.32,8.3,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
12/21/2021,8.33,8.32,8.36,8.34,8.35,8.37,8.38,8.3,8.28,8.32,8.32,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/22/2021,8.33,8.32,8.36,8.34,8.35,8.37,8.38,8.3,8.28,8.32,8.32,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/23/2021,8.33,8.32,8.36,8.34,8.35,8.37,8.38,8.3,8.28,8.32,8.32,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/24/2021,8.32,8.33,8.35,8.34,8.35,8.37,8.39,8.31,8.29,8.32,8.31,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/27/2021,8.31,8.34,8.34,8.32,8.33,8.33,8.39,8.32,8.32,8.33,8.33,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
12/28/2021,8.31,8.34,8.34,8.32,8.33,8.33,8.39,8.32,8.32,8.33,8.33,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
12/29/2021,8.31,8.34,8.34,8.32,8.33,8.33,8.39,8.32,8.32,8.33,8.33,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
12/30/2021,8.32,8.34,8.34,8.33,8.32,8.31,8.4,8.32,8.34,8.33,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/31/2021,8.31,8.34,8.34,8.33,8.33,8.31,8.4,8.33,8.33,8.33,8.33,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,8.31,8.35,8.34,8.33,8.32,8.31,8.39,8.32,8.33,8.34,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,8.32,8.34,8.34,8.33,8.33,8.3,8.38,8.33,8.33,8.34,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,8.32,8.34,8.34,8.33,8.33,8.3,8.38,8.33,8.33,8.34,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
