,OMCL,SAIA,GTLS,NEO,GME,POWI,MSTR,IIPR,EXPO,ENSG,BCPC,AEIS,TRUP,LPSN,VIAV,ALRM,SHAK,STMP,SPSC,EXLS,LGIH,WDFC,MTH,ONTO,VG,DIOD,MED,LCII,EPRT,RCII,KWR,MMSI,SFBS,FELE,LTHM,EGHT,WD,MXL,DORM,REGI,BMI,AMN,FORM,MATX,FIX,PRFT,IBP,SNBR,EVTC,WTS,JBT,MDRX,AAON,PCRX,PRLB,GDOT,VCEL,ROCK,IRBT,ADC,GKOS,FWRD,CELH,VSTO,FSS,AX,HSKA,CORT,VICR,RRC,SEM,ITRI,UFPI,COOP,SSTK,CNMD,UCTT,AVAV,HI,FN,AIT,DDD,MODV,CCOI,BIG,XNCR,BGS,SHEN,ROG,SWN,VRTS,CYH,ARNC,TTEC,NMIH,CBU,CCS,TTGT,AVNS,PRAA,UNF,COHU,KLIC,CWT,FUL,PLMR,OMI,TBK,AWR,MDC,AJRD,SPXC,MTDR,LMNX,PATK,SUPN,FLGT,MANT,UNIT,CVET,THRM,DIN,EAT,ACA,HIBB,EHTH,ALG,KFY,PLXS,BOOT,ESE,BSIG,SMPL,CYTK,SCL,JOE,XPER,PGTI,RGNX,AIN,PRGS,MLAB,ADUS,SHOO,ALGT,ITGR,LXP,FCPT,FBC,KTB,CTRE,AGYS,SAFE,WGO,CENTA,PIPR,RMBS,CVCO,TUP,JJSF,CHCT,JYNT,TRHC,PNTG,FIZZ,LNN,CPK,UNFI,BOOM,WWW,CEVA,SNEX,BRC,CVBF,HZO,FLOW,TCMD,LMAT,MD,VIVO,POLY,MRTN,MLI,IRT,RILY,RGR,MOG.A,OSIS,PSMT,BCEI,VGR,QNST,CASH,RAVN,CHRS,LZB,EPAY,PRK,OSPN,INVA,CSII,ASTE,IOSP,CAKE,MYRG,STATE STREET INSTITUTIONAL LIQ STATE STR,INDB,COLL,CALM,ACLS,AMEH,USPH,CRVL,MSEX,COKE,CBB,ILPT,NXRT,BLFS,LGND,SLQT,CSR,n/a,TBBK,OPRX,SUM
07/23/2021,1.41,1.1,1.11,1.12,0.98,1.03,0.84,1.05,1.03,0.97,0.91,0.79,0.79,0.83,0.82,0.78,0.72,1.29,0.74,0.77,0.75,0.75,0.72,0.68,0.71,0.66,0.67,0.72,0.69,0.66,0.64,0.64,0.67,0.66,0.59,0.59,0.63,0.58,0.64,0.63,0.6,0.61,0.57,0.6,0.57,0.59,0.54,0.56,0.54,0.55,0.55,0.53,0.54,0.53,0.5,0.53,0.5,0.5,0.55,0.54,0.36,0.51,0.44,0.49,0.5,0.51,0.52,0.47,0.47,0.46,0.45,0.45,0.47,0.48,0.48,0.45,0.44,0.46,0.46,0.44,0.44,0.33,0.43,0.44,0.41,0.41,0.43,0.37,0.41,0.36,0.39,0.38,0.38,0.39,0.37,0.39,0.37,0.36,0.35,0.36,0.36,0.36,0.34,0.38,0.35,0.35,0.38,0.35,0.37,0.33,0.35,0.35,0.29,0.0,0.35,0.31,0.32,0.34,0.35,0.31,0.32,0.28,0.29,0.29,0.3,0.32,0.3,0.3,0.3,0.28,0.3,0.3,0.29,0.42,0.29,0.27,0.28,0.27,0.27,0.26,0.27,0.29,0.27,0.25,0.25,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.2,0.23,0.24,0.23,0.22,0.19,0.22,0.21,0.23,0.2,0.2,0.21,0.21,0.22,0.21,0.21,0.22,0.26,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.21,0.0,0.19,0.18,0.18,0.19,0.0,0.18,0.19,0.18,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
07/26/2021,1.38,1.11,1.15,1.11,0.98,1.05,0.91,1.06,1.02,0.92,0.89,0.82,0.79,0.85,0.79,0.77,0.77,1.26,0.75,0.75,0.75,0.68,0.73,0.68,0.71,0.67,0.68,0.74,0.71,0.68,0.65,0.67,0.68,0.65,0.65,0.6,0.62,0.6,0.63,0.64,0.6,0.61,0.59,0.59,0.57,0.58,0.55,0.5,0.54,0.55,0.56,0.51,0.52,0.54,0.5,0.52,0.52,0.5,0.53,0.53,0.31,0.5,0.46,0.47,0.49,0.51,0.52,0.45,0.49,0.48,0.45,0.47,0.48,0.5,0.49,0.46,0.47,0.46,0.46,0.44,0.43,0.32,0.42,0.42,0.41,0.4,0.41,0.36,0.4,0.37,0.39,0.37,0.38,0.39,0.37,0.38,0.37,0.36,0.35,0.36,0.35,0.37,0.35,0.37,0.35,0.34,0.39,0.36,0.36,0.34,0.34,0.35,0.31,0.0,0.36,0.3,0.32,0.34,0.35,0.31,0.32,0.29,0.3,0.29,0.3,0.32,0.29,0.3,0.29,0.3,0.29,0.3,0.29,0.45,0.28,0.28,0.28,0.28,0.28,0.26,0.28,0.29,0.26,0.26,0.26,0.25,0.27,0.26,0.26,0.25,0.25,0.23,0.26,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.24,0.22,0.2,0.18,0.21,0.21,0.22,0.2,0.19,0.22,0.21,0.22,0.21,0.21,0.24,0.25,0.2,0.2,0.2,0.18,0.18,0.18,0.2,0.21,0.0,0.18,0.18,0.18,0.18,0.0,0.18,0.19,0.18,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.06000000000002
07/27/2021,1.36,1.14,1.09,1.12,0.98,1.07,0.88,1.06,1.03,0.93,0.89,0.81,0.8,0.84,0.79,0.78,0.77,1.25,0.75,0.75,0.76,0.69,0.76,0.69,0.71,0.68,0.69,0.75,0.71,0.69,0.66,0.66,0.68,0.66,0.63,0.6,0.63,0.61,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.58,0.56,0.48,0.54,0.55,0.56,0.51,0.52,0.54,0.5,0.52,0.51,0.5,0.53,0.53,0.31,0.5,0.45,0.47,0.49,0.51,0.52,0.44,0.48,0.48,0.45,0.47,0.48,0.49,0.49,0.45,0.47,0.45,0.46,0.44,0.43,0.32,0.42,0.43,0.4,0.39,0.4,0.36,0.4,0.37,0.39,0.37,0.38,0.39,0.37,0.38,0.38,0.37,0.35,0.35,0.35,0.38,0.35,0.38,0.35,0.35,0.38,0.35,0.36,0.35,0.34,0.35,0.3,0.0,0.36,0.3,0.33,0.34,0.35,0.31,0.33,0.28,0.29,0.29,0.31,0.32,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.5,0.28,0.28,0.28,0.28,0.26,0.26,0.28,0.29,0.27,0.26,0.26,0.25,0.27,0.26,0.25,0.25,0.25,0.23,0.26,0.25,0.23,0.23,0.23,0.22,0.21,0.22,0.24,0.23,0.2,0.18,0.21,0.21,0.22,0.2,0.0,0.22,0.21,0.22,0.21,0.21,0.25,0.25,0.2,0.2,0.2,0.18,0.18,0.18,0.2,0.21,0.0,0.18,0.18,0.18,0.18,0.0,0.18,0.19,0.18,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.0,0.17,0.0,0.17,0.19,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.14
07/28/2021,1.36,1.14,1.09,1.12,0.98,1.07,0.88,1.06,1.03,0.93,0.89,0.81,0.8,0.84,0.79,0.78,0.77,1.25,0.75,0.75,0.76,0.69,0.76,0.69,0.71,0.68,0.69,0.75,0.71,0.69,0.66,0.66,0.68,0.66,0.63,0.6,0.63,0.61,0.63,0.62,0.61,0.61,0.59,0.59,0.57,0.58,0.56,0.48,0.54,0.55,0.56,0.51,0.52,0.54,0.5,0.52,0.51,0.5,0.53,0.53,0.31,0.5,0.45,0.47,0.49,0.51,0.52,0.44,0.48,0.48,0.45,0.47,0.48,0.49,0.49,0.45,0.47,0.45,0.46,0.44,0.43,0.32,0.42,0.43,0.4,0.39,0.4,0.36,0.4,0.37,0.39,0.37,0.38,0.39,0.37,0.38,0.38,0.37,0.35,0.35,0.35,0.38,0.35,0.38,0.35,0.35,0.38,0.35,0.36,0.35,0.34,0.35,0.3,0.0,0.36,0.3,0.33,0.34,0.35,0.31,0.33,0.28,0.29,0.29,0.31,0.32,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.5,0.28,0.28,0.28,0.28,0.26,0.26,0.28,0.29,0.27,0.26,0.26,0.25,0.27,0.26,0.25,0.25,0.25,0.23,0.26,0.25,0.23,0.23,0.23,0.22,0.21,0.22,0.24,0.23,0.2,0.18,0.21,0.21,0.22,0.2,0.0,0.22,0.21,0.22,0.21,0.21,0.25,0.25,0.2,0.2,0.2,0.18,0.18,0.18,0.2,0.21,0.0,0.18,0.18,0.18,0.18,0.0,0.18,0.19,0.18,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.0,0.17,0.0,0.17,0.19,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.14
07/29/2021,1.36,1.12,1.04,1.1,1.0,1.07,1.1,1.06,1.03,0.92,0.9,0.8,0.79,0.85,0.79,0.77,0.79,1.24,0.75,0.75,0.73,0.69,0.75,0.68,0.7,0.68,0.7,0.76,0.71,0.69,0.66,0.66,0.68,0.66,0.63,0.6,0.63,0.61,0.61,0.61,0.61,0.61,0.58,0.59,0.57,0.58,0.55,0.5,0.54,0.55,0.55,0.5,0.51,0.54,0.48,0.52,0.5,0.49,0.52,0.53,0.29,0.51,0.46,0.47,0.49,0.51,0.51,0.44,0.5,0.49,0.45,0.47,0.48,0.49,0.5,0.45,0.46,0.45,0.47,0.44,0.44,0.31,0.41,0.42,0.41,0.38,0.4,0.36,0.4,0.4,0.39,0.38,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.37,0.35,0.38,0.35,0.34,0.38,0.35,0.36,0.34,0.33,0.35,0.31,0.0,0.36,0.3,0.34,0.34,0.34,0.31,0.32,0.29,0.31,0.29,0.31,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.29,0.48,0.28,0.28,0.28,0.27,0.24,0.26,0.27,0.29,0.26,0.27,0.26,0.25,0.27,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.22,0.23,0.23,0.23,0.22,0.23,0.24,0.23,0.19,0.18,0.22,0.21,0.22,0.2,0.0,0.23,0.21,0.22,0.21,0.21,0.24,0.27,0.2,0.19,0.2,0.17,0.18,0.18,0.2,0.21,0.0,0.18,0.19,0.18,0.19,0.0,0.18,0.18,0.18,0.19,0.18,0.0,0.19,0.18,0.17,0.17,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.11000000000001
07/30/2021,1.37,1.13,1.07,1.07,0.98,1.04,1.03,1.06,1.05,0.93,0.9,0.79,0.8,0.83,0.78,0.76,0.79,1.25,0.74,0.75,0.74,0.7,0.77,0.66,0.7,0.67,0.68,0.76,0.72,0.7,0.67,0.67,0.69,0.65,0.62,0.59,0.63,0.59,0.61,0.59,0.6,0.62,0.57,0.59,0.57,0.59,0.56,0.5,0.54,0.55,0.55,0.51,0.51,0.55,0.49,0.52,0.52,0.49,0.53,0.54,0.3,0.5,0.45,0.47,0.49,0.51,0.52,0.44,0.48,0.47,0.45,0.46,0.48,0.5,0.47,0.46,0.45,0.45,0.47,0.43,0.43,0.31,0.42,0.43,0.4,0.38,0.41,0.36,0.41,0.38,0.39,0.38,0.39,0.39,0.38,0.38,0.38,0.36,0.37,0.36,0.36,0.36,0.34,0.38,0.36,0.36,0.39,0.35,0.36,0.34,0.33,0.36,0.3,0.0,0.36,0.3,0.34,0.34,0.35,0.31,0.32,0.29,0.31,0.29,0.3,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.29,0.48,0.28,0.29,0.27,0.28,0.24,0.28,0.27,0.29,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.23,0.26,0.25,0.22,0.23,0.23,0.24,0.21,0.22,0.24,0.23,0.19,0.17,0.22,0.21,0.23,0.2,0.0,0.22,0.2,0.22,0.21,0.21,0.24,0.27,0.19,0.19,0.2,0.18,0.0,0.19,0.2,0.19,0.0,0.17,0.19,0.19,0.19,0.0,0.18,0.18,0.18,0.19,0.18,0.0,0.19,0.18,0.17,0.18,0.0,0.18,0.17,0.19,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.02000000000001
08/02/2021,1.33,1.12,1.08,1.1,0.92,1.04,1.04,1.06,1.06,0.93,0.89,0.81,0.81,0.84,0.79,0.78,0.77,1.24,0.74,0.75,0.73,0.7,0.75,0.68,0.7,0.68,0.69,0.77,0.71,0.7,0.67,0.67,0.69,0.64,0.63,0.59,0.63,0.61,0.6,0.61,0.6,0.61,0.59,0.58,0.56,0.59,0.55,0.48,0.54,0.55,0.55,0.5,0.52,0.55,0.48,0.52,0.52,0.49,0.52,0.53,0.3,0.49,0.46,0.47,0.49,0.51,0.51,0.44,0.49,0.47,0.45,0.47,0.48,0.51,0.48,0.47,0.47,0.46,0.47,0.44,0.43,0.33,0.42,0.43,0.39,0.39,0.4,0.36,0.41,0.39,0.4,0.37,0.4,0.38,0.38,0.38,0.38,0.36,0.37,0.36,0.35,0.37,0.34,0.38,0.35,0.36,0.37,0.35,0.36,0.34,0.33,0.35,0.31,0.0,0.36,0.31,0.35,0.34,0.35,0.32,0.33,0.28,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.29,0.49,0.28,0.29,0.28,0.27,0.25,0.27,0.27,0.29,0.26,0.27,0.26,0.27,0.27,0.25,0.28,0.24,0.25,0.24,0.26,0.25,0.22,0.23,0.23,0.24,0.21,0.22,0.24,0.23,0.2,0.18,0.22,0.21,0.23,0.2,0.0,0.23,0.21,0.22,0.21,0.21,0.24,0.27,0.2,0.19,0.2,0.18,0.0,0.18,0.2,0.19,0.0,0.17,0.19,0.19,0.19,0.0,0.18,0.18,0.18,0.19,0.19,0.0,0.19,0.18,0.18,0.18,0.0,0.18,0.17,0.0,0.18,0.0,0.0,0.18,0.0,0.17,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.13000000000001
08/03/2021,1.26,1.2,1.1,1.1,0.88,1.06,1.0,1.05,1.07,0.88,0.89,0.81,0.8,0.83,0.78,0.78,0.76,1.23,0.74,0.75,0.76,0.7,0.83,0.68,0.7,0.69,0.68,0.78,0.72,0.71,0.68,0.66,0.69,0.64,0.64,0.58,0.63,0.68,0.6,0.6,0.6,0.61,0.58,0.58,0.56,0.64,0.56,0.5,0.53,0.55,0.58,0.5,0.52,0.54,0.44,0.52,0.51,0.49,0.5,0.52,0.3,0.5,0.47,0.49,0.5,0.51,0.51,0.44,0.5,0.46,0.44,0.48,0.48,0.52,0.49,0.46,0.47,0.47,0.47,0.44,0.43,0.34,0.42,0.42,0.38,0.38,0.39,0.35,0.41,0.37,0.4,0.34,0.42,0.39,0.38,0.37,0.41,0.36,0.38,0.36,0.35,0.34,0.34,0.38,0.35,0.36,0.37,0.36,0.36,0.35,0.32,0.36,0.3,0.0,0.38,0.3,0.33,0.33,0.35,0.31,0.36,0.28,0.29,0.29,0.3,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.29,0.49,0.28,0.29,0.28,0.28,0.23,0.27,0.27,0.29,0.26,0.27,0.26,0.27,0.27,0.25,0.27,0.24,0.25,0.23,0.26,0.25,0.22,0.23,0.23,0.24,0.21,0.22,0.24,0.22,0.19,0.18,0.22,0.21,0.23,0.2,0.0,0.22,0.21,0.22,0.21,0.2,0.24,0.27,0.2,0.19,0.2,0.19,0.0,0.19,0.2,0.19,0.0,0.17,0.19,0.18,0.18,0.0,0.18,0.18,0.18,0.18,0.18,0.0,0.19,0.18,0.18,0.18,0.0,0.18,0.17,0.0,0.18,0.0,0.0,0.18,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.11000000000001
08/04/2021,1.29,1.22,1.13,1.11,0.86,1.21,0.99,1.05,1.14,0.9,0.9,0.81,0.79,0.83,0.78,0.77,0.75,1.22,0.8,0.78,0.77,0.68,0.84,0.7,0.68,0.71,0.69,0.75,0.72,0.7,0.68,0.71,0.69,0.64,0.64,0.57,0.62,0.67,0.59,0.6,0.6,0.61,0.59,0.6,0.56,0.64,0.55,0.5,0.53,0.55,0.58,0.49,0.52,0.53,0.44,0.51,0.5,0.5,0.51,0.52,0.31,0.49,0.46,0.48,0.49,0.5,0.49,0.45,0.5,0.46,0.44,0.48,0.48,0.52,0.5,0.46,0.48,0.47,0.46,0.44,0.43,0.33,0.42,0.42,0.38,0.37,0.38,0.35,0.39,0.35,0.4,0.34,0.4,0.39,0.38,0.37,0.41,0.35,0.37,0.36,0.35,0.35,0.34,0.38,0.35,0.36,0.37,0.35,0.36,0.35,0.32,0.36,0.3,0.0,0.37,0.29,0.33,0.33,0.36,0.31,0.37,0.27,0.27,0.29,0.29,0.28,0.29,0.3,0.3,0.31,0.29,0.3,0.29,0.5,0.28,0.28,0.28,0.28,0.23,0.27,0.27,0.29,0.27,0.27,0.25,0.26,0.27,0.25,0.27,0.24,0.25,0.23,0.26,0.25,0.21,0.23,0.23,0.24,0.21,0.21,0.24,0.21,0.2,0.18,0.21,0.21,0.22,0.2,0.0,0.22,0.23,0.22,0.21,0.2,0.24,0.27,0.2,0.19,0.2,0.18,0.0,0.19,0.2,0.2,0.0,0.17,0.18,0.18,0.19,0.0,0.18,0.18,0.18,0.18,0.18,0.0,0.19,0.18,0.17,0.18,0.0,0.18,0.17,0.0,0.18,0.0,0.0,0.18,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.24000000000001
08/05/2021,1.29,1.21,1.16,1.11,0.84,1.2,1.02,1.05,1.15,0.89,0.89,0.81,0.78,0.84,0.78,0.78,0.74,1.23,0.81,0.79,0.78,0.69,0.85,0.71,0.7,0.71,0.68,0.75,0.71,0.7,0.68,0.69,0.68,0.64,0.65,0.58,0.62,0.68,0.59,0.57,0.6,0.62,0.6,0.6,0.55,0.65,0.55,0.5,0.53,0.56,0.58,0.49,0.52,0.53,0.45,0.51,0.5,0.49,0.49,0.52,0.31,0.49,0.47,0.49,0.48,0.5,0.51,0.45,0.51,0.45,0.44,0.47,0.47,0.52,0.49,0.45,0.48,0.47,0.46,0.44,0.42,0.33,0.43,0.42,0.36,0.37,0.38,0.34,0.39,0.35,0.41,0.34,0.4,0.38,0.38,0.37,0.42,0.35,0.38,0.36,0.35,0.35,0.34,0.38,0.35,0.36,0.38,0.35,0.36,0.35,0.32,0.35,0.29,0.0,0.38,0.29,0.33,0.33,0.35,0.31,0.37,0.28,0.27,0.29,0.29,0.28,0.29,0.3,0.3,0.3,0.29,0.3,0.28,0.48,0.28,0.28,0.28,0.27,0.23,0.27,0.26,0.29,0.26,0.27,0.25,0.26,0.27,0.25,0.27,0.24,0.24,0.23,0.26,0.26,0.22,0.24,0.23,0.24,0.22,0.21,0.23,0.22,0.19,0.0,0.22,0.21,0.23,0.2,0.0,0.22,0.23,0.22,0.21,0.2,0.24,0.27,0.2,0.19,0.2,0.19,0.0,0.18,0.2,0.2,0.0,0.17,0.17,0.18,0.18,0.0,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.17,0.19,0.0,0.17,0.17,0.0,0.18,0.0,0.17,0.18,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.22000000000001
08/06/2021,1.32,1.27,1.2,1.12,0.0,1.21,1.0,1.05,1.17,0.9,0.88,0.81,0.8,0.85,0.78,0.8,0.7,1.23,0.82,0.8,0.73,0.7,0.86,0.72,0.7,0.73,0.69,0.74,0.71,0.73,0.7,0.68,0.7,0.65,0.65,0.58,0.62,0.69,0.59,0.58,0.61,0.63,0.61,0.63,0.56,0.66,0.56,0.49,0.52,0.57,0.58,0.5,0.53,0.55,0.45,0.5,0.49,0.48,0.49,0.53,0.3,0.5,0.49,0.52,0.49,0.51,0.52,0.47,0.52,0.45,0.45,0.47,0.48,0.54,0.48,0.45,0.42,0.47,0.46,0.44,0.43,0.32,0.44,0.43,0.37,0.37,0.39,0.2,0.39,0.36,0.41,0.34,0.39,0.38,0.38,0.38,0.43,0.35,0.37,0.37,0.35,0.35,0.34,0.39,0.35,0.36,0.34,0.36,0.36,0.36,0.33,0.35,0.29,0.0,0.39,0.29,0.36,0.32,0.36,0.3,0.37,0.28,0.27,0.29,0.3,0.27,0.29,0.3,0.3,0.31,0.29,0.31,0.29,0.48,0.28,0.28,0.28,0.28,0.23,0.27,0.27,0.29,0.29,0.27,0.25,0.26,0.27,0.25,0.28,0.25,0.24,0.23,0.27,0.26,0.22,0.24,0.24,0.24,0.22,0.22,0.23,0.23,0.19,0.17,0.22,0.22,0.23,0.2,0.0,0.23,0.23,0.22,0.22,0.21,0.24,0.27,0.18,0.2,0.21,0.19,0.0,0.19,0.2,0.2,0.0,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.18,0.18,0.18,0.0,0.19,0.18,0.0,0.2,0.0,0.18,0.17,0.0,0.18,0.0,0.17,0.18,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2
08/09/2021,1.35,1.28,1.2,1.15,0.0,1.23,1.14,1.06,1.22,0.89,0.88,0.73,0.78,0.82,0.76,0.79,0.69,1.23,0.84,0.79,0.71,0.69,0.85,0.71,0.72,0.76,0.63,0.75,0.73,0.7,0.68,0.67,0.69,0.65,0.67,0.58,0.63,0.73,0.57,0.6,0.61,0.65,0.61,0.63,0.56,0.68,0.57,0.5,0.56,0.58,0.58,0.49,0.53,0.55,0.46,0.52,0.48,0.47,0.5,0.53,0.31,0.49,0.51,0.51,0.48,0.51,0.53,0.47,0.53,0.44,0.44,0.34,0.47,0.54,0.48,0.42,0.43,0.47,0.46,0.44,0.42,0.34,0.45,0.41,0.36,0.38,0.37,0.2,0.39,0.36,0.45,0.32,0.37,0.4,0.38,0.38,0.42,0.4,0.34,0.36,0.34,0.34,0.38,0.4,0.35,0.36,0.31,0.36,0.37,0.35,0.32,0.35,0.28,0.0,0.38,0.29,0.4,0.32,0.37,0.31,0.37,0.27,0.27,0.27,0.28,0.26,0.29,0.3,0.3,0.32,0.29,0.32,0.28,0.51,0.27,0.29,0.28,0.28,0.23,0.26,0.27,0.29,0.28,0.26,0.26,0.25,0.27,0.25,0.28,0.25,0.24,0.24,0.27,0.26,0.21,0.25,0.24,0.25,0.25,0.21,0.23,0.25,0.17,0.0,0.21,0.22,0.23,0.2,0.0,0.23,0.23,0.23,0.21,0.21,0.24,0.26,0.18,0.2,0.21,0.19,0.0,0.18,0.2,0.2,0.0,0.18,0.17,0.17,0.18,0.0,0.19,0.19,0.18,0.18,0.18,0.0,0.19,0.19,0.0,0.2,0.0,0.17,0.17,0.0,0.19,0.0,0.17,0.18,0.0,0.2,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.28
08/10/2021,1.38,1.29,1.21,1.12,0.0,1.22,1.18,1.11,1.22,0.89,0.88,0.74,0.68,0.81,0.75,0.83,0.67,1.22,0.83,0.8,0.7,0.68,0.84,0.77,0.7,0.77,0.62,0.76,0.72,0.71,0.7,0.68,0.71,0.65,0.72,0.57,0.62,0.7,0.58,0.58,0.61,0.65,0.61,0.63,0.56,0.67,0.57,0.49,0.56,0.59,0.58,0.5,0.56,0.55,0.45,0.53,0.46,0.47,0.49,0.52,0.31,0.49,0.51,0.51,0.48,0.52,0.53,0.47,0.52,0.44,0.42,0.37,0.47,0.54,0.46,0.43,0.42,0.48,0.46,0.43,0.42,0.33,0.44,0.42,0.35,0.37,0.38,0.2,0.39,0.36,0.45,0.32,0.37,0.39,0.39,0.38,0.41,0.39,0.34,0.39,0.34,0.34,0.4,0.39,0.35,0.37,0.31,0.38,0.37,0.34,0.32,0.35,0.28,0.0,0.39,0.28,0.38,0.32,0.4,0.27,0.37,0.27,0.27,0.27,0.28,0.27,0.29,0.3,0.3,0.32,0.29,0.32,0.28,0.53,0.27,0.28,0.28,0.28,0.22,0.24,0.27,0.28,0.28,0.26,0.25,0.26,0.27,0.25,0.28,0.25,0.24,0.24,0.27,0.26,0.21,0.25,0.24,0.25,0.24,0.21,0.23,0.28,0.17,0.17,0.21,0.22,0.23,0.2,0.0,0.23,0.23,0.23,0.21,0.21,0.23,0.26,0.18,0.2,0.22,0.18,0.0,0.18,0.2,0.2,0.17,0.18,0.17,0.17,0.18,0.0,0.19,0.19,0.18,0.18,0.18,0.0,0.2,0.19,0.0,0.2,0.0,0.17,0.17,0.0,0.19,0.0,0.17,0.0,0.0,0.21,0.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.30000000000001
08/11/2021,1.38,1.29,1.21,1.12,0.0,1.22,1.18,1.11,1.22,0.89,0.88,0.74,0.68,0.81,0.75,0.83,0.67,1.22,0.83,0.8,0.7,0.68,0.84,0.77,0.7,0.77,0.62,0.76,0.72,0.71,0.7,0.68,0.71,0.65,0.72,0.57,0.62,0.7,0.58,0.58,0.61,0.65,0.61,0.63,0.56,0.67,0.57,0.49,0.56,0.59,0.58,0.5,0.56,0.55,0.45,0.53,0.46,0.47,0.49,0.52,0.31,0.49,0.51,0.51,0.48,0.52,0.53,0.47,0.52,0.44,0.42,0.37,0.47,0.54,0.46,0.43,0.42,0.48,0.46,0.43,0.42,0.33,0.44,0.42,0.35,0.37,0.38,0.2,0.39,0.36,0.45,0.32,0.37,0.39,0.39,0.38,0.41,0.39,0.34,0.39,0.34,0.34,0.4,0.39,0.35,0.37,0.31,0.38,0.37,0.34,0.32,0.35,0.28,0.0,0.39,0.28,0.38,0.32,0.4,0.27,0.37,0.27,0.27,0.27,0.28,0.27,0.29,0.3,0.3,0.32,0.29,0.32,0.28,0.53,0.27,0.28,0.28,0.28,0.22,0.24,0.27,0.28,0.28,0.26,0.25,0.26,0.27,0.25,0.28,0.25,0.24,0.24,0.27,0.26,0.21,0.25,0.24,0.25,0.24,0.21,0.23,0.28,0.17,0.17,0.21,0.22,0.23,0.2,0.0,0.23,0.23,0.23,0.21,0.21,0.23,0.26,0.18,0.2,0.22,0.18,0.0,0.18,0.2,0.2,0.17,0.18,0.17,0.17,0.18,0.0,0.19,0.19,0.18,0.18,0.18,0.0,0.2,0.19,0.0,0.2,0.0,0.17,0.17,0.0,0.19,0.0,0.17,0.0,0.0,0.21,0.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.30000000000001
