,TSLA,PG,KO,PEP,NKE,PM,MDLZ,MO,EL,GM,ATVI,CL,F,KMB,LULU,APTV,EA,STZ,GIS,MNST,SWK,PTON,ADM,DHI,LEN,VFC,KHC,HSY,CLX,MKC,TSN,CHD,KDP,TTWO,POOL,GPC,NVR,CAG,K,PHM,SJM,WHR,BF.B,HRL,HAS,LW,TPR,BWA,MHK,ZNGA,DECK,DAR,BG,TAP,NWL,LEA,CPB,SAM,USFD,GNTX,ALV,TPX,PVH,BC,PII,BYND,HOG,MAT,LEG,SKX,POST,TOL,PFGC,HBI,INGR,THO,RL,HELE,FLO,HLF,QS,CRI,XTSLA,LAZR,UAA,LANC,UA,RBLX,HAIN,USD,COLM,THS,ENR,COTY,LEVI,REYN,PLTK,LEN.B,FIZZ,PPC,SEB,SGAFT,IXRU1,FAU1,IXYU1,FAZ1,IXRZ1,CVS,SYY,WBA,MCK,CTVA,KR,ABC,CASY,FRPT,ACI,SPB,BF.A,GO,SUM
07/29/2021,15.21,10.31,6.65,6.51,6.32,4.63,2.73,2.65,2.32,2.14,2.1,2.14,1.65,1.37,1.41,1.3,1.25,1.14,1.09,1.07,1.0,0.99,0.98,0.91,0.84,0.8,0.77,0.78,0.69,0.64,0.63,0.64,0.63,0.6,0.56,0.56,0.52,0.49,0.48,0.42,0.43,0.41,0.4,0.4,0.4,0.33,0.35,0.34,0.34,0.31,0.34,0.34,0.32,0.29,0.31,0.28,0.27,0.2,0.23,0.23,0.23,0.22,0.22,0.23,0.24,0.19,0.19,0.22,0.19,0.22,0.19,0.19,0.18,0.19,0.18,0.19,0.16,0.17,0.14,0.14,0.12,0.13,0.13,0.11,0.12,0.12,0.11,0.1,0.1,0.06,0.09,0.08,0.07,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/30/2021,15.01,10.41,6.71,6.59,6.34,4.7,2.77,2.67,2.31,2.12,1.97,2.14,1.63,1.39,1.4,1.3,1.23,1.16,1.1,1.06,0.98,0.98,0.99,0.92,0.85,0.81,0.77,0.79,0.69,0.64,0.64,0.64,0.62,0.59,0.57,0.56,0.53,0.5,0.48,0.43,0.44,0.42,0.4,0.41,0.39,0.29,0.35,0.34,0.34,0.31,0.33,0.33,0.32,0.28,0.31,0.28,0.27,0.2,0.23,0.24,0.23,0.21,0.22,0.23,0.23,0.19,0.18,0.22,0.19,0.21,0.19,0.19,0.18,0.19,0.18,0.19,0.16,0.16,0.14,0.13,0.11,0.13,0.13,0.1,0.12,0.12,0.1,0.09,0.1,0.06,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,15.59,10.2,6.61,6.47,6.36,4.67,2.66,2.69,2.31,2.18,1.94,2.11,1.68,1.37,1.42,1.35,1.23,1.13,1.07,1.04,0.95,0.95,0.99,0.94,0.88,0.81,0.75,0.78,0.68,0.63,0.63,0.64,0.61,0.59,0.57,0.55,0.54,0.48,0.47,0.43,0.43,0.42,0.39,0.39,0.38,0.29,0.34,0.35,0.34,0.31,0.34,0.34,0.34,0.28,0.31,0.29,0.27,0.2,0.23,0.25,0.24,0.24,0.22,0.23,0.22,0.19,0.18,0.22,0.19,0.21,0.18,0.2,0.18,0.19,0.18,0.19,0.16,0.17,0.14,0.13,0.12,0.13,0.13,0.11,0.11,0.11,0.1,0.09,0.1,0.06,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
08/03/2021,15.8,10.39,6.6,6.47,6.37,4.65,2.65,2.65,2.31,2.16,1.94,2.01,1.63,1.37,1.41,1.35,1.23,1.13,1.07,1.04,0.95,0.95,1.0,0.93,0.87,0.77,0.74,0.78,0.67,0.62,0.63,0.63,0.61,0.6,0.57,0.55,0.53,0.48,0.48,0.43,0.43,0.41,0.39,0.39,0.38,0.29,0.35,0.35,0.34,0.31,0.34,0.34,0.33,0.27,0.28,0.29,0.26,0.2,0.23,0.24,0.24,0.24,0.22,0.24,0.22,0.18,0.18,0.23,0.19,0.21,0.18,0.2,0.18,0.19,0.18,0.2,0.16,0.16,0.14,0.13,0.12,0.13,0.13,0.11,0.11,0.12,0.1,0.09,0.1,0.06,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,15.8,10.39,6.6,6.47,6.37,4.65,2.65,2.65,2.31,2.16,1.94,2.01,1.63,1.37,1.41,1.35,1.23,1.13,1.07,1.04,0.95,0.95,1.0,0.93,0.87,0.77,0.74,0.78,0.67,0.62,0.63,0.63,0.61,0.6,0.57,0.55,0.53,0.48,0.48,0.43,0.43,0.41,0.39,0.39,0.38,0.29,0.35,0.35,0.34,0.31,0.34,0.34,0.33,0.27,0.28,0.29,0.26,0.2,0.23,0.24,0.24,0.24,0.22,0.24,0.22,0.18,0.18,0.23,0.19,0.21,0.18,0.2,0.18,0.19,0.18,0.2,0.16,0.16,0.14,0.13,0.12,0.13,0.13,0.11,0.11,0.12,0.1,0.09,0.1,0.06,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,15.8,10.39,6.6,6.47,6.37,4.65,2.65,2.65,2.31,2.16,1.94,2.01,1.63,1.37,1.41,1.35,1.23,1.13,1.07,1.04,0.95,0.95,1.0,0.93,0.87,0.77,0.74,0.78,0.67,0.62,0.63,0.63,0.61,0.6,0.57,0.55,0.53,0.48,0.48,0.43,0.43,0.41,0.39,0.39,0.38,0.29,0.35,0.35,0.34,0.31,0.34,0.34,0.33,0.27,0.28,0.29,0.26,0.2,0.23,0.24,0.24,0.24,0.22,0.24,0.22,0.18,0.18,0.23,0.19,0.21,0.18,0.2,0.18,0.19,0.18,0.2,0.16,0.16,0.14,0.13,0.12,0.13,0.13,0.11,0.11,0.12,0.1,0.09,0.1,0.06,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,16.2,10.44,6.54,6.41,6.47,4.64,2.64,2.62,2.25,2.19,1.84,1.99,1.63,1.36,1.43,1.35,1.18,1.11,1.07,1.02,0.95,0.95,0.99,0.95,0.88,0.78,0.75,0.78,0.6,0.62,0.63,0.62,0.6,0.55,0.57,0.55,0.54,0.47,0.47,0.43,0.43,0.42,0.38,0.39,0.38,0.29,0.36,0.35,0.35,0.3,0.35,0.34,0.32,0.27,0.28,0.28,0.26,0.19,0.22,0.24,0.23,0.23,0.23,0.24,0.23,0.18,0.18,0.23,0.19,0.21,0.18,0.2,0.17,0.19,0.17,0.19,0.18,0.17,0.14,0.13,0.11,0.13,0.14,0.1,0.13,0.11,0.11,0.09,0.1,0.05,0.09,0.07,0.07,0.07,0.07,0.04,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,16.15,10.38,6.59,6.39,6.6,4.63,2.6,2.63,2.29,2.11,1.92,1.99,1.62,1.35,1.45,1.32,1.17,1.11,1.06,1.08,0.95,0.91,1.01,0.93,0.86,0.78,0.72,0.78,0.61,0.62,0.63,0.61,0.6,0.55,0.58,0.54,0.53,0.47,0.48,0.42,0.42,0.41,0.39,0.38,0.38,0.29,0.37,0.33,0.35,0.24,0.36,0.35,0.32,0.28,0.29,0.28,0.26,0.18,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.19,0.18,0.23,0.19,0.22,0.19,0.19,0.18,0.21,0.17,0.2,0.18,0.17,0.14,0.13,0.11,0.14,0.07,0.11,0.14,0.11,0.12,0.1,0.1,0.12,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/11/2021,16.15,10.38,6.59,6.39,6.6,4.63,2.6,2.63,2.29,2.11,1.92,1.99,1.62,1.35,1.45,1.32,1.17,1.11,1.06,1.08,0.95,0.91,1.01,0.93,0.86,0.78,0.72,0.78,0.61,0.62,0.63,0.61,0.6,0.55,0.58,0.54,0.53,0.47,0.48,0.42,0.42,0.41,0.39,0.38,0.38,0.29,0.37,0.33,0.35,0.24,0.36,0.35,0.32,0.28,0.29,0.28,0.26,0.18,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.19,0.18,0.23,0.19,0.22,0.19,0.19,0.18,0.21,0.17,0.2,0.18,0.17,0.14,0.13,0.11,0.14,0.07,0.11,0.14,0.11,0.12,0.1,0.1,0.12,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/13/2021,16.27,10.36,6.55,6.34,6.53,4.63,2.59,2.65,2.26,2.06,1.92,1.98,1.61,1.34,1.43,1.37,1.17,1.1,1.06,1.09,0.95,0.91,1.02,0.93,0.87,0.77,0.72,0.78,0.61,0.62,0.7,0.61,0.59,0.55,0.58,0.54,0.53,0.48,0.48,0.42,0.42,0.42,0.38,0.38,0.38,0.29,0.36,0.33,0.35,0.24,0.36,0.36,0.33,0.29,0.29,0.27,0.26,0.18,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.19,0.18,0.23,0.19,0.21,0.19,0.19,0.18,0.21,0.17,0.2,0.17,0.17,0.13,0.13,0.12,0.13,0.11,0.11,0.14,0.11,0.13,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,16.46,10.35,6.52,6.34,6.43,4.61,2.59,2.63,2.24,2.06,1.96,1.97,1.61,1.34,1.43,1.33,1.18,1.06,1.06,1.07,0.96,0.9,1.02,0.94,0.88,0.77,0.72,0.77,0.61,0.63,0.7,0.61,0.59,0.55,0.58,0.54,0.53,0.48,0.48,0.43,0.42,0.43,0.37,0.38,0.38,0.28,0.37,0.33,0.36,0.25,0.35,0.37,0.33,0.28,0.29,0.27,0.26,0.18,0.23,0.23,0.23,0.24,0.24,0.25,0.23,0.18,0.19,0.23,0.2,0.21,0.2,0.2,0.18,0.21,0.17,0.2,0.18,0.17,0.13,0.13,0.11,0.14,0.11,0.1,0.14,0.11,0.13,0.1,0.1,0.09,0.09,0.06,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/17/2021,16.3,10.37,6.55,6.38,6.46,4.67,2.63,2.65,2.23,2.02,1.92,1.98,1.57,1.36,1.43,1.32,1.17,1.07,1.08,1.07,0.95,0.88,1.03,0.95,0.88,0.77,0.72,0.78,0.62,0.64,0.71,0.62,0.59,0.55,0.57,0.53,0.53,0.48,0.49,0.42,0.43,0.43,0.37,0.38,0.38,0.29,0.36,0.32,0.36,0.25,0.36,0.38,0.33,0.28,0.29,0.27,0.26,0.17,0.22,0.23,0.23,0.24,0.25,0.24,0.22,0.18,0.19,0.23,0.2,0.21,0.2,0.2,0.18,0.21,0.17,0.2,0.18,0.17,0.14,0.13,0.11,0.14,0.11,0.1,0.14,0.11,0.13,0.1,0.1,0.09,0.09,0.06,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,15.67,10.49,6.61,6.47,6.51,4.73,2.65,2.65,2.25,2.0,1.93,2.0,1.56,1.39,1.43,1.32,1.19,1.07,1.09,1.08,0.96,0.88,1.04,0.96,0.89,0.76,0.73,0.79,0.63,0.64,0.71,0.63,0.6,0.55,0.59,0.54,0.53,0.48,0.49,0.43,0.43,0.43,0.38,0.39,0.38,0.29,0.36,0.32,0.36,0.24,0.36,0.38,0.33,0.28,0.29,0.28,0.26,0.17,0.22,0.23,0.23,0.24,0.24,0.24,0.23,0.18,0.19,0.23,0.2,0.21,0.2,0.2,0.18,0.21,0.18,0.2,0.18,0.17,0.14,0.13,0.1,0.14,0.19,0.1,0.14,0.11,0.12,0.1,0.1,0.01,0.09,0.06,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,15.38,10.64,6.67,6.54,6.52,4.79,2.7,2.69,2.24,1.93,1.94,2.03,1.53,1.41,1.39,1.28,1.21,1.08,1.11,1.08,0.94,0.91,1.03,0.93,0.86,0.74,0.74,0.8,0.64,0.66,0.71,0.64,0.6,0.57,0.58,0.54,0.53,0.49,0.51,0.42,0.45,0.42,0.38,0.4,0.37,0.29,0.35,0.32,0.35,0.25,0.35,0.37,0.33,0.28,0.28,0.27,0.27,0.18,0.22,0.23,0.22,0.24,0.23,0.24,0.22,0.18,0.19,0.22,0.19,0.2,0.21,0.2,0.18,0.2,0.18,0.19,0.17,0.17,0.15,0.13,0.1,0.14,0.19,0.1,0.13,0.11,0.12,0.1,0.1,0.01,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,15.68,10.72,6.67,6.63,6.38,4.77,2.7,2.7,2.29,1.89,1.95,2.02,1.5,1.42,1.42,1.25,1.22,1.09,1.11,1.09,0.93,0.88,1.0,0.92,0.86,0.74,0.72,0.8,0.64,0.66,0.71,0.64,0.61,0.57,0.59,0.53,0.52,0.49,0.5,0.41,0.44,0.42,0.38,0.4,0.37,0.29,0.34,0.31,0.35,0.26,0.36,0.36,0.32,0.27,0.28,0.26,0.26,0.17,0.21,0.23,0.22,0.23,0.23,0.23,0.21,0.17,0.18,0.22,0.19,0.2,0.2,0.2,0.17,0.2,0.17,0.19,0.17,0.17,0.15,0.13,0.1,0.13,0.19,0.09,0.13,0.11,0.11,0.1,0.1,0.01,0.09,0.06,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,15.79,10.7,6.62,6.59,6.44,4.76,2.69,2.7,2.31,1.88,1.93,2.01,1.48,1.4,1.42,1.26,1.21,1.09,1.11,1.08,0.93,0.87,0.99,0.94,0.87,0.74,0.71,0.79,0.64,0.66,0.71,0.63,0.61,0.56,0.59,0.54,0.53,0.49,0.5,0.42,0.43,0.42,0.38,0.39,0.37,0.29,0.34,0.31,0.35,0.26,0.36,0.34,0.31,0.27,0.28,0.26,0.26,0.17,0.22,0.23,0.21,0.23,0.22,0.23,0.22,0.18,0.18,0.22,0.19,0.2,0.2,0.2,0.17,0.2,0.17,0.19,0.17,0.17,0.15,0.13,0.1,0.14,0.19,0.09,0.13,0.11,0.12,0.1,0.1,0.01,0.09,0.06,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
