,PAAS.TO,HL,SSRM,FR.TO,NEM,PE&OLES.MX,MAG.TO,CDE,ELD.TO,FVI.TO,5857.T,SIL.TO,NGD.TO,WPM.TO,EDR.TO,SVM.TO,SEA.TO,DPM.TO,HOC.L,AEM.TO,LUG.TO,VGCX.TO,OLA,K.TO,SOLG.L,POLY.L,YRI.TO,HAR.JO,BVN.,CAD,XTSLA,JPY,WFFUT,GBP,MXN,ZAR,AUD,CNH,PTU1,USD,OLA.TO,VGCX,PTZ1,SUM
08/23/2021,14.26,8.24,8.65,6.53,5.57,5.64,4.62,3.6,3.84,3.36,4.33,3.06,2.08,3.05,2.12,2.2,2.84,2.77,2.2,2.18,1.91,0.0,0.0,1.13,1.0,0.84,0.75,0.43,0.31,0.09,0.04,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,1.17,1.17,0.0,100.03000000000002
08/24/2021,14.13,8.28,8.67,6.59,5.57,5.62,4.51,3.62,3.85,3.34,4.37,3.06,2.19,3.06,2.11,2.19,2.83,2.76,2.15,2.19,1.92,0.0,0.0,1.13,0.98,0.84,0.75,0.44,0.3,0.09,0.04,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.08,1.15,1.15,0.0,99.99
08/25/2021,14.13,8.28,8.67,6.59,5.57,5.62,4.51,3.62,3.85,3.34,4.37,3.06,2.19,3.06,2.11,2.19,2.83,2.76,2.15,2.19,1.92,0.0,0.0,1.13,0.98,0.84,0.75,0.44,0.3,0.09,0.04,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.08,1.15,1.15,0.0,99.99
08/26/2021,14.26,8.3,8.63,6.6,5.42,5.44,4.7,3.66,3.86,3.41,4.24,3.11,2.27,3.01,2.14,2.19,2.8,2.75,2.2,2.15,1.92,0.0,0.0,1.12,0.97,0.83,0.74,0.44,0.31,0.09,0.06,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,1.2,1.11,0.0,99.98
08/27/2021,14.2,8.32,8.63,6.62,5.35,5.42,4.69,3.69,3.86,3.46,4.34,3.09,2.27,3.0,2.16,2.17,2.79,2.75,2.18,2.15,1.92,0.0,0.0,1.12,0.97,0.8,0.75,0.43,0.33,0.09,0.06,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.05,1.23,1.1,0.0,100.02
08/30/2021,14.11,8.15,8.62,6.54,5.36,5.49,4.71,3.63,3.96,3.46,4.39,3.12,2.29,3.0,2.14,2.2,2.89,2.74,2.15,2.12,1.87,0.0,0.0,1.12,1.09,0.79,0.74,0.42,0.34,0.09,0.05,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.07,1.21,1.09,0.0,99.97
08/31/2021,14.06,8.38,8.63,6.58,5.29,5.35,4.75,3.74,3.89,3.51,4.31,3.14,2.32,2.97,2.19,2.23,2.8,2.74,2.1,2.1,1.93,0.0,0.0,1.11,1.04,0.76,0.73,0.43,0.35,0.09,0.05,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.06,1.23,1.1,0.0,99.98
09/01/2021,14.06,8.38,8.63,6.58,5.29,5.35,4.75,3.74,3.89,3.51,4.31,3.14,2.32,2.97,2.19,2.23,2.8,2.74,2.1,2.1,1.93,0.0,0.0,1.11,1.04,0.76,0.73,0.43,0.35,0.09,0.05,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.06,1.23,1.1,0.0,99.98
09/02/2021,14.11,8.37,8.59,6.59,5.28,5.51,4.69,3.74,3.83,3.51,4.34,3.14,2.26,2.97,2.21,2.21,2.8,2.73,2.12,2.09,1.91,0.0,0.0,1.1,1.05,0.77,0.72,0.43,0.34,0.09,0.05,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.06,1.22,1.13,0.0,99.98000000000002
09/06/2021,14.07,8.5,9.01,7.09,5.71,4.41,4.44,4.23,3.83,3.42,4.26,3.06,2.17,2.88,2.27,2.23,2.8,2.71,2.01,2.06,1.85,0.0,0.0,1.11,1.08,0.74,0.69,0.38,0.32,0.08,0.05,0.01,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.05,1.25,1.17,0.0,99.99
09/07/2021,14.06,8.55,8.9,7.06,5.6,4.3,4.47,4.25,3.85,3.44,4.14,3.06,2.4,2.88,2.32,2.25,2.78,2.74,2.13,2.04,1.84,1.22,1.21,1.1,1.04,0.73,0.7,0.38,0.32,0.09,0.09,0.01,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01000000000003
09/08/2021,14.06,8.55,8.9,7.06,5.6,4.3,4.47,4.25,3.85,3.44,4.14,3.06,2.4,2.88,2.32,2.25,2.78,2.74,2.13,2.04,1.84,1.22,0.0,1.1,1.04,0.73,0.7,0.38,0.32,0.09,0.09,0.01,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.01,1.21,0.0,0.0,100.01000000000003
09/09/2021,14.08,8.58,8.91,7.07,5.62,4.28,4.48,4.26,3.86,3.44,4.2,3.06,2.4,2.88,2.32,2.25,2.78,2.74,2.09,2.04,1.85,1.22,0.0,1.1,1.04,0.74,0.7,0.36,0.32,0.09,0.09,0.01,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.01,1.21,0.0,0.0,100.13000000000002
09/10/2021,14.09,8.49,8.87,7.08,5.66,4.27,4.47,4.25,3.83,3.42,4.29,3.06,2.33,2.9,2.3,2.23,2.81,2.76,2.1,2.04,1.82,1.22,0.0,1.1,1.05,0.74,0.7,0.36,0.32,0.09,0.1,0.01,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.0,1.16,0.0,0.0,99.97
09/16/2021,14.16,8.53,8.71,7.08,5.56,4.19,4.41,4.32,3.77,3.57,4.3,3.11,2.32,2.85,2.27,2.22,2.8,2.87,2.12,1.99,1.84,1.27,0.0,1.07,1.13,0.71,0.69,0.36,0.32,0.12,0.04,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.06,1.17,0.0,0.0,99.98
09/17/2021,14.18,8.49,8.81,7.12,5.55,4.15,4.44,4.26,3.74,3.54,4.38,3.16,2.26,2.85,2.24,2.21,2.78,2.91,2.07,1.99,1.83,1.25,0.0,1.07,1.19,0.71,0.69,0.37,0.32,0.11,0.0,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.1,1.19,0.0,0.0,100.01
09/20/2021,14.17,8.28,8.68,7.08,5.68,4.37,4.45,4.0,3.79,3.48,4.38,3.23,2.28,2.8,2.19,2.25,2.84,2.92,2.06,2.03,1.83,1.3,0.0,1.08,1.2,0.72,0.71,0.36,0.32,0.1,0.01,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.09,1.25,0.0,0.0,99.98
09/21/2021,14.08,8.17,8.86,7.2,5.68,4.33,4.31,3.98,3.85,3.48,4.38,3.2,2.4,2.79,2.21,2.23,2.86,2.93,2.07,2.02,1.81,1.26,0.0,1.07,1.17,0.72,0.7,0.37,0.34,0.1,0.04,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.07,1.26,0.0,0.0,99.99
09/22/2021,14.08,8.17,8.86,7.2,5.68,4.33,4.31,3.98,3.85,3.48,4.38,3.2,2.4,2.79,2.21,2.23,2.86,2.93,2.07,2.02,1.81,1.26,0.0,1.07,1.17,0.72,0.7,0.37,0.34,0.1,0.04,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.07,1.26,0.0,0.0,99.99
09/23/2021,14.22,8.1,8.87,7.12,5.65,4.29,4.23,3.97,3.92,3.44,4.47,3.16,2.36,2.82,2.21,2.23,2.87,2.99,2.02,2.04,1.77,1.27,0.0,1.07,1.2,0.74,0.72,0.38,0.34,0.1,0.04,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.06,1.27,0.0,0.0,99.99
09/24/2021,14.24,8.12,8.85,7.27,5.7,4.19,4.23,4.0,3.91,3.47,4.38,3.18,2.27,2.83,2.22,2.24,2.84,2.99,2.02,2.03,1.81,1.24,0.0,1.08,1.18,0.73,0.72,0.39,0.35,0.1,0.04,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.06,1.26,0.0,0.0,99.99
09/27/2021,14.13,8.18,8.76,7.26,5.74,4.28,4.24,4.1,3.81,3.48,4.39,3.18,2.31,2.76,2.24,2.22,2.79,3.04,2.05,2.01,1.8,1.27,0.0,1.07,1.18,0.73,0.72,0.38,0.35,0.11,0.04,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.06,1.26,0.0,0.0,99.99
09/28/2021,14.08,8.33,8.81,7.21,5.77,4.32,4.21,4.11,3.8,3.44,4.46,3.1,2.28,2.77,2.22,2.19,2.77,3.14,2.03,1.99,1.81,1.26,0.0,1.07,1.14,0.73,0.71,0.38,0.35,0.11,0.1,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.01,1.26,0.0,0.0,100.01
09/30/2021,14.15,8.45,8.78,7.24,5.75,4.28,4.21,4.14,3.81,3.5,4.41,3.09,2.28,2.72,2.25,2.2,2.73,3.06,2.06,1.98,1.74,1.25,0.0,1.07,1.14,0.72,0.71,0.39,0.35,0.11,0.09,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,99.98
10/01/2021,14.3,8.62,8.81,7.17,5.87,4.03,4.32,4.22,3.84,3.49,4.46,3.08,2.21,2.7,2.22,2.19,2.71,2.98,1.97,1.97,1.75,1.25,0.0,1.08,1.11,0.7,0.72,0.38,0.35,0.12,0.1,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.01,1.25,0.0,0.0,100.03
10/20/2021,14.05,7.87,8.91,6.96,5.65,4.43,4.23,3.91,4.35,3.65,4.14,2.99,2.62,2.68,2.28,2.12,2.84,3.01,1.98,2.1,1.93,1.48,0.0,1.15,1.04,0.7,0.73,0.44,0.38,0.13,0.01,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.12,0.0,0.0,99.98
10/21/2021,14.01,7.81,8.95,6.98,5.67,4.49,4.18,3.82,4.35,3.63,4.28,2.97,2.54,2.71,2.27,2.1,2.85,3.03,2.0,2.1,1.98,1.52,0.0,1.16,1.04,0.71,0.73,0.44,0.38,0.13,0.01,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.05,0.0,0.0,99.99
10/22/2021,14.1,7.93,8.86,7.07,5.64,4.46,4.25,3.85,4.29,3.67,4.18,2.97,2.58,2.69,2.29,2.12,2.81,3.01,1.99,2.07,1.95,1.49,0.0,1.15,0.97,0.72,0.72,0.44,0.37,0.13,0.01,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.08,0.0,0.0,99.96
10/25/2021,14.13,7.86,8.7,7.21,5.56,4.37,4.37,3.97,4.25,3.75,4.04,3.09,2.6,2.66,2.35,2.13,2.83,2.98,1.99,2.05,1.94,1.48,0.0,1.16,0.98,0.71,0.7,0.43,0.39,0.13,0.01,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.07,0.0,0.0,99.99
11/02/2021,14.15,8.1,8.72,7.12,5.32,4.03,4.74,3.87,4.0,3.82,3.77,3.55,2.67,2.61,2.45,2.18,2.94,2.98,1.95,1.92,1.93,1.53,0.0,1.12,1.02,0.7,0.65,0.41,0.36,0.11,0.03,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.13,0.0,0.0,99.98
11/03/2021,14.15,8.1,8.72,7.12,5.32,4.03,4.74,3.87,4.0,3.82,3.77,3.55,2.67,2.61,2.45,2.18,2.94,2.98,1.95,1.92,1.93,1.53,0.0,1.12,1.02,0.7,0.65,0.41,0.36,0.11,0.03,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.13,0.0,0.0,99.98
11/04/2021,14.1,8.32,8.59,7.16,5.26,3.94,4.68,4.09,4.09,3.88,3.82,3.51,2.71,2.54,2.44,2.16,2.95,2.95,2.03,1.9,1.92,1.49,0.0,1.1,0.95,0.69,0.65,0.4,0.35,0.11,0.03,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,99.99
11/08/2021,13.78,7.91,9.37,7.06,5.35,4.09,4.77,4.1,4.16,3.8,3.9,3.46,2.69,2.58,2.39,2.12,2.88,2.95,2.01,1.87,1.87,1.49,0.0,1.12,0.9,0.69,0.66,0.4,0.31,0.11,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,1.07,0.0,0.0,99.98
11/09/2021,13.83,8.06,9.29,7.25,5.33,3.95,4.74,4.07,4.16,3.85,3.73,3.44,2.79,2.55,2.43,2.17,2.86,2.96,1.96,1.87,1.87,1.47,0.0,1.12,0.88,0.67,0.66,0.39,0.32,0.11,0.04,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,1.12,0.0,0.0,100.0
11/10/2021,13.83,8.06,9.29,7.25,5.33,3.95,4.74,4.07,4.16,3.85,3.73,3.44,2.79,2.55,2.43,2.17,2.86,2.96,1.96,1.87,1.87,1.47,0.0,1.12,0.88,0.67,0.66,0.39,0.32,0.11,0.04,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,1.12,0.0,0.0,100.0
11/11/2021,13.91,8.03,9.15,7.39,5.25,3.97,4.73,4.11,4.12,3.86,3.66,3.44,2.74,2.54,2.46,2.22,2.86,2.97,2.01,1.85,1.85,1.46,0.0,1.11,0.92,0.68,0.66,0.4,0.32,0.11,0.04,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,1.1,0.0,0.0,99.98
11/12/2021,13.96,8.11,9.2,7.3,5.27,3.94,4.68,4.0,4.12,3.87,3.62,3.45,2.83,2.57,2.38,2.22,2.91,2.97,1.99,1.89,1.84,1.44,0.0,1.1,0.9,0.68,0.67,0.39,0.32,0.11,0.04,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,1.16,0.0,0.0,99.99
11/15/2021,13.95,8.18,9.74,7.1,5.25,3.78,4.53,3.98,4.15,3.55,3.5,3.39,2.77,2.56,2.55,2.19,2.97,2.99,2.07,1.87,1.91,1.35,0.0,1.15,0.87,0.69,0.67,0.43,0.31,0.1,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.27,0.0,0.0,99.96
11/19/2021,14.19,8.07,10.08,7.03,5.31,3.71,4.43,3.86,4.12,2.85,3.59,3.33,3.08,2.69,2.53,2.12,2.97,3.1,2.12,1.9,1.83,1.33,0.0,1.19,0.85,0.71,0.69,0.44,0.31,0.11,0.03,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.33,0.0,0.0,100.01
11/22/2021,14.22,8.13,10.12,7.06,5.27,3.66,4.37,3.77,4.12,2.95,3.49,3.28,3.12,2.7,2.54,2.16,3.01,3.11,2.15,1.91,1.82,1.3,0.0,1.2,0.86,0.71,0.7,0.45,0.3,0.13,0.01,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.27,0.0,0.0,100.0
11/23/2021,14.22,8.13,10.12,7.06,5.27,3.66,4.37,3.77,4.12,2.95,3.49,3.28,3.12,2.7,2.54,2.16,3.01,3.11,2.15,1.91,1.82,1.3,0.0,1.2,0.86,0.71,0.7,0.45,0.3,0.13,0.01,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.27,0.0,0.0,100.0
11/24/2021,14.23,8.1,10.34,6.95,5.34,3.63,4.25,3.75,4.15,2.9,3.64,3.31,2.91,2.75,2.48,2.12,3.06,3.1,2.12,1.89,1.79,1.32,0.0,1.2,0.86,0.72,0.68,0.46,0.29,0.13,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.32,0.0,0.0,99.97
11/25/2021,14.15,8.12,10.43,6.96,5.39,3.75,4.22,3.72,4.24,2.97,3.66,3.44,2.91,2.74,2.52,2.16,3.06,3.09,1.57,1.89,1.81,1.3,0.0,1.21,0.88,0.7,0.69,0.45,0.29,0.13,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.35,0.0,0.0,99.99
11/26/2021,14.51,8.2,10.29,6.97,5.49,3.79,4.11,3.7,4.17,2.88,3.74,3.41,2.96,2.74,2.51,2.16,3.08,3.03,1.53,1.89,1.73,1.29,0.0,1.19,0.83,0.7,0.68,0.46,0.3,0.13,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.34,0.0,0.0,100.0
11/29/2021,14.7,8.19,10.2,7.03,5.47,3.71,4.05,3.69,4.17,2.89,3.7,3.44,2.81,2.78,2.48,2.18,3.08,2.96,1.85,1.87,1.73,1.27,0.0,1.16,0.79,0.69,0.67,0.43,0.31,0.14,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.35,0.0,0.0,99.98
11/30/2021,14.62,8.08,10.23,6.88,5.7,3.71,4.01,3.62,4.21,2.84,3.84,3.4,2.89,2.79,2.38,2.16,3.1,2.97,1.82,1.92,1.72,1.27,0.0,1.17,0.8,0.72,0.68,0.47,0.32,0.13,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.36,0.0,0.0,100.0
12/01/2021,14.62,8.08,10.23,6.88,5.7,3.71,4.01,3.62,4.21,2.84,3.84,3.4,2.89,2.79,2.38,2.16,3.1,2.97,1.82,1.92,1.72,1.27,0.0,1.17,0.8,0.72,0.68,0.47,0.32,0.13,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.36,0.0,0.0,100.0
12/02/2021,14.56,8.09,10.32,7.1,5.63,3.82,3.99,3.58,4.18,2.82,3.76,3.45,2.77,2.82,2.37,2.17,3.15,2.93,1.78,1.89,1.71,1.28,0.0,1.16,0.84,0.7,0.69,0.46,0.33,0.13,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.31,0.0,0.0,99.97999999999999
