,KDP,NOC,GD,HRL,TSN,MO,NUE,VMC,CAG,MLM,CLX,CHD,CPB,SJM,WRK,FBHS,PKG,LII,STLD,SMG,HUBB,RS,POST,WMS,PII,HII,UTHR,LPX,LANC,FLO,EXP,UFPI,SPWR,SAFM,AJRD,LCII,ATKR,WOR,THS,SPXC,CENT,VSTO,WGO,MLI,CNR,VGR,KALU,HNI,LZB,WIRE,FRTA,AMWD,REVG,APOG,USCR,WNC,TMST,SPLP,SENEA,CLW,ZEUS,n/a,HSY,CLF,OSK,REYN,SAM,BWXT,SSD,SKY,EBS,ACA,SNBR,SUM
08/04/2021,5.19,4.95,5.25,4.95,4.78,4.87,4.8,4.35,3.73,4.01,3.83,3.58,3.2,3.16,2.37,2.39,2.35,2.15,2.19,1.86,1.87,1.65,1.48,1.6,1.4,1.38,1.38,1.09,1.16,1.12,0.99,0.84,0.62,0.7,0.63,0.69,0.62,0.59,0.57,0.52,0.4,0.4,0.43,0.42,0.35,0.34,0.34,0.3,0.26,0.28,0.27,0.23,0.19,0.17,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,5.19,4.95,5.25,4.95,4.78,4.87,4.8,4.35,3.73,4.01,3.83,3.58,3.2,3.16,2.37,2.39,2.35,2.15,2.19,1.86,1.87,1.65,1.48,1.6,1.4,1.38,1.38,1.09,1.16,1.12,0.99,0.84,0.62,0.7,0.63,0.69,0.62,0.59,0.57,0.52,0.4,0.4,0.43,0.42,0.35,0.34,0.34,0.3,0.26,0.28,0.27,0.23,0.19,0.17,0.16,0.12,0.1,0.11,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,5.07,4.99,5.27,4.92,4.8,4.9,4.94,4.28,3.7,3.97,3.82,3.56,3.15,3.18,2.32,2.43,2.36,2.16,2.25,1.79,1.89,1.67,1.47,1.6,1.42,1.37,1.34,1.07,1.18,1.12,1.0,0.84,0.62,0.7,0.63,0.69,0.63,0.59,0.56,0.53,0.41,0.43,0.45,0.42,0.34,0.34,0.34,0.29,0.26,0.28,0.27,0.23,0.19,0.18,0.16,0.13,0.1,0.11,0.11,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/09/2021,5.14,5.0,5.35,4.87,4.75,4.92,4.97,4.29,3.62,4.02,3.49,3.53,3.11,3.15,2.34,2.5,2.37,2.2,2.23,1.69,1.93,1.64,1.45,1.55,1.46,1.39,1.55,1.12,1.15,1.1,1.03,0.86,0.61,0.7,0.63,0.69,0.73,0.57,0.5,0.53,0.4,0.45,0.47,0.43,0.31,0.37,0.34,0.29,0.27,0.31,0.27,0.23,0.2,0.18,0.17,0.13,0.1,0.12,0.11,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/10/2021,5.06,5.0,5.37,4.82,4.77,4.87,5.06,4.33,3.64,4.02,3.44,3.48,3.09,3.11,2.34,2.48,2.39,2.2,2.26,1.69,1.92,1.65,1.56,1.54,1.43,1.39,1.59,1.14,1.13,1.09,1.03,0.85,0.6,0.7,0.62,0.7,0.73,0.58,0.5,0.53,0.41,0.45,0.46,0.43,0.31,0.37,0.34,0.29,0.27,0.31,0.27,0.22,0.2,0.18,0.16,0.13,0.11,0.12,0.1,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/11/2021,5.06,5.0,5.37,4.82,4.77,4.87,5.06,4.33,3.64,4.02,3.44,3.48,3.09,3.11,2.34,2.48,2.39,2.2,2.26,1.69,1.92,1.65,1.56,1.54,1.43,1.39,1.59,1.14,1.13,1.09,1.03,0.85,0.6,0.7,0.62,0.7,0.73,0.58,0.5,0.53,0.41,0.45,0.46,0.43,0.31,0.37,0.34,0.29,0.27,0.31,0.27,0.22,0.2,0.18,0.16,0.13,0.11,0.12,0.1,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/13/2021,5.03,4.95,5.27,4.82,5.14,4.84,5.19,4.34,3.65,4.02,3.46,3.48,3.08,3.11,2.35,2.43,2.4,2.19,2.29,1.66,1.88,1.64,1.58,1.52,1.39,1.37,1.54,1.11,1.13,1.08,1.02,0.83,0.61,0.74,0.62,0.67,0.73,0.57,0.49,0.51,0.41,0.45,0.45,0.42,0.32,0.36,0.34,0.29,0.26,0.31,0.27,0.22,0.2,0.18,0.16,0.13,0.12,0.12,0.11,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,4.89,4.84,5.17,4.63,5.16,4.76,5.85,4.43,3.59,4.11,3.4,3.39,2.99,3.06,2.38,2.45,2.38,2.17,2.52,1.57,1.9,1.64,1.58,1.51,1.42,1.35,1.46,1.16,1.1,1.05,1.06,0.84,0.59,0.73,0.58,0.68,0.79,0.57,0.47,0.51,0.4,0.45,0.45,0.42,0.34,0.36,0.35,0.29,0.27,0.31,0.26,0.23,0.2,0.18,0.16,0.13,0.13,0.12,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/17/2021,4.89,4.82,5.14,4.68,5.27,4.8,5.88,4.36,3.63,4.07,3.42,3.41,3.03,3.1,2.36,2.45,2.39,2.16,2.52,1.55,1.91,1.63,1.59,1.49,1.39,1.34,1.45,1.13,1.1,1.11,1.05,0.84,0.56,0.72,0.55,0.66,0.77,0.57,0.47,0.5,0.39,0.43,0.44,0.43,0.34,0.36,0.34,0.29,0.27,0.3,0.26,0.23,0.2,0.18,0.16,0.13,0.13,0.12,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,4.89,4.82,5.14,4.68,5.27,4.8,5.88,4.36,3.63,4.07,3.42,3.41,3.03,3.1,2.36,2.45,2.39,2.16,2.52,1.55,1.91,1.63,1.59,1.49,1.39,1.34,1.45,1.13,1.1,1.11,1.05,0.84,0.56,0.72,0.55,0.66,0.77,0.57,0.47,0.5,0.39,0.43,0.44,0.43,0.34,0.36,0.34,0.29,0.27,0.3,0.26,0.23,0.2,0.18,0.16,0.13,0.13,0.12,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,4.89,4.82,5.14,4.68,5.27,4.8,5.88,4.36,3.63,4.07,3.42,3.41,3.03,3.1,2.36,2.45,2.39,2.16,2.52,1.55,1.91,1.63,1.59,1.49,1.39,1.34,1.45,1.13,1.1,1.11,1.05,0.84,0.56,0.72,0.55,0.66,0.77,0.57,0.47,0.5,0.39,0.43,0.44,0.43,0.34,0.36,0.34,0.29,0.27,0.3,0.26,0.23,0.2,0.18,0.16,0.13,0.13,0.0,0.1,0.09,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,4.98,4.93,5.19,4.73,5.25,4.78,5.79,4.31,3.62,4.05,3.45,3.45,3.04,3.12,2.36,2.47,2.38,2.15,2.47,1.51,1.89,1.61,1.6,1.47,1.4,1.33,1.44,1.11,1.09,1.12,1.06,0.83,0.54,0.72,0.55,0.67,0.76,0.56,0.47,0.5,0.38,0.43,0.44,0.43,0.35,0.36,0.33,0.28,0.27,0.3,0.26,0.23,0.2,0.18,0.16,0.13,0.13,0.12,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,5.06,4.94,5.18,4.85,5.32,4.87,5.6,4.3,3.66,4.06,3.56,3.54,3.1,3.16,2.29,2.38,2.42,2.14,2.37,1.56,1.87,1.59,1.61,1.45,1.32,1.33,1.49,1.12,1.1,1.15,1.06,0.83,0.52,0.73,0.55,0.64,0.71,0.54,0.45,0.49,0.39,0.41,0.42,0.43,0.31,0.36,0.33,0.28,0.27,0.3,0.26,0.23,0.19,0.18,0.16,0.13,0.11,0.11,0.1,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/24/2021,5.03,4.94,5.2,4.82,5.27,4.87,5.53,4.29,3.66,4.07,3.52,3.51,3.09,3.12,2.31,2.4,2.46,2.16,2.35,1.58,1.9,1.58,1.61,1.48,1.33,1.34,1.51,1.14,1.09,1.14,1.06,0.84,0.53,0.72,0.56,0.66,0.72,0.54,0.45,0.5,0.39,0.41,0.43,0.43,0.31,0.36,0.33,0.28,0.27,0.3,0.26,0.24,0.19,0.18,0.16,0.13,0.11,0.11,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,5.03,4.94,5.2,4.82,5.27,4.87,5.53,4.29,3.66,4.07,3.52,3.51,3.09,3.12,2.31,2.4,2.46,2.16,2.35,1.58,1.9,1.58,1.61,1.48,1.33,1.34,1.51,1.14,1.09,1.14,1.06,0.84,0.53,0.72,0.56,0.66,0.72,0.54,0.45,0.5,0.39,0.41,0.43,0.43,0.31,0.36,0.33,0.28,0.27,0.3,0.26,0.24,0.19,0.18,0.16,0.13,0.11,0.11,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/26/2021,5.05,4.93,5.21,4.77,5.23,4.86,5.68,4.31,3.63,4.09,3.47,3.46,3.03,3.08,2.32,2.38,2.43,2.13,2.42,1.59,1.9,1.59,1.6,1.52,1.33,1.36,1.52,1.15,1.08,1.13,1.07,0.84,0.55,0.72,0.56,0.65,0.71,0.55,0.44,0.49,0.39,0.42,0.43,0.43,0.32,0.36,0.33,0.28,0.27,0.3,0.26,0.24,0.2,0.18,0.16,0.13,0.11,0.1,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,5.03,4.92,5.22,4.7,5.2,4.83,5.83,4.34,3.58,4.09,3.43,3.38,2.98,3.01,2.36,2.42,2.44,2.13,2.49,1.59,1.91,1.6,1.59,1.53,1.35,1.36,1.51,1.17,1.07,1.1,1.08,0.84,0.55,0.72,0.56,0.66,0.74,0.55,0.44,0.5,0.39,0.41,0.44,0.43,0.33,0.36,0.34,0.28,0.27,0.3,0.26,0.24,0.2,0.18,0.16,0.13,0.11,0.11,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,5.01,4.91,5.23,4.69,5.16,4.87,5.67,4.41,3.55,4.16,3.39,3.34,2.92,3.01,2.39,2.48,2.48,2.13,2.46,1.6,1.94,1.59,1.59,1.57,1.34,1.36,1.51,1.21,1.06,1.1,1.1,0.86,0.54,0.72,0.54,0.67,0.74,0.55,0.44,0.5,0.39,0.42,0.45,0.43,0.33,0.36,0.33,0.28,0.27,0.3,0.26,0.24,0.2,0.18,0.16,0.13,0.11,0.11,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,5.04,4.93,5.22,4.64,5.14,4.94,5.65,4.53,3.56,4.14,3.39,3.35,2.93,2.91,2.41,2.46,2.49,2.14,2.47,1.61,1.94,1.61,1.58,1.53,1.3,1.36,1.54,1.25,1.04,1.1,1.1,0.88,0.54,0.72,0.54,0.66,0.75,0.55,0.44,0.5,0.39,0.42,0.44,0.44,0.34,0.37,0.34,0.28,0.27,0.3,0.26,0.25,0.2,0.19,0.0,0.13,0.11,0.11,0.09,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/01/2021,5.04,4.93,5.22,4.64,5.14,4.94,5.65,4.53,3.56,4.14,3.39,3.35,2.93,2.91,2.41,2.46,2.49,2.14,2.47,1.61,1.94,1.61,1.58,1.53,1.3,1.36,1.54,1.25,1.04,1.1,1.1,0.88,0.54,0.72,0.54,0.66,0.75,0.55,0.44,0.5,0.39,0.42,0.44,0.44,0.34,0.37,0.34,0.28,0.27,0.3,0.26,0.25,0.2,0.19,0.0,0.13,0.11,0.11,0.09,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/02/2021,5.04,4.93,5.22,4.64,5.14,4.94,5.65,4.53,3.56,4.14,3.39,3.35,2.93,2.91,2.41,2.46,2.49,2.14,2.47,1.61,1.94,1.61,1.58,1.53,1.3,1.36,1.54,1.25,1.04,1.1,1.1,0.88,0.54,0.72,0.54,0.66,0.75,0.55,0.44,0.5,0.39,0.42,0.44,0.44,0.34,0.37,0.34,0.28,0.27,0.3,0.26,0.25,0.2,0.19,0.0,0.13,0.11,0.11,0.09,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/03/2021,5.06,4.98,5.22,4.68,5.13,4.97,5.71,4.49,3.52,4.13,3.43,3.39,2.9,2.89,2.39,2.44,2.49,2.15,2.45,1.58,1.94,1.6,1.58,1.51,1.31,1.36,1.55,1.27,1.03,1.11,1.1,0.88,0.54,0.72,0.54,0.66,0.76,0.55,0.43,0.5,0.38,0.42,0.44,0.44,0.34,0.37,0.34,0.28,0.27,0.3,0.26,0.24,0.2,0.19,0.0,0.13,0.11,0.11,0.09,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,5.14,4.96,5.25,4.73,5.15,5.02,5.5,4.5,3.62,4.12,3.52,3.43,3.03,2.9,2.41,2.39,2.55,2.15,2.35,1.57,1.9,1.58,1.58,1.44,1.27,1.34,1.56,1.22,1.02,1.12,1.09,0.84,0.56,0.73,0.56,0.65,0.75,0.52,0.47,0.49,0.37,0.42,0.43,0.43,0.34,0.38,0.34,0.28,0.27,0.3,0.26,0.21,0.2,0.19,0.0,0.13,0.1,0.1,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/07/2021,5.1,5.0,5.35,4.46,5.17,5.14,5.43,4.39,3.65,4.07,3.51,3.45,3.08,2.87,2.47,2.39,2.54,2.15,2.35,1.61,1.9,1.58,1.57,1.52,1.29,1.35,1.56,1.25,1.03,1.12,1.09,0.84,0.55,0.73,0.57,0.63,0.76,0.51,0.47,0.49,0.37,0.41,0.44,0.43,0.36,0.38,0.34,0.27,0.26,0.3,0.26,0.21,0.21,0.19,0.0,0.13,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,5.1,5.0,5.35,4.46,5.17,5.14,5.43,4.39,3.65,4.07,3.51,3.45,3.08,2.87,2.47,2.39,2.54,2.15,2.35,1.61,1.9,1.58,1.57,1.52,1.29,1.35,1.56,1.25,1.03,1.12,1.09,0.84,0.55,0.73,0.57,0.63,0.76,0.51,0.47,0.49,0.37,0.41,0.44,0.43,0.36,0.38,0.34,0.27,0.26,0.3,0.26,0.21,0.21,0.19,0.0,0.13,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,5.1,5.0,5.35,4.46,5.17,5.14,5.43,4.39,3.65,4.07,3.51,3.45,3.08,2.87,2.47,2.39,2.54,2.15,2.35,1.61,1.9,1.58,1.57,1.52,1.29,1.35,1.56,1.25,1.03,1.12,1.09,0.84,0.55,0.73,0.57,0.63,0.76,0.51,0.47,0.49,0.37,0.41,0.44,0.43,0.36,0.38,0.34,0.27,0.26,0.3,0.26,0.21,0.21,0.19,0.0,0.13,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
