,CE,AA,CLF,AVY,FCX,X,NUE,OLN,AVTR,MOS,LPX,CTVA,AMRS,ARNC,CC,STLD,LTHM,AVNT,NGVT,ATI,ESI,OI,RS,IOSP,CMC,TMST,SCHN,HL,CBT,MTX,ALTO,AGPXX,Cash/Receivables/Payables,Alto Ingredients Inc,Securities Lending - Bnym,Interest/Overdraft,n/a,688008.SS,ALB,APD,FMC,PPG,CF,ECL,LYB,KRA,ASIX,TSE,RPM,KWR,VVV,BCPC,SCL,CRS,WOR,KALU,SUM
07/26/2021,3.95,4.04,3.97,3.85,3.76,3.91,3.75,3.67,3.74,3.45,3.27,3.27,3.34,3.17,3.1,3.33,3.33,3.14,2.86,2.78,2.86,2.51,2.84,2.74,2.73,2.6,2.67,2.26,2.06,2.19,0.0,0.1,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,3.95,4.04,3.97,3.85,3.76,3.91,3.75,3.67,3.74,3.45,3.27,3.27,3.34,3.17,3.1,3.33,3.33,3.14,2.86,2.78,2.86,2.51,2.84,2.74,2.73,2.6,2.67,2.26,2.06,2.19,0.0,0.1,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,4.03,4.0,4.04,3.85,3.78,3.9,3.75,3.63,3.73,3.4,3.27,3.24,3.27,3.21,3.08,3.31,3.21,3.18,2.92,2.77,2.88,2.52,2.85,2.73,2.73,2.58,2.72,2.21,2.12,2.2,0.0,0.1,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,3.98,4.14,4.05,3.84,3.87,4.01,3.82,3.63,3.64,3.39,3.23,3.2,3.07,3.25,3.06,3.36,3.19,3.13,2.94,2.81,2.88,2.48,2.85,2.69,2.76,2.65,2.71,2.2,2.11,2.22,0.0,0.11,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,4.02,4.09,4.12,3.86,3.87,3.98,3.87,3.66,3.67,3.37,3.26,3.23,3.02,3.22,3.08,3.38,3.1,3.14,2.98,2.83,2.85,2.49,2.86,2.72,2.76,2.62,2.68,2.16,2.1,2.22,0.0,0.11,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,3.89,4.03,4.41,3.79,3.92,4.07,3.9,3.81,3.54,3.36,3.24,3.15,3.01,3.37,3.02,3.43,3.14,3.06,3.02,2.81,2.75,2.44,2.84,2.66,2.77,2.64,2.67,2.2,2.07,2.16,0.0,0.11,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,3.91,4.13,4.46,3.82,3.9,4.26,3.94,3.74,3.59,3.38,3.21,3.13,2.92,3.29,3.06,3.43,3.15,3.06,2.95,2.73,2.76,2.47,2.82,2.66,2.76,2.58,2.66,2.16,2.08,2.2,1.88,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,3.91,4.13,4.46,3.82,3.9,4.26,3.94,3.74,3.59,3.38,3.21,3.13,2.92,3.29,3.06,3.43,3.15,3.06,2.95,2.73,2.76,2.47,2.82,2.66,2.76,2.58,2.66,2.16,2.08,2.2,1.88,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,3.93,4.12,4.34,3.88,3.82,4.1,3.93,3.76,3.66,3.3,3.18,3.16,2.94,3.3,3.14,3.41,3.3,3.05,2.96,2.67,2.82,2.58,2.82,2.71,2.72,2.54,2.62,2.13,2.09,2.19,1.92,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/09/2021,3.95,4.1,4.27,3.95,3.78,4.18,3.95,3.78,3.74,3.42,3.3,3.12,2.97,3.11,3.12,3.38,3.39,3.04,2.92,2.63,2.8,2.55,2.77,2.68,2.75,2.58,2.58,2.1,2.06,2.21,1.9,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/13/2021,3.85,4.32,4.44,3.77,3.75,4.36,4.28,3.61,3.52,3.49,3.2,3.2,2.81,3.17,2.99,3.48,3.91,2.93,2.69,2.55,2.68,2.42,2.71,2.7,2.8,3.13,2.61,1.85,1.95,2.1,1.8,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,3.87,4.4,4.34,3.71,3.72,4.27,4.49,3.63,3.49,3.48,3.31,3.19,2.53,3.05,3.0,3.68,3.95,2.95,2.73,2.52,2.71,2.38,2.69,2.69,2.87,3.12,2.68,1.83,1.98,2.09,1.74,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/19/2021,3.86,4.3,4.36,3.84,3.63,4.49,4.53,3.65,3.6,3.39,3.22,3.18,2.66,3.04,3.0,3.68,3.81,3.01,2.77,2.46,2.75,2.39,2.68,2.7,2.82,3.08,2.62,1.88,2.0,2.11,1.59,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,3.89,4.23,4.3,3.89,3.51,4.49,4.47,3.62,3.71,3.34,3.21,3.26,2.57,3.18,3.06,3.63,3.65,3.07,2.81,2.49,2.74,2.45,2.71,2.75,2.81,2.88,2.64,1.87,2.03,2.12,1.68,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,3.94,3.91,4.25,4.03,3.42,4.52,4.58,3.54,3.82,3.3,3.4,3.21,2.5,3.24,2.97,3.69,3.78,3.1,2.78,2.48,2.75,2.45,2.77,2.8,2.82,2.81,2.56,1.83,2.02,2.14,1.66,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,3.94,3.96,4.18,4.04,3.43,4.43,4.49,3.62,3.78,3.39,3.45,3.13,2.85,3.24,2.94,3.64,3.99,3.13,2.74,2.4,2.77,2.47,2.74,2.78,2.78,2.73,2.49,1.81,2.01,2.15,0.0,0.14,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,3.9,4.22,4.22,3.95,3.5,4.37,4.53,3.59,3.71,3.38,3.43,3.06,2.88,3.15,2.99,3.67,4.0,3.12,2.74,2.39,2.71,2.43,2.71,2.75,2.78,2.78,2.5,1.88,2.0,2.13,1.65,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/27/2021,3.88,4.25,4.34,3.9,3.54,4.4,4.58,3.63,3.65,3.43,3.43,3.06,2.84,3.16,3.03,3.72,3.89,3.1,2.71,2.36,2.69,2.44,2.69,2.75,2.78,2.75,2.47,1.86,1.99,2.09,1.71,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/30/2021,3.94,4.23,4.23,4.04,3.51,4.25,4.43,3.78,3.73,3.41,3.61,3.19,3.02,3.12,3.09,3.65,3.82,3.18,2.73,2.34,2.69,2.45,2.66,2.73,2.73,2.64,2.35,1.81,1.98,2.09,0.0,0.1,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,3.86,4.36,4.17,3.94,3.6,4.26,4.36,3.87,3.61,3.4,3.6,3.1,3.08,3.17,3.07,3.63,3.86,3.18,2.73,2.34,2.65,2.46,2.64,2.77,2.73,2.68,2.36,1.88,1.99,2.09,0.0,0.11,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,3.86,4.36,4.17,3.94,3.6,4.26,4.36,3.87,3.61,3.4,3.6,3.1,3.08,3.17,3.07,3.63,3.86,3.18,2.73,2.34,2.65,2.46,2.64,2.77,2.73,2.68,2.36,1.88,1.99,2.09,0.0,0.11,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,3.87,4.38,4.14,3.97,3.63,4.21,4.43,3.89,3.69,3.38,3.66,3.1,2.93,3.19,3.02,3.62,3.93,3.19,2.73,2.3,2.66,2.49,2.65,2.72,2.73,2.65,2.39,1.87,1.97,2.1,1.67,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,3.9,4.47,4.1,4.0,3.65,4.21,4.36,3.88,3.69,3.41,3.6,3.15,2.95,3.09,3.02,3.52,3.94,3.22,2.73,2.32,2.63,2.47,2.64,2.76,2.69,2.6,2.35,1.94,1.97,2.11,1.76,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,3.83,4.71,4.22,4.02,3.63,4.22,4.26,3.82,3.79,3.43,3.58,3.21,2.93,3.1,3.03,3.51,4.05,3.09,2.72,2.34,2.61,2.51,2.62,2.71,2.64,2.52,2.35,1.93,1.97,2.09,1.74,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/07/2021,3.83,4.78,4.2,4.03,3.64,4.15,4.25,3.8,3.83,3.43,3.66,3.24,2.72,3.09,3.02,3.5,4.03,3.09,2.69,2.35,2.62,2.56,2.64,2.7,2.65,2.55,2.37,2.03,1.95,2.08,1.71,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/08/2021,3.83,4.78,4.2,4.03,3.64,4.15,4.25,3.8,3.83,3.43,3.66,3.24,2.72,3.09,3.02,3.5,4.03,3.09,2.69,2.35,2.62,2.56,2.64,2.7,2.65,2.55,2.37,2.03,1.95,2.08,1.71,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/09/2021,3.83,4.78,4.19,4.03,3.64,4.15,4.25,3.8,3.83,3.43,3.66,3.24,2.72,3.09,3.02,3.5,4.03,3.09,2.69,2.34,2.62,2.56,2.64,2.7,2.65,2.55,2.37,2.03,1.95,2.08,1.71,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,3.79,4.76,4.22,4.02,3.68,4.21,4.3,3.79,3.97,3.44,3.62,3.21,2.63,3.21,2.98,3.5,4.13,3.03,2.68,2.31,2.56,2.5,2.64,2.7,2.66,2.57,2.33,1.96,1.96,2.07,1.72,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,3.85,4.9,4.17,4.09,3.57,4.14,4.27,3.79,4.01,3.43,3.63,3.2,2.74,3.19,2.91,3.52,4.14,3.03,2.68,2.34,2.58,2.41,2.67,2.74,2.62,2.54,2.3,1.97,1.96,2.1,1.67,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,3.86,5.11,4.18,4.09,3.65,4.18,4.27,3.84,4.06,3.46,3.66,3.19,2.67,3.17,2.88,3.52,4.1,3.0,2.57,2.31,2.57,2.38,2.68,2.7,2.62,2.59,2.3,1.96,1.92,2.07,1.63,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/15/2021,3.86,5.11,4.18,4.08,3.65,4.18,4.27,3.84,4.06,3.46,3.66,3.19,2.67,3.17,2.88,3.52,4.1,3.0,2.56,2.31,2.57,2.38,2.68,2.7,2.62,2.59,2.3,1.96,1.92,2.07,1.63,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,3.89,5.09,4.05,4.07,3.64,4.1,4.16,3.89,4.07,3.5,3.6,3.18,2.72,3.22,2.92,3.42,4.0,3.03,2.6,2.36,2.59,2.41,2.7,2.7,2.61,2.62,2.28,1.99,1.93,2.05,1.73,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,3.86,5.07,4.04,4.13,3.66,4.04,4.13,3.93,4.13,3.57,3.59,3.18,2.7,3.16,2.93,3.39,4.06,3.05,2.63,2.36,2.57,2.53,2.69,2.68,2.57,2.59,2.23,2.04,1.93,2.05,1.71,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/20/2021,3.88,5.15,4.17,4.07,3.56,4.14,4.21,3.94,4.17,3.71,3.58,3.16,2.75,3.06,2.87,3.44,4.15,3.01,2.57,2.32,2.56,2.56,2.66,2.63,2.57,2.6,2.17,1.86,1.93,2.01,1.76,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
09/21/2021,3.88,5.21,4.04,4.04,3.51,3.89,4.12,4.0,4.25,3.78,3.66,3.18,2.85,3.06,2.84,3.42,4.17,3.0,2.58,2.31,2.57,2.52,2.68,2.64,2.62,2.61,2.16,1.87,1.95,1.99,1.77,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/22/2021,3.88,5.21,4.04,4.04,3.51,3.89,4.12,4.0,4.24,3.78,3.66,3.18,2.85,3.06,2.84,3.42,4.17,3.0,2.58,2.31,2.56,2.52,2.68,2.64,2.62,2.61,2.16,1.87,1.95,1.99,1.77,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,3.91,5.35,3.78,4.14,3.43,3.77,3.94,3.88,4.36,3.74,3.69,3.26,2.77,3.14,2.77,3.32,4.04,3.05,2.66,2.37,2.63,2.57,2.72,2.67,2.69,2.62,2.17,1.89,1.97,2.03,1.78,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/24/2021,3.97,5.08,3.83,4.13,3.38,3.74,3.94,3.85,4.43,3.8,3.69,3.28,2.92,3.07,2.69,3.33,4.13,3.04,2.63,2.34,2.64,2.51,2.72,2.68,2.72,2.6,2.15,1.91,1.96,2.02,1.82,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,3.91,5.2,3.87,4.13,3.42,3.66,3.92,4.11,4.36,3.94,3.72,3.23,2.81,3.06,2.62,3.28,4.15,3.09,2.57,2.32,2.67,2.47,2.7,2.66,2.74,2.68,2.19,1.82,1.97,2.01,1.76,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,4.0,5.2,3.81,4.1,3.44,3.66,3.98,4.09,4.39,4.05,3.72,3.23,2.93,2.97,2.62,3.33,4.04,3.07,2.61,2.33,2.72,2.39,2.67,2.66,2.72,2.65,2.19,1.84,1.97,2.0,1.72,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/29/2021,4.0,5.2,3.81,4.1,3.44,3.66,3.98,4.08,4.39,4.05,3.72,3.23,2.93,2.97,2.62,3.32,4.04,3.07,2.61,2.33,2.72,2.39,2.67,2.66,2.72,2.65,2.19,1.83,1.97,2.0,1.72,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/30/2021,3.94,5.36,3.82,3.98,3.51,3.71,3.98,4.08,4.06,4.04,3.73,3.22,2.96,3.01,2.78,3.33,3.9,3.05,2.56,2.31,2.73,2.44,2.64,2.65,2.75,2.71,2.23,1.82,1.96,1.99,1.81,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,3.43,3.78,3.45,3.5,2.77,2.36,3.17,2.36,2.77,4.26,2.31,2.54,0.0,2.11,1.53,3.35,3.23,2.16,1.4,1.27,2.0,1.01,1.92,1.47,1.81,1.44,1.24,0.0,1.62,1.21,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,3.16,2.95,2.93,2.44,2.21,2.07,1.77,1.67,1.65,1.61,1.58,1.55,1.33,1.1,1.06,1.05,1.04,1.03,100.04
10/08/2021,3.53,3.72,3.56,3.5,2.69,2.38,3.19,2.39,2.75,4.22,2.3,2.56,0.0,2.09,1.55,3.35,3.29,2.17,1.36,1.27,2.04,1.02,1.9,1.46,1.8,1.44,1.25,0.0,1.6,1.2,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2.92,2.95,2.44,2.17,2.06,1.79,1.65,1.69,1.61,1.57,1.53,1.29,1.07,1.06,1.05,1.02,1.05,100.04
10/11/2021,3.53,3.56,3.54,3.53,2.86,2.2,3.19,2.36,2.77,4.32,2.3,2.49,0.0,2.09,1.55,3.35,3.33,2.17,1.38,1.26,2.03,1.01,1.88,1.45,1.83,1.41,1.31,0.0,1.62,1.19,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.21,2.98,2.84,2.51,2.17,2.08,1.8,1.63,1.72,1.61,1.57,1.47,1.31,1.1,1.07,1.06,1.01,1.04,100.02
10/12/2021,3.53,3.51,3.55,3.45,2.87,2.21,3.18,2.36,2.77,4.45,2.3,2.53,0.0,2.06,1.6,3.35,3.24,2.18,1.39,1.27,2.03,1.02,1.88,1.45,1.82,1.42,1.31,0.0,1.62,1.19,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.13,3.03,2.84,2.53,2.2,2.08,1.82,1.64,1.72,1.6,1.57,1.47,1.33,1.1,1.08,1.05,0.98,1.02,100.02
