,MARA,BITF.V,HUT.TO,FGXXX,SSU.,NVDA,HIVE.V,AMD,TSM,RIOT,DGHI.V,GLXY.TO,ARB.L,DMGI.V,CLSK,NB2.DE,n/a,BTBT,TAAL.CN,MIGI,GREE,DGHI.NE,SUM
10/06/2021,10.53,11.46,16.74,10.43,5.35,4.38,4.28,4.43,4.44,3.02,3.97,3.86,3.52,3.24,4.19,2.5,0.0,1.31,2.35,0.0,0.0,0.0,100.0
10/07/2021,10.68,11.32,17.41,10.44,5.28,4.17,4.39,4.34,4.34,2.92,3.81,3.97,3.45,3.35,4.09,2.47,0.0,1.24,2.33,0.0,0.0,0.0,99.99999999999996
10/08/2021,10.68,11.32,17.41,10.44,5.28,4.17,4.39,4.34,4.34,2.92,3.81,3.97,3.45,3.35,4.09,2.47,0.0,1.24,2.33,0.0,0.0,0.0,99.99999999999996
10/11/2021,11.8,11.22,17.5,8.95,4.89,4.17,4.52,4.27,4.15,2.94,4.05,3.98,3.32,3.61,4.29,2.3,0.0,1.74,2.31,0.0,0.0,0.0,100.01
10/12/2021,11.8,11.22,17.5,8.95,4.89,4.17,4.52,4.27,4.15,2.94,4.05,3.98,3.32,3.61,4.29,2.3,0.0,1.74,2.31,0.0,0.0,0.0,100.01
10/13/2021,11.8,11.22,17.5,8.95,4.89,4.17,4.52,4.27,4.15,2.94,4.05,3.98,3.32,3.61,4.29,2.3,0.0,1.74,2.31,0.0,0.0,0.0,100.01
10/14/2021,11.92,11.1,17.96,8.85,4.92,4.18,4.29,4.32,4.16,2.84,3.86,3.91,3.23,3.52,4.56,2.35,0.0,1.76,2.28,0.0,0.0,0.0,100.01
10/15/2021,12.82,10.95,17.72,8.75,4.88,4.11,4.23,4.25,4.12,3.01,3.81,3.86,3.07,3.47,4.57,2.32,0.0,1.81,2.25,0.0,0.0,0.0,100.0
10/18/2021,13.02,10.74,18.33,8.72,4.69,4.14,4.14,4.42,4.1,2.78,3.7,3.56,3.0,3.41,4.76,2.57,0.0,1.68,2.22,0.0,0.0,0.0,99.98
10/19/2021,13.01,10.71,17.95,8.75,4.76,4.32,4.2,4.55,4.21,2.84,3.79,3.46,3.01,3.47,4.78,2.44,0.0,1.64,2.11,0.0,0.0,0.0,100.0
10/20/2021,13.73,10.81,19.5,8.25,4.54,4.08,4.3,4.29,4.04,2.85,3.59,3.36,3.08,3.18,4.67,2.09,0.0,1.62,2.01,0.0,0.0,0.0,99.99
10/21/2021,13.62,10.63,18.07,7.78,4.28,3.91,4.34,4.2,3.83,2.88,3.65,3.06,3.07,3.05,4.54,1.98,0.0,1.49,1.79,3.82,0.0,0.0,99.99
10/22/2021,13.62,10.63,18.07,7.78,4.28,3.91,4.34,4.2,3.83,2.88,3.65,3.06,3.07,3.05,4.54,1.98,0.0,1.49,1.79,3.82,0.0,0.0,99.99
10/25/2021,14.03,11.01,18.62,3.98,4.32,3.89,5.12,4.19,3.83,3.03,3.89,3.39,3.21,3.12,4.92,2.1,0.0,1.6,1.83,3.91,0.0,0.0,99.99
10/26/2021,13.88,10.69,18.17,4.11,4.45,4.12,4.99,4.43,3.97,2.93,3.79,3.63,3.35,3.01,5.07,2.06,0.0,1.54,1.88,3.94,0.0,0.0,100.01
10/27/2021,13.88,10.69,18.17,4.11,4.45,4.12,4.99,4.43,3.97,2.93,3.79,3.63,3.35,3.01,5.07,2.06,0.0,1.54,1.88,3.94,0.0,0.0,100.01
10/28/2021,13.88,10.69,18.17,4.11,4.45,4.12,4.99,4.43,3.97,2.93,3.79,3.63,3.35,3.01,5.07,2.06,0.0,1.54,1.88,3.94,0.0,0.0,100.01
10/29/2021,14.41,10.21,19.6,3.97,4.32,4.06,5.02,4.39,3.75,2.84,3.5,3.95,3.09,2.88,5.13,1.94,0.0,1.36,1.81,3.79,0.0,0.0,100.02
11/01/2021,13.92,9.69,19.01,4.19,4.51,4.52,4.64,4.63,3.96,2.7,3.59,4.56,2.85,3.02,5.11,2.01,0.0,1.38,1.67,4.04,0.0,0.0,100.0
11/02/2021,13.36,10.09,13.32,3.99,4.39,4.4,4.48,4.37,3.85,4.32,3.47,5.14,4.5,3.96,5.13,0.0,-0.54,4.44,0.0,4.44,2.88,0.0,99.99
11/03/2021,12.91,8.96,13.79,5.86,4.02,4.2,4.0,4.05,3.52,3.98,3.59,4.6,4.1,3.61,4.92,0.0,0.0,5.87,0.0,4.44,3.59,0.0,100.01
11/04/2021,12.91,8.96,13.79,5.86,4.02,4.2,4.0,4.05,3.52,3.98,3.59,4.6,4.1,3.61,4.92,0.0,0.0,5.87,0.0,4.44,3.59,0.0,100.01
11/05/2021,13.82,9.92,14.51,2.15,4.05,4.27,4.33,4.24,3.56,4.13,3.81,4.57,4.39,3.49,5.3,0.0,0.0,4.89,0.0,5.04,3.52,0.0,99.99
11/08/2021,14.56,11.74,13.85,1.96,3.67,4.49,4.59,4.24,3.34,4.38,4.27,4.7,3.79,3.12,4.58,0.0,0.0,4.37,0.0,5.45,2.92,0.0,100.02
11/09/2021,14.56,11.74,13.85,1.96,3.67,4.49,4.59,4.24,3.34,4.38,4.27,4.7,3.79,3.12,4.58,0.0,0.0,4.37,0.0,5.45,2.92,0.0,100.02
11/10/2021,14.56,11.74,13.85,1.96,3.67,4.49,4.59,4.24,3.34,4.38,4.27,4.7,3.79,3.12,4.58,0.0,0.0,4.37,0.0,5.45,2.92,0.0,100.02
11/11/2021,14.51,11.9,13.72,2.27,3.7,4.5,4.61,4.22,3.36,4.23,0.0,5.0,3.75,3.27,4.29,0.0,0.0,4.22,0.0,5.06,3.14,4.26,100.01
11/12/2021,15.58,12.11,13.68,2.02,3.38,4.24,4.57,4.23,3.13,4.49,0.0,4.83,3.71,3.54,4.24,0.0,0.0,4.06,0.0,4.9,3.12,4.17,100.0
11/15/2021,15.24,12.53,12.71,1.68,3.49,4.35,4.13,4.28,3.19,5.04,0.0,4.99,4.02,4.16,4.26,0.0,0.0,4.26,0.0,4.75,2.95,3.97,100.0
11/16/2021,15.24,12.53,12.71,1.68,3.49,4.35,4.13,4.28,3.19,5.04,0.0,4.99,4.02,4.16,4.26,0.0,0.0,4.26,0.0,4.75,2.95,3.97,100.0
11/17/2021,15.24,12.53,12.71,1.68,3.49,4.35,4.13,4.28,3.19,5.04,0.0,4.99,4.02,4.16,4.26,0.0,0.0,4.26,0.0,4.75,2.95,3.97,100.0
11/18/2021,15.65,12.65,13.06,2.02,3.39,4.16,4.09,4.15,3.06,5.39,0.0,4.63,3.95,4.17,4.07,0.0,0.0,4.04,0.0,4.69,2.79,4.04,100.0
11/19/2021,12.16,13.59,13.3,2.15,3.64,4.38,4.25,4.38,3.25,5.46,0.0,4.95,3.97,4.08,4.18,0.0,0.0,4.21,0.0,4.92,2.83,4.31,100.01
11/22/2021,12.65,13.83,13.19,2.23,3.76,4.58,4.23,4.74,3.38,4.98,0.0,4.63,4.5,3.97,3.87,0.0,0.0,4.16,0.0,4.51,2.64,4.14,99.99
11/23/2021,12.65,13.83,13.19,2.23,3.76,4.58,4.23,4.74,3.38,4.98,0.0,4.63,4.5,3.97,3.87,0.0,0.0,4.16,0.0,4.51,2.64,4.14,99.99
11/24/2021,12.8,13.74,12.85,2.29,3.84,5.13,4.51,4.95,3.65,5.01,0.0,4.6,4.16,4.06,3.88,0.0,0.0,3.87,0.0,4.63,2.6,3.43,100.0
11/25/2021,12.8,13.74,12.85,2.29,3.84,5.13,4.51,4.95,3.65,5.01,0.0,4.6,4.16,4.06,3.88,0.0,0.0,3.87,0.0,4.63,2.6,3.43,100.0
11/26/2021,12.58,13.91,12.69,2.36,4.15,5.09,4.45,4.92,3.67,5.15,0.0,4.63,4.17,4.05,3.97,0.0,0.0,3.83,0.0,4.62,2.49,3.27,100.0
11/29/2021,12.58,13.54,12.47,2.35,4.09,5.21,4.36,5.16,3.63,5.25,0.0,4.5,4.51,4.04,4.0,0.0,0.0,3.8,0.0,4.58,2.53,3.41,100.01
11/30/2021,12.58,13.54,12.47,2.35,4.09,5.21,4.36,5.16,3.63,5.25,0.0,4.5,4.51,4.04,4.0,0.0,0.0,3.8,0.0,4.58,2.53,3.41,100.01
12/01/2021,12.4,12.95,12.83,2.46,4.1,5.27,4.31,5.31,3.7,5.2,0.0,4.55,4.47,4.17,4.01,0.0,0.0,3.69,0.0,4.56,2.58,3.46,100.02
12/02/2021,12.4,12.95,12.83,2.46,4.1,5.27,4.31,5.31,3.7,5.2,0.0,4.55,4.47,4.17,4.01,0.0,0.0,3.69,0.0,4.56,2.58,3.46,100.02
12/06/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/07/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/08/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/09/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/10/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/13/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/14/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/15/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/16/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/17/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/20/2021,12.95,13.6,11.44,4.14,4.6,5.12,4.14,4.96,4.02,4.67,0.0,3.99,4.39,3.87,3.89,0.0,0.0,4.02,0.0,4.4,2.24,3.55,99.98999999999998
12/21/2021,12.13,11.72,11.19,4.82,5.53,5.76,4.07,5.72,4.72,4.35,3.26,3.97,3.96,4.19,3.61,0.0,0.0,3.81,0.0,4.3,2.89,0.0,100.0
12/22/2021,11.73,11.59,10.92,5.08,5.86,5.67,3.98,5.71,4.82,4.23,3.26,3.97,4.15,4.16,3.52,0.0,0.0,3.83,0.0,4.62,2.9,0.0,100.0
12/23/2021,11.45,11.5,11.02,5.43,6.12,4.92,4.07,5.97,5.08,4.26,3.26,4.17,3.97,4.0,3.51,0.0,0.0,3.81,0.0,4.51,2.96,0.0,100.01
12/24/2021,11.39,11.65,11.25,5.09,5.89,4.84,4.26,5.95,4.87,4.27,3.73,4.08,4.04,3.94,3.47,0.0,0.0,3.78,0.0,4.41,3.08,0.0,99.99
