,HYD,MLN,ITM,VanEck Vectors Short High Yield Muni ETF,EIM,MHD,MYI,MVF,KTF,Us Dollar,PTBL.TA,MMU,MFM,DSM,MFL,n/a,AFB,MHI,MAV,SAR.AX,MUI,SHYD,ENX,SUM
08/20/2021,30.56,23.85,29.31,0.0,1.02,1.01,1.02,1.01,1.01,0.0,0.06,1.0,1.01,1.03,1.01,5.11,0.99,1.0,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,30.52,22.85,29.33,0.0,1.02,1.02,1.02,1.01,1.01,0.0,0.06,1.0,1.01,1.04,1.01,5.11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100.01000000000002
08/24/2021,30.52,22.87,29.32,0.0,1.02,1.02,1.02,1.02,1.01,0.0,0.0,1.0,1.0,1.04,1.0,5.11,1.0,1.0,1.0,0.05,0.0,0.0,0.0,100.0
08/25/2021,30.52,22.87,29.32,0.0,1.02,1.02,1.02,1.02,1.01,0.0,0.0,1.0,1.0,1.04,1.0,5.11,1.0,1.0,1.0,0.05,0.0,0.0,0.0,100.0
08/26/2021,30.52,22.86,29.33,0.0,1.02,1.02,1.02,1.02,1.0,0.0,0.0,1.0,1.01,1.04,1.01,5.1,1.0,1.0,1.01,0.05,0.0,0.0,0.0,100.01
08/27/2021,30.52,22.84,29.31,0.0,1.02,1.02,1.03,1.02,1.01,0.0,0.0,1.0,1.01,1.04,1.01,5.1,1.0,1.0,1.01,0.05,0.0,0.0,0.0,99.99
08/30/2021,30.53,21.87,29.31,0.0,1.02,1.02,1.03,1.02,1.01,0.0,0.0,1.0,1.01,1.04,1.0,5.1,0.99,0.99,1.0,0.05,1.0,0.0,0.0,99.99
08/31/2021,30.52,21.86,29.31,0.0,1.02,1.02,1.03,1.02,1.01,0.0,0.0,1.0,1.01,1.04,1.0,5.09,1.0,0.99,1.0,0.05,1.01,0.0,0.0,99.98
09/01/2021,30.52,21.86,29.31,0.0,1.02,1.02,1.03,1.02,1.01,0.0,0.0,1.0,1.01,1.04,1.0,5.09,1.0,0.99,1.0,0.05,1.01,0.0,0.0,99.98
09/02/2021,30.52,21.86,29.31,0.0,1.02,1.02,1.03,1.02,1.01,0.0,0.0,1.0,1.01,1.04,1.0,5.09,1.0,0.99,1.0,0.05,1.01,0.0,0.0,99.98
09/03/2021,30.56,21.87,29.32,0.0,1.02,1.02,1.02,1.01,1.01,0.0,0.0,1.0,1.0,1.04,1.01,5.09,1.0,0.99,1.0,0.05,1.0,0.0,0.0,100.01
09/06/2021,30.53,21.85,29.31,0.0,1.02,1.02,1.02,1.02,1.01,0.0,0.0,1.0,1.0,1.04,1.02,5.09,1.0,0.99,0.99,0.08,1.01,0.0,0.0,100.0
09/07/2021,30.52,20.86,29.32,0.0,1.02,1.02,1.02,1.02,2.0,0.0,0.0,1.0,0.99,1.04,1.01,0.08,1.0,0.98,0.99,0.0,1.02,5.1,0.0,99.99
09/08/2021,30.52,20.86,29.32,0.0,1.02,1.02,1.02,1.02,2.0,0.0,0.0,1.0,0.99,1.04,1.01,0.08,1.0,0.98,0.99,0.0,1.02,5.1,0.0,99.99
09/09/2021,30.52,20.86,29.32,0.0,1.02,1.02,1.02,1.02,2.0,0.0,0.0,1.0,0.99,1.04,1.01,0.08,1.0,0.98,0.99,0.0,1.02,5.1,0.0,99.99
09/10/2021,30.49,20.86,29.35,0.0,1.02,1.0,1.02,1.02,1.99,0.0,0.0,1.0,0.99,1.04,1.02,0.08,1.0,0.99,0.99,0.0,1.01,5.11,0.0,99.98
09/13/2021,30.53,20.87,29.37,0.0,1.02,1.0,1.02,1.02,1.98,0.0,0.0,1.0,0.99,1.04,1.02,0.04,1.0,0.98,0.99,0.0,1.02,5.1,0.0,99.99
09/14/2021,30.52,19.83,29.38,0.0,1.03,1.0,1.02,1.02,1.99,0.0,0.0,1.0,0.99,1.04,1.03,0.04,1.0,0.99,1.0,0.0,1.01,5.11,1.0,100.0
09/15/2021,30.52,19.83,29.38,0.0,1.03,1.0,1.02,1.02,1.99,0.0,0.0,1.0,0.99,1.04,1.03,0.04,1.0,0.99,1.0,0.0,1.01,5.11,1.0,100.0
09/16/2021,30.52,19.83,29.38,0.0,1.03,1.0,1.02,1.02,1.99,0.0,0.0,1.0,0.99,1.04,1.03,0.04,1.0,0.99,1.0,0.0,1.01,5.11,1.0,100.0
09/17/2021,30.49,19.87,29.37,0.0,1.03,1.01,1.02,1.02,1.98,0.0,0.0,1.01,0.99,1.04,1.02,0.04,1.0,0.99,1.0,0.0,1.02,5.1,1.0,100.0
09/20/2021,30.48,19.85,29.34,0.0,1.03,1.01,1.02,1.03,2.0,0.0,0.0,1.01,0.99,1.04,1.02,0.04,1.0,0.98,1.0,0.0,1.02,5.09,1.01,99.96
09/21/2021,30.48,19.83,29.35,0.0,1.03,1.01,1.02,1.03,2.01,0.0,0.0,1.02,1.0,1.04,1.02,0.05,1.01,0.98,1.0,0.0,1.03,5.09,1.01,100.01
09/22/2021,30.48,19.83,29.35,0.0,1.03,1.01,1.02,1.03,2.01,0.0,0.0,1.02,1.0,1.04,1.02,0.05,1.01,0.98,1.0,0.0,1.03,5.09,1.01,100.01
09/23/2021,30.48,19.83,29.35,0.0,1.03,1.01,1.02,1.03,2.01,0.0,0.0,1.02,1.0,1.04,1.02,0.05,1.01,0.98,1.0,0.0,1.03,5.09,1.01,100.01
09/24/2021,30.47,19.87,29.35,0.0,1.02,1.0,1.02,1.02,2.0,0.0,0.0,1.03,1.01,1.04,1.01,0.05,1.0,0.98,1.0,0.0,1.02,5.09,1.01,99.99
09/27/2021,30.49,19.87,29.35,0.0,1.02,1.01,1.02,1.03,1.99,0.0,0.0,1.02,1.01,1.04,1.01,0.05,0.99,0.98,1.01,0.0,1.02,5.09,1.0,100.0
09/28/2021,30.54,25.86,29.28,0.0,1.01,1.02,1.02,1.0,1.01,0.0,0.0,0.99,1.01,1.04,1.01,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,99.89
09/29/2021,30.54,25.86,29.28,0.0,1.01,1.02,1.02,1.0,1.01,0.0,0.0,0.99,1.01,1.04,1.01,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,99.89
09/30/2021,30.5,19.91,29.37,0.0,1.01,1.0,1.02,1.02,1.98,0.0,0.0,1.01,1.0,1.03,1.0,0.05,0.99,0.97,1.01,0.0,1.01,5.1,1.01,99.99
10/01/2021,30.5,19.91,29.37,0.0,1.01,1.0,1.02,1.02,1.98,0.0,0.0,1.01,1.0,1.03,1.0,0.05,0.99,0.97,1.01,0.0,1.01,5.1,1.01,99.99
10/04/2021,30.55,19.9,29.45,0.0,1.01,1.0,1.02,1.01,1.96,0.0,0.0,1.0,0.99,1.01,1.0,0.05,1.0,0.96,0.99,0.0,0.99,5.11,1.0,100.0
10/05/2021,30.56,19.88,29.43,0.0,1.0,0.99,1.01,1.0,1.97,0.0,0.0,1.0,0.99,1.01,1.0,0.09,1.01,0.96,0.99,0.0,0.99,5.1,1.01,99.98999999999998
10/06/2021,30.56,19.88,29.43,0.0,1.0,0.99,1.01,1.0,1.97,0.0,0.0,1.0,0.99,1.01,1.0,0.09,1.01,0.96,0.99,0.0,0.99,5.1,1.01,99.98999999999998
10/07/2021,30.52,19.91,29.46,0.0,0.99,1.0,1.01,1.01,1.96,0.0,0.0,1.0,0.99,1.0,1.0,0.09,1.01,0.96,0.98,0.0,0.99,5.11,1.01,100.0
10/08/2021,30.52,19.93,29.45,0.0,0.99,0.99,1.01,1.0,1.96,0.0,0.0,0.99,0.99,1.01,1.01,0.09,1.02,0.95,0.98,0.0,0.99,5.11,1.01,100.00000000000004
10/11/2021,30.57,19.87,29.5,0.0,0.99,1.0,1.01,1.0,1.95,0.0,0.0,0.99,0.98,1.01,1.01,0.04,1.0,0.95,0.98,0.0,1.01,5.12,1.02,100.00000000000004
10/12/2021,30.53,19.9,29.5,0.0,1.0,1.0,1.02,1.01,1.95,0.0,0.0,0.99,0.98,1.01,1.0,0.04,1.01,0.95,0.99,0.0,0.99,5.12,1.02,100.01000000000002
10/13/2021,30.53,19.9,29.5,0.0,1.0,1.0,1.02,1.01,1.95,0.0,0.0,0.99,0.98,1.01,1.0,0.04,1.01,0.95,0.99,0.0,0.99,5.12,1.02,100.01000000000002
10/14/2021,30.53,19.9,29.5,0.0,1.0,1.0,1.02,1.01,1.95,0.0,0.0,0.99,0.98,1.01,1.0,0.04,1.01,0.95,0.99,0.0,0.99,5.12,1.02,100.01000000000002
