,WAT,DHR,ROP,AWK,ECL,ITRI,XYL,WMS,WTRG,TTC,AOS,IEX,PNR,TTEK,AQUA,VMI,RXN,WTS,BMI,AWR,FELE,CWT,MWA,SAJA.,ERII,MLI,LNN,MSEX,SJW,STN.TO,GRC,YORW,AGPXX,CWCO,NWPX,ARTNA,GWRS,Global Water Resources Inc,003000.KS,Cash/Receivables/Payables,AP4.SI,n/a,SBS,STN,ZWS,RBC,AWC.,SUM
07/29/2021,8.99,8.59,8.25,8.12,7.72,3.78,3.98,4.05,3.87,3.82,3.72,3.85,3.77,3.73,2.87,2.71,2.85,1.94,1.65,1.59,1.35,1.26,1.18,1.04,0.97,0.97,0.82,0.77,0.67,0.26,0.2,0.16,0.14,0.12,0.12,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,8.89,8.58,8.29,8.31,7.77,3.68,3.97,4.02,3.92,3.79,3.73,3.84,3.94,3.67,2.84,2.69,2.83,1.93,1.62,1.6,1.31,1.27,1.16,1.04,0.96,0.96,0.81,0.78,0.67,0.26,0.2,0.16,0.14,0.12,0.11,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/02/2021,9.05,8.67,8.15,8.21,7.64,3.85,3.95,4.0,3.87,3.76,3.7,3.74,3.93,3.68,2.85,2.74,2.97,1.95,1.63,1.6,1.3,1.27,1.15,1.05,0.97,0.95,0.82,0.79,0.67,0.26,0.2,0.16,0.14,0.12,0.11,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,9.0,8.64,8.12,8.16,7.64,3.85,3.96,4.0,3.82,3.81,3.68,3.79,3.97,3.77,2.82,2.74,2.96,1.96,1.64,1.6,1.31,1.27,1.16,1.01,0.97,0.95,0.82,0.8,0.67,0.26,0.2,0.16,0.15,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,9.0,8.64,8.12,8.16,7.64,3.85,3.96,4.0,3.82,3.81,3.68,3.79,3.97,3.77,2.82,2.74,2.96,1.96,1.64,1.6,1.31,1.27,1.16,1.01,0.97,0.95,0.82,0.8,0.67,0.26,0.2,0.16,0.15,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,9.01,8.66,8.1,8.29,7.57,3.82,3.97,3.96,3.86,3.8,3.67,3.79,4.03,3.73,2.84,2.71,2.95,1.98,1.63,1.61,1.3,1.29,1.15,1.04,0.92,0.94,0.82,0.82,0.67,0.26,0.2,0.16,0.15,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/09/2021,9.11,8.86,8.04,8.56,7.49,2.78,3.99,3.76,3.95,3.79,3.71,3.77,4.09,3.8,3.08,2.73,3.0,2.07,1.63,1.64,1.32,1.32,1.2,0.98,0.92,0.92,0.85,0.86,0.68,0.26,0.2,0.16,0.15,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,9.04,8.84,7.99,8.43,7.52,2.98,4.02,3.76,3.89,3.8,3.71,3.77,4.12,3.8,3.05,2.74,3.04,2.11,1.65,1.63,1.31,1.3,1.2,1.0,0.87,0.94,0.87,0.84,0.67,0.26,0.2,0.16,0.16,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/13/2021,9.01,8.87,7.84,8.35,7.49,3.14,4.03,3.79,3.82,3.8,3.72,3.75,4.14,3.86,3.15,2.81,3.09,2.1,1.63,1.59,1.31,1.29,1.18,0.98,0.86,0.94,0.89,0.82,0.66,0.26,0.2,0.16,0.16,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/16/2021,9.09,8.95,7.78,8.36,7.45,3.16,4.05,3.79,3.71,3.75,3.67,3.71,4.2,3.92,3.18,2.79,3.12,2.1,1.67,1.58,1.3,1.27,1.19,0.96,0.88,0.95,0.88,0.82,0.65,0.26,0.2,0.16,0.16,0.12,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/17/2021,9.17,8.97,7.79,8.41,7.51,3.06,4.06,3.73,3.76,3.74,3.69,3.67,4.2,3.87,3.18,2.75,3.13,2.1,1.66,1.59,1.3,1.28,1.18,0.93,0.86,0.97,0.87,0.83,0.65,0.26,0.2,0.16,0.16,0.12,0.11,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/19/2021,9.18,9.02,7.82,8.49,7.46,2.97,4.08,3.66,3.76,3.75,3.71,3.7,4.22,3.84,3.17,2.74,3.13,2.1,1.68,1.6,1.29,1.29,1.17,0.93,0.85,0.97,0.86,0.83,0.65,0.26,0.19,0.16,0.17,0.12,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
08/20/2021,9.23,9.18,7.91,8.57,7.54,2.97,4.09,3.63,3.78,3.69,3.66,3.68,4.19,3.8,3.17,2.71,3.06,2.12,1.65,1.61,1.3,1.29,1.18,0.91,0.85,0.97,0.83,0.82,0.66,0.26,0.2,0.16,0.05,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/23/2021,9.28,9.22,7.83,8.66,7.57,2.95,4.07,3.62,3.77,3.62,3.66,3.66,4.19,3.75,3.23,2.71,3.1,2.1,1.64,1.62,1.29,1.29,1.18,0.89,0.85,0.96,0.82,0.83,0.66,0.26,0.2,0.16,0.05,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/26/2021,9.13,9.08,7.83,8.58,7.56,3.01,4.09,3.76,3.7,3.61,3.66,3.64,4.16,3.83,3.21,2.73,3.09,2.11,1.7,1.61,1.31,1.27,1.21,0.98,0.88,0.96,0.83,0.83,0.66,0.26,0.2,0.17,0.06,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/27/2021,9.09,9.12,7.76,8.49,7.53,3.09,4.13,3.79,3.71,3.62,3.68,3.68,4.16,3.78,3.23,2.76,3.11,2.11,1.7,1.58,1.31,1.25,1.21,1.0,0.88,0.96,0.83,0.83,0.65,0.26,0.2,0.16,0.02,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
09/02/2021,9.19,9.15,7.69,8.44,7.51,3.19,4.14,3.67,3.75,3.6,3.68,3.64,4.01,3.89,3.24,2.76,3.11,2.15,1.68,1.61,1.33,1.24,1.25,1.01,0.89,0.95,0.82,0.83,0.65,0.26,0.19,0.16,0.02,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02999999999996
09/03/2021,9.24,9.11,7.73,8.46,7.54,3.17,4.15,3.62,3.74,3.56,3.68,3.62,4.03,3.92,3.21,2.79,3.08,2.16,1.68,1.61,1.32,1.25,1.25,0.99,0.91,0.95,0.81,0.83,0.65,0.26,0.19,0.16,0.02,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999995
09/06/2021,9.27,9.18,7.66,8.55,7.48,3.11,4.14,3.62,3.74,3.48,3.68,3.57,4.04,4.04,3.19,2.73,3.14,2.1,1.64,1.62,1.31,1.26,1.23,1.0,0.98,0.93,0.8,0.85,0.66,0.26,0.19,0.17,0.08,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/07/2021,9.35,9.24,7.69,8.5,7.45,3.05,4.14,3.65,3.68,3.52,3.67,3.56,4.02,4.09,3.16,2.71,3.17,2.11,1.64,1.62,1.31,1.25,1.21,0.0,1.01,0.92,0.8,0.84,0.65,0.0,0.19,0.17,0.08,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.98,0.27,0.0,0.0,0.0,100.03
09/08/2021,9.35,9.24,7.69,8.5,7.45,3.05,4.14,3.65,3.68,3.52,3.67,3.56,4.02,4.09,3.16,2.71,3.17,2.11,1.64,1.62,1.31,1.25,1.21,0.98,1.01,0.92,0.8,0.84,0.65,0.27,0.19,0.17,0.08,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/10/2021,9.43,9.25,7.61,8.53,7.59,3.09,4.12,3.69,3.68,3.46,3.63,3.5,3.98,4.02,3.12,2.72,3.2,2.14,1.63,1.62,1.29,1.26,1.21,0.99,0.99,0.92,0.79,0.85,0.65,0.27,0.2,0.17,0.09,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/14/2021,9.43,9.32,7.62,8.62,7.59,2.99,4.11,3.74,3.67,3.49,3.57,3.53,4.01,4.05,3.15,2.73,3.2,2.19,1.61,1.59,1.3,1.22,1.19,0.93,0.96,0.91,0.78,0.85,0.64,0.27,0.2,0.16,0.09,0.11,0.1,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/15/2021,9.43,9.32,7.62,8.62,7.59,2.99,4.11,3.74,3.67,3.49,3.57,3.53,4.01,4.05,3.15,2.73,3.2,2.19,1.61,1.59,1.3,1.22,1.19,0.93,0.96,0.91,0.78,0.85,0.64,0.27,0.2,0.16,0.09,0.11,0.1,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/16/2021,9.14,9.17,7.66,8.63,7.63,3.04,4.1,3.72,3.65,3.5,3.58,3.52,4.02,4.12,3.18,2.78,3.28,2.23,1.63,1.57,1.27,1.21,1.2,0.98,0.97,0.93,0.78,0.84,0.64,0.28,0.2,0.15,0.09,0.11,0.1,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,9.3,9.26,7.62,8.73,7.61,3.05,4.1,3.64,3.64,3.45,3.52,3.55,4.03,4.08,3.15,2.82,3.23,2.2,1.64,1.58,1.29,1.22,1.21,0.97,0.94,0.91,0.78,0.84,0.64,0.28,0.2,0.15,0.09,0.11,0.1,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
09/20/2021,9.15,9.33,7.77,8.65,7.67,3.0,4.15,3.45,3.61,3.46,3.46,3.62,4.15,4.12,3.14,2.8,3.27,2.23,1.66,1.56,1.3,1.19,1.23,0.99,0.89,0.92,0.77,0.83,0.63,0.28,0.21,0.15,0.06,0.11,0.1,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/21/2021,7.94,8.3,8.0,8.09,8.03,3.14,4.0,3.92,3.87,3.88,3.72,3.99,4.09,3.35,3.02,2.46,4.19,2.02,1.17,1.49,1.21,1.16,1.29,1.16,0.77,1.03,0.81,2.12,0.55,0.27,0.27,0.17,0.06,0.15,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/23/2021,7.96,8.33,7.95,8.19,8.02,3.08,4.0,3.92,3.97,3.84,3.69,3.99,4.06,3.35,3.04,2.42,4.19,2.01,1.16,1.52,1.21,1.18,1.27,1.18,0.76,1.02,0.79,2.14,0.55,0.26,0.26,0.17,0.06,0.15,0.14,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/24/2021,7.92,8.37,7.93,8.18,8.08,3.11,4.01,3.94,3.96,3.76,3.67,3.98,4.03,3.35,3.09,2.4,4.14,1.99,1.16,1.52,1.2,1.18,1.26,1.2,0.77,1.01,0.8,2.16,0.55,0.26,0.27,0.17,0.13,0.14,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/27/2021,7.97,8.23,7.86,8.01,8.16,3.14,4.07,3.94,3.89,3.73,3.64,3.98,4.08,3.43,3.13,2.42,4.23,2.02,1.19,1.49,1.21,1.17,1.27,1.22,0.8,1.01,0.8,2.09,0.54,0.26,0.26,0.17,0.13,0.14,0.13,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/28/2021,7.82,8.23,7.93,7.98,8.16,3.12,4.09,3.91,3.9,3.68,3.62,3.98,4.11,3.5,3.11,2.44,4.29,2.02,1.21,1.5,1.21,1.17,1.28,1.24,0.79,1.02,0.8,2.08,0.55,0.26,0.26,0.17,0.13,0.14,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/30/2021,7.63,8.08,7.92,7.77,8.03,3.17,4.09,4.01,3.88,3.7,3.68,3.99,4.13,3.55,3.19,2.46,4.38,2.07,1.23,1.49,1.24,1.17,1.32,1.24,0.81,1.05,0.81,2.1,0.55,0.26,0.26,0.17,0.14,0.14,0.15,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
10/05/2021,7.34,7.97,7.91,7.89,8.1,3.15,3.8,4.12,3.97,3.82,3.61,4.01,4.03,3.63,3.13,2.52,4.52,2.09,1.2,1.52,1.25,1.2,1.28,1.29,0.79,1.07,0.84,2.11,0.57,0.26,0.27,0.17,0.1,0.15,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,7.2,7.9,7.91,8.04,8.08,3.05,3.75,4.09,4.05,3.86,3.61,3.99,3.99,3.63,3.12,2.51,4.59,2.08,1.21,1.56,1.25,1.23,1.3,1.25,0.79,1.08,0.85,2.17,0.59,0.26,0.27,0.18,0.1,0.15,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/08/2021,7.18,7.86,7.87,8.01,8.1,3.03,3.82,4.11,4.01,3.82,3.73,4.01,4.0,3.65,3.15,2.51,0.0,2.12,1.22,1.55,1.26,1.22,1.31,1.21,0.79,1.09,0.85,2.16,0.58,0.26,0.27,0.18,0.1,0.15,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,1.71,0.0,100.03
10/11/2021,7.03,7.85,7.89,7.96,8.08,2.93,3.77,4.15,3.97,3.77,3.74,4.01,3.95,3.72,3.1,2.49,0.0,2.13,1.22,1.55,1.26,1.22,1.31,1.2,0.79,1.09,0.85,2.15,0.58,0.26,0.28,0.18,0.1,0.14,0.15,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.12,0.0,100.0
10/12/2021,7.0,7.81,7.89,7.91,8.06,2.93,3.76,4.12,3.94,3.77,3.73,3.99,3.87,3.73,3.04,2.52,0.0,2.16,1.22,1.55,1.26,1.22,1.32,1.22,0.78,1.1,0.86,2.13,0.58,0.27,0.28,0.18,0.1,0.15,0.15,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,100.05
10/14/2021,7.04,7.87,7.99,7.91,8.03,2.97,3.72,4.18,3.97,3.71,3.77,3.95,3.87,3.76,3.06,2.43,0.0,2.08,1.18,1.57,1.24,1.23,1.29,1.24,0.77,1.09,0.84,2.14,0.58,0.27,0.28,0.19,0.1,0.15,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,100.03
10/15/2021,7.0,7.83,8.0,7.96,8.05,3.02,3.73,4.19,3.98,3.64,3.73,3.93,3.88,3.77,3.08,2.47,0.0,2.08,1.19,1.58,1.24,1.24,1.29,1.24,0.78,1.09,0.84,2.17,0.58,0.27,0.28,0.18,0.03,0.15,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,100.01
10/18/2021,6.96,7.74,8.0,7.84,8.13,3.0,3.78,4.14,3.96,3.67,3.75,3.98,3.9,3.8,3.14,2.47,0.0,2.09,1.18,1.57,1.25,1.21,1.29,1.25,0.78,1.09,0.84,2.14,0.57,0.27,0.28,0.18,0.08,0.14,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,100.03
10/21/2021,6.99,7.81,8.07,7.78,8.08,3.01,3.82,4.08,3.91,3.72,3.75,3.96,3.91,3.76,3.1,2.5,0.0,2.15,1.17,1.54,1.27,1.19,1.33,1.24,0.8,1.09,0.84,2.14,0.57,0.27,0.28,0.18,0.11,0.14,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,100.04
10/22/2021,6.99,7.87,8.12,7.84,8.06,3.07,3.81,4.02,3.92,3.73,3.73,3.99,3.9,3.76,3.12,2.5,0.0,2.16,1.17,1.53,1.27,1.18,1.32,1.18,0.77,1.14,0.85,2.11,0.56,0.27,0.28,0.18,0.1,0.14,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,100.04
10/25/2021,7.15,7.86,8.16,7.8,8.08,3.07,3.85,3.89,3.84,3.73,3.76,4.03,4.0,3.77,3.21,2.35,0.0,2.18,1.18,1.52,1.29,1.16,1.32,1.11,0.74,1.18,0.75,2.12,0.56,0.29,0.28,0.18,0.12,0.14,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,100.0
10/26/2021,7.18,7.89,8.22,7.87,8.02,3.03,3.85,3.84,3.85,3.68,3.75,4.03,4.01,3.79,3.21,2.34,0.0,2.18,1.18,1.51,1.28,1.15,1.3,1.09,0.75,1.2,0.75,2.14,0.56,0.29,0.28,0.18,0.08,0.14,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,100.01
10/28/2021,7.19,7.67,8.2,7.79,7.99,3.07,3.85,3.93,3.84,3.73,3.73,4.01,4.05,3.81,3.27,2.34,0.0,2.18,1.16,1.53,1.27,1.16,1.31,1.11,0.76,1.26,0.75,2.14,0.57,0.29,0.28,0.18,0.08,0.14,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,100.01
10/29/2021,7.13,7.72,8.24,7.83,8.33,3.01,3.82,3.91,3.86,3.69,3.67,4.0,3.92,3.87,3.24,2.27,0.0,2.16,1.16,1.54,1.27,1.17,1.31,1.09,0.76,1.28,0.73,2.15,0.57,0.29,0.28,0.18,0.08,0.14,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,100.01999999999998
11/01/2021,7.09,7.64,8.18,7.82,7.97,3.06,3.91,3.96,3.88,3.52,3.95,4.05,3.9,3.95,3.19,2.34,0.0,2.18,1.14,1.54,1.24,1.19,1.31,1.1,0.78,1.28,0.74,2.14,0.56,0.29,0.29,0.18,0.07,0.13,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11,0.0,0.0,99.99999999999996
11/02/2021,7.17,7.77,8.16,7.72,7.97,3.02,3.87,3.99,3.83,3.51,4.06,4.01,3.87,3.97,3.25,2.39,0.0,2.21,1.14,1.52,1.25,1.18,1.3,1.07,0.78,1.27,0.75,2.15,0.54,0.29,0.3,0.18,0.08,0.13,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,100.03
11/03/2021,7.17,7.77,8.16,7.72,7.97,3.02,3.87,3.99,3.83,3.51,4.06,4.01,3.87,3.97,3.25,2.39,0.0,2.21,1.14,1.52,1.25,1.18,1.3,1.07,0.78,1.27,0.75,2.15,0.54,0.29,0.3,0.18,0.08,0.13,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,100.03
11/04/2021,7.17,7.77,8.16,7.72,7.97,3.02,3.87,3.99,3.83,3.51,4.06,4.01,3.87,3.97,3.25,2.39,0.0,2.21,1.14,1.52,1.25,1.18,1.3,1.07,0.78,1.27,0.75,2.15,0.54,0.29,0.3,0.18,0.08,0.13,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,100.03
11/05/2021,6.77,7.76,7.96,7.79,8.09,3.08,3.8,4.0,3.82,3.55,4.33,4.16,3.88,4.0,3.3,2.42,0.0,2.26,1.14,1.51,1.29,1.19,1.31,1.05,0.79,1.3,0.76,1.96,0.57,0.28,0.3,0.18,0.08,0.14,0.14,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.0,0.0,100.03
11/11/2021,6.69,7.36,8.0,7.34,8.11,2.87,3.86,4.54,3.78,3.6,4.22,4.16,3.83,3.94,3.36,2.53,0.0,2.36,1.2,1.53,1.33,1.19,1.35,1.08,0.85,1.38,0.79,1.97,0.58,0.28,0.32,0.18,0.05,0.14,0.15,0.13,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,4.86,0.0,0.0,100.0
11/12/2021,6.7,7.31,8.02,7.36,8.11,2.79,3.88,4.6,3.76,3.63,4.29,4.17,3.83,3.91,3.43,2.57,0.0,2.38,1.2,1.53,1.33,1.18,1.2,1.1,0.87,1.37,0.79,1.97,0.57,0.28,0.31,0.18,0.05,0.14,0.16,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,100.02
11/15/2021,6.7,7.44,7.85,7.41,8.16,2.73,3.78,4.52,3.74,3.64,4.34,4.13,3.8,3.95,3.41,2.5,0.0,2.34,1.2,1.53,1.34,1.18,1.16,1.14,0.85,1.49,0.79,2.02,0.57,0.29,0.31,0.18,0.05,0.14,0.16,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,100.01999999999998
