,EFAV,iShares MSCI Emerg Mkts Min Vol Fctr ETF,FGXXX,URC.V,URC.V.1,URC.V.2,URC.V.3,EEMV,First American Government Obligs X,Cboe S&P Put Opt 7/21 4165,Cboe S&P Put Opt 7/21 4190,Cboe S&P Put Opt 7/21 4320,Cboe S&P Put Opt 7/21 4290,Cboe S&P Put Opt 7/21 4200,Cboe S&P Put Opt 7/21 4330,Cboe S&P Put Opt 7/21 4205,Cboe S&P Put Opt 7/21 4335,S&P Dow Opt07/214180.0 Put,Cboe S&P Put Opt 7/21 4310,SPXW 6 P4020,SPXW 6 P4030,SPXW 6 P4160,SPXW 6 P4150,Cboe S&P Put Opt 7/21 4270,Cboe S&P Put Opt 7/21 4180,S&P Dow Opt08/214230.0 Put,S&P Dow Opt08/214360.0 Put,S&P Dow Opt08/214235.0 Put,S&P Dow Opt08/214365.0 Put,Cboe S&P Put Opt 8/21 4190,S&P Dow Opt08/214205.0 Put,Cboe S&P Put Opt 8/21 4210,Cboe S&P Put Opt 8/21 4340,S&P Dow Opt08/214335.0 Put,Cboe S&P Put Opt 8/21 4320,SUM
07/23/2021,79.9,0.0,0.26,0.0,0.0,0.0,0.0,19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09000000000002
07/26/2021,79.9,0.0,0.26,0.0,0.0,0.0,0.0,19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09000000000002
07/27/2021,79.67,0.0,0.0,0.0,0.0,0.0,0.0,19.69,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,80.29,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,80.43,19.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,80.43,19.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,80.51,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,80.51,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,80.51,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,80.51,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,80.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,-0.01,-0.03,-0.04,99.99
