,HYG,iShares Broad USD High Yield Corp Bd ETF,HYLB,JNK,SHYG,ANGL,SJNK,FIGXX,USHY,Fidelity® Inv MM Fds Government I,n/a,GOVT,VGIT,SCHR,IEI,SPTI,SUM
08/02/2021,20.52,0.0,18.18,12.72,10.58,9.57,8.88,0.0,19.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,20.52,0.0,18.18,12.72,10.58,9.57,8.88,0.0,19.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,20.52,0.0,18.18,12.72,10.58,9.57,8.88,0.0,19.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,20.52,0.0,18.18,12.72,10.58,9.57,8.88,0.0,19.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,20.53,0.0,18.17,12.72,10.58,9.58,8.87,0.0,19.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,20.55,0.0,18.17,12.72,10.57,9.59,8.87,0.0,19.36,0.0,0.17,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,20.55,0.0,18.17,12.72,10.57,9.59,8.87,0.0,19.36,0.0,0.17,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,20.55,0.0,18.17,12.72,10.57,9.59,8.87,0.0,19.36,0.0,0.17,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,4.12,0.0,3.65,2.56,2.13,1.92,1.79,0.0,3.9,0.0,0.12,19.98,18.65,14.66,14.1,12.42,100.0
08/16/2021,4.14,0.0,3.66,2.56,2.13,1.93,1.79,0.0,3.9,0.0,0.12,19.96,18.64,14.66,14.09,12.41,99.99
08/17/2021,4.14,0.0,3.66,2.56,2.13,1.93,1.79,0.0,3.9,0.0,0.12,19.96,18.64,14.66,14.09,12.41,99.99
08/18/2021,4.13,0.0,3.66,2.56,2.13,1.93,1.79,0.0,3.9,0.0,0.12,20.0,18.64,14.65,14.08,12.41,100.0
08/19/2021,4.13,0.0,3.66,2.56,2.13,1.93,1.79,0.0,3.9,0.0,0.12,20.0,18.64,14.65,14.08,12.41,100.0
08/20/2021,4.13,0.0,3.65,2.56,2.13,1.93,1.79,0.0,3.9,0.0,0.12,19.99,18.65,14.66,14.08,12.42,100.01
08/23/2021,4.11,0.0,3.64,2.55,2.12,1.92,1.78,0.0,3.88,0.0,0.12,20.04,18.65,14.67,14.09,12.42,99.99
08/24/2021,4.11,0.0,3.64,2.55,2.12,1.92,1.78,0.0,3.88,0.0,0.12,20.04,18.65,14.67,14.09,12.42,99.99
08/25/2021,4.12,0.0,3.65,2.55,2.12,1.92,1.78,0.0,3.89,0.0,0.12,20.04,18.65,14.65,14.08,12.41,99.98000000000002
08/26/2021,4.13,0.0,3.66,2.56,2.13,1.93,1.78,0.0,3.9,0.0,0.12,20.03,18.64,14.65,14.07,12.41,100.01000000000002
08/27/2021,4.14,0.0,3.67,2.56,2.13,1.94,1.79,0.0,3.91,0.0,0.12,20.0,18.62,14.65,14.07,12.4,100.0
08/30/2021,4.16,0.0,3.68,2.57,2.14,1.94,1.8,0.0,3.92,0.0,0.12,19.83,18.65,14.66,14.1,12.42,99.98999999999998
08/31/2021,4.16,0.0,3.68,2.57,2.14,1.94,1.8,0.0,3.92,0.0,0.12,19.83,18.65,14.66,14.1,12.42,99.98999999999998
09/01/2021,4.16,0.0,3.68,2.57,2.14,1.94,1.8,0.0,3.92,0.0,0.12,19.83,18.65,14.66,14.1,12.42,99.98999999999998
09/02/2021,20.55,0.0,18.18,12.73,10.57,9.61,8.87,0.0,19.37,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,20.58,0.0,18.2,12.74,10.58,9.63,0.0,0.0,19.4,0.0,8.87,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,20.59,0.0,18.18,12.75,10.58,9.66,0.0,0.0,19.37,0.0,8.88,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,20.59,0.0,18.18,12.75,10.58,9.66,8.88,0.0,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/08/2021,20.59,0.0,18.18,12.75,10.58,9.66,8.88,0.0,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,20.57,0.0,18.19,12.74,10.57,9.66,8.87,0.0,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,20.56,0.0,18.2,12.74,10.58,9.65,8.87,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,20.57,0.0,18.19,12.74,10.58,9.65,8.88,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,20.54,0.0,18.17,12.72,10.56,9.63,8.85,0.17,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,20.54,0.0,18.17,12.72,10.56,9.63,8.85,0.17,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,20.54,0.0,18.18,12.72,10.57,9.64,8.86,0.11,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,20.53,0.0,18.15,12.72,10.55,9.63,8.85,0.18,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,20.52,0.0,18.16,12.72,10.54,9.65,8.85,0.18,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,20.52,0.0,18.16,12.71,10.55,9.65,8.85,0.18,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
