,QQQ,YSS.V,YSS.V.1,YSS.V.2,YSS.V.3,YSS.V.4,YSS.V.5,YSS.V.6,QQQ 12/16/22 P170 Equity,NDX 09/16/22 P7000 Index,QQQ 06/17/22 P100 Equity,NDX 03/18/22 P7000 Index,n/a,QQQ 10/13/21 P345 Equity,NDX 12/17/21 P4000 Index,QQQ 12/16/22 P130 Equity,QQQ 10/20/21 P352 Equity,QQQ 10/27/21 P365 Equity,QQQ 11/03/21 P370 Equity,QQQ 11/19/21 P380 Equity,QQQ 12/03/21 P383 Equity,SUM
11/15/2021,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.07,0.02,0.01,0.0,0.0,-0.12,0.0,0.0,0.0,0.04,0.0,100.0
11/16/2021,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.07,0.02,0.01,0.0,0.0,-0.12,0.0,0.0,0.0,0.04,0.0,100.0
11/17/2021,99.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.18,0.09,0.02,0.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.01,0.0,99.98
11/18/2021,99.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.19,0.08,0.02,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.01,0.0,100.0
11/19/2021,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.18,0.07,0.01,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,100.0
11/22/2021,99.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.18,0.07,0.02,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,100.0
11/23/2021,99.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.18,0.07,0.02,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,100.0
11/24/2021,99.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.18,0.08,0.02,-0.03,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.03,100.02
11/25/2021,99.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.07,0.02,0.01,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.03,100.02
11/26/2021,99.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.21,0.07,0.02,0.01,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.06,100.0
11/29/2021,99.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.21,0.08,0.02,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.04,99.99000000000001
