,ESGU,EAGG,ESGD,ESGE,ESML,XTSLA,BlackRock Cash Funds Govt SL Agency,127.HK,USD,n/a,SUM
12/30/2021,47.43,19.83,18.77,8.28,5.62,0.67,0.0,0.0,0.0,-0.61,99.99
12/31/2021,47.43,19.84,18.8,8.26,5.61,0.67,0.0,0.0,0.0,-0.61,100.0
01/03/2022,47.42,19.85,18.73,8.32,5.63,0.67,0.0,0.0,0.0,-0.61,100.01000000000002
01/03/2022,47.32,19.96,18.73,8.31,5.63,1.3,0.0,0.0,0.0,-1.24,100.01
01/03/2022,47.32,19.96,18.73,8.31,5.63,1.3,0.0,0.0,0.0,-1.24,100.01
01/04/2022,47.32,19.96,18.73,8.31,5.63,1.3,0.0,0.0,0.0,-1.24,100.01
01/05/2022,47.32,19.96,18.73,8.31,5.63,1.3,0.0,0.0,0.0,-1.24,100.01
01/06/2022,47.46,19.67,18.8,8.34,5.67,1.25,0.0,0.0,0.0,-1.19,100.0
01/07/2022,47.36,19.67,18.91,8.31,5.69,0.04,0.0,0.0,0.0,0.01,99.99
01/10/2022,47.1,19.91,18.95,8.33,5.65,0.09,0.0,0.0,0.0,-0.04,99.99
01/11/2022,46.95,19.93,19.04,8.43,5.6,0.05,0.0,0.0,0.0,0.01,100.01
01/12/2022,46.95,19.93,19.04,8.43,5.6,0.05,0.0,0.0,0.0,0.01,100.01
01/13/2022,47.06,19.92,18.89,8.46,5.6,0.05,0.0,0.0,0.0,0.01,99.99
01/14/2022,47.04,19.77,18.95,8.59,5.61,0.05,0.0,0.0,0.0,0.01,100.02
01/17/2022,46.7,19.91,19.09,8.66,5.58,0.05,0.0,0.0,0.0,0.01,100.0
01/18/2022,46.74,19.84,19.1,8.68,5.59,0.05,0.0,0.0,0.0,0.01,100.01000000000002
01/19/2022,46.74,19.84,19.1,8.68,5.59,0.05,0.0,0.0,0.0,0.01,100.01000000000002
01/20/2022,46.74,19.84,19.1,8.68,5.59,0.05,0.0,0.0,0.0,0.01,100.01000000000002
01/21/2022,46.6,20.03,19.13,8.66,5.53,0.05,0.0,0.0,0.0,0.01,100.01
01/24/2022,46.16,20.31,19.22,8.84,5.41,0.05,0.0,0.0,0.0,0.01,100.0
01/26/2022,45.84,20.66,19.23,8.83,5.39,0.05,0.0,0.0,0.0,0.01,100.01
01/27/2022,46.05,20.65,19.02,8.73,5.5,0.05,0.0,0.0,0.0,0.01,100.01
01/28/2022,45.81,20.78,19.08,8.8,5.46,0.05,0.0,0.0,0.0,0.01,99.99
01/31/2022,45.88,20.95,19.09,8.68,5.35,0.05,0.0,0.0,0.0,0.01,100.01
02/01/2022,46.36,20.69,18.91,8.61,5.38,0.05,0.0,0.0,0.0,0.01,100.01
02/02/2022,46.36,20.69,18.91,8.61,5.38,0.05,0.0,0.0,0.0,0.01,100.01
02/03/2022,46.55,20.36,18.86,8.73,5.44,0.05,0.0,0.0,0.0,0.01,100.0
02/04/2022,46.59,20.21,18.94,8.72,5.47,0.05,0.0,0.0,0.0,0.03,100.01
02/07/2022,46.35,20.42,19.0,8.74,5.41,0.05,0.0,0.0,0.0,0.03,100.0
02/08/2022,46.52,20.25,18.99,8.74,5.43,0.05,0.0,0.0,0.0,0.03,100.01
02/09/2022,46.52,20.25,18.99,8.74,5.43,0.05,0.0,0.0,0.0,0.03,100.01
02/10/2022,46.43,20.28,19.04,8.73,5.45,0.05,0.0,0.0,0.0,0.03,100.01
02/11/2022,46.54,20.09,19.04,8.75,5.51,0.05,0.0,0.0,0.0,0.03,100.01
02/14/2022,46.47,19.96,19.12,8.83,5.54,0.05,0.0,0.0,0.0,0.03,100.0
02/15/2022,46.14,20.34,19.08,8.81,5.56,0.05,0.0,0.0,0.0,0.03,100.01
02/16/2022,46.14,20.34,19.08,8.81,5.56,0.05,0.0,0.0,0.0,0.03,100.01
02/17/2022,46.2,20.34,19.04,8.81,5.54,0.05,0.0,0.0,0.0,0.03,100.01000000000002
02/18/2022,46.32,19.99,19.12,8.89,5.6,0.05,0.0,0.0,0.0,0.03,100.0
02/21/2022,45.91,20.37,19.14,8.96,5.56,0.05,0.0,0.0,0.0,0.03,100.02
03/07/2022,46.7,20.83,18.34,8.36,5.68,0.05,0.0,0.0,0.0,0.05,100.01
04/28/2022,47.21,20.31,18.69,8.02,5.7,0.05,0.0,0.0,0.0,0.02,100.0
05/02/2022,47.3,20.34,18.6,8.06,5.63,0.05,0.0,0.0,0.0,0.02,100.0
05/25/2022,45.37,21.18,19.23,8.65,5.35,0.2,0.0,0.0,0.0,0.03,100.01
