,2TLT  220630C00001150,2TLT  220630P00144350,Cash&Other,2TLT  220630P00131360,2TLT  220630C00157340,SUM
09/27/2021,99.33,5.04,0.7,-2.01,-3.07,99.99
09/28/2021,98.78,5.51,0.7,-2.25,-2.75,99.99
09/29/2021,98.78,5.51,0.7,-2.25,-2.75,99.99
09/30/2021,98.59,5.63,0.7,-2.29,-2.64,99.99
10/01/2021,98.07,6.43,0.7,-2.82,-2.39,99.99
10/04/2021,98.09,6.32,0.69,-2.78,-2.32,100.0
10/05/2021,98.73,5.86,0.49,-2.6,-2.49,99.99
10/06/2021,98.73,5.86,0.49,-2.6,-2.49,99.99
10/07/2021,98.58,5.95,0.49,-2.6,-2.42,100.0
10/08/2021,97.84,6.51,0.49,-2.71,-2.12,100.01
10/11/2021,98.34,6.18,0.49,-2.72,-2.28,100.01
10/12/2021,97.22,7.1,0.48,-3.0,-1.8,100.0
10/13/2021,97.22,7.1,0.48,-3.0,-1.8,100.0
10/14/2021,97.03,7.24,0.48,-3.03,-1.72,100.0
10/15/2021,98.11,6.09,0.47,-2.64,-2.03,100.0
10/18/2021,98.46,5.42,0.46,-2.17,-2.18,99.98999999999998
10/19/2021,98.24,5.73,0.46,-2.35,-2.08,100.0
10/20/2021,98.24,5.73,0.46,-2.35,-2.08,100.0
10/21/2021,98.75,5.41,0.46,-2.37,-2.25,100.0
10/22/2021,97.74,6.16,0.46,-2.52,-1.84,100.0
10/25/2021,97.34,6.59,0.45,-2.73,-1.66,99.99
10/26/2021,97.82,6.01,0.45,-2.48,-1.81,99.99
10/27/2021,97.82,6.01,0.45,-2.48,-1.81,99.99
10/28/2021,97.69,5.99,0.44,-2.39,-1.73,100.0
10/29/2021,98.08,5.47,0.44,-2.18,-1.82,99.99
11/01/2021,98.85,4.73,0.43,-1.84,-2.17,100.0
11/02/2021,99.0,4.58,0.42,-1.77,-2.23,100.0
11/03/2021,99.0,4.58,0.42,-1.77,-2.23,100.0
11/04/2021,98.73,4.85,0.42,-1.9,-2.11,99.99
11/05/2021,98.9,4.66,0.42,-1.81,-2.17,100.0
11/08/2021,98.82,4.57,0.41,-1.75,-2.06,99.98999999999998
11/09/2021,98.82,4.57,0.41,-1.75,-2.06,99.98999999999998
11/10/2021,100.14,3.9,0.41,-1.71,-2.74,100.00000000000001
