,BAB,RPG,IUS,OMFL,PLW,IUSS,ISDX,XMLV,SPLV,XSLV,IDLV,PBTP,VRIG,BKLN,PHB,EELV,ISEM,PGX,IIGD,IIGV,PCY,Cash/Receivables/Payables,Invesco Emerging Markets Sov Debt ETF,Securities Lending - Bnym,Interest/Overdraft,AGPXX,n/a,603087.SS,SUM
08/23/2021,12.43,8.9,8.52,7.61,6.99,5.45,5.4,5.0,4.55,4.56,4.55,3.97,3.96,3.45,2.96,2.96,2.82,1.97,1.98,0.99,0.99,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.02999999999996
08/25/2021,12.38,8.95,8.55,7.66,6.95,5.49,5.38,5.02,4.55,4.6,4.56,3.94,3.94,3.44,2.95,2.96,2.8,1.96,1.97,0.98,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,100.03
08/26/2021,12.5,8.52,8.5,7.53,7.0,5.51,5.48,4.99,4.48,4.51,4.5,4.0,4.0,3.5,3.0,3.0,3.01,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.05
08/27/2021,12.44,8.52,8.5,7.59,6.95,5.55,5.55,4.97,4.44,4.49,4.48,3.99,3.99,3.5,2.99,3.02,3.04,1.99,1.99,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.0
09/02/2021,12.37,8.66,8.5,7.62,6.91,5.59,5.54,4.99,4.43,4.53,4.45,3.98,3.96,3.48,2.99,3.04,3.07,1.98,1.98,0.99,1.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,99.99
09/03/2021,12.33,8.64,8.5,7.61,6.9,5.58,5.5,4.99,4.43,4.52,4.43,3.98,3.96,3.49,2.99,3.07,3.11,1.98,1.98,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/06/2021,12.3,8.67,8.49,7.6,6.88,5.61,5.53,5.01,4.45,4.53,4.46,3.96,3.94,3.48,2.98,3.05,3.1,1.99,1.97,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,12.24,8.7,8.48,7.58,6.85,5.6,5.59,5.0,4.44,4.51,4.47,3.97,3.94,3.48,2.99,3.06,3.15,1.99,1.97,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,12.24,8.7,8.48,7.58,6.85,5.6,5.59,5.0,4.44,4.51,4.47,3.97,3.94,3.48,2.99,3.06,3.15,1.99,1.97,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,12.24,8.7,8.48,7.58,6.85,5.6,5.59,5.0,4.44,4.51,4.47,3.97,3.94,3.48,2.99,3.06,3.15,1.98,1.97,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,12.28,8.7,8.48,7.54,6.86,5.57,5.58,4.95,4.41,4.49,4.48,3.99,3.97,3.5,3.0,3.08,3.19,1.99,1.98,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/13/2021,12.38,8.65,8.43,7.52,6.93,5.54,5.54,4.96,4.42,4.46,4.47,4.01,3.97,3.5,3.0,3.07,3.16,1.99,1.99,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
09/14/2021,12.4,8.66,8.4,7.5,6.93,5.51,5.56,4.92,4.41,4.43,4.47,4.02,3.99,3.52,3.02,3.08,3.18,2.0,2.0,1.0,1.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.02
09/15/2021,12.4,8.66,8.4,7.5,6.93,5.51,5.56,4.92,4.41,4.43,4.47,4.02,3.99,3.52,3.02,3.08,3.18,2.0,2.0,1.0,1.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.02
09/16/2021,12.38,8.55,8.43,7.53,6.94,5.52,5.64,4.91,4.4,4.43,4.47,4.01,3.98,3.51,3.01,3.1,3.22,2.0,1.99,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.03000000000002
09/17/2021,12.49,8.57,8.38,7.47,7.0,5.48,5.59,4.89,4.4,4.41,4.47,4.02,3.99,3.52,3.02,3.09,3.19,2.0,2.0,1.0,1.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.0
09/20/2021,12.41,8.67,8.43,7.55,6.95,5.51,5.6,4.88,4.39,4.4,4.47,4.01,3.98,3.51,3.01,3.08,3.15,2.01,1.99,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
09/21/2021,12.41,8.67,8.43,7.55,6.95,5.51,5.6,4.88,4.39,4.4,4.47,4.01,3.98,3.51,3.01,3.08,3.15,2.01,1.99,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
09/22/2021,12.46,8.64,8.42,7.53,6.96,5.5,5.54,4.87,4.38,4.42,4.44,4.03,4.0,3.53,3.03,3.07,3.14,2.02,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,99.99
09/23/2021,12.68,8.45,8.43,7.41,7.14,5.47,5.4,5.0,4.52,4.5,4.48,4.0,4.05,3.53,3.02,2.97,2.9,2.01,2.03,1.01,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01000000000002
09/24/2021,12.67,8.47,8.41,7.38,7.12,5.46,5.47,5.0,4.51,4.5,4.5,3.99,4.04,3.53,3.02,2.97,2.93,2.01,2.02,1.01,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.02
09/27/2021,12.45,8.59,8.49,7.55,6.97,5.56,5.51,5.0,4.49,4.54,4.49,3.94,4.0,3.5,2.99,2.98,2.98,1.99,2.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.03
09/28/2021,12.42,8.61,8.52,7.57,6.96,5.56,5.47,5.01,4.5,4.56,4.46,3.95,4.01,3.51,3.0,2.97,2.95,1.99,2.0,1.0,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.02
09/29/2021,12.42,8.61,8.51,7.57,6.96,5.56,5.47,5.01,4.5,4.56,4.46,3.95,4.01,3.51,3.0,2.97,2.95,1.98,2.0,1.0,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.0
09/30/2021,12.39,8.49,8.53,7.64,6.94,5.62,5.52,5.01,4.46,4.59,4.44,3.95,4.01,3.5,3.0,2.99,2.96,1.98,2.0,1.0,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.02
10/05/2021,12.53,8.29,8.46,7.49,7.0,5.55,5.46,5.01,4.46,4.59,4.42,4.02,4.08,3.56,3.03,3.02,2.99,2.01,2.03,1.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,12.56,8.11,8.46,7.54,7.01,5.6,5.47,5.07,4.46,4.65,4.42,4.02,4.07,3.55,3.03,3.01,2.96,1.99,2.03,1.01,0.98,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,99.99
10/08/2021,12.47,8.2,8.5,7.57,6.96,5.61,5.47,5.06,4.47,4.65,4.42,4.01,4.06,3.54,3.01,3.02,3.01,1.98,2.02,1.0,0.98,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.0
10/11/2021,12.37,8.3,8.55,7.61,6.89,5.63,5.44,5.07,4.5,4.67,4.42,3.99,4.04,3.53,3.0,3.02,3.04,1.97,2.01,1.0,0.97,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.01
10/14/2021,12.4,8.21,8.55,7.6,6.89,5.59,5.51,5.04,4.49,4.65,4.42,4.02,4.06,3.55,3.0,3.03,3.05,1.99,2.02,1.0,0.97,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.03
10/15/2021,12.45,8.2,8.5,7.59,6.94,5.6,5.48,5.06,4.48,4.66,4.42,4.0,4.05,3.54,3.0,3.02,3.04,1.99,2.01,1.0,0.97,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,99.99
10/18/2021,12.36,8.32,8.55,7.64,6.9,5.62,5.51,5.11,4.51,4.65,4.44,3.96,4.0,3.5,2.98,3.01,3.03,1.99,1.99,0.99,0.97,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.01999999999998
10/19/2021,12.3,8.34,8.58,7.67,6.86,5.61,5.52,5.11,4.51,4.64,4.45,3.96,4.0,3.49,2.97,3.02,3.04,1.98,1.99,0.99,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/20/2021,12.3,8.34,8.58,7.67,6.86,5.61,5.52,5.11,4.51,4.64,4.45,3.96,4.0,3.49,2.97,3.02,3.04,1.98,1.99,0.99,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/21/2021,12.47,8.56,8.5,7.51,6.99,5.52,5.52,5.0,4.49,4.5,4.5,3.99,3.99,3.49,2.99,3.0,3.0,2.0,1.99,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/22/2021,12.42,8.61,8.55,7.52,6.93,5.51,5.52,5.0,4.52,4.49,4.52,3.99,3.99,3.49,2.99,3.01,3.01,1.99,1.99,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
10/25/2021,12.33,8.69,8.59,7.58,6.88,5.54,5.47,5.06,4.56,4.53,4.51,3.99,3.97,3.48,2.98,3.0,2.98,1.99,1.98,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,100.02
10/26/2021,12.35,8.69,8.57,7.59,6.9,5.52,5.49,5.06,4.58,4.52,4.53,3.98,3.97,3.47,2.97,2.99,2.96,1.98,1.98,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,100.01
10/28/2021,12.32,8.75,8.56,7.6,6.88,5.57,5.49,5.05,4.55,4.53,4.5,3.98,3.96,3.46,2.97,2.99,2.98,1.98,1.97,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,100.0
10/29/2021,12.37,8.74,8.57,7.54,6.92,5.52,5.52,5.03,4.56,4.52,4.51,3.99,3.96,3.46,2.97,2.99,2.96,1.99,1.98,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,100.00999999999998
11/01/2021,12.42,8.87,8.55,7.51,6.95,5.49,5.5,5.01,4.53,4.52,4.53,3.97,3.95,3.46,2.97,2.99,2.9,1.98,1.97,0.99,1.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,99.99
11/02/2021,12.44,8.97,8.56,7.49,6.96,5.5,5.45,5.0,4.53,4.51,4.51,3.97,3.95,3.45,2.97,2.96,2.85,1.98,1.97,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/03/2021,12.44,8.97,8.56,7.49,6.96,5.5,5.45,5.0,4.53,4.51,4.51,3.97,3.95,3.45,2.97,2.96,2.85,1.98,1.97,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/04/2021,12.44,8.97,8.56,7.49,6.96,5.5,5.45,5.0,4.53,4.51,4.51,3.97,3.95,3.45,2.97,2.96,2.85,1.98,1.97,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/05/2021,12.35,8.99,8.58,7.56,6.92,5.56,5.45,5.04,4.54,4.57,4.51,3.95,3.93,3.44,2.95,2.94,2.82,1.98,1.97,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
11/08/2021,12.31,9.1,8.59,7.58,6.89,5.59,5.44,5.02,4.51,4.6,4.52,3.93,3.91,3.42,2.95,2.93,2.8,1.97,1.96,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/09/2021,12.34,9.02,8.61,7.6,6.92,5.65,5.43,5.03,4.5,4.66,4.49,3.92,3.89,3.41,2.94,2.92,2.77,1.96,1.95,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/10/2021,12.34,9.02,8.61,7.6,6.92,5.65,5.43,5.03,4.5,4.66,4.49,3.92,3.89,3.41,2.94,2.92,2.77,1.96,1.95,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/11/2021,12.26,9.07,8.62,7.61,6.9,5.66,5.46,5.02,4.49,4.65,4.49,3.92,3.89,3.41,2.94,2.94,2.81,1.96,1.95,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
11/12/2021,12.31,9.03,8.61,7.61,6.94,5.65,5.42,5.03,4.5,4.64,4.49,3.93,3.89,3.41,2.94,2.94,2.8,1.96,1.95,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
11/15/2021,12.25,9.0,8.6,7.63,6.88,5.65,5.4,5.07,4.52,4.69,4.47,3.94,3.9,3.43,2.93,2.96,2.85,1.94,1.94,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/16/2021,12.25,9.0,8.6,7.63,6.88,5.65,5.4,5.07,4.52,4.69,4.47,3.94,3.9,3.43,2.93,2.96,2.85,1.94,1.94,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/17/2021,12.21,9.09,8.62,7.65,6.86,5.65,5.41,5.08,4.52,4.67,4.48,3.94,3.89,3.41,2.92,2.96,2.83,1.94,1.94,0.97,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
11/18/2021,12.18,9.08,8.63,7.65,6.81,5.65,5.4,5.12,4.55,4.67,4.48,3.95,3.9,3.42,2.92,2.96,2.82,1.93,1.94,0.97,0.98,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.02
11/19/2021,12.15,9.2,8.64,7.67,6.8,5.66,5.39,5.11,4.54,4.66,4.45,3.95,3.89,3.41,2.92,2.95,2.81,1.93,1.94,0.97,0.97,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.02
11/22/2021,12.15,9.2,8.64,7.67,6.8,5.66,5.39,5.11,4.54,4.66,4.45,3.95,3.89,3.41,2.92,2.95,2.81,1.92,1.94,0.97,0.97,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
11/23/2021,12.15,9.2,8.64,7.67,6.8,5.66,5.39,5.11,4.54,4.66,4.45,3.95,3.89,3.41,2.92,2.95,2.81,1.92,1.94,0.97,0.97,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
11/24/2021,12.31,9.25,8.6,7.56,6.91,5.55,5.33,5.1,4.54,4.62,4.45,3.95,3.91,3.42,2.93,2.95,2.77,1.94,1.95,0.98,0.98,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
11/25/2021,12.46,8.39,8.54,7.56,6.96,5.52,5.52,5.03,4.52,4.56,4.5,4.0,4.01,3.5,2.99,2.98,2.99,1.99,2.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
11/26/2021,12.41,8.32,8.59,7.59,6.92,5.53,5.55,5.05,4.55,4.57,4.51,4.01,4.02,3.5,2.99,2.99,3.02,1.99,2.0,0.99,0.98,0.0,0.0,0.0,0.0,0.01,-0.08,0.0,100.01
11/29/2021,12.45,8.37,8.59,7.59,6.96,5.52,5.51,5.04,4.54,4.56,4.48,4.01,4.01,3.49,2.98,2.99,3.02,1.99,2.0,0.99,0.98,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,100.0
12/02/2021,12.67,8.47,8.55,7.48,7.11,5.41,5.42,4.97,4.56,4.43,4.48,4.05,4.05,3.51,3.01,2.94,2.96,2.0,2.02,1.01,0.99,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,100.02
12/06/2021,12.8,8.22,8.46,7.37,7.21,5.33,5.47,4.96,4.51,4.47,4.46,4.04,4.06,3.53,3.03,2.98,3.03,2.02,2.03,1.02,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
12/07/2021,12.8,8.22,8.46,7.37,7.21,5.33,5.47,4.96,4.51,4.47,4.46,4.04,4.06,3.53,3.03,2.98,3.03,2.02,2.03,1.02,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.01
