,600519.SS,000858.SZ,000333.SZ,002304.SZ,000651.SZ,2020.HK,000568.SZ,601888.SS,600887.SS,YUMC,2331.HK,603288.SS,603486.SS,002714.SZ,600809.SS,2319.HK,600690.SS,000895.SZ,600132.SS,603369.SS,603833.SS,6862.HK,151.HK,1044.HK,600779.SS,002032.SZ,002508.SZ,Chinese Yuan Renminbi,3799.HK,TRCH,Hong Kong Dollar,Cash,n/a,921.HK,ANSGR.IS,603613.SS,002064.SZ,000596.SZ,SUM
09/03/2021,13.89,8.01,6.61,5.11,4.74,4.93,4.37,4.58,4.97,4.97,5.51,4.05,3.03,2.96,3.5,3.58,3.29,2.39,0.98,1.07,1.34,0.85,1.01,0.87,0.77,0.61,0.59,0.0,0.33,0.0,0.0,0.0,0.98,0.09,0.0,0.0,0.0,0.0,99.98
09/06/2021,14.13,7.76,6.91,5.08,4.66,4.92,4.41,4.35,5.39,5.09,5.42,3.43,2.9,3.02,3.34,3.5,3.63,2.47,0.96,1.11,1.36,0.92,1.02,0.87,0.8,0.6,0.57,0.0,0.32,0.0,0.0,0.0,0.97,0.1,0.0,0.0,0.0,0.0,100.00999999999998
09/07/2021,14.13,7.76,6.91,5.08,4.66,4.92,4.41,4.35,5.39,5.09,5.42,3.43,2.9,3.02,3.34,3.5,3.63,2.47,0.96,1.11,1.36,0.92,1.02,0.87,0.8,0.6,0.57,0.0,0.32,0.0,0.0,0.0,0.97,0.1,0.0,0.0,0.0,0.0,100.00999999999998
09/08/2021,14.13,7.76,6.91,5.08,4.66,4.92,4.41,4.35,5.39,5.09,5.42,3.43,2.9,3.02,3.34,3.5,3.63,2.47,0.96,1.11,1.36,0.92,1.02,0.87,0.8,0.6,0.57,0.0,0.32,0.0,0.0,0.0,0.97,0.1,0.0,0.0,0.0,0.0,100.00999999999998
09/09/2021,14.32,7.86,6.92,4.95,4.63,4.9,4.49,4.46,5.35,5.03,5.33,3.41,2.85,3.17,3.29,3.54,3.6,2.47,0.93,1.07,1.35,0.91,1.01,0.86,0.79,0.6,0.56,0.0,0.32,0.0,0.0,0.0,0.96,0.09,0.0,0.0,0.0,0.0,100.02
09/10/2021,14.05,7.89,7.04,4.98,4.64,4.78,4.44,4.59,5.26,4.92,5.63,3.33,3.03,3.16,3.43,3.5,3.53,2.46,0.98,1.1,1.33,0.88,0.98,0.83,0.83,0.59,0.56,0.0,0.31,0.0,0.0,0.0,0.88,0.1,0.0,0.0,0.0,0.0,100.03
09/15/2021,14.05,7.98,7.0,4.98,4.6,4.99,4.47,4.71,5.27,4.83,5.48,3.36,2.79,3.08,3.49,3.61,3.49,2.48,0.95,1.1,1.28,0.93,0.99,0.81,0.82,0.59,0.57,0.0,0.31,0.0,0.0,0.0,0.9,0.09,0.0,0.0,0.0,0.0,100.0
09/16/2021,14.19,7.88,6.97,5.1,4.62,4.9,4.47,4.71,5.26,4.96,5.33,3.34,2.77,3.0,3.59,3.68,3.43,2.48,0.93,1.08,1.29,0.92,1.0,0.81,0.8,0.59,0.57,0.0,0.32,0.0,0.0,0.0,0.91,0.09,0.0,0.0,0.0,0.0,99.99
09/17/2021,14.37,7.88,6.79,5.14,4.6,4.87,4.44,4.68,5.27,4.95,5.3,3.35,2.84,3.0,3.71,3.62,3.39,2.48,0.94,1.09,1.29,0.9,1.02,0.81,0.79,0.58,0.57,0.0,0.32,0.0,0.0,0.0,0.92,0.09,0.0,0.0,0.0,0.0,100.0
09/20/2021,14.37,7.88,6.79,5.14,4.6,4.87,4.44,4.68,5.27,4.95,5.3,3.35,2.84,3.0,3.71,3.62,3.39,2.48,0.94,1.09,1.29,0.9,1.02,0.81,0.79,0.58,0.57,0.0,0.32,0.0,0.0,0.0,0.92,0.09,0.0,0.0,0.0,0.0,100.0
09/21/2021,14.49,7.7,6.68,5.27,4.46,4.77,4.35,4.66,5.31,4.61,6.31,3.45,3.05,3.13,3.75,3.77,3.33,2.58,0.89,1.08,1.22,0.87,1.05,0.83,0.77,0.57,0.56,0.0,0.32,0.0,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,99.99999999999996
09/22/2021,14.49,7.7,6.68,5.27,4.46,4.77,4.35,4.66,5.31,4.61,6.31,3.45,3.05,3.13,3.75,3.77,3.33,2.58,0.89,1.08,1.22,0.87,1.05,0.83,0.77,0.57,0.56,0.0,0.32,0.0,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,99.99999999999996
09/23/2021,14.49,7.7,6.68,5.27,4.46,4.77,4.35,4.66,5.31,4.61,6.31,3.45,3.05,3.13,3.75,3.77,3.33,2.58,0.89,1.08,1.22,0.87,1.05,0.83,0.77,0.57,0.56,0.0,0.32,0.0,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,99.99999999999996
09/27/2021,14.53,7.63,6.79,5.03,4.47,4.58,4.44,4.55,5.44,4.69,5.98,3.56,2.92,3.15,3.96,3.94,3.29,2.61,0.94,1.1,1.18,0.9,1.09,0.82,0.79,0.57,0.55,0.0,0.33,0.0,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.0,100.02
09/28/2021,14.53,7.63,6.79,5.03,4.47,4.58,4.44,4.55,5.44,4.69,5.98,3.56,2.92,3.15,3.96,3.94,3.29,2.61,0.94,1.1,1.18,0.9,1.09,0.82,0.79,0.57,0.55,0.0,0.33,0.0,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.0,100.02
09/29/2021,14.76,7.72,6.7,4.92,4.36,4.4,4.58,4.7,5.54,4.75,5.55,3.84,3.04,3.17,4.0,3.82,3.15,2.63,0.92,1.11,1.17,0.87,1.07,0.81,0.78,0.57,0.54,0.0,0.32,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,99.96999999999998
09/30/2021,14.76,7.72,6.7,4.92,4.36,4.4,4.58,4.7,5.54,4.75,5.55,3.84,3.04,3.17,4.0,3.82,3.15,2.63,0.92,1.11,1.17,0.87,1.07,0.81,0.78,0.57,0.54,0.0,0.32,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,99.96999999999998
10/01/2021,15.31,8.06,6.76,4.83,4.23,4.25,5.05,4.66,5.41,4.64,5.23,3.96,2.86,3.25,3.8,3.72,3.16,2.6,0.91,1.11,1.15,0.84,1.04,0.79,0.78,0.57,0.53,0.0,0.32,0.0,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.0,99.99
10/04/2021,15.31,8.06,6.76,4.83,4.23,4.25,5.05,4.66,5.41,4.64,5.23,3.96,2.86,3.25,3.8,3.72,3.16,2.6,0.91,1.11,1.15,0.84,1.04,0.79,0.78,0.57,0.53,0.0,0.32,0.0,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.0,99.99
10/15/2021,15.18,8.65,7.11,5.29,4.7,4.0,4.66,5.44,4.71,4.54,5.08,4.0,2.73,3.74,2.75,3.42,3.19,2.63,0.94,1.13,1.12,0.81,1.04,0.83,0.8,0.56,0.54,0.0,0.3,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,100.01
10/18/2021,15.18,8.65,7.11,5.29,4.7,4.0,4.66,5.44,4.71,4.54,5.08,4.0,2.73,3.74,2.75,3.42,3.19,2.63,0.94,1.13,1.12,0.81,1.04,0.83,0.8,0.56,0.54,0.0,0.3,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,100.01
10/19/2021,15.32,8.95,6.88,5.34,4.59,3.95,4.89,5.49,4.69,4.58,5.02,3.9,2.68,3.64,2.9,3.38,3.05,2.58,0.98,1.11,1.13,0.8,1.02,0.82,0.84,0.55,0.52,0.0,0.3,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0,99.99999999999996
10/20/2021,15.32,8.95,6.88,5.34,4.59,3.95,4.89,5.49,4.69,4.58,5.02,3.9,2.68,3.64,2.9,3.38,3.05,2.58,0.98,1.11,1.13,0.8,1.02,0.82,0.84,0.55,0.52,0.0,0.3,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0,99.99999999999996
10/21/2021,14.55,8.09,6.88,4.96,4.55,4.09,4.63,5.26,4.67,4.7,5.44,3.94,2.75,3.88,2.68,3.39,3.08,2.49,0.93,1.02,1.14,0.84,1.02,0.79,0.77,0.54,0.5,0.0,0.29,0.0,0.0,0.0,2.08,0.08,0.0,0.0,0.0,0.0,100.03000000000002
10/22/2021,14.68,8.24,6.92,5.12,4.65,4.2,4.78,5.26,4.64,4.69,5.57,4.06,2.93,4.14,2.84,3.46,3.12,2.74,0.91,1.03,1.18,0.83,1.03,0.79,0.77,0.53,0.53,0.0,0.28,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,100.01
10/25/2021,14.68,8.24,6.92,5.12,4.65,4.2,4.78,5.26,4.64,4.69,5.57,4.06,2.93,4.14,2.84,3.46,3.12,2.74,0.91,1.03,1.18,0.83,1.03,0.79,0.77,0.53,0.53,0.0,0.28,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,100.01
10/26/2021,14.68,8.24,6.92,5.12,4.65,4.2,4.78,5.26,4.64,4.69,5.57,4.06,2.93,4.14,2.84,3.46,3.12,2.74,0.91,1.03,1.18,0.83,1.03,0.79,0.77,0.53,0.53,0.0,0.28,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,100.01
10/27/2021,14.68,8.24,6.92,5.12,4.65,4.2,4.78,5.26,4.64,4.69,5.57,4.06,2.93,4.14,2.84,3.46,3.12,2.74,0.91,1.03,1.18,0.83,1.03,0.79,0.77,0.53,0.53,0.0,0.28,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,100.01
10/28/2021,14.68,8.24,6.92,5.12,4.65,4.2,4.78,5.26,4.64,4.69,5.57,4.06,2.93,4.14,2.84,3.46,3.12,2.74,0.91,1.03,1.18,0.83,1.03,0.79,0.77,0.53,0.53,0.0,0.28,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,100.01
10/29/2021,14.68,8.24,6.92,5.12,4.65,4.2,4.78,5.26,4.64,4.69,5.57,4.06,2.93,4.14,2.84,3.46,3.12,2.74,0.91,1.03,1.18,0.83,1.03,0.79,0.77,0.53,0.53,0.0,0.28,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,100.01
11/01/2021,14.88,8.25,6.89,5.21,4.59,4.05,4.78,5.36,4.88,4.53,5.82,4.02,3.04,3.73,2.76,3.45,3.14,2.57,0.98,1.13,1.06,0.71,1.03,0.77,0.77,0.56,0.5,0.0,0.28,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,100.0
11/02/2021,14.82,8.17,6.81,5.45,4.37,3.98,4.73,5.43,4.98,4.49,5.41,4.09,3.12,3.82,2.68,3.63,3.2,2.79,0.96,1.16,1.03,0.65,1.06,0.79,0.77,0.59,0.49,0.0,0.28,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,100.01000000000002
11/03/2021,14.82,8.17,6.81,5.45,4.37,3.98,4.73,5.43,4.98,4.49,5.41,4.09,3.12,3.82,2.68,3.63,3.2,2.79,0.96,1.16,1.03,0.65,1.06,0.79,0.77,0.59,0.49,0.0,0.28,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,100.01000000000002
11/04/2021,14.82,8.17,6.81,5.45,4.37,3.98,4.73,5.43,4.98,4.49,5.41,4.09,3.12,3.82,2.68,3.63,3.2,2.79,0.96,1.16,1.03,0.65,1.06,0.79,0.77,0.59,0.49,0.0,0.28,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,100.01000000000002
11/05/2021,14.77,7.7,7.13,5.3,4.39,3.88,4.7,4.61,5.29,4.4,5.11,4.25,3.62,4.05,2.52,3.68,3.2,3.02,1.15,1.21,1.08,0.59,1.1,0.78,0.8,0.64,0.49,0.0,0.29,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,100.01000000000002
11/08/2021,14.49,7.76,6.99,5.41,4.31,4.0,4.84,4.74,5.18,4.33,5.56,4.29,3.55,4.05,2.54,3.56,3.15,2.96,1.12,1.28,1.03,0.57,1.1,0.76,0.82,0.66,0.49,0.0,0.28,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.02999999999996
11/09/2021,14.49,7.76,6.99,5.41,4.31,4.0,4.84,4.74,5.18,4.33,5.56,4.29,3.55,4.05,2.54,3.56,3.15,2.96,1.12,1.28,1.03,0.57,1.1,0.76,0.82,0.66,0.49,0.0,0.28,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.02999999999996
11/10/2021,14.59,7.88,6.98,5.37,4.29,4.01,4.72,4.68,5.21,4.38,5.69,4.28,3.5,3.98,2.55,3.57,3.11,2.93,1.1,1.3,1.02,0.6,1.1,0.75,0.82,0.64,0.47,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.0
11/11/2021,14.71,7.97,7.01,5.27,4.29,3.99,4.8,4.69,5.17,4.35,5.58,4.2,3.43,3.99,2.61,3.56,3.07,2.96,1.09,1.3,1.03,0.63,1.12,0.76,0.82,0.65,0.47,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.0
11/12/2021,14.71,7.97,7.01,5.27,4.29,3.99,4.8,4.69,5.17,4.35,5.58,4.2,3.43,3.99,2.61,3.56,3.07,2.96,1.09,1.3,1.03,0.63,1.12,0.76,0.82,0.65,0.47,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.0
11/15/2021,14.57,7.94,6.91,5.26,4.27,4.16,4.74,4.68,5.17,4.3,5.75,4.22,3.46,3.96,2.65,3.63,3.08,2.98,1.08,1.3,1.03,0.6,1.1,0.75,0.8,0.66,0.46,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98999999999997
11/16/2021,14.57,7.94,6.91,5.26,4.27,4.16,4.74,4.68,5.17,4.3,5.75,4.22,3.46,3.96,2.65,3.63,3.08,2.98,1.08,1.3,1.03,0.6,1.1,0.75,0.8,0.66,0.46,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98999999999997
11/17/2021,14.57,7.94,6.91,5.26,4.27,4.16,4.74,4.68,5.17,4.3,5.75,4.22,3.46,3.96,2.65,3.63,3.08,2.98,1.08,1.3,1.03,0.6,1.1,0.75,0.8,0.66,0.46,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98999999999997
11/18/2021,14.54,7.81,7.28,5.16,4.28,4.34,4.42,4.63,5.18,4.28,5.98,4.13,3.21,4.1,2.58,3.48,3.33,2.92,1.09,1.27,1.12,0.58,1.11,0.76,0.77,0.65,0.51,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.99
11/19/2021,14.35,7.79,7.27,5.15,4.33,4.29,4.42,4.73,5.18,4.26,5.94,4.3,3.15,4.09,2.6,3.47,3.32,3.03,1.12,1.26,1.09,0.57,1.12,0.75,0.77,0.66,0.5,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98999999999998
11/22/2021,14.45,7.92,7.16,5.13,4.28,4.34,4.55,4.73,5.08,4.21,5.83,4.2,3.22,4.01,2.67,3.52,3.3,2.94,1.12,1.33,1.08,0.6,1.12,0.74,0.77,0.71,0.5,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98999999999998
11/23/2021,14.45,7.92,7.16,5.13,4.28,4.34,4.55,4.73,5.08,4.21,5.83,4.2,3.22,4.01,2.67,3.52,3.3,2.94,1.12,1.33,1.08,0.6,1.12,0.74,0.77,0.71,0.5,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98999999999998
11/24/2021,14.59,7.94,7.04,5.13,4.29,4.39,4.66,4.61,5.04,4.16,5.76,4.19,3.26,4.05,2.73,3.47,3.28,2.91,1.13,1.38,1.08,0.57,1.11,0.75,0.77,0.74,0.5,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.00999999999998
11/25/2021,14.77,8.03,6.96,5.1,4.28,4.36,4.78,4.6,4.96,4.13,5.78,4.19,3.23,3.97,2.71,3.42,3.37,2.9,1.14,1.4,1.05,0.56,1.08,0.73,0.77,0.73,0.51,0.0,0.26,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,99.98000000000002
11/26/2021,15.42,8.16,6.95,5.09,4.3,4.21,4.72,4.53,4.9,4.12,5.46,4.13,3.17,3.97,2.7,3.38,3.35,2.96,1.07,1.43,1.09,0.55,1.11,0.77,0.77,0.72,0.51,0.0,0.26,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.01
11/29/2021,15.61,8.44,6.95,5.13,4.24,4.22,4.85,4.49,4.83,4.11,5.42,4.05,3.13,3.83,2.75,3.33,3.3,2.88,1.06,1.42,1.06,0.53,1.12,0.76,0.8,0.73,0.5,0.0,0.26,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.01
11/30/2021,15.61,8.44,6.95,5.13,4.24,4.22,4.85,4.49,4.83,4.11,5.42,4.05,3.13,3.83,2.75,3.33,3.3,2.88,1.06,1.42,1.06,0.53,1.12,0.76,0.8,0.73,0.5,0.0,0.26,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.01
12/01/2021,15.87,8.52,6.92,5.19,4.23,4.11,4.9,4.37,4.82,4.0,5.37,4.06,3.14,3.81,2.77,3.33,3.33,2.82,1.05,1.39,1.05,0.52,1.15,0.73,0.82,0.74,0.51,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.0
12/02/2021,16.24,8.6,6.87,5.19,4.18,4.0,4.94,4.2,4.89,3.95,5.36,4.02,3.13,3.8,2.78,3.41,3.24,2.82,1.03,1.39,1.02,0.51,1.16,0.75,0.82,0.74,0.49,0.0,0.27,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,100.01
01/13/2022,14.53,9.75,7.97,4.54,4.77,3.22,5.52,4.45,5.6,0.0,4.1,4.77,2.34,5.61,3.04,3.19,3.34,3.09,0.83,1.22,1.17,0.47,1.3,0.72,0.69,0.65,0.53,0.0,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,1.24,0.87,99.99000000000001
