,NIO,BY6.,LI,XPEV,300750.SZ,968.HK,916.HK,601012.SS,3898.HK,813.HK,586.HK,3333.HK,1585.HK,3800.HK,257.HK,601816.SS,KC,JKS,371.HK,002594.SZ,300274.SZ,600703.SS,2208.HK,819.HK,410.HK,NIU,405.HK,1798.HK,002074.SZ,002459.SZ,182.HK,300450.SZ,688009.SS,002202.SZ,1381.HK,658.HK,686.HK,603218.SS,1257.HK,002506.SZ,1330.HK,U9E.SI,Cash,1257.HK.1,1257.HK.2,CHG.BK,1363.HK,n/a,603613.SS,CD,601615.SS,SUM
08/25/2021,8.52,10.97,8.11,9.01,6.61,5.2,4.89,4.27,3.65,2.8,3.25,1.45,2.42,1.71,2.81,1.92,1.49,1.54,2.0,2.06,1.91,1.6,1.42,1.42,0.98,0.86,0.98,0.65,0.69,0.57,0.57,0.62,0.38,0.47,0.27,0.33,0.26,0.33,0.24,0.28,0.21,0.19,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,100.04999999999998
08/26/2021,8.63,10.59,8.38,9.22,6.46,5.17,4.94,4.18,3.56,2.71,3.21,1.42,2.25,1.65,2.74,1.88,1.56,1.64,1.97,1.99,1.92,1.59,1.47,1.32,0.99,0.85,0.96,0.64,0.69,0.58,0.56,0.62,0.38,0.49,0.27,0.3,0.25,0.35,0.23,0.29,0.21,0.19,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,100.0
08/27/2021,8.67,10.78,8.32,9.19,6.66,5.21,5.33,4.16,3.73,2.61,3.2,1.21,2.19,1.62,2.74,1.86,1.56,1.64,1.97,1.98,1.97,1.63,1.53,1.31,1.0,0.83,0.93,0.7,0.66,0.61,0.59,0.59,0.37,0.5,0.26,0.29,0.25,0.36,0.23,0.29,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.04
08/30/2021,8.53,10.56,8.42,9.12,6.53,5.45,5.2,4.39,3.83,2.68,3.17,1.23,2.26,1.71,2.6,1.85,1.74,1.73,1.92,1.95,2.02,1.55,1.49,1.26,0.94,0.84,0.9,0.66,0.65,0.68,0.58,0.57,0.36,0.48,0.27,0.29,0.23,0.34,0.22,0.31,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
08/31/2021,8.53,10.56,8.42,9.12,6.53,5.45,5.2,4.39,3.83,2.68,3.17,1.23,2.26,1.71,2.6,1.85,1.74,1.73,1.92,1.95,2.02,1.55,1.49,1.26,0.94,0.84,0.9,0.66,0.65,0.68,0.58,0.57,0.36,0.48,0.27,0.29,0.23,0.34,0.22,0.31,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
09/01/2021,8.57,10.39,8.32,9.27,6.56,5.53,5.16,4.37,3.75,2.68,3.12,1.17,2.26,1.72,2.63,1.87,1.8,1.73,1.99,1.9,2.01,1.54,1.45,1.29,0.96,0.85,0.92,0.66,0.63,0.7,0.58,0.56,0.37,0.48,0.28,0.29,0.25,0.35,0.23,0.31,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
09/02/2021,8.52,10.63,8.24,9.19,6.39,5.57,5.09,4.62,3.72,2.68,3.15,1.21,2.29,1.71,2.61,1.89,1.7,1.74,1.93,1.94,2.0,1.52,1.45,1.3,0.94,0.83,0.92,0.64,0.67,0.72,0.56,0.59,0.38,0.48,0.27,0.3,0.24,0.32,0.22,0.31,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.0,0.0,99.99000000000002
09/03/2021,8.29,10.38,7.99,9.11,6.24,5.98,5.73,4.86,3.68,2.59,3.09,1.19,2.16,1.68,2.7,1.83,1.75,1.89,1.97,1.86,2.13,1.47,1.52,0.99,0.89,0.83,0.91,0.68,0.7,0.76,0.57,0.59,0.36,0.5,0.27,0.31,0.24,0.31,0.23,0.3,0.21,0.17,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.0,0.0,100.03
09/06/2021,9.14,7.09,9.43,9.05,4.15,4.49,4.38,4.2,3.71,3.13,4.46,1.25,2.47,1.77,2.8,2.2,2.1,1.99,2.07,1.25,2.06,1.67,1.54,1.3,1.04,0.99,1.0,0.69,0.66,1.17,0.6,0.61,0.43,0.5,0.34,0.33,0.27,0.31,0.24,0.33,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.2,0.44,100.0
11/30/2021,8.66,7.09,8.46,8.33,4.6,4.42,6.32,4.56,3.09,2.74,5.28,0.92,2.37,1.73,3.26,2.22,1.86,1.92,2.1,1.16,2.33,1.6,1.88,0.89,0.62,0.85,0.95,1.15,0.66,1.12,0.82,0.61,0.43,0.65,0.33,0.41,0.32,0.39,0.29,0.28,0.29,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.55,99.58000000000003
