,SYLD,VAMO,EYLD,MXI,VBR,VB,DBE,DBB,RXI,Vanguard FTSE Developed Markets ETF,FYLD,GVAL,Us Dollars,iShares Global Consumer Discr ETF,PDBC,BLDG,n/a,SECLEND,IXC,IXG,SUM
09/23/2021,16.08,11.98,8.73,7.51,7.28,7.06,7.22,7.18,0.0,0.0,6.47,5.92,0.0,0.0,6.58,7.0,1.0,0.0,0.0,0.0,100.01
09/24/2021,15.95,12.04,8.68,7.51,7.27,7.06,7.26,7.17,0.0,0.0,6.45,5.91,0.0,0.0,6.61,7.09,1.02,0.0,0.0,0.0,100.02
09/27/2021,15.96,12.1,8.7,7.45,7.26,7.05,7.25,7.23,0.0,0.0,6.43,5.91,0.0,0.0,6.6,7.04,1.0,0.0,0.0,0.0,99.98
09/28/2021,16.21,12.16,8.38,7.44,7.33,7.08,7.4,7.26,0.0,0.0,6.34,5.81,0.0,0.0,6.7,6.91,1.0,0.0,0.0,0.0,100.02
09/29/2021,16.21,12.16,8.38,7.44,7.33,7.08,7.4,7.26,0.0,0.0,6.34,5.81,0.0,0.0,6.7,6.91,1.0,0.0,0.0,0.0,100.02
09/30/2021,16.38,12.37,8.25,7.36,7.36,7.06,7.46,7.17,0.0,0.0,6.29,5.79,0.0,0.0,6.71,6.82,0.99,0.0,0.0,0.0,100.01
10/01/2021,16.36,12.35,8.29,7.31,7.35,7.01,7.49,7.24,0.0,0.0,6.26,5.75,0.0,0.0,6.73,6.86,1.0,0.0,0.0,0.0,100.0
10/04/2021,16.26,11.79,8.97,7.91,7.27,6.98,7.12,7.02,6.38,0.0,6.32,5.73,0.0,0.0,6.53,0.0,0.0,0.0,0.0,0.0,98.28000000000002
10/05/2021,16.16,12.49,8.21,7.3,7.35,6.99,7.66,7.08,0.0,0.0,6.22,5.84,0.0,0.0,6.86,6.81,1.04,0.0,0.0,0.0,100.01
10/06/2021,16.16,12.49,8.21,7.3,7.35,6.99,7.66,7.08,0.0,0.0,6.22,5.84,0.0,0.0,6.86,6.81,1.04,0.0,0.0,0.0,100.01
10/07/2021,16.16,12.49,8.21,7.3,7.35,6.99,7.66,7.08,0.0,0.0,6.22,5.84,0.0,0.0,6.86,6.81,1.04,0.0,0.0,0.0,100.01
10/08/2021,16.08,12.44,8.12,7.21,7.3,6.9,7.81,7.12,0.0,0.0,6.15,5.79,0.0,0.0,6.92,6.79,1.38,0.0,0.0,0.0,100.01000000000002
10/11/2021,16.14,12.42,8.16,0.0,7.3,6.91,7.78,7.07,0.0,0.0,6.16,5.84,0.0,0.0,6.89,6.83,1.38,0.0,7.14,0.0,100.02
10/12/2021,16.32,12.49,8.18,0.0,7.33,6.92,7.88,7.24,0.0,0.0,6.19,5.84,0.0,0.0,6.94,6.76,0.61,0.0,7.3,0.0,100.0
10/13/2021,16.32,12.49,8.18,0.0,7.33,6.92,7.88,7.24,0.0,0.0,6.19,5.84,0.0,0.0,6.94,6.76,0.61,0.0,7.3,0.0,100.0
10/14/2021,16.2,12.41,8.17,0.0,7.28,6.88,7.95,7.38,0.0,0.0,6.19,5.88,0.0,0.0,7.0,6.76,0.61,0.0,7.29,0.0,100.0
10/15/2021,16.21,12.45,8.14,0.0,7.29,6.9,7.93,7.37,0.0,0.0,6.16,5.88,0.0,0.0,6.96,6.81,0.6,0.0,7.29,0.0,99.99
10/18/2021,16.17,12.37,8.08,0.0,7.29,6.93,7.95,7.59,0.0,0.0,6.15,5.8,0.0,0.0,6.98,6.81,0.59,0.0,7.29,0.0,100.0
10/19/2021,16.09,12.26,8.07,0.0,7.26,6.9,7.97,7.82,0.0,0.0,6.16,5.78,0.0,0.0,7.01,6.78,0.59,0.0,7.31,0.0,100.0
10/20/2021,16.09,12.26,8.07,0.0,7.26,6.9,7.97,7.82,0.0,0.0,6.16,5.78,0.0,0.0,7.01,6.78,0.59,0.0,7.31,0.0,100.0
10/21/2021,16.09,12.26,8.07,0.0,7.26,6.9,7.97,7.82,0.0,0.0,6.16,5.78,0.0,0.0,7.01,6.78,0.59,0.0,7.31,0.0,100.0
10/22/2021,16.19,12.24,8.18,0.0,7.27,6.92,7.94,7.55,0.0,0.0,6.23,5.78,0.0,0.0,6.96,6.78,0.59,0.0,7.35,0.0,99.98
10/25/2021,16.38,12.39,8.04,0.0,7.37,7.02,7.98,7.25,0.0,0.0,6.15,5.77,0.0,0.0,6.95,6.81,0.59,0.0,7.31,0.0,100.01
10/26/2021,16.38,12.39,8.04,0.0,7.37,7.02,7.98,7.25,0.0,0.0,6.15,5.77,0.0,0.0,6.95,6.81,0.59,0.0,7.31,0.0,100.01
10/27/2021,16.37,12.43,8.12,0.0,7.36,7.0,8.0,7.18,0.0,0.0,6.14,5.76,0.0,0.0,6.95,6.77,0.59,0.0,7.32,0.0,99.99
10/28/2021,16.39,12.56,8.1,0.0,7.35,6.99,7.96,7.19,0.0,0.0,6.13,5.76,0.0,0.0,6.92,6.74,0.57,0.0,7.34,0.0,100.0
10/29/2021,16.39,12.56,8.1,0.0,7.35,6.99,7.96,7.19,0.0,0.0,6.13,5.76,0.0,0.0,6.92,6.74,0.57,0.0,7.34,0.0,100.0
11/01/2021,16.08,12.35,8.23,0.0,7.32,6.99,8.0,7.02,0.0,0.0,6.27,5.86,0.0,0.0,6.99,6.87,0.6,0.0,7.41,0.0,99.99
11/02/2021,16.17,12.5,8.12,0.0,7.37,7.06,7.95,7.08,0.0,0.0,6.22,5.83,0.0,0.0,6.94,6.87,0.6,0.0,7.31,0.0,100.02
11/03/2021,16.17,12.5,8.12,0.0,7.37,7.06,7.95,7.08,0.0,0.0,6.22,5.83,0.0,0.0,6.94,6.87,0.6,0.0,7.31,0.0,100.02
11/04/2021,16.17,12.5,8.12,0.0,7.37,7.06,7.95,7.08,0.0,0.0,6.22,5.83,0.0,0.0,6.94,6.87,0.6,0.0,7.31,0.0,100.02
11/05/2021,16.4,12.63,7.97,0.0,7.46,7.13,7.96,6.92,0.0,0.0,6.17,5.77,0.0,0.0,6.92,6.84,0.59,0.0,7.25,0.0,100.01
11/08/2021,16.7,13.06,0.0,0.0,7.54,7.21,7.65,6.76,0.0,0.0,6.15,6.45,0.0,0.0,6.73,6.89,0.59,0.0,7.19,7.08,100.0
11/09/2021,16.72,13.09,0.0,0.0,7.56,7.19,7.7,6.7,0.0,0.0,6.07,6.4,0.0,0.0,6.73,6.87,0.74,0.0,7.2,7.02,99.99
11/10/2021,16.72,13.09,0.0,0.0,7.56,7.19,7.7,6.7,0.0,0.0,6.07,6.4,0.0,0.0,6.73,6.87,0.74,0.0,7.2,7.02,99.99
