,PSMD,PSMR,PSFD,PSFM,PSCX,Pacer Swan SOS Conservative (April) ETF,U.S. Bank Money Market Deposit Account,PSMJ,PSCW,PSFJ,Pacer Swan SOS Conservative (July) ETF,PSCJ,Pacer Swan SOS Conservative (Dec) ETF,n/a,EGCO.BK,BIDI11.SA,PSMO,PSFO,PSCQ,SUM
01/03/2022,18.78,6.19,8.3,4.74,6.28,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.0
01/04/2022,18.78,6.19,8.3,4.74,6.28,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.0
01/05/2022,18.78,6.19,8.3,4.74,6.28,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.0
01/06/2022,18.78,6.19,8.3,4.74,6.28,0.0,0.0,13.18,1.38,5.29,0.0,2.63,0.0,0.87,0.0,0.0,20.9,7.5,3.96,100.0
01/07/2022,19.12,5.98,8.69,4.57,6.06,0.0,0.0,12.72,1.33,5.12,0.0,2.54,0.0,2.59,0.0,0.0,20.19,7.25,3.82,99.98
01/10/2022,19.41,6.1,8.79,4.65,6.16,0.0,0.0,12.98,1.36,5.2,0.0,2.59,0.0,0.94,0.0,0.0,20.56,7.36,3.89,99.99
01/11/2022,19.42,6.1,8.79,4.66,6.16,0.0,0.0,12.96,1.36,5.2,0.0,2.59,0.0,0.94,0.0,0.0,20.56,7.35,3.9,99.99
01/12/2022,19.43,6.11,8.78,4.66,6.16,0.0,0.0,12.96,1.36,5.2,0.0,2.59,0.0,0.93,0.0,0.0,20.56,7.36,3.89,99.99
01/13/2022,19.41,6.11,8.78,4.66,6.16,0.0,0.0,12.96,1.36,5.2,0.0,2.59,0.0,0.93,0.0,0.0,20.57,7.36,3.9,99.99000000000002
01/14/2022,19.44,6.1,8.8,4.66,6.17,0.0,0.0,12.95,1.36,5.2,0.0,2.59,0.0,0.93,0.0,0.0,20.55,7.36,3.89,100.0
01/17/2022,20.0,5.71,9.07,4.36,6.31,0.0,0.0,12.13,1.27,4.87,0.0,2.42,0.0,4.06,0.0,0.0,19.25,6.9,3.64,99.99
01/18/2022,19.99,5.72,9.03,4.36,6.31,0.0,0.0,12.15,1.27,4.87,0.0,2.42,0.0,4.08,0.0,0.0,19.26,6.89,3.65,100.0
